takt;q1;q2;q2p
0;286.000000;-13.000000;-32.737511
1;536.000000;-20.000000;-21.540361
2;728.000000;-7.000000;-10.349822
3;753.000000;-11.000000;0.830798
4;647.000000;-6.000000;11.998202
5;415.000000;5.000000;23.149094
6;82.000000;18.000000;34.280178
7;-315.000000;32.000000;45.388172
8;-785.000000;51.000000;56.469795
9;-1280.000000;71.000000;67.521782
10;-1812.000000;92.000000;78.540863
11;-2363.000000;112.000000;89.523788
12;-2884.000000;135.000000;100.467308
13;-3378.000000;155.000000;111.368202
14;-3852.000000;174.000000;122.223244
15;-4310.000000;191.000000;133.029236
16;-4798.000000;202.000000;143.782974
17;-5262.000000;211.000000;154.481308
18;-5654.000000;229.000000;165.121048
19;-5987.000000;243.000000;175.699066
20;-6229.000000;252.000000;186.212250
21;-6435.000000;260.000000;196.657486
22;-6596.000000;268.000000;207.031693
23;-6698.000000;273.000000;217.331802
24;-6790.000000;276.000000;227.554794
25;-6849.000000;279.000000;237.697617
26;-6897.000000;281.000000;247.757309
27;-6956.000000;284.000000;257.730896
28;-6983.000000;290.000000;267.615417
29;-7019.000000;301.000000;277.407959
30;-7082.000000;308.000000;287.105621
31;-7165.000000;311.000000;296.705566
32;-7322.000000;317.000000;306.204956
33;-7510.000000;324.000000;315.600983
34;-7731.000000;333.000000;324.890839
35;-7987.000000;345.000000;334.071838
36;-8244.000000;355.000000;343.141205
37;-8535.000000;366.000000;352.096344
38;-8846.000000;379.000000;360.934570
39;-9167.000000;393.000000;369.653259
40;-9519.000000;407.000000;378.249878
41;-9872.000000;421.000000;386.721832
42;-10234.000000;435.000000;395.066650
43;-10596.000000;449.000000;403.281860
44;-10928.000000;462.000000;411.365051
45;-11246.000000;472.000000;419.313812
46;-11553.000000;479.000000;427.125824
47;-11851.000000;483.000000;434.798767
48;-12117.000000;493.000000;442.330383
49;-12371.000000;504.000000;449.718445
50;-12599.000000;512.000000;456.960754
51;-12774.000000;519.000000;464.055206
52;-12900.000000;524.000000;470.999664
53;-12956.000000;527.000000;477.792145
54;-12991.000000;528.000000;484.430573
55;-12984.000000;529.000000;490.912994
56;-12968.000000;528.000000;497.237549
57;-12959.000000;529.000000;503.402344
58;-12943.000000;536.000000;509.405548
59;-12941.000000;545.000000;515.245361
60;-12964.000000;546.000000;520.920166
61;-12993.000000;547.000000;526.428162
62;-13054.000000;550.000000;531.767761
63;-13118.000000;553.000000;536.937439
64;-13207.000000;556.000000;541.935608
65;-13328.000000;562.000000;546.760803
66;-13462.000000;567.000000;551.411621
67;-13639.000000;574.000000;555.886719
68;-13821.000000;581.000000;560.184692
69;-14020.000000;589.000000;564.304321
70;-14237.000000;598.000000;568.244385
71;-14460.000000;607.000000;572.003723
72;-14701.000000;616.000000;575.581238
73;-14944.000000;626.000000;578.975830
74;-15189.000000;635.000000;582.186584
75;-15433.000000;643.000000;585.212402
76;-15659.000000;646.000000;588.052551
77;-15868.000000;645.000000;590.706116
78;-16010.000000;652.000000;593.172302
79;-16121.000000;655.000000;595.450378
80;-16169.000000;657.000000;597.539734
81;-16184.000000;658.000000;599.439758
82;-16160.000000;658.000000;601.149780
83;-16086.000000;655.000000;602.669373
84;-16014.000000;652.000000;603.998108
85;-15915.000000;648.000000;605.135498
86;-15811.000000;643.000000;606.081360
87;-15714.000000;640.000000;606.835266
88;-15611.000000;638.000000;607.397034
89;-15527.000000;637.000000;607.766541
90;-15448.000000;638.000000;607.943665
91;-15370.000000;641.000000;607.928345
92;-15332.000000;643.000000;607.720581
93;-15295.000000;640.000000;607.320435
94;-15273.000000;638.000000;606.728027
95;-15267.000000;637.000000;605.943542
96;-15256.000000;639.000000;604.967163
97;-15280.000000;640.000000;603.799255
98;-15294.000000;639.000000;602.440063
99;-15304.000000;639.000000;600.890137
100;-15319.000000;638.000000;599.149780
101;-15317.000000;636.000000;597.219604
102;-15330.000000;634.000000;595.100159
103;-15334.000000;632.000000;592.792053
104;-15335.000000;628.000000;590.295959
105;-15340.000000;625.000000;587.612610
106;-15326.000000;623.000000;584.742859
107;-15323.000000;623.000000;581.687439
108;-15306.000000;622.000000;578.447388
109;-15272.000000;621.000000;575.023621
110;-15229.000000;619.000000;571.417053
111;-15155.000000;616.000000;567.628906
112;-15079.000000;613.000000;563.660156
113;-14986.000000;609.000000;559.512024
114;-14882.000000;604.000000;555.185791
115;-14778.000000;600.000000;550.682617
116;-14666.000000;595.000000;546.003967
117;-14553.000000;591.000000;541.151123
118;-14439.000000;586.000000;536.125549
119;-14305.000000;581.000000;530.928772
120;-14162.000000;575.000000;525.562256
121;-13999.000000;569.000000;520.027588
122;-13812.000000;561.000000;514.326477
123;-13609.000000;553.000000;508.460541
124;-13381.000000;544.000000;502.431519
125;-13160.000000;535.000000;496.241180
126;-12935.000000;526.000000;489.891418
127;-12700.000000;517.000000;483.384033
128;-12467.000000;508.000000;476.720978
129;-12243.000000;499.000000;469.904205
130;-12034.000000;490.000000;462.935730
131;-11842.000000;483.000000;455.817657
132;-11652.000000;475.000000;448.552002
133;-11469.000000;467.000000;441.140991
134;-11292.000000;460.000000;433.586761
135;-11116.000000;453.000000;425.891571
136;-10941.000000;446.000000;418.057648
137;-10757.000000;439.000000;410.087372
138;-10574.000000;431.000000;401.983032
139;-10401.000000;424.000000;393.747070
140;-10239.000000;417.000000;385.381897
141;-10100.000000;411.000000;376.889954
142;-9975.000000;406.000000;368.273804
143;-9856.000000;400.000000;359.535950
144;-9738.000000;395.000000;350.678986
145;-9614.000000;390.000000;341.705444
146;-9481.000000;385.000000;332.618042
147;-9339.000000;379.000000;323.419495
148;-9171.000000;372.000000;314.112488
149;-8979.000000;364.000000;304.699768
150;-8757.000000;355.000000;295.184143
151;-8494.000000;345.000000;285.568390
152;-8199.000000;333.000000;275.855347
153;-7870.000000;320.000000;266.047913
154;-7513.000000;306.000000;256.148956
155;-7138.000000;291.000000;246.161392
156;-6759.000000;276.000000;236.088196
157;-6383.000000;261.000000;225.932343
158;-6005.000000;245.000000;215.696808
159;-5618.000000;229.000000;205.384613
160;-5244.000000;214.000000;194.998825
161;-4906.000000;200.000000;184.542496
162;-4606.000000;191.000000;174.018723
163;-4355.000000;185.000000;163.430588
164;-4140.000000;181.000000;152.781235
165;-3970.000000;177.000000;142.073822
166;-3844.000000;168.000000;131.311478
167;-3748.000000;155.000000;120.497406
168;-3643.000000;147.000000;109.634789
169;-3528.000000;142.000000;98.726830
170;-3382.000000;137.000000;87.776749
171;-3211.000000;131.000000;76.787788
172;-3008.000000;122.000000;65.763191
173;-2746.000000;111.000000;54.706200
174;-2447.000000;99.000000;43.620090
175;-2116.000000;85.000000;32.508133
176;-1766.000000;72.000000;21.373604
177;-1411.000000;57.000000;10.219794
178;-1032.000000;42.000000;-0.950003
