takt;q1;q2;q2p
0;291.000000;-12.000000;-32.737511
1;587.000000;-23.000000;-21.540361
2;824.000000;-19.000000;-10.349822
3;941.000000;-26.000000;0.830798
4;925.000000;-25.000000;11.998202
5;762.000000;-18.000000;23.149094
6;489.000000;-6.000000;34.280178
7;105.000000;7.000000;45.388172
8;-367.000000;25.000000;56.469795
9;-896.000000;46.000000;67.521782
10;-1485.000000;70.000000;78.540863
11;-2089.000000;94.000000;89.523788
12;-2688.000000;117.000000;100.467308
13;-3295.000000;141.000000;111.368202
14;-3876.000000;164.000000;122.223244
15;-4462.000000;183.000000;133.029236
16;-4978.000000;202.000000;143.782974
17;-5390.000000;218.000000;154.481308
18;-5722.000000;232.000000;165.121048
19;-5949.000000;241.000000;175.699066
20;-6130.000000;249.000000;186.212250
21;-6247.000000;255.000000;196.657486
22;-6299.000000;256.000000;207.031693
23;-6325.000000;257.000000;217.331802
24;-6330.000000;258.000000;227.554794
25;-6333.000000;258.000000;237.697617
26;-6349.000000;259.000000;247.757309
27;-6348.000000;262.000000;257.730896
28;-6370.000000;270.000000;267.615417
29;-6425.000000;272.000000;277.407959
30;-6526.000000;276.000000;287.105621
31;-6702.000000;284.000000;296.705566
32;-6914.000000;294.000000;306.204956
33;-7183.000000;303.000000;315.600983
34;-7503.000000;317.000000;324.890839
35;-7862.000000;331.000000;334.071838
36;-8256.000000;347.000000;343.141205
37;-8663.000000;363.000000;352.096344
38;-9059.000000;378.000000;360.934570
39;-9458.000000;395.000000;369.653259
40;-9862.000000;410.000000;378.249878
41;-10254.000000;423.000000;386.721832
42;-10640.000000;433.000000;395.066650
43;-10968.000000;448.000000;403.281860
44;-11249.000000;459.000000;411.365051
45;-11479.000000;467.000000;419.313812
46;-11654.000000;474.000000;427.125824
47;-11793.000000;480.000000;434.798767
48;-11886.000000;485.000000;442.330383
49;-11945.000000;487.000000;449.718445
50;-11991.000000;489.000000;456.960754
51;-12013.000000;490.000000;464.055206
52;-12025.000000;491.000000;470.999664
53;-12030.000000;492.000000;477.792145
54;-12030.000000;495.000000;484.430573
55;-12043.000000;501.000000;490.912994
56;-12093.000000;503.000000;497.237549
57;-12174.000000;506.000000;503.402344
58;-12303.000000;512.000000;509.405548
59;-12465.000000;519.000000;515.245361
60;-12660.000000;526.000000;520.920166
61;-12891.000000;536.000000;526.428162
62;-13134.000000;546.000000;531.767761
63;-13391.000000;556.000000;536.937439
64;-13644.000000;566.000000;541.935608
65;-13891.000000;576.000000;546.760803
66;-14135.000000;585.000000;551.411621
67;-14375.000000;594.000000;555.886719
68;-14609.000000;601.000000;560.184692
69;-14840.000000;604.000000;564.304321
