takt;q1;q2;q2p
0;244.000000;-10.000000;-32.737511
1;484.000000;-19.000000;-21.540361
2;726.000000;-14.000000;-10.349822
3;849.000000;-11.000000;0.830798
4;886.000000;-10.000000;11.998202
5;832.000000;-7.000000;23.149094
6;613.000000;0.000000;34.280178
7;340.000000;10.000000;45.388172
8;-59.000000;26.000000;56.469795
9;-499.000000;44.000000;67.521782
10;-991.000000;62.000000;78.540863
11;-1552.000000;85.000000;89.523788
12;-2078.000000;106.000000;100.467308
13;-2656.000000;126.000000;111.368202
14;-3229.000000;147.000000;122.223244
15;-3769.000000;165.000000;133.029236
16;-4329.000000;179.000000;143.782974
17;-4793.000000;195.000000;154.481308
18;-5243.000000;212.000000;165.121048
19;-5622.000000;227.000000;175.699066
20;-5901.000000;238.000000;186.212250
21;-6148.000000;249.000000;196.657486
22;-6296.000000;257.000000;207.031693
23;-6406.000000;262.000000;217.331802
24;-6479.000000;265.000000;227.554794
25;-6501.000000;265.000000;237.697617
26;-6512.000000;267.000000;247.757309
27;-6510.000000;268.000000;257.730896
28;-6486.000000;268.000000;267.615417
29;-6482.000000;269.000000;277.407959
30;-6451.000000;278.000000;287.105621
31;-6463.000000;289.000000;296.705566
32;-6513.000000;290.000000;306.204956
33;-6635.000000;295.000000;315.600983
34;-6818.000000;302.000000;324.890839
35;-7038.000000;313.000000;334.071838
36;-7322.000000;323.000000;343.141205
37;-7652.000000;336.000000;352.096344
38;-8030.000000;350.000000;360.934570
39;-8426.000000;366.000000;369.653259
40;-8838.000000;382.000000;378.249878
41;-9244.000000;398.000000;386.721832
42;-9654.000000;415.000000;395.066650
43;-10067.000000;430.000000;403.281860
44;-10470.000000;442.000000;411.365051
45;-10881.000000;450.000000;419.313812
46;-11247.000000;457.000000;427.125824
47;-11591.000000;473.000000;434.798767
48;-11877.000000;485.000000;442.330383
49;-12104.000000;494.000000;449.718445
50;-12296.000000;502.000000;456.960754
51;-12423.000000;507.000000;464.055206
52;-12512.000000;510.000000;470.999664
53;-12569.000000;513.000000;477.792145
54;-12569.000000;514.000000;484.430573
55;-12584.000000;515.000000;490.912994
56;-12576.000000;515.000000;497.237549
57;-12556.000000;514.000000;503.402344
58;-12542.000000;514.000000;509.405548
59;-12509.000000;519.000000;515.245361
60;-12492.000000;528.000000;520.920166
61;-12503.000000;535.000000;526.428162
62;-12522.000000;534.000000;531.767761
63;-12591.000000;538.000000;536.937439
64;-12696.000000;542.000000;541.935608
65;-12825.000000;547.000000;546.760803
66;-13008.000000;554.000000;551.411621
67;-13197.000000;561.000000;555.886719
68;-13411.000000;570.000000;560.184692
69;-13643.000000;579.000000;564.304321
70;-13863.000000;588.000000;568.244385
71;-14102.000000;597.000000;572.003723
72;-14330.000000;606.000000;575.581238
73;-14546.000000;613.000000;578.975830
74;-14767.000000;618.000000;582.186584
75;-14981.000000;621.000000;585.212402
76;-15194.000000;621.000000;588.052551
77;-15357.000000;629.000000;590.706116
78;-15534.000000;636.000000;593.172302
79;-15674.000000;639.000000;595.450378
80;-15797.000000;644.000000;597.539734
81;-15871.000000;647.000000;599.439758
