takt;q1;q2;q2p
0;208.000000;-8.000000;-32.737511
1;417.000000;-14.000000;-21.540361
2;611.000000;-8.000000;-10.349822
3;682.000000;-9.000000;0.830798
4;633.000000;-5.000000;11.998202
5;484.000000;3.000000;23.149094
6;224.000000;12.000000;34.280178
7;-112.000000;25.000000;45.388172
8;-576.000000;43.000000;56.469795
9;-1121.000000;65.000000;67.521782
10;-1728.000000;88.000000;78.540863
11;-2360.000000;112.000000;89.523788
12;-2973.000000;137.000000;100.467308
13;-3586.000000;160.000000;111.368202
14;-4191.000000;184.000000;122.223244
15;-4769.000000;204.000000;133.029236
16;-5327.000000;217.000000;143.782974
17;-5810.000000;236.000000;154.481308
18;-6237.000000;253.000000;165.121048
19;-6592.000000;267.000000;175.699066
20;-6862.000000;278.000000;186.212250
21;-7068.000000;287.000000;196.657486
22;-7177.000000;292.000000;207.031693
23;-7233.000000;294.000000;217.331802
24;-7250.000000;295.000000;227.554794
25;-7230.000000;295.000000;237.697617
26;-7206.000000;294.000000;247.757309
27;-7168.000000;294.000000;257.730896
28;-7115.000000;297.000000;267.615417
29;-7074.000000;307.000000;277.407959
30;-7082.000000;307.000000;287.105621
31;-7140.000000;310.000000;296.705566
32;-7268.000000;316.000000;306.204956
33;-7434.000000;322.000000;315.600983
34;-7667.000000;330.000000;324.890839
35;-7970.000000;343.000000;334.071838
36;-8324.000000;357.000000;343.141205
37;-8742.000000;373.000000;352.096344
38;-9183.000000;390.000000;360.934570
39;-9614.000000;407.000000;369.653259
40;-10047.000000;425.000000;378.249878
41;-10465.000000;441.000000;386.721832
42;-10884.000000;456.000000;395.066650
43;-11320.000000;467.000000;403.281860
44;-11735.000000;476.000000;411.365051
45;-12102.000000;492.000000;419.313812
46;-12416.000000;505.000000;427.125824
47;-12645.000000;513.000000;434.798767
48;-12829.000000;521.000000;442.330383
49;-12948.000000;527.000000;449.718445
50;-13006.000000;529.000000;456.960754
51;-13042.000000;531.000000;464.055206
52;-13037.000000;531.000000;470.999664
53;-13021.000000;531.000000;477.792145
54;-13005.000000;531.000000;484.430573
55;-12975.000000;529.000000;490.912994
56;-12957.000000;529.000000;497.237549
57;-12929.000000;530.000000;503.402344
58;-12895.000000;538.000000;509.405548
59;-12907.000000;543.000000;515.245361
60;-12928.000000;544.000000;520.920166
61;-12993.000000;546.000000;526.428162
62;-13104.000000;550.000000;531.767761
63;-13231.000000;556.000000;536.937439
64;-13421.000000;563.000000;541.935608
65;-13622.000000;571.000000;546.760803
66;-13870.000000;581.000000;551.411621
67;-14138.000000;591.000000;555.886719
68;-14389.000000;601.000000;560.184692
69;-14634.000000;610.000000;564.304321
70;-14860.000000;620.000000;568.244385
71;-15059.000000;627.000000;572.003723
72;-15259.000000;630.000000;575.581238
73;-15426.000000;631.000000;578.975830
74;-15554.000000;632.000000;582.186584
75;-15669.000000;638.000000;585.212402
76;-15759.000000;641.000000;588.052551
77;-15833.000000;644.000000;590.706116
78;-15895.000000;646.000000;593.172302
79;-15912.000000;647.000000;595.450378
80;-15933.000000;648.000000;597.539734
81;-15924.000000;648.000000;599.439758
82;-15910.000000;648.000000;601.149780
83;-15907.000000;648.000000;602.669373
84;-15883.000000;647.000000;603.998108
85;-15875.000000;646.000000;605.135498
86;-15873.000000;646.000000;606.081360
87;-15870.000000;646.000000;606.835266
88;-15878.000000;646.000000;607.397034
89;-15874.000000;646.000000;607.766541
90;-15876.000000;646.000000;607.943665
91;-15877.000000;646.000000;607.928345
92;-15869.000000;646.000000;607.720581
93;-15867.000000;646.000000;607.320435
94;-15863.000000;646.000000;606.728027
95;-15862.000000;646.000000;605.943542
96;-15857.000000;645.000000;604.967163
97;-15852.000000;645.000000;603.799255
98;-15838.000000;645.000000;602.440063
99;-15817.000000;644.000000;600.890137
100;-15788.000000;643.000000;599.149780
101;-15743.000000;641.000000;597.219604
102;-15689.000000;639.000000;595.100159
103;-15619.000000;636.000000;592.792053
104;-15539.000000;633.000000;590.295959
105;-15443.000000;629.000000;587.612610
106;-15333.000000;624.000000;584.742859
107;-15211.000000;619.000000;581.687439
108;-15083.000000;615.000000;578.447388
109;-14954.000000;609.000000;575.023621
110;-14818.000000;604.000000;571.417053
111;-14680.000000;598.000000;567.628906
112;-14537.000000;593.000000;563.660156
113;-14392.000000;587.000000;559.512024
114;-14247.000000;581.000000;555.185791
115;-14105.000000;576.000000;550.682617
116;-13969.000000;570.000000;546.003967
117;-13840.000000;565.000000;541.151123
118;-13728.000000;560.000000;536.125549
119;-13628.000000;556.000000;530.928772
120;-13545.000000;552.000000;525.562256
121;-13465.000000;549.000000;520.027588
122;-13385.000000;545.000000;514.326477
123;-13299.000000;542.000000;508.460541
124;-13197.000000;538.000000;502.431519
125;-13078.000000;533.000000;496.241180
126;-12938.000000;527.000000;489.891418
127;-12774.000000;520.000000;483.384033
128;-12588.000000;513.000000;476.720978
129;-12381.000000;505.000000;469.904205
130;-12155.000000;495.000000;462.935730
131;-11921.000000;486.000000;455.817657
132;-11686.000000;476.000000;448.552002
133;-11457.000000;467.000000;441.140991
134;-11243.000000;458.000000;433.586761
135;-11055.000000;450.000000;425.891571
136;-10890.000000;443.000000;418.057648
137;-10740.000000;437.000000;410.087372
138;-10591.000000;431.000000;401.983032
139;-10440.000000;425.000000;393.747070
140;-10279.000000;418.000000;385.381897
141;-10094.000000;411.000000;376.889954
142;-9892.000000;403.000000;368.273804
143;-9668.000000;394.000000;359.535950
144;-9421.000000;384.000000;350.678986
145;-9159.000000;374.000000;341.705444
146;-8869.000000;362.000000;332.618042
147;-8584.000000;350.000000;323.419495
148;-8300.000000;339.000000;314.112488
149;-8018.000000;327.000000;304.699768
150;-7739.000000;316.000000;295.184143
151;-7448.000000;304.000000;285.568390
152;-7157.000000;293.000000;275.855347
153;-6867.000000;281.000000;266.047913
154;-6592.000000;269.000000;256.148956
155;-6338.000000;259.000000;246.161392
156;-6115.000000;250.000000;236.088196
157;-5925.000000;242.000000;225.932343
158;-5777.000000;236.000000;215.696808
159;-5654.000000;231.000000;205.384613
160;-5531.000000;225.000000;194.998825
161;-5405.000000;220.000000;184.542496
162;-5252.000000;213.000000;174.018723
163;-5067.000000;206.000000;163.430588
