takt;q1;q2;q2p
0;248.000000;-10.000000;-32.737511
1;490.000000;-17.000000;-21.540361
2;706.000000;-7.000000;-10.349822
3;786.000000;-13.000000;0.830798
4;738.000000;-9.000000;11.998202
5;534.000000;0.000000;23.149094
6;229.000000;13.000000;34.280178
7;-167.000000;26.000000;45.388172
8;-683.000000;46.000000;56.469795
9;-1259.000000;70.000000;67.521782
10;-1894.000000;95.000000;78.540863
11;-2542.000000;120.000000;89.523788
12;-3180.000000;146.000000;100.467308
13;-3823.000000;169.000000;111.368202
14;-4429.000000;190.000000;122.223244
15;-5010.000000;206.000000;133.029236
16;-5521.000000;226.000000;143.782974
17;-5938.000000;242.000000;154.481308
18;-6286.000000;256.000000;165.121048
19;-6548.000000;267.000000;175.699066
20;-6748.000000;275.000000;186.212250
21;-6879.000000;281.000000;196.657486
22;-6934.000000;283.000000;207.031693
23;-6955.000000;285.000000;217.331802
24;-6960.000000;285.000000;227.554794
25;-6957.000000;285.000000;237.697617
26;-6959.000000;285.000000;247.757309
27;-6950.000000;287.000000;257.730896
28;-6943.000000;294.000000;267.615417
29;-6961.000000;304.000000;277.407959
30;-7015.000000;305.000000;287.105621
31;-7118.000000;310.000000;296.705566
32;-7284.000000;317.000000;306.204956
33;-7485.000000;325.000000;315.600983
34;-7742.000000;334.000000;324.890839
35;-8045.000000;347.000000;334.071838
36;-8383.000000;360.000000;343.141205
37;-8738.000000;374.000000;352.096344
38;-9096.000000;389.000000;360.934570
39;-9444.000000;403.000000;369.653259
40;-9790.000000;417.000000;378.249878
41;-10117.000000;430.000000;386.721832
42;-10439.000000;443.000000;395.066650
43;-10760.000000;456.000000;403.281860
44;-11058.000000;467.000000;411.365051
45;-11354.000000;477.000000;419.313812
46;-11642.000000;483.000000;427.125824
47;-11914.000000;487.000000;434.798767
48;-12157.000000;501.000000;442.330383
49;-12382.000000;508.000000;449.718445
50;-12553.000000;514.000000;456.960754
51;-12712.000000;520.000000;464.055206
52;-12822.000000;526.000000;470.999664
53;-12903.000000;529.000000;477.792145
54;-12974.000000;532.000000;484.430573
55;-13010.000000;533.000000;490.912994
56;-13040.000000;535.000000;497.237549
57;-13061.000000;537.000000;503.402344
58;-13059.000000;541.000000;509.405548
59;-13069.000000;548.000000;515.245361
60;-13078.000000;553.000000;520.920166
61;-13098.000000;553.000000;526.428162
62;-13154.000000;555.000000;531.767761
63;-13230.000000;559.000000;536.937439
64;-13334.000000;563.000000;541.935608
65;-13469.000000;568.000000;546.760803
66;-13612.000000;573.000000;551.411621
67;-13778.000000;580.000000;555.886719
68;-13939.000000;587.000000;560.184692
69;-14098.000000;594.000000;564.304321
70;-14259.000000;600.000000;568.244385
71;-14407.000000;606.000000;572.003723
72;-14547.000000;612.000000;575.581238
73;-14680.000000;617.000000;578.975830
74;-14795.000000;621.000000;582.186584
75;-14903.000000;626.000000;585.212402
76;-15001.000000;630.000000;588.052551
77;-15087.000000;633.000000;590.706116
78;-15170.000000;637.000000;593.172302
79;-15237.000000;639.000000;595.450378
80;-15301.000000;642.000000;597.539734
81;-15358.000000;644.000000;599.439758
82;-15409.000000;646.000000;601.149780
83;-15454.000000;648.000000;602.669373
84;-15496.000000;650.000000;603.998108
85;-15529.000000;651.000000;605.135498
86;-15561.000000;652.000000;606.081360
87;-15588.000000;653.000000;606.835266
88;-15605.000000;654.000000;607.397034
89;-15617.000000;654.000000;607.766541
90;-15622.000000;654.000000;607.943665
91;-15625.000000;653.000000;607.928345
92;-15626.000000;650.000000;607.720581
93;-15624.000000;647.000000;607.320435
94;-15626.000000;646.000000;606.728027
95;-15626.000000;645.000000;605.943542
96;-15626.000000;645.000000;604.967163
97;-15626.000000;645.000000;603.799255
98;-15625.000000;645.000000;602.440063
99;-15625.000000;643.000000;600.890137
100;-15613.000000;642.000000;599.149780
101;-15611.000000;642.000000;597.219604
102;-15596.000000;641.000000;595.100159
103;-15580.000000;640.000000;592.792053
104;-15544.000000;639.000000;590.295959
105;-15497.000000;637.000000;587.612610
106;-15439.000000;634.000000;584.742859
107;-15359.000000;631.000000;581.687439
108;-15266.000000;627.000000;578.447388
109;-15156.000000;623.000000;575.023621
110;-15025.000000;617.000000;571.417053
111;-14881.000000;612.000000;567.628906
112;-14714.000000;605.000000;563.660156
113;-14528.000000;598.000000;559.512024
114;-14331.000000;590.000000;555.185791
115;-14116.000000;581.000000;550.682617
116;-13894.000000;572.000000;546.003967
117;-13661.000000;562.000000;541.151123
118;-13427.000000;553.000000;536.125549
119;-13204.000000;546.000000;530.928772
120;-12984.000000;543.000000;525.562256
121;-12776.000000;542.000000;520.027588
122;-12603.000000;532.000000;514.326477
123;-12432.000000;527.000000;508.460541
124;-12308.000000;521.000000;502.431519
125;-12200.000000;517.000000;496.241180
126;-12126.000000;513.000000;489.891418
127;-12085.000000;512.000000;483.384033
128;-12056.000000;510.000000;476.720978
129;-12061.000000;508.000000;469.904205
130;-12063.000000;505.000000;462.935730
131;-12074.000000;497.000000;455.817657
