takt;q1;q2;q2p
0;264.000000;-11.000000;-32.737511
1;528.000000;-19.000000;-21.540361
2;772.000000;-6.000000;-10.349822
3;841.000000;-11.000000;0.830798
4;819.000000;-9.000000;11.998202
5;619.000000;-1.000000;23.149094
6;324.000000;12.000000;34.280178
7;-67.000000;28.000000;45.388172
8;-588.000000;49.000000;56.469795
9;-1133.000000;71.000000;67.521782
10;-1746.000000;94.000000;78.540863
11;-2380.000000;119.000000;89.523788
12;-2976.000000;143.000000;100.467308
13;-3637.000000;164.000000;111.368202
14;-4265.000000;185.000000;122.223244
15;-4896.000000;199.000000;133.029236
16;-5409.000000;220.000000;143.782974
17;-5862.000000;239.000000;154.481308
18;-6239.000000;253.000000;165.121048
19;-6540.000000;265.000000;175.699066
20;-6752.000000;272.000000;186.212250
21;-6873.000000;279.000000;196.657486
22;-6950.000000;283.000000;207.031693
23;-6985.000000;286.000000;217.331802
24;-6999.000000;285.000000;227.554794
25;-7006.000000;285.000000;237.697617
26;-6963.000000;286.000000;247.757309
27;-6928.000000;285.000000;257.730896
28;-6895.000000;285.000000;267.615417
29;-6851.000000;292.000000;277.407959
30;-6827.000000;305.000000;287.105621
31;-6870.000000;306.000000;296.705566
32;-6948.000000;309.000000;306.204956
33;-7114.000000;316.000000;315.600983
34;-7311.000000;324.000000;324.890839
35;-7566.000000;333.000000;334.071838
36;-7900.000000;347.000000;343.141205
37;-8250.000000;361.000000;352.096344
38;-8660.000000;377.000000;360.934570
39;-9076.000000;394.000000;369.653259
40;-9499.000000;409.000000;378.249878
41;-9934.000000;426.000000;386.721832
42;-10351.000000;441.000000;395.066650
43;-10770.000000;455.000000;403.281860
44;-11197.000000;464.000000;411.365051
45;-11601.000000;471.000000;419.313812
46;-11943.000000;488.000000;427.125824
47;-12251.000000;500.000000;434.798767
48;-12487.000000;509.000000;442.330383
49;-12681.000000;516.000000;449.718445
50;-12808.000000;521.000000;456.960754
51;-12904.000000;526.000000;464.055206
52;-12950.000000;529.000000;470.999664
53;-12956.000000;530.000000;477.792145
54;-12956.000000;529.000000;484.430573
55;-12929.000000;529.000000;490.912994
56;-12907.000000;528.000000;497.237549
57;-12865.000000;527.000000;503.402344
58;-12834.000000;529.000000;509.405548
59;-12797.000000;536.000000;515.245361
60;-12765.000000;545.000000;520.920166
61;-12795.000000;547.000000;526.428162
62;-12815.000000;548.000000;531.767761
63;-12896.000000;551.000000;536.937439
64;-12995.000000;556.000000;541.935608
65;-13132.000000;561.000000;546.760803
66;-13321.000000;569.000000;551.411621
67;-13505.000000;575.000000;555.886719
68;-13734.000000;584.000000;560.184692
69;-13953.000000;593.000000;564.304321
70;-14184.000000;602.000000;568.244385
71;-14422.000000;611.000000;572.003723
72;-14638.000000;620.000000;575.581238
73;-14860.000000;627.000000;578.975830
74;-15071.000000;631.000000;582.186584
75;-15289.000000;631.000000;585.212402
76;-15471.000000;630.000000;588.052551
77;-15620.000000;641.000000;590.706116
78;-15777.000000;644.000000;593.172302
79;-15888.000000;649.000000;595.450378
80;-15987.000000;652.000000;597.539734
81;-16006.000000;654.000000;599.439758
82;-15997.000000;654.000000;601.149780
83;-15967.000000;653.000000;602.669373
84;-15898.000000;650.000000;603.998108
85;-15833.000000;648.000000;605.135498
86;-15740.000000;645.000000;606.081360
87;-15638.000000;640.000000;606.835266
88;-15549.000000;637.000000;607.397034
89;-15455.000000;635.000000;607.766541
