takt;q1;q2;q2p
0;218.000000;-9.000000;0.000000
1;336.000000;-11.000000;0.000000
2;226.000000;-8.000000;0.000000
3;18.000000;-3.000000;0.000000
4;-174.000000;5.000000;0.000000
5;-288.000000;11.000000;0.000000
6;-353.000000;14.000000;0.000000
7;-398.000000;17.000000;0.000000
8;-411.000000;17.000000;0.000000
9;-411.000000;17.000000;0.000000
10;-407.000000;17.000000;0.000000
11;-414.000000;17.000000;0.000000
12;-420.000000;17.000000;0.000000
13;-415.000000;17.000000;0.000000
14;-393.000000;17.000000;0.000000
15;-370.000000;16.000000;0.000000
16;-351.000000;15.000000;0.000000
17;-342.000000;14.000000;0.000000
18;-331.000000;14.000000;0.000000
19;-306.000000;13.000000;0.000000
20;-278.000000;12.000000;0.000000
21;-248.000000;11.000000;0.000000
22;-228.000000;10.000000;0.000000
23;-209.000000;9.000000;0.000000
24;-182.000000;8.000000;0.000000
25;-153.000000;7.000000;0.000000
26;-129.000000;6.000000;0.000000
27;-111.000000;5.000000;0.000000
28;-93.000000;4.000000;0.000000
29;-78.000000;3.000000;0.000000
30;-64.000000;3.000000;0.000000
31;-44.000000;2.000000;0.000000
32;-33.000000;2.000000;0.000000
33;-22.000000;1.000000;0.000000
34;-11.000000;1.000000;0.000000
35;5.000000;0.000000;0.000000
36;15.000000;0.000000;0.000000
37;19.000000;-1.000000;0.000000
38;22.000000;-1.000000;0.000000
39;27.000000;-1.000000;0.000000
40;30.000000;-1.000000;0.000000
41;30.000000;-1.000000;0.000000
42;30.000000;-1.000000;0.000000
43;31.000000;-1.000000;0.000000
44;34.000000;-1.000000;0.000000
45;35.000000;-1.000000;0.000000
46;37.000000;-1.000000;0.000000
47;40.000000;-1.000000;0.000000
48;37.000000;-2.000000;0.000000
49;33.000000;-2.000000;0.000000
50;37.000000;-2.000000;0.000000
51;37.000000;-2.000000;0.000000
52;35.000000;-2.000000;0.000000
53;35.000000;-2.000000;0.000000
54;36.000000;-2.000000;0.000000
55;35.000000;-2.000000;0.000000
56;34.000000;-2.000000;0.000000
57;33.000000;-2.000000;0.000000
58;31.000000;-2.000000;0.000000
59;30.000000;-2.000000;0.000000
60;29.000000;-2.000000;0.000000
61;26.000000;-2.000000;0.000000
62;25.000000;-2.000000;0.000000
63;24.000000;-2.000000;0.000000
64;23.000000;-2.000000;0.000000
65;21.000000;-2.000000;0.000000
66;22.000000;-1.000000;0.000000
67;23.000000;-1.000000;0.000000
68;19.000000;-1.000000;0.000000
69;15.000000;-1.000000;0.000000
70;11.000000;-1.000000;0.000000
71;8.000000;-1.000000;0.000000
72;5.000000;-1.000000;0.000000
73;4.000000;-1.000000;0.000000
