takt;q1;q2;q2p
0;283.000000;-12.000000;-43.937969
1;560.000000;-23.000000;-43.937969
2;829.000000;-26.000000;-43.937969
3;945.000000;-30.000000;-43.937969
4;916.000000;-28.000000;-43.937969
5;872.000000;-25.000000;-43.937969
6;769.000000;-22.000000;-43.937969
7;575.000000;-17.000000;-43.937969
8;395.000000;-9.000000;-43.937969
9;214.000000;-2.000000;-43.937969
10;33.000000;4.000000;-43.937969
11;-125.000000;7.000000;-43.937969
12;-256.000000;8.000000;-43.937969
13;-323.000000;12.000000;-43.937969
14;-339.000000;13.000000;-43.937969
15;-306.000000;12.000000;-43.937969
16;-243.000000;9.000000;-43.937969
17;-183.000000;8.000000;-43.937969
18;-108.000000;4.000000;-43.937969
19;-16.000000;1.000000;-43.937969
20;89.000000;-3.000000;-43.937969
21;191.000000;-6.000000;-43.937969
22;291.000000;-7.000000;-43.937969
23;379.000000;-7.000000;-43.937969
24;411.000000;-9.000000;-43.937969
25;417.000000;-9.000000;-43.937969
26;389.000000;-8.000000;-43.937969
27;326.000000;-6.000000;-43.937969
28;243.000000;-3.000000;-43.937969
29;155.000000;0.000000;-43.937969
30;72.000000;3.000000;-43.937969
31;-16.000000;5.000000;-43.937969
32;-98.000000;5.000000;-43.937969
33;-124.000000;4.000000;-43.937969
34;-122.000000;5.000000;-43.937969
35;-105.000000;4.000000;-43.937969
36;-75.000000;3.000000;-43.937969
37;-22.000000;1.000000;-43.937969
38;37.000000;-1.000000;-43.937969
39;107.000000;-3.000000;-43.937969
40;161.000000;-3.000000;-43.937969
41;213.000000;-3.000000;-43.937969
42;258.000000;-3.000000;-43.937969
43;279.000000;-4.000000;-43.937969
44;293.000000;-5.000000;-43.937969
45;307.000000;-5.000000;-43.937969
46;297.000000;-5.000000;-43.937969
47;272.000000;-4.000000;-43.937969
48;242.000000;-3.000000;-43.937969
49;207.000000;-1.000000;-43.937969
50;161.000000;-1.000000;-43.937969
51;117.000000;0.000000;-43.937969
52;75.000000;0.000000;-43.937969
53;30.000000;0.000000;-43.937969
54;-9.000000;0.000000;-43.937969
55;-35.000000;0.000000;-43.937969
56;-53.000000;1.000000;-43.937969
57;-65.000000;2.000000;-43.937969
58;-63.000000;2.000000;-43.937969
59;-47.000000;2.000000;-43.937969
60;-22.000000;1.000000;-43.937969
61;5.000000;0.000000;-43.937969
62;29.000000;-1.000000;-43.937969
63;57.000000;-1.000000;-43.937969
64;86.000000;-1.000000;-43.937969
65;110.000000;-1.000000;-43.937969
66;131.000000;-1.000000;-43.937969
67;149.000000;0.000000;-43.937969
68;169.000000;0.000000;-43.937969
69;184.000000;0.000000;-43.937969
70;194.000000;0.000000;-43.937969
71;204.000000;-1.000000;-43.937969
72;212.000000;-1.000000;-43.937969
73;210.000000;-1.000000;-43.937969
74;205.000000;-1.000000;-43.937969
75;200.000000;-1.000000;-43.937969
76;192.000000;-1.000000;-43.937969
77;183.000000;-1.000000;-43.937969
78;173.000000;0.000000;-43.937969
79;163.000000;0.000000;-43.937969
80;152.000000;0.000000;-43.937969
81;144.000000;0.000000;-43.937969
82;135.000000;0.000000;-43.937969
83;127.000000;0.000000;-43.937969
84;120.000000;0.000000;-43.937969
85;113.000000;0.000000;-43.937969
86;107.000000;0.000000;-43.937969
87;103.000000;0.000000;-43.937969
88;101.000000;0.000000;-43.937969
89;101.000000;0.000000;-43.937969
90;103.000000;0.000000;-43.937969
91;106.000000;0.000000;-43.937969
92;111.000000;0.000000;-43.937969
93;116.000000;0.000000;-43.937969
94;122.000000;0.000000;-43.937969
95;128.000000;0.000000;-43.937969
96;134.000000;0.000000;-43.937969
97;139.000000;0.000000;-43.937969
98;144.000000;1.000000;-43.937969
99;149.000000;1.000000;-43.937969
100;155.000000;0.000000;-43.937969
101;161.000000;0.000000;-43.937969
102;167.000000;-1.000000;-43.937969
103;174.000000;-1.000000;-43.937969
104;178.000000;0.000000;-43.937969
105;171.000000;0.000000;-43.937969
106;163.000000;0.000000;-43.937969
107;157.000000;0.000000;-43.937969
108;151.000000;0.000000;-43.937969
109;146.000000;0.000000;-43.937969
110;140.000000;0.000000;-43.937969
111;134.000000;0.000000;-43.937969
112;129.000000;1.000000;-43.937969
113;124.000000;1.000000;-43.937969
114;120.000000;0.000000;-43.937969
115;116.000000;-1.000000;-43.937969
116;113.000000;-1.000000;-43.937969
117;112.000000;0.000000;-43.937969
118;111.000000;0.000000;-43.937969
119;112.000000;1.000000;-43.937969
120;114.000000;1.000000;-43.937969
121;118.000000;0.000000;-43.937969
122;123.000000;-1.000000;-43.937969
123;129.000000;-1.000000;-43.937969
124;134.000000;-1.000000;-43.937969
125;140.000000;-1.000000;-43.937969
126;146.000000;0.000000;-43.937969
127;152.000000;1.000000;-43.937969
128;157.000000;1.000000;-43.937969
129;161.000000;0.000000;-43.937969
130;164.000000;-1.000000;-43.937969
131;168.000000;-1.000000;-43.937969
132;171.000000;-1.000000;-43.937969
133;174.000000;0.000000;-43.937969
134;171.000000;0.000000;-43.937969
135;162.000000;0.000000;-43.937969
136;155.000000;0.000000;-43.937969
137;150.000000;0.000000;-43.937969
138;145.000000;0.000000;-43.937969
139;140.000000;0.000000;-43.937969
140;135.000000;0.000000;-43.937969
141;131.000000;0.000000;-43.937969
142;127.000000;0.000000;-43.937969
143;125.000000;0.000000;-43.937969
144;122.000000;0.000000;-43.937969
145;120.000000;0.000000;-43.937969
146;118.000000;0.000000;-43.937969
147;117.000000;0.000000;-43.937969
148;118.000000;0.000000;-43.937969
149;120.000000;0.000000;-43.937969
150;123.000000;0.000000;-43.937969
151;127.000000;0.000000;-43.937969
152;131.000000;0.000000;-43.937969
153;135.000000;0.000000;-43.937969
154;141.000000;0.000000;-43.937969
155;146.000000;0.000000;-43.937969
156;152.000000;0.000000;-43.937969
157;158.000000;1.000000;-43.937969
158;160.000000;1.000000;-43.937969
159;162.000000;0.000000;-43.937969
160;164.000000;0.000000;-43.937969
161;166.000000;-1.000000;-43.937969
162;167.000000;-1.000000;-43.937969
163;166.000000;0.000000;-43.937969
164;154.000000;0.000000;-43.937969
165;144.000000;0.000000;-43.937969
166;137.000000;0.000000;-43.937969
167;130.000000;0.000000;-43.937969
168;124.000000;0.000000;-43.937969
169;117.000000;0.000000;-43.937969
