takt;q1;q2;q2p
0;253.000000;-11.000000;0.000000
1;439.000000;-15.000000;0.000000
2;484.000000;-18.000000;0.000000
3;435.000000;-17.000000;0.000000
4;278.000000;-12.000000;0.000000
5;71.000000;-2.000000;0.000000
6;-123.000000;5.000000;0.000000
7;-346.000000;13.000000;0.000000
8;-538.000000;20.000000;0.000000
9;-658.000000;25.000000;0.000000
10;-741.000000;29.000000;0.000000
11;-761.000000;30.000000;0.000000
12;-735.000000;30.000000;0.000000
13;-703.000000;29.000000;0.000000
14;-658.000000;27.000000;0.000000
15;-597.000000;25.000000;0.000000
16;-545.000000;22.000000;0.000000
17;-479.000000;20.000000;0.000000
18;-407.000000;17.000000;0.000000
19;-355.000000;15.000000;0.000000
20;-292.000000;12.000000;0.000000
21;-227.000000;9.000000;0.000000
22;-175.000000;7.000000;0.000000
23;-118.000000;5.000000;0.000000
24;-72.000000;3.000000;0.000000
25;-46.000000;2.000000;0.000000
26;-12.000000;0.000000;0.000000
27;7.000000;-1.000000;0.000000
28;10.000000;-1.000000;0.000000
29;18.000000;-1.000000;0.000000
30;15.000000;-1.000000;0.000000
31;4.000000;-1.000000;0.000000
32;2.000000;-1.000000;0.000000
33;-5.000000;-1.000000;0.000000
34;-15.000000;0.000000;0.000000
35;-10.000000;0.000000;0.000000
36;-16.000000;0.000000;0.000000
37;-17.000000;0.000000;0.000000
38;-9.000000;0.000000;0.000000
39;-10.000000;0.000000;0.000000
40;-1.000000;0.000000;0.000000
41;10.000000;-1.000000;0.000000
42;10.000000;-1.000000;0.000000
43;19.000000;-1.000000;0.000000
44;25.000000;-1.000000;0.000000
45;27.000000;-1.000000;0.000000
46;34.000000;-2.000000;0.000000
47;28.000000;-2.000000;0.000000
48;23.000000;-2.000000;0.000000
49;22.000000;-2.000000;0.000000
50;16.000000;-2.000000;0.000000
51;13.000000;-2.000000;0.000000
52;10.000000;-2.000000;0.000000
53;7.000000;-1.000000;0.000000
54;9.000000;-1.000000;0.000000
55;8.000000;-1.000000;0.000000
56;5.000000;-1.000000;0.000000
57;6.000000;-1.000000;0.000000
58;6.000000;-1.000000;0.000000
59;8.000000;-1.000000;0.000000
60;10.000000;-1.000000;0.000000
61;8.000000;-1.000000;0.000000
62;10.000000;-1.000000;0.000000
63;11.000000;-1.000000;0.000000
64;11.000000;-1.000000;0.000000
65;13.000000;-1.000000;0.000000
66;10.000000;-1.000000;0.000000
67;9.000000;-1.000000;0.000000
68;9.000000;-1.000000;0.000000
69;7.000000;-1.000000;0.000000
70;5.000000;-1.000000;0.000000
71;2.000000;-1.000000;0.000000
72;-1.000000;-1.000000;0.000000
73;-1.000000;-1.000000;0.000000
74;-4.000000;-1.000000;0.000000
75;-5.000000;-1.000000;0.000000
76;-5.000000;-1.000000;0.000000
77;-6.000000;-1.000000;0.000000
78;-5.000000;-1.000000;0.000000
79;-5.000000;-1.000000;0.000000
80;-5.000000;-1.000000;0.000000
81;-4.000000;-1.000000;0.000000
82;-5.000000;-1.000000;0.000000
83;-6.000000;-1.000000;0.000000
