takt;q1;q2;q2p
0;254.000000;-11.000000;-43.937969
1;500.000000;-20.000000;-43.937969
2;754.000000;-24.000000;-43.937969
3;991.000000;-19.000000;-43.937969
4;1143.000000;-24.000000;-43.937969
5;1259.000000;-27.000000;-43.937969
6;1288.000000;-29.000000;-43.937969
7;1259.000000;-29.000000;-43.937969
8;1183.000000;-26.000000;-43.937969
9;1050.000000;-21.000000;-43.937969
10;890.000000;-15.000000;-43.937969
11;717.000000;-9.000000;-43.937969
12;528.000000;-2.000000;-43.937969
13;346.000000;5.000000;-43.937969
14;164.000000;11.000000;-43.937969
15;-18.000000;14.000000;-43.937969
16;-189.000000;15.000000;-43.937969
17;-351.000000;12.000000;-43.937969
18;-450.000000;19.000000;-43.937969
19;-546.000000;20.000000;-43.937969
20;-582.000000;22.000000;-43.937969
21;-608.000000;23.000000;-43.937969
22;-584.000000;23.000000;-43.937969
23;-517.000000;21.000000;-43.937969
24;-437.000000;17.000000;-43.937969
25;-319.000000;12.000000;-43.937969
26;-195.000000;7.000000;-43.937969
27;-68.000000;3.000000;-43.937969
28;68.000000;-3.000000;-43.937969
29;198.000000;-8.000000;-43.937969
30;321.000000;-10.000000;-43.937969
31;444.000000;-10.000000;-43.937969
32;558.000000;-7.000000;-43.937969
33;653.000000;-4.000000;-43.937969
34;732.000000;-10.000000;-43.937969
35;807.000000;-11.000000;-43.937969
36;837.000000;-12.000000;-43.937969
37;863.000000;-13.000000;-43.937969
38;841.000000;-13.000000;-43.937969
39;785.000000;-11.000000;-43.937969
40;729.000000;-9.000000;-43.937969
41;642.000000;-6.000000;-43.937969
42;556.000000;-3.000000;-43.937969
43;468.000000;0.000000;-43.937969
44;367.000000;4.000000;-43.937969
45;278.000000;8.000000;-43.937969
46;194.000000;9.000000;-43.937969
47;107.000000;8.000000;-43.937969
48;32.000000;4.000000;-43.937969
49;-49.000000;1.000000;-43.937969
50;-92.000000;4.000000;-43.937969
51;-145.000000;8.000000;-43.937969
52;-192.000000;9.000000;-43.937969
53;-224.000000;8.000000;-43.937969
54;-248.000000;9.000000;-43.937969
55;-243.000000;9.000000;-43.937969
56;-226.000000;9.000000;-43.937969
57;-203.000000;8.000000;-43.937969
58;-153.000000;6.000000;-43.937969
59;-100.000000;4.000000;-43.937969
60;-44.000000;2.000000;-43.937969
61;25.000000;-1.000000;-43.937969
62;76.000000;-3.000000;-43.937969
63;133.000000;-4.000000;-43.937969
64;188.000000;-4.000000;-43.937969
65;236.000000;-3.000000;-43.937969
66;283.000000;-1.000000;-43.937969
67;328.000000;0.000000;-43.937969
68;363.000000;0.000000;-43.937969
69;405.000000;0.000000;-43.937969
70;442.000000;-1.000000;-43.937969
71;473.000000;-1.000000;-43.937969
72;509.000000;-1.000000;-43.937969
73;529.000000;-1.000000;-43.937969
74;546.000000;-2.000000;-43.937969
75;558.000000;-2.000000;-43.937969
76;557.000000;-2.000000;-43.937969
77;554.000000;-2.000000;-43.937969
78;538.000000;-2.000000;-43.937969
79;515.000000;-1.000000;-43.937969
80;487.000000;0.000000;-43.937969
81;457.000000;1.000000;-43.937969
82;422.000000;3.000000;-43.937969
83;384.000000;3.000000;-43.937969
84;345.000000;4.000000;-43.937969
85;311.000000;4.000000;-43.937969
86;282.000000;4.000000;-43.937969
87;251.000000;2.000000;-43.937969
88;229.000000;1.000000;-43.937969
89;202.000000;1.000000;-43.937969
90;178.000000;1.000000;-43.937969
91;165.000000;2.000000;-43.937969
92;146.000000;2.000000;-43.937969
93;131.000000;3.000000;-43.937969
94;121.000000;2.000000;-43.937969
95;107.000000;1.000000;-43.937969
96;97.000000;0.000000;-43.937969
97;90.000000;0.000000;-43.937969
98;80.000000;0.000000;-43.937969
99;76.000000;2.000000;-43.937969
