takt;q1;q2;q2p
0;224.000000;-9.000000;-43.937969
1;445.000000;-18.000000;-43.937969
2;668.000000;-23.000000;-43.937969
3;848.000000;-22.000000;-43.937969
4;962.000000;-27.000000;-43.937969
5;1024.000000;-30.000000;-43.937969
6;1014.000000;-30.000000;-43.937969
7;957.000000;-27.000000;-43.937969
8;854.000000;-24.000000;-43.937969
9;695.000000;-19.000000;-43.937969
10;529.000000;-13.000000;-43.937969
11;351.000000;-5.000000;-43.937969
12;166.000000;2.000000;-43.937969
13;-17.000000;9.000000;-43.937969
14;-192.000000;15.000000;-43.937969
15;-368.000000;17.000000;-43.937969
16;-504.000000;19.000000;-43.937969
17;-597.000000;22.000000;-43.937969
18;-657.000000;25.000000;-43.937969
19;-659.000000;26.000000;-43.937969
20;-621.000000;25.000000;-43.937969
21;-546.000000;22.000000;-43.937969
22;-432.000000;17.000000;-43.937969
23;-318.000000;13.000000;-43.937969
24;-184.000000;8.000000;-43.937969
25;-43.000000;2.000000;-43.937969
26;90.000000;-3.000000;-43.937969
27;230.000000;-8.000000;-43.937969
28;366.000000;-11.000000;-43.937969
29;493.000000;-11.000000;-43.937969
30;581.000000;-14.000000;-43.937969
31;667.000000;-17.000000;-43.937969
32;703.000000;-17.000000;-43.937969
33;715.000000;-18.000000;-43.937969
34;694.000000;-18.000000;-43.937969
35;627.000000;-16.000000;-43.937969
36;553.000000;-13.000000;-43.937969
37;450.000000;-9.000000;-43.937969
38;339.000000;-5.000000;-43.937969
39;232.000000;0.000000;-43.937969
40;106.000000;5.000000;-43.937969
41;-19.000000;9.000000;-43.937969
42;-129.000000;12.000000;-43.937969
43;-250.000000;13.000000;-43.937969
44;-326.000000;12.000000;-43.937969
45;-394.000000;14.000000;-43.937969
46;-429.000000;16.000000;-43.937969
47;-424.000000;16.000000;-43.937969
48;-403.000000;16.000000;-43.937969
49;-339.000000;14.000000;-43.937969
50;-259.000000;10.000000;-43.937969
51;-173.000000;7.000000;-43.937969
52;-73.000000;3.000000;-43.937969
53;30.000000;-1.000000;-43.937969
54;133.000000;-5.000000;-43.937969
55;236.000000;-8.000000;-43.937969
56;332.000000;-8.000000;-43.937969
57;424.000000;-7.000000;-43.937969
58;479.000000;-10.000000;-43.937969
59;539.000000;-12.000000;-43.937969
60;563.000000;-12.000000;-43.937969
61;570.000000;-13.000000;-43.937969
62;545.000000;-12.000000;-43.937969
63;483.000000;-10.000000;-43.937969
64;423.000000;-8.000000;-43.937969
65;340.000000;-5.000000;-43.937969
66;246.000000;-1.000000;-43.937969
67;153.000000;2.000000;-43.937969
68;61.000000;6.000000;-43.937969
69;-33.000000;8.000000;-43.937969
70;-112.000000;9.000000;-43.937969
71;-195.000000;8.000000;-43.937969
72;-242.000000;9.000000;-43.937969
73;-285.000000;11.000000;-43.937969
74;-308.000000;11.000000;-43.937969
75;-310.000000;11.000000;-43.937969
76;-289.000000;11.000000;-43.937969
77;-243.000000;10.000000;-43.937969
78;-185.000000;7.000000;-43.937969
79;-119.000000;5.000000;-43.937969
80;-46.000000;2.000000;-43.937969
81;30.000000;-1.000000;-43.937969
82;104.000000;-4.000000;-43.937969
83;175.000000;-6.000000;-43.937969
84;247.000000;-6.000000;-43.937969
85;312.000000;-6.000000;-43.937969
86;357.000000;-4.000000;-43.937969
87;399.000000;-7.000000;-43.937969
88;431.000000;-7.000000;-43.937969
89;443.000000;-8.000000;-43.937969
90;454.000000;-8.000000;-43.937969
91;436.000000;-8.000000;-43.937969
92;409.000000;-7.000000;-43.937969
93;366.000000;-6.000000;-43.937969
94;309.000000;-3.000000;-43.937969
95;245.000000;-1.000000;-43.937969
96;177.000000;2.000000;-43.937969
97;107.000000;4.000000;-43.937969
98;42.000000;6.000000;-43.937969
99;-19.000000;7.000000;-43.937969
100;-81.000000;7.000000;-43.937969
101;-128.000000;4.000000;-43.937969
102;-159.000000;6.000000;-43.937969
103;-195.000000;7.000000;-43.937969
104;-204.000000;7.000000;-43.937969
105;-216.000000;8.000000;-43.937969
106;-198.000000;8.000000;-43.937969
107;-156.000000;6.000000;-43.937969
108;-124.000000;5.000000;-43.937969
109;-71.000000;3.000000;-43.937969
110;-15.000000;0.000000;-43.937969
111;38.000000;-1.000000;-43.937969
112;104.000000;-3.000000;-43.937969
113;158.000000;-4.000000;-43.937969
114;210.000000;-4.000000;-43.937969
115;267.000000;-3.000000;-43.937969
116;294.000000;-2.000000;-43.937969
117;329.000000;-4.000000;-43.937969
118;356.000000;-4.000000;-43.937969
119;362.000000;-5.000000;-43.937969
120;367.000000;-5.000000;-43.937969
121;352.000000;-5.000000;-43.937969
122;330.000000;-4.000000;-43.937969
123;307.000000;-4.000000;-43.937969
124;266.000000;-2.000000;-43.937969
125;218.000000;0.000000;-43.937969
126;172.000000;2.000000;-43.937969
127;122.000000;4.000000;-43.937969
128;76.000000;5.000000;-43.937969
129;38.000000;6.000000;-43.937969
130;-5.000000;6.000000;-43.937969
