takt;q1;q2;q2p
0;257.000000;-10.000000;-43.937969
1;506.000000;-20.000000;-43.937969
2;763.000000;-24.000000;-43.937969
3;928.000000;-26.000000;-43.937969
4;1043.000000;-30.000000;-43.937969
5;1092.000000;-32.000000;-43.937969
6;1044.000000;-32.000000;-43.937969
7;957.000000;-28.000000;-43.937969
8;804.000000;-23.000000;-43.937969
9;617.000000;-16.000000;-43.937969
10;422.000000;-9.000000;-43.937969
11;201.000000;0.000000;-43.937969
12;-14.000000;9.000000;-43.937969
13;-219.000000;16.000000;-43.937969
14;-429.000000;19.000000;-43.937969
15;-585.000000;22.000000;-43.937969
16;-696.000000;26.000000;-43.937969
17;-768.000000;30.000000;-43.937969
18;-752.000000;30.000000;-43.937969
19;-707.000000;29.000000;-43.937969
20;-616.000000;26.000000;-43.937969
21;-490.000000;20.000000;-43.937969
22;-354.000000;15.000000;-43.937969
23;-199.000000;8.000000;-43.937969
24;-30.000000;1.000000;-43.937969
25;121.000000;-5.000000;-43.937969
26;282.000000;-9.000000;-43.937969
27;433.000000;-11.000000;-43.937969
28;561.000000;-12.000000;-43.937969
29;672.000000;-18.000000;-43.937969
30;731.000000;-20.000000;-43.937969
31;746.000000;-20.000000;-43.937969
32;744.000000;-20.000000;-43.937969
33;690.000000;-19.000000;-43.937969
34;610.000000;-16.000000;-43.937969
35;515.000000;-12.000000;-43.937969
36;387.000000;-8.000000;-43.937969
37;270.000000;-3.000000;-43.937969
38;141.000000;2.000000;-43.937969
39;10.000000;7.000000;-43.937969
40;-108.000000;11.000000;-43.937969
41;-233.000000;12.000000;-43.937969
42;-321.000000;12.000000;-43.937969
43;-401.000000;15.000000;-43.937969
44;-443.000000;17.000000;-43.937969
45;-442.000000;17.000000;-43.937969
46;-420.000000;17.000000;-43.937969
47;-355.000000;15.000000;-43.937969
48;-274.000000;11.000000;-43.937969
49;-176.000000;7.000000;-43.937969
50;-64.000000;3.000000;-43.937969
51;55.000000;-2.000000;-43.937969
52;175.000000;-7.000000;-43.937969
53;290.000000;-10.000000;-43.937969
54;407.000000;-11.000000;-43.937969
55;502.000000;-11.000000;-43.937969
56;578.000000;-14.000000;-43.937969
57;630.000000;-16.000000;-43.937969
58;633.000000;-16.000000;-43.937969
59;617.000000;-16.000000;-43.937969
60;560.000000;-14.000000;-43.937969
61;473.000000;-10.000000;-43.937969
62;389.000000;-7.000000;-43.937969
63;280.000000;-3.000000;-43.937969
64;168.000000;2.000000;-43.937969
65;60.000000;5.000000;-43.937969
66;-56.000000;8.000000;-43.937969
67;-157.000000;9.000000;-43.937969
68;-239.000000;9.000000;-43.937969
69;-310.000000;12.000000;-43.937969
70;-350.000000;14.000000;-43.937969
71;-350.000000;14.000000;-43.937969
72;-336.000000;13.000000;-43.937969
73;-287.000000;11.000000;-43.937969
74;-221.000000;9.000000;-43.937969
75;-146.000000;6.000000;-43.937969
76;-46.000000;2.000000;-43.937969
77;51.000000;-2.000000;-43.937969
78;146.000000;-5.000000;-43.937969
79;243.000000;-8.000000;-43.937969
80;330.000000;-8.000000;-43.937969
81;411.000000;-8.000000;-43.937969
82;462.000000;-10.000000;-43.937969
83;509.000000;-11.000000;-43.937969
84;526.000000;-11.000000;-43.937969
85;530.000000;-12.000000;-43.937969
86;504.000000;-12.000000;-43.937969
87;447.000000;-9.000000;-43.937969
88;387.000000;-7.000000;-43.937969
89;311.000000;-5.000000;-43.937969
90;229.000000;-1.000000;-43.937969
91;151.000000;2.000000;-43.937969
92;62.000000;5.000000;-43.937969
93;-16.000000;7.000000;-43.937969
94;-91.000000;8.000000;-43.937969
95;-163.000000;7.000000;-43.937969
96;-199.000000;8.000000;-43.937969
97;-244.000000;10.000000;-43.937969
98;-264.000000;10.000000;-43.937969
99;-266.000000;10.000000;-43.937969
100;-253.000000;10.000000;-43.937969
101;-203.000000;8.000000;-43.937969
102;-149.000000;6.000000;-43.937969
103;-88.000000;4.000000;-43.937969
104;-13.000000;0.000000;-43.937969
105;64.000000;-2.000000;-43.937969
106;141.000000;-5.000000;-43.937969
107;218.000000;-6.000000;-43.937969
108;289.000000;-6.000000;-43.937969
109;351.000000;-5.000000;-43.937969
110;397.000000;-7.000000;-43.937969
111;435.000000;-8.000000;-43.937969
112;458.000000;-9.000000;-43.937969
113;473.000000;-9.000000;-43.937969
114;455.000000;-9.000000;-43.937969
115;417.000000;-8.000000;-43.937969
116;370.000000;-7.000000;-43.937969
117;303.000000;-4.000000;-43.937969
118;235.000000;-1.000000;-43.937969
119;160.000000;2.000000;-43.937969
120;88.000000;5.000000;-43.937969
121;13.000000;7.000000;-43.937969
122;-53.000000;7.000000;-43.937969
123;-117.000000;6.000000;-43.937969
124;-152.000000;6.000000;-43.937969
125;-191.000000;8.000000;-43.937969
126;-211.000000;8.000000;-43.937969
127;-213.000000;8.000000;-43.937969
128;-206.000000;8.000000;-43.937969
129;-168.000000;7.000000;-43.937969
130;-125.000000;5.000000;-43.937969
131;-80.000000;4.000000;-43.937969
132;-17.000000;1.000000;-43.937969
133;45.000000;-2.000000;-43.937969
134;106.000000;-4.000000;-43.937969
135;173.000000;-5.000000;-43.937969
136;227.000000;-5.000000;-43.937969
137;287.000000;-4.000000;-43.937969
138;320.000000;-3.000000;-43.937969
139;359.000000;-6.000000;-43.937969
140;379.000000;-6.000000;-43.937969
141;386.000000;-7.000000;-43.937969
142;393.000000;-7.000000;-43.937969
143;374.000000;-7.000000;-43.937969
144;355.000000;-6.000000;-43.937969
145;316.000000;-5.000000;-43.937969
146;269.000000;-2.000000;-43.937969
147;218.000000;-1.000000;-43.937969
148;168.000000;2.000000;-43.937969
149;114.000000;4.000000;-43.937969
150;66.000000;5.000000;-43.937969
151;11.000000;5.000000;-43.937969
152;-34.000000;5.000000;-43.937969
