takt;q1;q2;q2p
0;254.000000;-10.000000;-43.937969
1;515.000000;-20.000000;-43.937969
2;768.000000;-27.000000;-43.937969
3;999.000000;-26.000000;-43.937969
4;1149.000000;-33.000000;-43.937969
5;1237.000000;-36.000000;-43.937969
6;1242.000000;-36.000000;-43.937969
7;1186.000000;-35.000000;-43.937969
8;1085.000000;-32.000000;-43.937969
9;932.000000;-26.000000;-43.937969
10;751.000000;-19.000000;-43.937969
11;561.000000;-12.000000;-43.937969
12;370.000000;-5.000000;-43.937969
13;194.000000;2.000000;-43.937969
14;38.000000;9.000000;-43.937969
15;-116.000000;14.000000;-43.937969
16;-247.000000;17.000000;-43.937969
17;-367.000000;16.000000;-43.937969
18;-439.000000;18.000000;-43.937969
19;-481.000000;19.000000;-43.937969
20;-490.000000;20.000000;-43.937969
21;-466.000000;20.000000;-43.937969
22;-426.000000;18.000000;-43.937969
23;-350.000000;15.000000;-43.937969
24;-266.000000;11.000000;-43.937969
25;-172.000000;8.000000;-43.937969
26;-66.000000;3.000000;-43.937969
27;35.000000;-1.000000;-43.937969
28;145.000000;-5.000000;-43.937969
29;258.000000;-7.000000;-43.937969
30;368.000000;-8.000000;-43.937969
31;482.000000;-8.000000;-43.937969
32;564.000000;-12.000000;-43.937969
33;642.000000;-14.000000;-43.937969
34;679.000000;-15.000000;-43.937969
35;693.000000;-16.000000;-43.937969
36;674.000000;-16.000000;-43.937969
37;616.000000;-14.000000;-43.937969
38;552.000000;-12.000000;-43.937969
39;464.000000;-8.000000;-43.937969
40;372.000000;-5.000000;-43.937969
41;285.000000;-2.000000;-43.937969
42;202.000000;2.000000;-43.937969
43;126.000000;5.000000;-43.937969
44;69.000000;7.000000;-43.937969
45;22.000000;8.000000;-43.937969
46;-9.000000;8.000000;-43.937969
47;-18.000000;7.000000;-43.937969
48;-21.000000;4.000000;-43.937969
49;-1.000000;2.000000;-43.937969
50;27.000000;2.000000;-43.937969
51;53.000000;2.000000;-43.937969
52;90.000000;3.000000;-43.937969
53;131.000000;5.000000;-43.937969
54;162.000000;4.000000;-43.937969
55;204.000000;1.000000;-43.937969
56;238.000000;0.000000;-43.937969
57;272.000000;-1.000000;-43.937969
58;308.000000;-1.000000;-43.937969
59;327.000000;-2.000000;-43.937969
60;346.000000;-3.000000;-43.937969
61;352.000000;-3.000000;-43.937969
62;357.000000;-3.000000;-43.937969
63;353.000000;-3.000000;-43.937969
64;349.000000;-3.000000;-43.937969
65;343.000000;-3.000000;-43.937969
66;336.000000;-3.000000;-43.937969
67;330.000000;-3.000000;-43.937969
68;324.000000;-3.000000;-43.937969
69;318.000000;-2.000000;-43.937969
70;314.000000;-2.000000;-43.937969
71;310.000000;-2.000000;-43.937969
72;305.000000;-2.000000;-43.937969
73;303.000000;-2.000000;-43.937969
74;299.000000;-2.000000;-43.937969
75;294.000000;-1.000000;-43.937969
76;293.000000;-1.000000;-43.937969
77;291.000000;-1.000000;-43.937969
78;289.000000;-1.000000;-43.937969
79;291.000000;-1.000000;-43.937969
80;287.000000;-1.000000;-43.937969
81;285.000000;-1.000000;-43.937969
82;285.000000;-1.000000;-43.937969
83;282.000000;-1.000000;-43.937969
84;279.000000;-1.000000;-43.937969
85;277.000000;-1.000000;-43.937969
86;273.000000;-1.000000;-43.937969
87;269.000000;0.000000;-43.937969
88;267.000000;0.000000;-43.937969
89;263.000000;0.000000;-43.937969
90;260.000000;0.000000;-43.937969
91;257.000000;0.000000;-43.937969
92;251.000000;0.000000;-43.937969
93;248.000000;1.000000;-43.937969
94;247.000000;1.000000;-43.937969
95;245.000000;1.000000;-43.937969
96;248.000000;1.000000;-43.937969
97;249.000000;1.000000;-43.937969
98;250.000000;1.000000;-43.937969
99;254.000000;1.000000;-43.937969
100;255.000000;1.000000;-43.937969
101;255.000000;1.000000;-43.937969
102;257.000000;1.000000;-43.937969
103;256.000000;1.000000;-43.937969
104;255.000000;1.000000;-43.937969
105;257.000000;1.000000;-43.937969
106;256.000000;1.000000;-43.937969
107;256.000000;1.000000;-43.937969
108;256.000000;1.000000;-43.937969
109;256.000000;1.000000;-43.937969
110;256.000000;1.000000;-43.937969
111;257.000000;1.000000;-43.937969
112;257.000000;1.000000;-43.937969
113;258.000000;1.000000;-43.937969
114;260.000000;1.000000;-43.937969
115;262.000000;1.000000;-43.937969
116;264.000000;0.000000;-43.937969
117;265.000000;0.000000;-43.937969
118;265.000000;0.000000;-43.937969
119;265.000000;0.000000;-43.937969
120;265.000000;0.000000;-43.937969
121;264.000000;0.000000;-43.937969
122;264.000000;0.000000;-43.937969
123;265.000000;0.000000;-43.937969
124;266.000000;0.000000;-43.937969
125;266.000000;0.000000;-43.937969
126;265.000000;0.000000;-43.937969
127;262.000000;0.000000;-43.937969
128;261.000000;0.000000;-43.937969
129;261.000000;0.000000;-43.937969
130;261.000000;0.000000;-43.937969
131;262.000000;0.000000;-43.937969
132;262.000000;0.000000;-43.937969
133;260.000000;0.000000;-43.937969
134;261.000000;0.000000;-43.937969
135;261.000000;0.000000;-43.937969
136;259.000000;0.000000;-43.937969
137;259.000000;0.000000;-43.937969
138;257.000000;0.000000;-43.937969
139;255.000000;0.000000;-43.937969
140;254.000000;0.000000;-43.937969
141;251.000000;0.000000;-43.937969
142;247.000000;0.000000;-43.937969
143;246.000000;1.000000;-43.937969
144;244.000000;1.000000;-43.937969
145;245.000000;1.000000;-43.937969
146;247.000000;1.000000;-43.937969
