takt;q1;q2;q2p
0;288.000000;-12.000000;-43.937969
1;550.000000;-21.000000;-43.937969
2;747.000000;-29.000000;-43.937969
3;883.000000;-35.000000;-43.937969
4;943.000000;-37.000000;-43.937969
5;942.000000;-38.000000;-43.937969
6;880.000000;-36.000000;-43.937969
7;761.000000;-31.000000;-43.937969
8;615.000000;-26.000000;-43.937969
9;458.000000;-19.000000;-43.937969
10;293.000000;-13.000000;-43.937969
11;142.000000;-7.000000;-43.937969
12;1.000000;-1.000000;-43.937969
13;-124.000000;4.000000;-43.937969
14;-224.000000;8.000000;-43.937969
15;-304.000000;11.000000;-43.937969
16;-354.000000;13.000000;-43.937969
17;-381.000000;14.000000;-43.937969
18;-382.000000;14.000000;-43.937969
19;-358.000000;14.000000;-43.937969
20;-314.000000;12.000000;-43.937969
21;-255.000000;10.000000;-43.937969
22;-192.000000;8.000000;-43.937969
23;-118.000000;5.000000;-43.937969
24;-47.000000;2.000000;-43.937969
25;23.000000;0.000000;-43.937969
26;84.000000;-3.000000;-43.937969
27;134.000000;-5.000000;-43.937969
28;171.000000;-7.000000;-43.937969
29;193.000000;-8.000000;-43.937969
30;200.000000;-8.000000;-43.937969
31;195.000000;-8.000000;-43.937969
32;178.000000;-8.000000;-43.937969
33;150.000000;-7.000000;-43.937969
34;115.000000;-6.000000;-43.937969
35;80.000000;-4.000000;-43.937969
36;43.000000;-3.000000;-43.937969
37;10.000000;-1.000000;-43.937969
38;-17.000000;0.000000;-43.937969
39;-44.000000;1.000000;-43.937969
40;-59.000000;2.000000;-43.937969
41;-68.000000;2.000000;-43.937969
42;-67.000000;2.000000;-43.937969
43;-58.000000;2.000000;-43.937969
44;-45.000000;2.000000;-43.937969
45;-25.000000;1.000000;-43.937969
46;-2.000000;0.000000;-43.937969
47;18.000000;-1.000000;-43.937969
48;37.000000;-1.000000;-43.937969
49;49.000000;-2.000000;-43.937969
50;55.000000;-2.000000;-43.937969
51;60.000000;-2.000000;-43.937969
52;60.000000;-2.000000;-43.937969
53;55.000000;-2.000000;-43.937969
54;47.000000;-2.000000;-43.937969
55;36.000000;-2.000000;-43.937969
56;19.000000;-2.000000;-43.937969
57;5.000000;-1.000000;-43.937969
58;-5.000000;-1.000000;-43.937969
59;-17.000000;0.000000;-43.937969
60;-19.000000;0.000000;-43.937969
61;-27.000000;0.000000;-43.937969
62;-31.000000;0.000000;-43.937969
63;-31.000000;0.000000;-43.937969
64;-33.000000;0.000000;-43.937969
65;-29.000000;1.000000;-43.937969
66;-15.000000;1.000000;-43.937969
67;-7.000000;0.000000;-43.937969
68;4.000000;0.000000;-43.937969
69;16.000000;-1.000000;-43.937969
70;13.000000;-1.000000;-43.937969
71;18.000000;-1.000000;-43.937969
72;14.000000;-1.000000;-43.937969
73;3.000000;-1.000000;-43.937969
74;-4.000000;-1.000000;-43.937969
75;-18.000000;0.000000;-43.937969
76;-31.000000;0.000000;-43.937969
77;-33.000000;1.000000;-43.937969
78;-39.000000;1.000000;-43.937969
79;-43.000000;1.000000;-43.937969
80;-38.000000;1.000000;-43.937969
81;-33.000000;1.000000;-43.937969
82;-23.000000;1.000000;-43.937969
83;-7.000000;0.000000;-43.937969
84;-2.000000;0.000000;-43.937969
85;5.000000;0.000000;-43.937969
86;13.000000;-1.000000;-43.937969
87;8.000000;-1.000000;-43.937969
88;6.000000;-1.000000;-43.937969
89;0.000000;-1.000000;-43.937969
90;-12.000000;0.000000;-43.937969
91;-14.000000;0.000000;-43.937969
92;-22.000000;0.000000;-43.937969
93;-32.000000;0.000000;-43.937969
94;-35.000000;1.000000;-43.937969
95;-37.000000;1.000000;-43.937969
96;-36.000000;1.000000;-43.937969
97;-28.000000;1.000000;-43.937969
98;-24.000000;1.000000;-43.937969
99;-15.000000;1.000000;-43.937969
100;-3.000000;0.000000;-43.937969
101;-1.000000;0.000000;-43.937969
102;3.000000;0.000000;-43.937969
103;4.000000;0.000000;-43.937969
104;0.000000;0.000000;-43.937969
105;-4.000000;0.000000;-43.937969
106;-11.000000;0.000000;-43.937969
107;-21.000000;0.000000;-43.937969
108;-30.000000;0.000000;-43.937969
109;-41.000000;1.000000;-43.937969
110;-46.000000;1.000000;-43.937969
111;-47.000000;1.000000;-43.937969
112;-45.000000;1.000000;-43.937969
113;-43.000000;1.000000;-43.937969
114;-34.000000;1.000000;-43.937969
115;-26.000000;1.000000;-43.937969
116;-15.000000;1.000000;-43.937969
117;-3.000000;0.000000;-43.937969
118;1.000000;0.000000;-43.937969
119;4.000000;0.000000;-43.937969
120;5.000000;0.000000;-43.937969
121;2.000000;0.000000;-43.937969
122;-1.000000;0.000000;-43.937969
123;-5.000000;0.000000;-43.937969
124;-12.000000;0.000000;-43.937969
125;-16.000000;0.000000;-43.937969
126;-21.000000;0.000000;-43.937969
127;-28.000000;0.000000;-43.937969
128;-32.000000;0.000000;-43.937969
129;-38.000000;1.000000;-43.937969
130;-36.000000;1.000000;-43.937969
131;-30.000000;1.000000;-43.937969
132;-25.000000;1.000000;-43.937969
133;-18.000000;1.000000;-43.937969
134;-9.000000;0.000000;-43.937969
135;-7.000000;0.000000;-43.937969
136;-3.000000;0.000000;-43.937969
137;-4.000000;0.000000;-43.937969
138;-8.000000;0.000000;-43.937969
139;-11.000000;0.000000;-43.937969
140;-20.000000;0.000000;-43.937969
141;-28.000000;0.000000;-43.937969
142;-33.000000;0.000000;-43.937969
143;-37.000000;1.000000;-43.937969
144;-38.000000;1.000000;-43.937969
145;-34.000000;1.000000;-43.937969
146;-28.000000;1.000000;-43.937969
147;-20.000000;1.000000;-43.937969
148;-9.000000;0.000000;-43.937969
149;-7.000000;0.000000;-43.937969
150;-5.000000;0.000000;-43.937969
151;-7.000000;0.000000;-43.937969
152;-14.000000;0.000000;-43.937969
153;-20.000000;0.000000;-43.937969
154;-30.000000;0.000000;-43.937969
155;-41.000000;1.000000;-43.937969
156;-43.000000;1.000000;-43.937969
157;-44.000000;1.000000;-43.937969
158;-40.000000;1.000000;-43.937969
159;-31.000000;1.000000;-43.937969
160;-20.000000;1.000000;-43.937969
161;-6.000000;0.000000;-43.937969
162;0.000000;0.000000;-43.937969
163;5.000000;0.000000;-43.937969
164;7.000000;0.000000;-43.937969
165;5.000000;0.000000;-43.937969
166;0.000000;0.000000;-43.937969
167;-8.000000;0.000000;-43.937969
168;-19.000000;0.000000;-43.937969
169;-30.000000;0.000000;-43.937969
170;-37.000000;1.000000;-43.937969
171;-42.000000;1.000000;-43.937969
172;-43.000000;1.000000;-43.937969
173;-38.000000;1.000000;-43.937969
174;-30.000000;1.000000;-43.937969
175;-16.000000;1.000000;-43.937969
176;-2.000000;0.000000;-43.937969
177;6.000000;0.000000;-43.937969
178;15.000000;-1.000000;-43.937969
179;11.000000;-1.000000;-43.937969
180;6.000000;-1.000000;-43.937969
181;-1.000000;-1.000000;-43.937969
182;-11.000000;-1.000000;-43.937969
183;-18.000000;0.000000;-43.937969
184;-27.000000;0.000000;-43.937969
185;-36.000000;1.000000;-43.937969
186;-32.000000;1.000000;-43.937969
187;-30.000000;1.000000;-43.937969
188;-21.000000;1.000000;-43.937969
189;-8.000000;0.000000;-43.937969
190;-6.000000;0.000000;-43.937969
191;0.000000;0.000000;-43.937969
192;1.000000;0.000000;-43.937969
193;-2.000000;0.000000;-43.937969
194;-3.000000;0.000000;-43.937969
195;-9.000000;0.000000;-43.937969
196;-20.000000;0.000000;-43.937969
197;-27.000000;0.000000;-43.937969
198;-38.000000;1.000000;-43.937969
199;-41.000000;1.000000;-43.937969
200;-38.000000;1.000000;-43.937969
201;-35.000000;1.000000;-43.937969
202;-29.000000;1.000000;-43.937969
203;-17.000000;1.000000;-43.937969
204;-5.000000;0.000000;-43.937969
205;0.000000;0.000000;-43.937969
206;5.000000;0.000000;-43.937969
207;4.000000;0.000000;-43.937969
208;1.000000;0.000000;-43.937969
209;-3.000000;0.000000;-43.937969
210;-14.000000;0.000000;-43.937969
211;-25.000000;0.000000;-43.937969
212;-36.000000;1.000000;-43.937969
213;-43.000000;1.000000;-43.937969
214;-44.000000;1.000000;-43.937969
215;-39.000000;1.000000;-43.937969
216;-33.000000;1.000000;-43.937969
217;-25.000000;1.000000;-43.937969
218;-10.000000;0.000000;-43.937969
219;-5.000000;0.000000;-43.937969
220;-1.000000;0.000000;-43.937969
221;2.000000;0.000000;-43.937969
222;-2.000000;0.000000;-43.937969
223;-5.000000;0.000000;-43.937969
224;-13.000000;0.000000;-43.937969
225;-26.000000;0.000000;-43.937969
226;-36.000000;0.000000;-43.937969
227;-42.000000;1.000000;-43.937969
228;-47.000000;1.000000;-43.937969
229;-45.000000;1.000000;-43.937969
230;-39.000000;1.000000;-43.937969
231;-33.000000;1.000000;-43.937969
232;-19.000000;1.000000;-43.937969
233;-5.000000;0.000000;-43.937969
234;0.000000;0.000000;-43.937969
235;8.000000;0.000000;-43.937969
236;8.000000;-1.000000;-43.937969
237;-2.000000;-1.000000;-43.937969
238;-7.000000;-1.000000;-43.937969
239;-19.000000;0.000000;-43.937969
240;-29.000000;0.000000;-43.937969
241;-30.000000;1.000000;-43.937969
242;-37.000000;1.000000;-43.937969
243;-38.000000;1.000000;-43.937969
244;-28.000000;1.000000;-43.937969
245;-22.000000;1.000000;-43.937969
246;-10.000000;1.000000;-43.937969
247;1.000000;0.000000;-43.937969
248;7.000000;0.000000;-43.937969
249;13.000000;-1.000000;-43.937969
250;11.000000;-1.000000;-43.937969
251;4.000000;-1.000000;-43.937969
252;-4.000000;-1.000000;-43.937969
253;-13.000000;-1.000000;-43.937969
254;-20.000000;0.000000;-43.937969
255;-29.000000;0.000000;-43.937969
256;-35.000000;1.000000;-43.937969
257;-33.000000;1.000000;-43.937969
258;-31.000000;1.000000;-43.937969
259;-20.000000;1.000000;-43.937969
260;-8.000000;0.000000;-43.937969
261;-4.000000;0.000000;-43.937969
262;3.000000;0.000000;-43.937969
263;6.000000;0.000000;-43.937969
264;4.000000;0.000000;-43.937969
265;6.000000;0.000000;-43.937969
266;-1.000000;0.000000;-43.937969
267;-9.000000;0.000000;-43.937969
268;-13.000000;0.000000;-43.937969
269;-23.000000;0.000000;-43.937969
270;-33.000000;0.000000;-43.937969
271;-34.000000;1.000000;-43.937969
272;-39.000000;1.000000;-43.937969
273;-38.000000;1.000000;-43.937969
274;-28.000000;1.000000;-43.937969
275;-24.000000;1.000000;-43.937969
276;-13.000000;1.000000;-43.937969
277;-1.000000;0.000000;-43.937969
278;0.000000;0.000000;-43.937969
279;6.000000;0.000000;-43.937969
280;8.000000;0.000000;-43.937969
281;3.000000;0.000000;-43.937969
282;3.000000;0.000000;-43.937969
283;-2.000000;0.000000;-43.937969
284;-12.000000;0.000000;-43.937969
285;-17.000000;0.000000;-43.937969
286;-26.000000;0.000000;-43.937969
287;-36.000000;1.000000;-43.937969
288;-32.000000;1.000000;-43.937969
289;-30.000000;1.000000;-43.937969
290;-24.000000;1.000000;-43.921650
291;-12.000000;1.000000;-20.399397
292;-18.000000;1.000000;3.122857
293;-46.000000;2.000000;26.645109
294;-115.000000;5.000000;50.167362
295;-250.000000;10.000000;73.689621
296;-449.000000;19.000000;97.211868
297;-726.000000;31.000000;120.734131
298;-1097.000000;46.000000;144.256378
299;-1541.000000;64.000000;167.778641
300;-2064.000000;85.000000;191.300888
301;-2660.000000;109.000000;214.823135
302;-3307.000000;135.000000;238.345383
303;-3984.000000;163.000000;261.867645
304;-4686.000000;191.000000;285.389893
305;-5390.000000;219.000000;308.912140
306;-6098.000000;248.000000;332.434387
307;-6799.000000;277.000000;355.956665
308;-7485.000000;305.000000;379.478912
309;-8149.000000;331.000000;403.001160
310;-8786.000000;358.000000;426.523407
311;-9382.000000;382.000000;450.045685
312;-9943.000000;405.000000;473.567932
313;-10474.000000;427.000000;497.090179
314;-10973.000000;447.000000;520.612427
315;-11452.000000;467.000000;544.134705
316;-11915.000000;486.000000;567.656982
317;-12370.000000;505.000000;591.179199
318;-12826.000000;524.000000;607.960693
319;-13289.000000;543.000000;607.960693
320;-13743.000000;561.000000;607.960693
321;-14182.000000;578.000000;607.960693
322;-14577.000000;594.000000;607.960693
323;-14924.000000;609.000000;607.960693
324;-15222.000000;621.000000;607.960693
325;-15457.000000;631.000000;607.960693
326;-15629.000000;638.000000;607.960693
327;-15743.000000;642.000000;607.960693
328;-15804.000000;645.000000;607.960693
329;-15823.000000;646.000000;607.960693
330;-15809.000000;646.000000;607.960693
331;-15761.000000;645.000000;607.960693
332;-15703.000000;642.000000;607.960693
333;-15635.000000;640.000000;607.960693
334;-15570.000000;637.000000;607.960693
335;-15519.000000;635.000000;607.960693
336;-15482.000000;634.000000;607.960693
337;-15452.000000;632.000000;607.960693
338;-15446.000000;632.000000;607.960693
339;-15453.000000;632.000000;607.960693
340;-15478.000000;633.000000;607.960693
341;-15515.000000;634.000000;607.960693
342;-15554.000000;636.000000;607.960693
343;-15600.000000;637.000000;607.960693
344;-15647.000000;639.000000;607.960693
345;-15702.000000;642.000000;607.960693
