takt;q1;q2;q2p
0;251.000000;-11.000000;-43.937969
1;465.000000;-17.000000;-43.937969
2;611.000000;-23.000000;-43.937969
3;699.000000;-27.000000;-43.937969
4;719.000000;-29.000000;-43.937969
5;687.000000;-28.000000;-43.937969
6;621.000000;-26.000000;-43.937969
7;504.000000;-21.000000;-43.937969
8;378.000000;-16.000000;-43.937969
9;248.000000;-11.000000;-43.937969
10;110.000000;-6.000000;-43.937969
11;-2.000000;-1.000000;-43.937969
12;-103.000000;3.000000;-43.937969
13;-185.000000;6.000000;-43.937969
14;-238.000000;8.000000;-43.937969
15;-275.000000;10.000000;-43.937969
16;-292.000000;11.000000;-43.937969
17;-280.000000;11.000000;-43.937969
18;-255.000000;10.000000;-43.937969
19;-224.000000;9.000000;-43.937969
20;-179.000000;7.000000;-43.937969
21;-139.000000;6.000000;-43.937969
22;-103.000000;4.000000;-43.937969
23;-61.000000;3.000000;-43.937969
24;-33.000000;2.000000;-43.937969
25;-7.000000;1.000000;-43.937969
26;16.000000;0.000000;-43.937969
27;30.000000;-1.000000;-43.937969
28;42.000000;-2.000000;-43.937969
29;44.000000;-2.000000;-43.937969
30;42.000000;-2.000000;-43.937969
31;38.000000;-2.000000;-43.937969
32;35.000000;-2.000000;-43.937969
33;29.000000;-2.000000;-43.937969
34;21.000000;-2.000000;-43.937969
35;12.000000;-1.000000;-43.937969
36;6.000000;-1.000000;-43.937969
37;-3.000000;-1.000000;-43.937969
38;-8.000000;-1.000000;-43.937969
39;-12.000000;0.000000;-43.937969
40;-14.000000;0.000000;-43.937969
41;-13.000000;0.000000;-43.937969
42;-12.000000;0.000000;-43.937969
43;-12.000000;0.000000;-43.937969
44;-10.000000;0.000000;-43.937969
45;-9.000000;0.000000;-43.937969
46;-10.000000;0.000000;-43.937969
47;-8.000000;0.000000;-43.937969
48;-10.000000;0.000000;-43.937969
49;-10.000000;0.000000;-43.937969
50;-11.000000;0.000000;-43.937969
51;-12.000000;0.000000;-43.937969
52;-13.000000;0.000000;-43.937969
53;-17.000000;0.000000;-43.937969
54;-21.000000;0.000000;-43.937969
55;-25.000000;0.000000;-43.937969
56;-30.000000;0.000000;-43.937969
57;-35.000000;1.000000;-43.937969
58;-34.000000;1.000000;-43.937969
59;-33.000000;1.000000;-43.937969
60;-28.000000;1.000000;-43.937969
61;-22.000000;1.000000;-43.937969
62;-18.000000;1.000000;-43.937969
63;-11.000000;0.000000;-43.937969
64;-9.000000;0.000000;-43.937969
65;-8.000000;0.000000;-43.937969
66;-8.000000;0.000000;-43.937969
67;-10.000000;0.000000;-43.937969
68;-12.000000;0.000000;-43.937969
69;-14.000000;0.000000;-43.937969
70;-18.000000;0.000000;-43.937969
71;-21.000000;0.000000;-43.937969
72;-24.000000;0.000000;-43.937969
73;-27.000000;0.000000;-43.937969
74;-29.000000;0.000000;-43.937969
75;-31.000000;0.000000;-43.937969
76;-32.000000;0.000000;-43.937969
77;-34.000000;0.000000;-43.937969
78;-31.000000;1.000000;-43.937969
79;-28.000000;1.000000;-43.937969
80;-24.000000;1.000000;-43.937969
81;-17.000000;1.000000;-43.937969
82;-14.000000;1.000000;-43.937969
83;-9.000000;0.000000;-43.937969
84;-9.000000;0.000000;-43.937969
85;-13.000000;0.000000;-43.937969
86;-15.000000;0.000000;-43.937969
87;-19.000000;0.000000;-43.937969
88;-22.000000;0.000000;-43.937969
89;-25.000000;0.000000;-43.937969
90;-28.000000;0.000000;-43.937969
91;-30.000000;0.000000;-43.937969
92;-31.000000;0.000000;-43.937969
93;-32.000000;0.000000;-43.937969
94;-33.000000;1.000000;-43.937969
95;-30.000000;1.000000;-43.937969
96;-26.000000;1.000000;-43.937969
97;-22.000000;1.000000;-43.937969
98;-17.000000;1.000000;-43.937969
99;-16.000000;1.000000;-43.937969
100;-12.000000;1.000000;-43.937969
101;-9.000000;0.000000;-43.937969
102;-13.000000;0.000000;-43.937969
103;-15.000000;0.000000;-43.937969
104;-17.000000;0.000000;-43.937969
105;-19.000000;0.000000;-43.937969
106;-20.000000;0.000000;-43.937969
107;-22.000000;0.000000;-43.937969
108;-23.000000;0.000000;-43.937969
109;-25.000000;0.000000;-43.937969
110;-26.000000;0.000000;-43.937969
111;-27.000000;0.000000;-43.937969
112;-29.000000;0.000000;-43.937969
113;-31.000000;0.000000;-43.937969
114;-32.000000;0.000000;-43.937969
115;-32.000000;0.000000;-43.937969
116;-31.000000;0.000000;-43.937969
117;-33.000000;0.000000;-43.937969
118;-33.000000;0.000000;-43.937969
119;-33.000000;0.000000;-43.937969
120;-33.000000;0.000000;-43.937969
121;-31.000000;1.000000;-43.937969
122;-27.000000;1.000000;-43.937969
123;-25.000000;1.000000;-43.937969
124;-22.000000;1.000000;-43.937969
125;-21.000000;1.000000;-43.937969
126;-20.000000;1.000000;-43.937969
127;-19.000000;1.000000;-43.937969
128;-20.000000;1.000000;-43.937969
129;-20.000000;1.000000;-43.937969
130;-20.000000;1.000000;-43.937969
131;-19.000000;1.000000;-43.937969
132;-17.000000;1.000000;-43.937969
133;-16.000000;1.000000;-43.937969
134;-12.000000;0.000000;-43.937969
135;-13.000000;0.000000;-43.937969
136;-13.000000;0.000000;-43.937969
137;-14.000000;0.000000;-43.937969
138;-16.000000;0.000000;-43.937969
139;-14.000000;0.000000;-43.937969
140;-15.000000;0.000000;-43.937969
141;-16.000000;0.000000;-43.937969
142;-15.000000;0.000000;-43.937969
143;-17.000000;0.000000;-43.937969
144;-17.000000;0.000000;-43.937969
145;-16.000000;0.000000;-43.937969
146;-17.000000;0.000000;-43.937969
147;-17.000000;0.000000;-43.937969
148;-18.000000;0.000000;-43.937969
149;-18.000000;0.000000;-43.937969
150;-17.000000;0.000000;-43.937969
151;-17.000000;0.000000;-43.937969
152;-17.000000;0.000000;-43.937969
153;-18.000000;0.000000;-43.937969
154;-18.000000;0.000000;-43.937969
155;-18.000000;0.000000;-43.937969
156;-19.000000;0.000000;-43.937969
157;-20.000000;0.000000;-43.937969
158;-21.000000;0.000000;-43.937969
159;-22.000000;0.000000;-43.937969
160;-24.000000;0.000000;-43.937969
161;-25.000000;0.000000;-43.937969
162;-27.000000;0.000000;-43.937969
163;-28.000000;0.000000;-43.937969
164;-30.000000;0.000000;-43.937969
165;-31.000000;0.000000;-43.937969
166;-31.000000;0.000000;-43.937969
167;-32.000000;0.000000;-43.937969
168;-32.000000;0.000000;-43.937969
169;-33.000000;0.000000;-43.937969
170;-34.000000;0.000000;-43.937969
171;-32.000000;1.000000;-43.937969
172;-29.000000;1.000000;-43.937969
173;-26.000000;1.000000;-43.937969
174;-24.000000;1.000000;-43.937969
175;-25.000000;1.000000;-43.937969
176;-25.000000;1.000000;-43.937969
177;-24.000000;1.000000;-43.937969
178;-24.000000;1.000000;-43.937969
179;-23.000000;1.000000;-43.937969
180;-22.000000;1.000000;-43.937969
181;-21.000000;1.000000;-43.937969
