takt;q1;q2;q2p
0;218.000000;-9.000000;-43.937969
1;407.000000;-15.000000;-43.937969
2;541.000000;-20.000000;-43.937969
3;619.000000;-24.000000;-43.937969
4;641.000000;-25.000000;-43.937969
5;618.000000;-25.000000;-43.937969
6;561.000000;-23.000000;-43.937969
7;461.000000;-19.000000;-43.937969
8;352.000000;-15.000000;-43.937969
9;234.000000;-10.000000;-43.937969
10;116.000000;-6.000000;-43.937969
11;16.000000;-1.000000;-43.937969
12;-73.000000;2.000000;-43.937969
13;-148.000000;5.000000;-43.937969
14;-201.000000;7.000000;-43.937969
15;-234.000000;9.000000;-43.937969
16;-252.000000;9.000000;-43.937969
17;-248.000000;10.000000;-43.937969
18;-237.000000;10.000000;-43.937969
19;-216.000000;9.000000;-43.937969
20;-190.000000;8.000000;-43.937969
21;-168.000000;7.000000;-43.937969
22;-147.000000;6.000000;-43.937969
23;-129.000000;5.000000;-43.937969
24;-118.000000;5.000000;-43.937969
25;-105.000000;4.000000;-43.937969
26;-95.000000;4.000000;-43.937969
27;-86.000000;4.000000;-43.937969
28;-75.000000;3.000000;-43.937969
29;-67.000000;3.000000;-43.937969
30;-57.000000;3.000000;-43.937969
31;-50.000000;2.000000;-43.937969
32;-48.000000;2.000000;-43.937969
33;-46.000000;2.000000;-43.937969
34;-45.000000;2.000000;-43.937969
35;-45.000000;2.000000;-43.937969
36;-46.000000;2.000000;-43.937969
37;-46.000000;2.000000;-43.937969
38;-46.000000;2.000000;-43.937969
39;-45.000000;2.000000;-43.937969
40;-44.000000;2.000000;-43.937969
41;-43.000000;2.000000;-43.937969
42;-42.000000;2.000000;-43.937969
43;-40.000000;2.000000;-43.937969
44;-38.000000;2.000000;-43.937969
45;-34.000000;2.000000;-43.937969
46;-29.000000;1.000000;-43.937969
47;-27.000000;1.000000;-43.937969
48;-20.000000;1.000000;-43.937969
49;-15.000000;1.000000;-43.937969
50;-9.000000;1.000000;-43.937969
51;-8.000000;0.000000;-43.937969
52;-7.000000;0.000000;-43.937969
53;-7.000000;0.000000;-43.937969
54;-9.000000;0.000000;-43.937969
55;-9.000000;0.000000;-43.937969
56;-10.000000;0.000000;-43.937969
57;-11.000000;0.000000;-43.937969
58;-10.000000;0.000000;-43.937969
59;-11.000000;0.000000;-43.937969
60;-10.000000;0.000000;-43.937969
61;-10.000000;0.000000;-43.937969
62;-10.000000;0.000000;-43.937969
63;-9.000000;0.000000;-43.937969
64;-10.000000;0.000000;-43.937969
65;-9.000000;0.000000;-43.937969
66;-10.000000;0.000000;-43.937969
67;-10.000000;0.000000;-43.937969
68;-10.000000;0.000000;-43.937969
69;-10.000000;0.000000;-43.937969
70;-10.000000;0.000000;-43.937969
71;-11.000000;0.000000;-43.937969
72;-12.000000;0.000000;-43.937969
73;-13.000000;0.000000;-43.937969
74;-14.000000;0.000000;-43.937969
75;-15.000000;0.000000;-43.937969
76;-16.000000;0.000000;-43.937969
77;-18.000000;0.000000;-43.937969
78;-18.000000;0.000000;-43.937969
79;-19.000000;0.000000;-43.937969
80;-19.000000;0.000000;-43.937969
81;-18.000000;0.000000;-43.937969
82;-18.000000;0.000000;-43.937969
83;-19.000000;0.000000;-43.937969
84;-18.000000;0.000000;-43.937969
85;-19.000000;0.000000;-43.937969
86;-20.000000;0.000000;-43.937969
87;-21.000000;0.000000;-43.937969
88;-22.000000;0.000000;-43.937969
89;-24.000000;0.000000;-43.937969
90;-27.000000;0.000000;-43.937969
91;-30.000000;0.000000;-43.937969
92;-31.000000;1.000000;-43.937969
93;-33.000000;1.000000;-43.937969
94;-34.000000;1.000000;-43.937969
95;-33.000000;1.000000;-43.937969
