takt;q1;q2;q2p
0;269.000000;-11.000000;-43.937969
1;534.000000;-21.000000;-43.937969
2;755.000000;-30.000000;-43.937969
3;929.000000;-37.000000;-43.937969
4;1031.000000;-41.000000;-43.937969
5;1072.000000;-43.000000;-43.937969
6;1048.000000;-43.000000;-43.937969
7;972.000000;-40.000000;-43.937969
8;855.000000;-36.000000;-43.937969
9;720.000000;-30.000000;-43.937969
10;579.000000;-25.000000;-43.937969
11;444.000000;-19.000000;-43.937969
12;335.000000;-15.000000;-43.937969
13;246.000000;-12.000000;-43.937969
14;194.000000;-9.000000;-43.937969
15;169.000000;-8.000000;-43.937969
16;179.000000;-8.000000;-43.937969
17;209.000000;-9.000000;-43.937969
18;259.000000;-11.000000;-43.937969
19;316.000000;-13.000000;-43.937969
20;378.000000;-15.000000;-43.937969
21;436.000000;-18.000000;-43.937969
22;485.000000;-19.000000;-43.937969
23;522.000000;-21.000000;-43.937969
24;547.000000;-22.000000;-43.937969
25;566.000000;-23.000000;-43.937969
26;576.000000;-24.000000;-43.937969
27;574.000000;-24.000000;-43.937969
28;564.000000;-24.000000;-43.937969
29;550.000000;-23.000000;-43.937969
30;540.000000;-23.000000;-43.937969
31;533.000000;-23.000000;-43.937969
32;526.000000;-22.000000;-43.937969
33;514.000000;-22.000000;-43.937969
34;498.000000;-21.000000;-43.937969
35;490.000000;-21.000000;-43.937969
36;475.000000;-20.000000;-43.937969
37;469.000000;-20.000000;-43.937969
38;460.000000;-20.000000;-43.937969
39;448.000000;-19.000000;-43.937969
40;449.000000;-19.000000;-43.937969
41;448.000000;-19.000000;-43.937969
42;452.000000;-19.000000;-43.937969
43;460.000000;-19.000000;-43.937969
44;463.000000;-19.000000;-43.937969
45;469.000000;-19.000000;-43.937969
46;476.000000;-20.000000;-43.937969
47;473.000000;-20.000000;-43.937969
48;478.000000;-20.000000;-43.937969
49;480.000000;-20.000000;-43.937969
50;481.000000;-20.000000;-43.937969
51;484.000000;-20.000000;-43.937969
52;482.000000;-20.000000;-43.937969
53;481.000000;-20.000000;-43.937969
54;481.000000;-20.000000;-43.937969
55;477.000000;-20.000000;-43.937969
56;476.000000;-20.000000;-43.937969
57;475.000000;-20.000000;-43.937969
58;475.000000;-20.000000;-43.937969
59;479.000000;-20.000000;-43.937969
60;481.000000;-20.000000;-43.937969
61;484.000000;-20.000000;-43.937969
62;486.000000;-20.000000;-43.937969
63;488.000000;-20.000000;-43.937969
64;490.000000;-20.000000;-43.937969
65;492.000000;-20.000000;-43.937969
66;494.000000;-20.000000;-43.937969
67;498.000000;-20.000000;-43.937969
68;500.000000;-21.000000;-43.937969
69;497.000000;-21.000000;-43.937969
70;497.000000;-21.000000;-43.937969
71;493.000000;-21.000000;-43.937969
72;490.000000;-21.000000;-43.937969
73;487.000000;-21.000000;-43.937969
74;482.000000;-21.000000;-43.937969
75;481.000000;-21.000000;-43.937969
76;482.000000;-20.000000;-43.937969
77;484.000000;-20.000000;-43.937969
78;488.000000;-20.000000;-43.937969
79;492.000000;-20.000000;-43.937969
80;493.000000;-20.000000;-43.937969
81;497.000000;-20.000000;-43.937969
82;500.000000;-21.000000;-43.937969
83;496.000000;-21.000000;-43.937969
84;495.000000;-21.000000;-43.937969
85;491.000000;-21.000000;-43.937969
86;490.000000;-21.000000;-43.937969
87;492.000000;-21.000000;-43.937969
88;488.000000;-21.000000;-43.937969
89;487.000000;-21.000000;-43.937969
90;486.000000;-21.000000;-43.937969
91;484.000000;-21.000000;-43.937969
92;483.000000;-21.000000;-43.937969
93;482.000000;-21.000000;-43.937969
94;482.000000;-20.000000;-43.937969
95;483.000000;-20.000000;-43.937969
96;482.000000;-20.000000;-43.937969
97;484.000000;-20.000000;-43.937969
98;483.000000;-20.000000;-43.937969
99;485.000000;-20.000000;-43.937969
100;486.000000;-20.000000;-43.937969
101;485.000000;-20.000000;-43.937969
102;486.000000;-20.000000;-43.937969
103;487.000000;-20.000000;-43.937969
104;486.000000;-20.000000;-43.937969
105;488.000000;-20.000000;-43.937969
106;489.000000;-20.000000;-43.937969
107;488.000000;-20.000000;-43.937969
108;488.000000;-20.000000;-43.937969
109;487.000000;-20.000000;-43.937969
110;487.000000;-20.000000;-43.937969
111;487.000000;-20.000000;-43.937969
112;486.000000;-20.000000;-43.937969
113;487.000000;-20.000000;-43.937969
114;488.000000;-20.000000;-43.937969
115;490.000000;-20.000000;-43.937969
116;492.000000;-20.000000;-43.937969
