takt;q1;q2;q2p
0;229.000000;-9.000000;0.000000
1;403.000000;-14.000000;0.000000
2;483.000000;-18.000000;0.000000
3;477.000000;-18.000000;0.000000
4;373.000000;-15.000000;0.000000
5;198.000000;-7.000000;0.000000
6;-12.000000;1.000000;0.000000
7;-274.000000;11.000000;0.000000
8;-541.000000;21.000000;0.000000
9;-778.000000;31.000000;0.000000
10;-982.000000;39.000000;0.000000
11;-1120.000000;45.000000;0.000000
12;-1189.000000;47.000000;0.000000
13;-1204.000000;48.000000;0.000000
14;-1153.000000;47.000000;0.000000
15;-1060.000000;44.000000;0.000000
16;-944.000000;39.000000;0.000000
17;-805.000000;33.000000;0.000000
18;-665.000000;28.000000;0.000000
19;-546.000000;23.000000;0.000000
20;-441.000000;18.000000;0.000000
21;-364.000000;15.000000;0.000000
22;-318.000000;14.000000;0.000000
23;-299.000000;13.000000;0.000000
24;-307.000000;12.000000;0.000000
25;-333.000000;13.000000;0.000000
26;-370.000000;14.000000;0.000000
27;-420.000000;17.000000;0.000000
28;-467.000000;19.000000;0.000000
29;-512.000000;20.000000;0.000000
30;-550.000000;22.000000;0.000000
31;-578.000000;23.000000;0.000000
32;-606.000000;24.000000;0.000000
33;-623.000000;25.000000;0.000000
34;-636.000000;26.000000;0.000000
35;-640.000000;26.000000;0.000000
36;-640.000000;26.000000;0.000000
37;-636.000000;26.000000;0.000000
38;-633.000000;26.000000;0.000000
39;-629.000000;26.000000;0.000000
40;-620.000000;26.000000;0.000000
41;-612.000000;25.000000;0.000000
42;-603.000000;25.000000;0.000000
43;-589.000000;24.000000;0.000000
44;-584.000000;24.000000;0.000000
45;-576.000000;24.000000;0.000000
46;-571.000000;24.000000;0.000000
47;-570.000000;24.000000;0.000000
48;-566.000000;24.000000;0.000000
49;-575.000000;23.000000;0.000000
50;-583.000000;23.000000;0.000000
51;-587.000000;23.000000;0.000000
52;-591.000000;24.000000;0.000000
53;-591.000000;24.000000;0.000000
54;-593.000000;24.000000;0.000000
55;-597.000000;24.000000;0.000000
56;-600.000000;24.000000;0.000000
57;-602.000000;24.000000;0.000000
58;-603.000000;24.000000;0.000000
59;-604.000000;24.000000;0.000000
60;-603.000000;24.000000;0.000000
61;-604.000000;24.000000;0.000000
62;-602.000000;24.000000;0.000000
63;-601.000000;24.000000;0.000000
64;-601.000000;24.000000;0.000000
65;-600.000000;24.000000;0.000000
