takt;q1;q2;q2p
0;303.000000;-12.000000;0.000000
1;542.000000;-19.000000;0.000000
2;656.000000;-24.000000;0.000000
3;669.000000;-26.000000;0.000000
4;561.000000;-23.000000;0.000000
5;369.000000;-14.000000;0.000000
6;133.000000;-5.000000;0.000000
7;-154.000000;7.000000;0.000000
8;-441.000000;18.000000;0.000000
9;-690.000000;28.000000;0.000000
10;-894.000000;35.000000;0.000000
11;-1035.000000;41.000000;0.000000
12;-1104.000000;44.000000;0.000000
13;-1119.000000;45.000000;0.000000
14;-1080.000000;45.000000;0.000000
15;-1000.000000;42.000000;0.000000
16;-890.000000;38.000000;0.000000
17;-764.000000;33.000000;0.000000
18;-640.000000;27.000000;0.000000
19;-528.000000;23.000000;0.000000
20;-435.000000;19.000000;0.000000
21;-365.000000;16.000000;0.000000
22;-324.000000;14.000000;0.000000
23;-304.000000;13.000000;0.000000
24;-308.000000;13.000000;0.000000
25;-324.000000;13.000000;0.000000
26;-346.000000;14.000000;0.000000
27;-370.000000;15.000000;0.000000
28;-397.000000;16.000000;0.000000
29;-426.000000;17.000000;0.000000
30;-448.000000;18.000000;0.000000
31;-469.000000;19.000000;0.000000
32;-489.000000;20.000000;0.000000
33;-510.000000;21.000000;0.000000
34;-528.000000;22.000000;0.000000
35;-542.000000;23.000000;0.000000
36;-551.000000;23.000000;0.000000
37;-558.000000;23.000000;0.000000
38;-562.000000;23.000000;0.000000
39;-561.000000;23.000000;0.000000
40;-561.000000;23.000000;0.000000
41;-558.000000;23.000000;0.000000
42;-558.000000;23.000000;0.000000
43;-558.000000;23.000000;0.000000
44;-558.000000;23.000000;0.000000
45;-558.000000;23.000000;0.000000
46;-558.000000;23.000000;0.000000
47;-558.000000;23.000000;0.000000
48;-557.000000;23.000000;0.000000
49;-559.000000;23.000000;0.000000
50;-559.000000;23.000000;0.000000
51;-559.000000;23.000000;0.000000
52;-558.000000;23.000000;0.000000
53;-558.000000;23.000000;0.000000
54;-558.000000;23.000000;0.000000
55;-558.000000;23.000000;0.000000
56;-558.000000;23.000000;0.000000
57;-558.000000;23.000000;0.000000
58;-557.000000;23.000000;0.000000
59;-556.000000;23.000000;0.000000
60;-556.000000;23.000000;0.000000
61;-556.000000;23.000000;0.000000
62;-556.000000;23.000000;0.000000
63;-556.000000;23.000000;0.000000
64;-555.000000;23.000000;0.000000
65;-553.000000;23.000000;0.000000
66;-552.000000;23.000000;0.000000
67;-551.000000;23.000000;0.000000
68;-551.000000;23.000000;0.000000
69;-551.000000;23.000000;0.000000
70;-551.000000;23.000000;0.000000
71;-551.000000;23.000000;0.000000
72;-550.000000;23.000000;0.000000
73;-551.000000;23.000000;0.000000
74;-551.000000;23.000000;0.000000
75;-551.000000;23.000000;0.000000
76;-550.000000;23.000000;0.000000
77;-550.000000;23.000000;0.000000
78;-549.000000;23.000000;0.000000
79;-548.000000;23.000000;0.000000
80;-546.000000;23.000000;0.000000
81;-543.000000;23.000000;0.000000
82;-540.000000;23.000000;0.000000
83;-536.000000;23.000000;0.000000
84;-531.000000;22.000000;0.000000
85;-530.000000;22.000000;0.000000
86;-527.000000;22.000000;0.000000
87;-527.000000;22.000000;0.000000
88;-527.000000;22.000000;0.000000
89;-527.000000;22.000000;0.000000
90;-527.000000;22.000000;0.000000
91;-526.000000;22.000000;0.000000
92;-527.000000;22.000000;0.000000
93;-526.000000;22.000000;0.000000
94;-526.000000;22.000000;0.000000
95;-526.000000;22.000000;0.000000
96;-526.000000;22.000000;0.000000
97;-526.000000;22.000000;0.000000
98;-525.000000;22.000000;0.000000
99;-526.000000;22.000000;0.000000
100;-525.000000;22.000000;0.000000
