takt;q1;q2;q2p
0;297.000000;-13.000000;-43.937969
1;538.000000;-20.000000;-43.937969
2;681.000000;-26.000000;-43.937969
3;745.000000;-30.000000;-43.937969
4;724.000000;-30.000000;-43.937969
5;660.000000;-28.000000;-43.937969
6;586.000000;-25.000000;-43.937969
7;483.000000;-22.000000;-43.937969
8;398.000000;-19.000000;-43.937969
9;343.000000;-16.000000;-43.937969
10;316.000000;-15.000000;-43.937969
11;322.000000;-15.000000;-43.937969
12;343.000000;-15.000000;-43.937969
13;354.000000;-15.000000;-43.937969
14;376.000000;-16.000000;-43.937969
15;393.000000;-17.000000;-43.937969
16;397.000000;-17.000000;-43.937969
17;404.000000;-17.000000;-43.937969
18;408.000000;-18.000000;-43.937969
19;400.000000;-18.000000;-43.937969
20;410.000000;-18.000000;-43.937969
21;418.000000;-18.000000;-43.937969
22;423.000000;-18.000000;-43.937969
23;437.000000;-19.000000;-43.937969
24;441.000000;-19.000000;-43.937969
25;445.000000;-19.000000;-43.937969
26;463.000000;-20.000000;-43.937969
27;465.000000;-20.000000;-43.937969
28;469.000000;-20.000000;-43.937969
29;476.000000;-20.000000;-43.937969
30;467.000000;-20.000000;-43.937969
31;468.000000;-20.000000;-43.937969
32;468.000000;-20.000000;-43.937969
33;459.000000;-20.000000;-43.937969
34;460.000000;-20.000000;-43.937969
35;457.000000;-20.000000;-43.937969
36;451.000000;-20.000000;-43.937969
37;455.000000;-20.000000;-43.937969
38;453.000000;-20.000000;-43.937969
39;454.000000;-20.000000;-43.937969
40;461.000000;-20.000000;-43.937969
41;463.000000;-20.000000;-43.937969
42;466.000000;-20.000000;-43.937969
43;471.000000;-20.000000;-43.937969
44;473.000000;-20.000000;-43.937969
45;477.000000;-20.000000;-43.937969
46;482.000000;-20.000000;-43.937969
47;482.000000;-20.000000;-43.937969
48;483.000000;-20.000000;-43.937969
49;483.000000;-20.000000;-43.937969
50;482.000000;-20.000000;-43.937969
51;483.000000;-20.000000;-43.937969
52;482.000000;-20.000000;-43.937969
53;481.000000;-20.000000;-43.937969
54;481.000000;-20.000000;-43.937969
55;481.000000;-20.000000;-43.937969
56;483.000000;-20.000000;-43.937969
57;481.000000;-21.000000;-43.937969
58;478.000000;-21.000000;-43.937969
59;479.000000;-21.000000;-43.937969
60;479.000000;-21.000000;-43.937969
61;481.000000;-21.000000;-43.937969
62;482.000000;-21.000000;-43.937969
63;481.000000;-21.000000;-43.937969
64;484.000000;-21.000000;-43.937969
65;484.000000;-21.000000;-43.937969
66;484.000000;-21.000000;-43.937969
67;485.000000;-21.000000;-43.937969
68;482.000000;-21.000000;-43.937969
69;481.000000;-21.000000;-43.937969
70;482.000000;-21.000000;-43.937969
71;479.000000;-21.000000;-43.937969
72;478.000000;-21.000000;-43.937969
73;476.000000;-21.000000;-43.937969
74;475.000000;-21.000000;-43.937969
75;479.000000;-21.000000;-43.937969
76;478.000000;-21.000000;-43.937969
77;478.000000;-21.000000;-43.937969
78;479.000000;-21.000000;-43.937969
79;478.000000;-21.000000;-43.937969
80;479.000000;-21.000000;-43.937969
81;479.000000;-21.000000;-43.937969
82;477.000000;-21.000000;-43.937969
83;478.000000;-21.000000;-43.937969
