takt;q1;q2;q2p
0;231.000000;-10.000000;0.000000
1;390.000000;-13.000000;0.000000
2;409.000000;-15.000000;0.000000
3;342.000000;-14.000000;0.000000
4;191.000000;-8.000000;0.000000
5;3.000000;0.000000;0.000000
6;-173.000000;6.000000;0.000000
7;-367.000000;13.000000;0.000000
8;-526.000000;19.000000;0.000000
9;-619.000000;23.000000;0.000000
10;-676.000000;26.000000;0.000000
11;-682.000000;27.000000;0.000000
12;-659.000000;27.000000;0.000000
13;-649.000000;26.000000;0.000000
14;-630.000000;26.000000;0.000000
15;-609.000000;25.000000;0.000000
16;-604.000000;25.000000;0.000000
17;-593.000000;24.000000;0.000000
18;-593.000000;24.000000;0.000000
19;-603.000000;24.000000;0.000000
20;-597.000000;24.000000;0.000000
21;-589.000000;24.000000;0.000000
22;-583.000000;24.000000;0.000000
23;-573.000000;23.000000;0.000000
24;-577.000000;23.000000;0.000000
25;-577.000000;23.000000;0.000000
26;-570.000000;23.000000;0.000000
27;-569.000000;23.000000;0.000000
28;-569.000000;23.000000;0.000000
29;-574.000000;23.000000;0.000000
30;-583.000000;23.000000;0.000000
31;-587.000000;23.000000;0.000000
32;-591.000000;23.000000;0.000000
33;-598.000000;24.000000;0.000000
34;-598.000000;24.000000;0.000000
35;-604.000000;24.000000;0.000000
36;-607.000000;24.000000;0.000000
37;-608.000000;24.000000;0.000000
38;-607.000000;24.000000;0.000000
39;-605.000000;24.000000;0.000000
40;-602.000000;24.000000;0.000000
41;-600.000000;24.000000;0.000000
42;-595.000000;24.000000;0.000000
43;-590.000000;24.000000;0.000000
44;-587.000000;24.000000;0.000000
45;-585.000000;24.000000;0.000000
46;-584.000000;24.000000;0.000000
47;-586.000000;24.000000;0.000000
48;-586.000000;24.000000;0.000000
49;-587.000000;24.000000;0.000000
50;-590.000000;24.000000;0.000000
51;-592.000000;24.000000;0.000000
52;-596.000000;24.000000;0.000000
53;-600.000000;24.000000;0.000000
54;-601.000000;24.000000;0.000000
55;-603.000000;24.000000;0.000000
56;-603.000000;24.000000;0.000000
57;-602.000000;24.000000;0.000000
58;-602.000000;24.000000;0.000000
59;-600.000000;24.000000;0.000000
60;-598.000000;24.000000;0.000000
61;-597.000000;24.000000;0.000000
62;-595.000000;24.000000;0.000000
63;-594.000000;24.000000;0.000000
64;-594.000000;24.000000;0.000000
65;-595.000000;24.000000;0.000000
66;-595.000000;24.000000;0.000000
67;-597.000000;24.000000;0.000000
68;-598.000000;24.000000;0.000000
69;-598.000000;24.000000;0.000000
70;-599.000000;24.000000;0.000000
71;-600.000000;24.000000;0.000000
72;-602.000000;24.000000;0.000000
73;-604.000000;24.000000;0.000000
74;-604.000000;24.000000;0.000000
75;-604.000000;24.000000;0.000000
76;-603.000000;24.000000;0.000000
77;-602.000000;24.000000;0.000000
78;-601.000000;24.000000;0.000000
79;-601.000000;24.000000;0.000000
80;-601.000000;24.000000;0.000000
81;-601.000000;24.000000;0.000000
82;-601.000000;24.000000;0.000000
83;-601.000000;24.000000;0.000000
84;-601.000000;24.000000;0.000000
85;-602.000000;24.000000;0.000000
86;-603.000000;24.000000;0.000000
87;-604.000000;24.000000;0.000000
88;-605.000000;24.000000;0.000000
89;-606.000000;24.000000;0.000000
90;-607.000000;24.000000;0.000000
91;-609.000000;24.000000;0.000000
92;-609.000000;24.000000;0.000000
93;-608.000000;24.000000;0.000000
94;-609.000000;24.000000;0.000000
95;-606.000000;24.000000;0.000000
96;-607.000000;24.000000;0.000000
97;-607.000000;24.000000;0.000000
98;-607.000000;24.000000;0.000000
99;-608.000000;24.000000;0.000000
100;-608.000000;24.000000;0.000000
101;-608.000000;24.000000;0.000000
102;-608.000000;24.000000;0.000000
103;-608.000000;24.000000;0.000000
104;-608.000000;24.000000;0.000000
105;-608.000000;24.000000;0.000000
106;-610.000000;24.000000;0.000000
107;-611.000000;24.000000;0.000000
108;-611.000000;24.000000;0.000000
109;-613.000000;24.000000;0.000000
110;-613.000000;24.000000;0.000000
111;-613.000000;24.000000;0.000000
112;-613.000000;24.000000;0.000000
113;-613.000000;24.000000;0.000000
114;-613.000000;24.000000;0.000000
115;-613.000000;24.000000;0.000000
116;-613.000000;24.000000;0.000000
117;-613.000000;24.000000;0.000000
118;-614.000000;24.000000;0.000000
119;-613.000000;24.000000;0.000000
120;-614.000000;24.000000;0.000000
121;-613.000000;24.000000;0.000000
122;-614.000000;24.000000;0.000000
123;-615.000000;24.000000;0.000000
124;-616.000000;24.000000;0.000000
125;-617.000000;24.000000;0.000000
126;-618.000000;24.000000;0.000000
127;-619.000000;25.000000;0.000000
128;-613.000000;25.000000;0.000000
129;-610.000000;25.000000;0.000000
130;-608.000000;25.000000;0.000000
131;-608.000000;25.000000;0.000000
132;-610.000000;25.000000;0.000000
133;-606.000000;25.000000;0.000000
134;-606.000000;25.000000;0.000000
135;-607.000000;25.000000;0.000000
136;-605.000000;25.000000;0.000000
137;-605.000000;25.000000;0.000000
138;-603.000000;25.000000;0.000000
139;-603.000000;25.000000;0.000000
140;-604.000000;25.000000;0.000000
141;-601.000000;25.000000;0.000000
142;-602.000000;25.000000;0.000000
143;-601.000000;25.000000;0.000000
144;-599.000000;25.000000;0.000000
145;-602.000000;25.000000;0.000000
146;-600.000000;25.000000;0.000000
147;-602.000000;24.000000;0.000000
148;-607.000000;24.000000;0.000000
149;-607.000000;24.000000;0.000000
150;-612.000000;24.000000;0.000000
151;-610.000000;24.000000;0.000000
152;-609.000000;24.000000;0.000000
153;-610.000000;24.000000;0.000000
154;-608.000000;24.000000;0.000000
155;-607.000000;24.000000;0.000000
156;-608.000000;24.000000;0.000000
157;-608.000000;24.000000;0.000000
158;-609.000000;24.000000;0.000000
159;-609.000000;24.000000;0.000000
160;-609.000000;24.000000;0.000000
161;-610.000000;24.000000;0.000000
162;-610.000000;24.000000;0.000000
163;-611.000000;24.000000;0.000000
164;-611.000000;24.000000;0.000000
165;-611.000000;24.000000;0.000000
166;-612.000000;24.000000;0.000000
167;-611.000000;24.000000;0.000000
168;-611.000000;24.000000;0.000000
169;-611.000000;24.000000;0.000000
170;-611.000000;24.000000;0.000000
171;-611.000000;24.000000;0.000000
172;-612.000000;24.000000;0.000000
173;-612.000000;24.000000;0.000000
174;-611.000000;24.000000;0.000000
175;-611.000000;24.000000;0.000000
176;-611.000000;24.000000;0.000000
177;-612.000000;24.000000;0.000000
178;-613.000000;24.000000;0.000000
179;-613.000000;24.000000;0.000000
180;-613.000000;24.000000;0.000000
181;-613.000000;24.000000;0.000000
182;-613.000000;24.000000;0.000000
183;-613.000000;24.000000;0.000000
184;-613.000000;24.000000;0.000000
185;-613.000000;24.000000;0.000000
186;-613.000000;24.000000;0.000000
187;-614.000000;24.000000;0.000000
188;-614.000000;24.000000;0.000000
189;-615.000000;24.000000;0.000000
190;-614.000000;24.000000;0.000000
191;-614.000000;24.000000;0.000000
192;-615.000000;24.000000;0.000000
193;-615.000000;24.000000;0.000000
194;-615.000000;24.000000;0.000000
195;-616.000000;24.000000;0.000000
196;-618.000000;24.000000;0.000000
197;-615.000000;25.000000;0.000000
198;-616.000000;25.000000;0.000000
199;-614.000000;25.000000;0.000000
200;-612.000000;25.000000;0.000000
201;-615.000000;25.000000;0.000000
202;-612.000000;25.000000;0.000000
203;-612.000000;25.000000;0.000000
204;-612.000000;25.000000;0.000000
205;-609.000000;25.000000;0.000000
206;-609.000000;25.000000;0.000000
207;-608.000000;25.000000;0.000000
208;-606.000000;25.000000;0.000000
209;-606.000000;25.000000;0.000000
210;-604.000000;25.000000;0.000000
211;-605.000000;25.000000;0.000000
212;-604.000000;25.000000;0.000000
213;-603.000000;25.000000;0.000000
214;-605.000000;25.000000;0.000000
215;-603.000000;25.000000;0.000000
216;-602.000000;25.000000;0.000000
217;-603.000000;25.000000;0.000000
218;-600.000000;24.000000;0.000000
219;-608.000000;24.000000;0.000000
220;-608.000000;24.000000;0.000000
221;-607.000000;24.000000;0.000000
222;-608.000000;24.000000;0.000000
223;-607.000000;24.000000;0.000000
224;-609.000000;24.000000;0.000000
225;-607.000000;24.000000;0.000000
226;-606.000000;24.000000;0.000000
227;-606.000000;24.000000;0.000000
228;-606.000000;24.000000;0.000000
229;-606.000000;24.000000;0.000000
230;-606.000000;24.000000;0.000000
231;-606.000000;24.000000;0.000000
232;-608.000000;24.000000;0.000000
233;-608.000000;24.000000;0.000000
234;-608.000000;24.000000;0.000000
235;-608.000000;24.000000;0.000000
236;-606.000000;24.000000;0.000000
237;-607.000000;24.000000;0.000000
238;-607.000000;24.000000;0.000000
239;-607.000000;24.000000;0.000000
240;-608.000000;24.000000;0.000000
241;-608.000000;24.000000;0.000000
242;-608.000000;24.000000;0.000000
243;-608.000000;24.000000;0.000000
244;-609.000000;24.000000;0.000000
245;-608.000000;24.000000;0.000000
246;-609.000000;24.000000;0.000000
247;-609.000000;24.000000;0.000000
248;-609.000000;24.000000;0.000000
249;-609.000000;24.000000;0.000000
250;-609.000000;24.000000;0.000000
251;-610.000000;24.000000;0.000000
252;-610.000000;24.000000;0.000000
