takt;q1;q2;q2p
0;229.000000;-9.000000;0.000000
1;383.000000;-12.000000;0.000000
2;402.000000;-14.000000;0.000000
3;330.000000;-12.000000;0.000000
4;161.000000;-6.000000;0.000000
5;-42.000000;3.000000;0.000000
6;-227.000000;9.000000;0.000000
7;-426.000000;16.000000;0.000000
8;-591.000000;22.000000;0.000000
9;-688.000000;27.000000;0.000000
10;-742.000000;29.000000;0.000000
11;-736.000000;30.000000;0.000000
12;-676.000000;28.000000;0.000000
13;-630.000000;26.000000;0.000000
14;-566.000000;23.000000;0.000000
15;-500.000000;21.000000;0.000000
16;-455.000000;19.000000;0.000000
17;-398.000000;17.000000;0.000000
18;-351.000000;15.000000;0.000000
19;-320.000000;13.000000;0.000000
20;-276.000000;11.000000;0.000000
21;-241.000000;10.000000;0.000000
22;-204.000000;9.000000;0.000000
23;-163.000000;7.000000;0.000000
24;-131.000000;6.000000;0.000000
25;-101.000000;5.000000;0.000000
26;-68.000000;3.000000;0.000000
27;-43.000000;2.000000;0.000000
28;-26.000000;1.000000;0.000000
29;-10.000000;1.000000;0.000000
30;-9.000000;0.000000;0.000000
31;-9.000000;0.000000;0.000000
32;-5.000000;0.000000;0.000000
33;-7.000000;0.000000;0.000000
34;-2.000000;0.000000;0.000000
35;0.000000;0.000000;0.000000
36;1.000000;0.000000;0.000000
37;7.000000;0.000000;0.000000
38;13.000000;0.000000;0.000000
39;20.000000;-1.000000;0.000000
40;25.000000;-1.000000;0.000000
41;31.000000;-1.000000;0.000000
42;36.000000;-1.000000;0.000000
43;42.000000;-1.000000;0.000000
44;45.000000;-2.000000;0.000000
45;45.000000;-2.000000;0.000000
46;48.000000;-2.000000;0.000000
47;48.000000;-2.000000;0.000000
48;49.000000;-2.000000;0.000000
49;48.000000;-2.000000;0.000000
50;48.000000;-2.000000;0.000000
51;50.000000;-2.000000;0.000000
52;48.000000;-2.000000;0.000000
53;47.000000;-2.000000;0.000000
54;46.000000;-2.000000;0.000000
55;46.000000;-2.000000;0.000000
56;47.000000;-2.000000;0.000000
57;45.000000;-2.000000;0.000000
58;44.000000;-2.000000;0.000000
59;45.000000;-2.000000;0.000000
60;44.000000;-2.000000;0.000000
61;45.000000;-2.000000;0.000000
62;44.000000;-2.000000;0.000000
63;44.000000;-2.000000;0.000000
64;43.000000;-2.000000;0.000000
65;42.000000;-2.000000;0.000000
