takt;q1;q2;q2p
0;300.000000;-13.000000;0.000000
1;519.000000;-17.000000;0.000000
2;565.000000;-21.000000;0.000000
3;499.000000;-20.000000;0.000000
4;326.000000;-14.000000;0.000000
5;102.000000;-4.000000;0.000000
6;-102.000000;4.000000;0.000000
7;-321.000000;12.000000;0.000000
8;-511.000000;19.000000;0.000000
9;-622.000000;23.000000;0.000000
10;-688.000000;26.000000;0.000000
11;-697.000000;28.000000;0.000000
12;-661.000000;27.000000;0.000000
13;-639.000000;26.000000;0.000000
14;-610.000000;25.000000;0.000000
15;-568.000000;24.000000;0.000000
16;-539.000000;23.000000;0.000000
17;-495.000000;21.000000;0.000000
18;-450.000000;19.000000;0.000000
19;-419.000000;17.000000;0.000000
20;-373.000000;15.000000;0.000000
21;-330.000000;14.000000;0.000000
22;-281.000000;12.000000;0.000000
23;-223.000000;9.000000;0.000000
24;-175.000000;7.000000;0.000000
25;-140.000000;6.000000;0.000000
26;-112.000000;4.000000;0.000000
27;-93.000000;4.000000;0.000000
28;-70.000000;3.000000;0.000000
29;-53.000000;2.000000;0.000000
30;-46.000000;2.000000;0.000000
31;-37.000000;1.000000;0.000000
32;-36.000000;1.000000;0.000000
33;-30.000000;1.000000;0.000000
34;-23.000000;1.000000;0.000000
35;-19.000000;1.000000;0.000000
36;-16.000000;0.000000;0.000000
37;-14.000000;0.000000;0.000000
38;-5.000000;0.000000;0.000000
39;8.000000;-1.000000;0.000000
40;18.000000;-1.000000;0.000000
41;31.000000;-2.000000;0.000000
42;40.000000;-2.000000;0.000000
43;52.000000;-2.000000;0.000000
44;61.000000;-3.000000;0.000000
45;69.000000;-3.000000;0.000000
46;74.000000;-3.000000;0.000000
47;72.000000;-3.000000;0.000000
48;74.000000;-3.000000;0.000000
49;73.000000;-3.000000;0.000000
50;69.000000;-3.000000;0.000000
51;67.000000;-3.000000;0.000000
52;62.000000;-3.000000;0.000000
53;59.000000;-3.000000;0.000000
54;59.000000;-3.000000;0.000000
55;58.000000;-3.000000;0.000000
56;59.000000;-3.000000;0.000000
57;59.000000;-3.000000;0.000000
58;57.000000;-3.000000;0.000000
59;57.000000;-3.000000;0.000000
60;55.000000;-3.000000;0.000000
61;53.000000;-3.000000;0.000000
62;50.000000;-3.000000;0.000000
63;49.000000;-3.000000;0.000000
64;48.000000;-3.000000;0.000000
65;45.000000;-3.000000;0.000000
66;41.000000;-3.000000;0.000000
67;38.000000;-2.000000;0.000000
68;31.000000;-2.000000;0.000000
69;23.000000;-2.000000;0.000000
70;13.000000;-1.000000;0.000000
71;8.000000;-1.000000;0.000000
72;3.000000;-1.000000;0.000000
73;-4.000000;-1.000000;0.000000
74;-8.000000;0.000000;0.000000
75;-11.000000;0.000000;0.000000
76;-14.000000;0.000000;0.000000
77;-15.000000;0.000000;0.000000
78;-18.000000;0.000000;0.000000
79;-18.000000;0.000000;0.000000
80;-18.000000;0.000000;0.000000
81;-21.000000;0.000000;0.000000
82;-22.000000;0.000000;0.000000
83;-23.000000;0.000000;0.000000
84;-25.000000;0.000000;0.000000
85;-28.000000;0.000000;0.000000
86;-28.000000;1.000000;0.000000
87;-33.000000;1.000000;0.000000
88;-36.000000;1.000000;0.000000
89;-38.000000;1.000000;0.000000
90;-39.000000;1.000000;0.000000
91;-38.000000;1.000000;0.000000
92;-39.000000;1.000000;0.000000
93;-39.000000;1.000000;0.000000
94;-39.000000;1.000000;0.000000
95;-39.000000;1.000000;0.000000
96;-39.000000;1.000000;0.000000
97;-39.000000;1.000000;0.000000
98;-38.000000;1.000000;0.000000
99;-39.000000;1.000000;0.000000
100;-38.000000;1.000000;0.000000
101;-38.000000;1.000000;0.000000
102;-38.000000;1.000000;0.000000
103;-38.000000;1.000000;0.000000
104;-38.000000;1.000000;0.000000
105;-37.000000;1.000000;0.000000
106;-36.000000;1.000000;0.000000
