takt;q1;q2;q2p
0;238.000000;-10.000000;-41.697773
1;439.000000;-17.000000;-39.457600
2;570.000000;-22.000000;-37.217484
3;634.000000;-25.000000;-34.977444
4;610.000000;-25.000000;-32.737511
5;534.000000;-22.000000;-30.497713
6;401.000000;-17.000000;-28.258072
7;221.000000;-10.000000;-26.018616
8;23.000000;-2.000000;-23.779369
9;-184.000000;6.000000;-21.540363
10;-380.000000;14.000000;-19.301619
11;-552.000000;21.000000;-17.063168
12;-699.000000;27.000000;-14.825032
13;-814.000000;31.000000;-12.587241
14;-890.000000;34.000000;-10.349820
15;-933.000000;36.000000;-8.112796
16;-943.000000;37.000000;-5.876194
17;-926.000000;37.000000;-3.640043
18;-893.000000;36.000000;-1.404369
19;-850.000000;35.000000;0.830802
20;-808.000000;33.000000;3.065444
21;-774.000000;32.000000;5.299531
22;-754.000000;31.000000;7.533038
23;-754.000000;31.000000;9.765936
24;-779.000000;31.000000;11.998199
25;-826.000000;33.000000;14.229803
26;-892.000000;36.000000;16.460720
27;-969.000000;39.000000;18.690924
28;-1053.000000;42.000000;20.920387
29;-1144.000000;46.000000;23.149084
30;-1243.000000;50.000000;25.376989
31;-1340.000000;54.000000;27.604076
32;-1436.000000;58.000000;29.830318
33;-1527.000000;61.000000;32.055691
34;-1610.000000;65.000000;34.280163
35;-1691.000000;68.000000;36.503712
36;-1759.000000;71.000000;38.726315
37;-1820.000000;73.000000;40.947941
38;-1869.000000;75.000000;43.168568
39;-1911.000000;77.000000;45.388165
40;-1941.000000;78.000000;47.606709
41;-1965.000000;79.000000;49.824169
42;-1982.000000;80.000000;52.040524
43;-2000.000000;81.000000;54.255745
44;-2020.000000;82.000000;56.469807
45;-2041.000000;83.000000;58.682682
46;-2073.000000;84.000000;60.894348
47;-2113.000000;85.000000;63.104774
48;-2159.000000;87.000000;65.313934
49;-2225.000000;90.000000;67.521805
50;-2298.000000;93.000000;69.728363
51;-2378.000000;97.000000;71.933571
52;-2468.000000;100.000000;74.137421
53;-2560.000000;104.000000;76.339867
54;-2657.000000;108.000000;78.540901
55;-2749.000000;111.000000;80.740486
56;-2834.000000;114.000000;82.938599
57;-2914.000000;117.000000;85.135208
58;-2979.000000;120.000000;87.330299
59;-3036.000000;123.000000;89.523834
60;-3081.000000;125.000000;91.715797
61;-3113.000000;126.000000;93.906158
62;-3134.000000;127.000000;96.094894
63;-3150.000000;128.000000;98.281975
64;-3161.000000;128.000000;100.467369
65;-3175.000000;129.000000;102.651062
66;-3196.000000;130.000000;104.833031
67;-3221.000000;131.000000;107.013237
68;-3260.000000;133.000000;109.191658
69;-3308.000000;135.000000;111.368279
70;-3365.000000;137.000000;113.543053
71;-3436.000000;140.000000;115.715981
72;-3517.000000;143.000000;117.887016
73;-3606.000000;146.000000;120.056129
74;-3701.000000;150.000000;122.223312
75;-3797.000000;154.000000;124.388527
76;-3896.000000;158.000000;126.551758
77;-3987.000000;162.000000;128.712967
78;-4072.000000;165.000000;130.872147
79;-4147.000000;168.000000;133.029266
80;-4213.000000;171.000000;135.184280
81;-4264.000000;173.000000;137.337189
82;-4308.000000;174.000000;139.487961
83;-4337.000000;176.000000;141.636566
84;-4361.000000;177.000000;143.782974
85;-4383.000000;178.000000;145.927170
86;-4402.000000;179.000000;148.069122
87;-4419.000000;180.000000;150.208801
88;-4439.000000;180.000000;152.346191
89;-4463.000000;181.000000;154.481262
90;-4501.000000;183.000000;156.613998
91;-4543.000000;184.000000;158.744354
92;-4596.000000;187.000000;160.872330
93;-4657.000000;189.000000;162.997879
94;-4726.000000;192.000000;165.120987
95;-4801.000000;195.000000;167.241623
96;-4875.000000;198.000000;169.359756
97;-4950.000000;201.000000;171.475388
98;-5023.000000;204.000000;173.588470
99;-5089.000000;207.000000;175.698975
100;-5147.000000;209.000000;177.806900
101;-5202.000000;211.000000;179.912201
102;-5247.000000;213.000000;182.014847
103;-5288.000000;215.000000;184.114838
104;-5324.000000;216.000000;186.212143
105;-5353.000000;218.000000;188.306717
106;-5388.000000;219.000000;190.398544
107;-5418.000000;221.000000;192.487610
