takt;q1;q2;q2p
0;284.000000;-11.000000;-43.713947
1;542.000000;-20.000000;-43.489929
2;743.000000;-28.000000;-43.265907
3;882.000000;-34.000000;-43.041889
4;951.000000;-37.000000;-42.817867
5;955.000000;-38.000000;-42.593849
6;895.000000;-36.000000;-42.369831
7;779.000000;-32.000000;-42.145809
8;633.000000;-26.000000;-41.921791
9;473.000000;-20.000000;-41.697773
10;314.000000;-14.000000;-41.473751
11;178.000000;-8.000000;-41.249733
12;68.000000;-4.000000;-41.025715
13;-5.000000;-1.000000;-40.801697
14;-38.000000;0.000000;-40.577682
15;-34.000000;0.000000;-40.353664
16;7.000000;-1.000000;-40.129646
17;77.000000;-3.000000;-39.905632
18;162.000000;-6.000000;-39.681614
19;257.000000;-10.000000;-39.457600
20;344.000000;-13.000000;-39.233585
21;418.000000;-16.000000;-39.009571
22;482.000000;-19.000000;-38.785561
23;522.000000;-21.000000;-38.561546
24;548.000000;-22.000000;-38.337536
25;549.000000;-22.000000;-38.113522
26;526.000000;-22.000000;-37.889511
27;493.000000;-21.000000;-37.665501
28;452.000000;-19.000000;-37.441494
29;399.000000;-17.000000;-37.217484
30;349.000000;-15.000000;-36.993477
31;302.000000;-13.000000;-36.769470
32;260.000000;-11.000000;-36.545464
33;223.000000;-10.000000;-36.321457
34;198.000000;-9.000000;-36.097454
35;179.000000;-8.000000;-35.873451
36;170.000000;-8.000000;-35.649448
37;166.000000;-7.000000;-35.425446
38;176.000000;-7.000000;-35.201447
39;193.000000;-8.000000;-34.977448
40;210.000000;-8.000000;-34.753448
41;233.000000;-9.000000;-34.529449
42;254.000000;-10.000000;-34.305454
43;277.000000;-11.000000;-34.081459
44;297.000000;-12.000000;-33.857464
45;303.000000;-12.000000;-33.633469
46;311.000000;-12.000000;-33.409477
47;312.000000;-13.000000;-33.185486
48;308.000000;-13.000000;-32.961498
49;299.000000;-13.000000;-32.737511
50;278.000000;-12.000000;-32.513523
51;255.000000;-11.000000;-32.289539
52;224.000000;-10.000000;-32.065556
53;197.000000;-9.000000;-31.841572
54;173.000000;-8.000000;-31.617590
55;151.000000;-7.000000;-31.393610
56;125.000000;-6.000000;-31.169632
57;111.000000;-5.000000;-30.945656
58;106.000000;-5.000000;-30.721680
59;103.000000;-5.000000;-30.497705
60;105.000000;-5.000000;-30.273735
61;109.000000;-5.000000;-30.049765
62;119.000000;-5.000000;-29.825794
63;139.000000;-5.000000;-29.601828
64;155.000000;-6.000000;-29.377863
65;171.000000;-7.000000;-29.153898
66;185.000000;-7.000000;-28.929937
67;194.000000;-7.000000;-28.705976
68;197.000000;-8.000000;-28.482018
69;190.000000;-8.000000;-28.258060
70;174.000000;-8.000000;-28.034107
71;153.000000;-7.000000;-27.810154
72;125.000000;-6.000000;-27.586203
73;98.000000;-5.000000;-27.362255
74;73.000000;-4.000000;-27.138309
75;50.000000;-3.000000;-26.914364
76;23.000000;-2.000000;-26.690422
77;7.000000;-1.000000;-26.466482
78;-4.000000;0.000000;-26.242544
