takt;q1;q2;q2p
0;400.000000;-17.000000;-31.743656
1;744.000000;-28.000000;-63.487312
2;1000.000000;-38.000000;-95.230972
3;1200.000000;-47.000000;-126.974625
4;1313.000000;-52.000000;-158.718277
5;1340.000000;-53.000000;-190.461929
6;1358.000000;-54.000000;-222.205597
7;1338.000000;-54.000000;-253.949219
8;1280.000000;-52.000000;-285.692871
9;1226.000000;-50.000000;-317.436554
10;1193.000000;-49.000000;-349.180237
11;1139.000000;-47.000000;-380.923889
12;1084.000000;-44.000000;-412.667572
13;1045.000000;-43.000000;-444.411224
14;1006.000000;-41.000000;-476.154877
15;954.000000;-39.000000;-507.898560
16;925.000000;-38.000000;-539.642273
17;895.000000;-36.000000;-571.385925
18;866.000000;-35.000000;-603.129517
19;842.000000;-34.000000;-634.873169
20;834.000000;-34.000000;-666.616821
21;823.000000;-34.000000;-698.360474
22;813.000000;-33.000000;-730.104065
23;820.000000;-33.000000;-761.847717
24;811.000000;-33.000000;-793.591309
25;810.000000;-33.000000;-825.334961
26;812.000000;-33.000000;-857.078613
27;807.000000;-33.000000;-888.822266
28;808.000000;-33.000000;-920.565918
29;802.000000;-33.000000;-952.309509
30;796.000000;-32.000000;-984.053162
31;794.000000;-32.000000;-1015.796814
32;789.000000;-32.000000;-1047.540527
33;785.000000;-32.000000;-1079.284058
34;780.000000;-32.000000;-1111.027710
35;771.000000;-31.000000;-1142.771362
36;770.000000;-31.000000;-1174.515015
37;764.000000;-31.000000;-1206.258667
38;758.000000;-31.000000;-1238.002319
39;757.000000;-31.000000;-1269.746094
40;754.000000;-31.000000;-1301.489746
41;753.000000;-31.000000;-1333.233521
42;751.000000;-31.000000;-1364.977173
43;752.000000;-31.000000;-1396.720947
44;751.000000;-31.000000;-1428.464600
45;751.000000;-31.000000;-1460.208374
46;752.000000;-31.000000;-1491.952026
47;747.000000;-31.000000;-1523.695801
48;745.000000;-31.000000;-1555.439453
49;743.000000;-30.000000;-1587.183105
50;739.000000;-30.000000;-1618.926880
51;733.000000;-30.000000;-1650.670532
52;731.000000;-30.000000;-1682.414185
53;724.000000;-30.000000;-1714.157959
54;719.000000;-29.000000;-1745.901611
55;719.000000;-29.000000;-1777.645264
56;713.000000;-29.000000;-1809.389038
57;711.000000;-29.000000;-1841.132812
58;709.000000;-29.000000;-1872.876343
59;706.000000;-29.000000;-1904.620117
60;705.000000;-29.000000;-1936.363892
61;703.000000;-29.000000;-1968.107422
62;700.000000;-29.000000;-1999.851196
63;697.000000;-28.000000;-2031.594971
64;696.000000;-28.000000;-2063.338623
65;687.000000;-28.000000;-2095.082275
66;681.000000;-28.000000;-2126.826172
67;673.000000;-28.000000;-2158.569824
68;666.000000;-27.000000;-2190.313477
69;658.000000;-27.000000;-2222.057129
70;656.000000;-27.000000;-2253.800781
71;652.000000;-27.000000;-2285.544678
72;649.000000;-27.000000;-2317.288086
73;650.000000;-27.000000;-2349.031738
74;646.000000;-27.000000;-2380.775635
75;650.000000;-26.000000;-2412.519043
76;643.000000;-26.000000;-2444.262695
77;640.000000;-26.000000;-2476.006104
78;639.000000;-26.000000;-2507.749756
79;631.000000;-26.000000;-2539.493408
80;625.000000;-26.000000;-2571.236816
81;625.000000;-25.000000;-2602.980469
82;617.000000;-25.000000;-2634.724121
83;608.000000;-25.000000;-2666.467529
84;606.000000;-25.000000;-2698.211182
85;598.000000;-24.000000;-2729.954590
86;594.000000;-24.000000;-2761.698242
87;592.000000;-24.000000;-2793.441895
88;592.000000;-24.000000;-2825.185303
89;589.000000;-24.000000;-2856.928955
90;587.000000;-24.000000;-2888.672607
91;587.000000;-24.000000;-2920.416016
92;583.000000;-24.000000;-2952.159668
93;581.000000;-24.000000;-2983.903320
94;580.000000;-24.000000;-3015.646729
95;578.000000;-23.000000;-3047.390381
96;578.000000;-23.000000;-3079.133789
97;573.000000;-23.000000;-3110.877441
98;570.000000;-23.000000;-3142.621094
99;568.000000;-23.000000;-3174.364502
100;564.000000;-23.000000;-3206.108154
101;562.000000;-23.000000;-3237.851807
102;562.000000;-23.000000;-3269.595459
103;561.000000;-23.000000;-3301.339111
104;560.000000;-23.000000;-3333.082520
105;560.000000;-23.000000;-3364.826172
106;557.000000;-23.000000;-3396.569824
107;551.000000;-22.000000;-3428.313232
108;554.000000;-22.000000;-3460.056885
109;546.000000;-22.000000;-3491.800293
110;539.000000;-22.000000;-3523.543945
111;538.000000;-22.000000;-3555.287598
112;528.000000;-22.000000;-3587.031006
