takt;q1;q2;q2p
0;393.000000;-16.000000;-31.743656
1;760.000000;-29.000000;-63.487312
2;1066.000000;-42.000000;-95.230972
3;1324.000000;-53.000000;-126.974625
4;1518.000000;-61.000000;-158.718277
5;1628.000000;-65.000000;-190.461929
6;1695.000000;-68.000000;-222.205597
7;1703.000000;-68.000000;-253.949219
8;1665.000000;-67.000000;-285.692871
9;1607.000000;-65.000000;-317.436554
10;1556.000000;-63.000000;-349.180237
11;1488.000000;-61.000000;-380.923889
12;1396.000000;-57.000000;-412.667572
13;1321.000000;-54.000000;-444.411224
14;1251.000000;-51.000000;-476.154877
15;1175.000000;-48.000000;-507.898560
16;1117.000000;-45.000000;-539.642273
17;1071.000000;-44.000000;-571.385925
18;1019.000000;-42.000000;-603.129517
19;977.000000;-40.000000;-634.873169
20;952.000000;-39.000000;-666.616821
21;934.000000;-38.000000;-698.360474
22;923.000000;-38.000000;-730.104065
23;923.000000;-38.000000;-761.847717
24;924.000000;-38.000000;-793.591309
25;925.000000;-38.000000;-825.334961
26;926.000000;-38.000000;-857.078613
27;928.000000;-38.000000;-888.822266
28;923.000000;-38.000000;-920.565918
29;920.000000;-38.000000;-952.309509
30;917.000000;-38.000000;-984.053162
31;917.000000;-38.000000;-1015.796814
32;919.000000;-37.000000;-1047.540527
33;917.000000;-37.000000;-1079.284058
34;916.000000;-37.000000;-1111.027710
35;916.000000;-37.000000;-1142.771362
36;914.000000;-37.000000;-1174.515015
37;913.000000;-37.000000;-1206.258667
38;912.000000;-37.000000;-1238.002319
39;912.000000;-37.000000;-1269.746094
40;911.000000;-37.000000;-1301.489746
41;911.000000;-37.000000;-1333.233521
42;910.000000;-37.000000;-1364.977173
43;909.000000;-37.000000;-1396.720947
44;908.000000;-37.000000;-1428.464600
45;908.000000;-37.000000;-1460.208374
46;908.000000;-37.000000;-1491.952026
47;907.000000;-37.000000;-1523.695801
48;907.000000;-37.000000;-1555.439453
49;905.000000;-37.000000;-1587.183105
50;901.000000;-37.000000;-1618.926880
51;897.000000;-37.000000;-1650.670532
52;891.000000;-36.000000;-1682.414185
53;886.000000;-36.000000;-1714.157959
54;879.000000;-36.000000;-1745.901611
55;872.000000;-36.000000;-1777.645264
56;865.000000;-35.000000;-1809.389038
57;858.000000;-35.000000;-1841.132812
58;850.000000;-35.000000;-1872.876343
59;843.000000;-34.000000;-1904.620117
60;838.000000;-34.000000;-1936.363892
61;831.000000;-34.000000;-1968.107422
62;824.000000;-34.000000;-1999.851196
63;819.000000;-33.000000;-2031.594971
64;812.000000;-33.000000;-2063.338623
65;802.000000;-33.000000;-2095.082275
66;795.000000;-32.000000;-2126.826172
67;785.000000;-32.000000;-2158.569824
68;766.000000;-31.000000;-2190.313477
69;754.000000;-31.000000;-2222.057129
70;740.000000;-30.000000;-2253.800781
71;722.000000;-29.000000;-2285.544678
72;712.000000;-29.000000;-2317.288086
73;703.000000;-29.000000;-2349.031738
74;692.000000;-28.000000;-2380.775635
75;683.000000;-28.000000;-2412.519043
76;676.000000;-27.000000;-2444.262695
77;671.000000;-27.000000;-2476.006104
78;659.000000;-27.000000;-2507.749756
79;648.000000;-26.000000;-2539.493408
80;642.000000;-26.000000;-2571.236816
81;629.000000;-26.000000;-2602.980469
82;616.000000;-25.000000;-2634.724121
83;607.000000;-25.000000;-2666.467529
84;594.000000;-24.000000;-2698.211182
85;577.000000;-23.000000;-2729.954590
86;564.000000;-23.000000;-2761.698242
87;546.000000;-22.000000;-2793.441895
88;531.000000;-22.000000;-2825.185303
89;512.000000;-21.000000;-2856.928955
90;498.000000;-20.000000;-2888.672607
91;487.000000;-20.000000;-2920.416016
92;466.000000;-19.000000;-2952.159668
93;451.000000;-18.000000;-2983.903320
94;439.000000;-18.000000;-3015.646729
95;419.000000;-17.000000;-3047.390381
96;405.000000;-16.000000;-3079.133789
97;395.000000;-16.000000;-3110.877441
98;376.000000;-15.000000;-3142.621094
99;357.000000;-15.000000;-3174.364502
100;347.000000;-14.000000;-3206.108154
101;331.000000;-14.000000;-3237.851807
102;314.000000;-13.000000;-3269.595459
103;304.000000;-12.000000;-3301.339111
104;294.000000;-12.000000;-3333.082520
105;276.000000;-11.000000;-3364.826172
106;266.000000;-11.000000;-3396.569824
107;253.000000;-10.000000;-3428.313232
108;238.000000;-10.000000;-3460.056885
109;224.000000;-9.000000;-3491.800293
110;212.000000;-9.000000;-3523.543945
111;199.000000;-8.000000;-3555.287598
112;184.000000;-8.000000;-3587.031006
113;169.000000;-7.000000;-3618.774658
114;154.000000;-6.000000;-3650.518311
115;140.000000;-6.000000;-3682.261719
116;123.000000;-5.000000;-3714.005371
117;111.000000;-4.000000;-3745.748779
118;104.000000;-4.000000;-3777.492432
119;90.000000;-4.000000;-3809.236084
120;79.000000;-3.000000;-3840.979492
121;72.000000;-3.000000;-3872.723145
122;57.000000;-2.000000;-3904.466797
123;47.000000;-2.000000;-3936.210205
124;37.000000;-2.000000;-3967.953857
125;23.000000;-1.000000;-3999.697266
126;13.000000;-1.000000;-4031.440918
127;7.000000;0.000000;-4063.184570
128;-2.000000;0.000000;-4094.927979
129;-13.000000;1.000000;-4126.671875
130;-18.000000;1.000000;-4158.415039
131;-29.000000;1.000000;-4190.158691
132;-42.000000;2.000000;-4221.902344
133;-52.000000;2.000000;-4253.645996
134;-63.000000;2.000000;-4285.389648
135;-76.000000;3.000000;-4317.132812
136;-87.000000;4.000000;-4348.876465
137;-95.000000;4.000000;-4380.620117
138;-105.000000;4.000000;-4412.363770
139;-118.000000;5.000000;-4444.107422
140;-129.000000;5.000000;-4475.850586
141;-141.000000;6.000000;-4507.594238
142;-156.000000;6.000000;-4539.337891
143;-171.000000;7.000000;-4571.081543
144;-182.000000;7.000000;-4602.825195
145;-195.000000;8.000000;-4634.568848
146;-210.000000;9.000000;-4666.312500
147;-221.000000;9.000000;-4698.056641
148;-239.000000;10.000000;-4729.800293
149;-258.000000;11.000000;-4761.544434
150;-270.000000;11.000000;-4793.288086
151;-286.000000;12.000000;-4825.031738
152;-302.000000;12.000000;-4856.775879
153;-315.000000;13.000000;-4888.519531
154;-333.000000;14.000000;-4920.263184
155;-351.000000;14.000000;-4952.007324
156;-368.000000;15.000000;-4983.751465
157;-383.000000;16.000000;-5015.494629
158;-399.000000;16.000000;-5047.238770
159;-412.000000;17.000000;-5078.982910
160;-429.000000;18.000000;-5110.726562
161;-446.000000;18.000000;-5142.470215
162;-460.000000;19.000000;-5174.214355
163;-475.000000;20.000000;-5205.958008
164;-489.000000;20.000000;-5237.701660
165;-500.000000;20.000000;-5269.445801
166;-512.000000;21.000000;-5301.189453
167;-526.000000;22.000000;-5332.933105
168;-535.000000;22.000000;-5364.677246
169;-547.000000;22.000000;-5396.420898
170;-560.000000;23.000000;-5428.165039
171;-568.000000;23.000000;-5459.908691
172;-581.000000;24.000000;-5491.652344
173;-588.000000;24.000000;-5523.396484
174;-596.000000;24.000000;-5555.140137
175;-609.000000;25.000000;-5586.884277
176;-618.000000;25.000000;-5618.627930
177;-631.000000;26.000000;-5650.372070
178;-643.000000;26.000000;-5682.115723
179;-658.000000;27.000000;-5713.859375
180;-669.000000;27.000000;-5745.603516
181;-683.000000;28.000000;-5777.347168
182;-696.000000;28.000000;-5809.090820
183;-705.000000;29.000000;-5840.834961
184;-719.000000;29.000000;-5872.578613
185;-733.000000;30.000000;-5904.322266
186;-743.000000;30.000000;-5936.066406
187;-759.000000;31.000000;-5967.810059
188;-772.000000;32.000000;-5999.554199
189;-781.000000;32.000000;-6031.297852
190;-791.000000;32.000000;-6063.041992
191;-802.000000;33.000000;-6094.785645
192;-811.000000;33.000000;-6126.529297
193;-824.000000;34.000000;-6158.273438
194;-835.000000;34.000000;-6190.017090
