takt;q1;q2;q2p
0;415.000000;-16.000000;-31.743656
1;800.000000;-30.000000;-63.487312
2;1118.000000;-44.000000;-95.230972
3;1393.000000;-55.000000;-126.974625
4;1608.000000;-63.000000;-158.718277
5;1750.000000;-69.000000;-190.461929
6;1852.000000;-74.000000;-222.205597
7;1892.000000;-75.000000;-253.949219
8;1865.000000;-75.000000;-285.692871
9;1816.000000;-74.000000;-317.436554
10;1753.000000;-71.000000;-349.180237
11;1672.000000;-68.000000;-380.923889
12;1578.000000;-64.000000;-412.667572
13;1486.000000;-61.000000;-444.411224
14;1390.000000;-57.000000;-476.154877
15;1292.000000;-53.000000;-507.898560
16;1204.000000;-49.000000;-539.642273
17;1131.000000;-46.000000;-571.385925
18;1059.000000;-44.000000;-603.129517
19;997.000000;-41.000000;-634.873169
20;958.000000;-39.000000;-666.616821
21;933.000000;-38.000000;-698.360474
22;918.000000;-37.000000;-730.104065
23;927.000000;-37.000000;-761.847717
24;935.000000;-37.000000;-793.591309
25;944.000000;-38.000000;-825.334961
26;955.000000;-38.000000;-857.078613
27;971.000000;-39.000000;-888.822266
28;977.000000;-39.000000;-920.565918
29;984.000000;-39.000000;-952.309509
30;992.000000;-39.000000;-984.053162
31;989.000000;-40.000000;-1015.796814
32;990.000000;-40.000000;-1047.540527
33;994.000000;-40.000000;-1079.284058
34;990.000000;-40.000000;-1111.027710
35;985.000000;-40.000000;-1142.771362
36;983.000000;-40.000000;-1174.515015
37;982.000000;-40.000000;-1206.258667
38;984.000000;-40.000000;-1238.002319
39;990.000000;-40.000000;-1269.746094
40;990.000000;-40.000000;-1301.489746
41;990.000000;-40.000000;-1333.233521
42;988.000000;-40.000000;-1364.977173
43;988.000000;-40.000000;-1396.720947
44;990.000000;-40.000000;-1428.464600
45;990.000000;-40.000000;-1460.208374
46;990.000000;-40.000000;-1491.952026
47;991.000000;-40.000000;-1523.695801
48;990.000000;-40.000000;-1555.439453
49;989.000000;-40.000000;-1587.183105
50;988.000000;-40.000000;-1618.926880
51;985.000000;-40.000000;-1650.670532
52;982.000000;-40.000000;-1682.414185
53;983.000000;-40.000000;-1714.157959
54;982.000000;-40.000000;-1745.901611
55;982.000000;-40.000000;-1777.645264
56;984.000000;-40.000000;-1809.389038
57;985.000000;-40.000000;-1841.132812
58;986.000000;-40.000000;-1872.876343
59;987.000000;-40.000000;-1904.620117
60;987.000000;-40.000000;-1936.363892
61;986.000000;-40.000000;-1968.107422
62;987.000000;-40.000000;-1999.851196
63;986.000000;-40.000000;-2031.594971
64;986.000000;-40.000000;-2063.338623
65;986.000000;-40.000000;-2095.082275
66;983.000000;-40.000000;-2126.826172
67;983.000000;-40.000000;-2158.569824
68;982.000000;-40.000000;-2190.313477
69;983.000000;-40.000000;-2222.057129
70;983.000000;-40.000000;-2253.800781
71;983.000000;-40.000000;-2285.544678
72;983.000000;-40.000000;-2317.288086
73;982.000000;-40.000000;-2349.031738
74;982.000000;-40.000000;-2380.775635
75;982.000000;-40.000000;-2412.519043
76;982.000000;-40.000000;-2444.262695
77;982.000000;-40.000000;-2476.006104
78;982.000000;-40.000000;-2507.749756
79;982.000000;-40.000000;-2539.493408
80;981.000000;-40.000000;-2571.236816
81;980.000000;-40.000000;-2602.980469
82;979.000000;-40.000000;-2634.724121
83;980.000000;-40.000000;-2666.467529
84;980.000000;-40.000000;-2698.211182
85;980.000000;-40.000000;-2729.954590
86;981.000000;-40.000000;-2761.698242
87;979.000000;-40.000000;-2793.441895
88;980.000000;-40.000000;-2825.185303
89;981.000000;-40.000000;-2856.928955
90;980.000000;-40.000000;-2888.672607
91;982.000000;-40.000000;-2920.416016
92;980.000000;-40.000000;-2952.159668
93;980.000000;-40.000000;-2983.903320
94;981.000000;-40.000000;-3015.646729
95;978.000000;-40.000000;-3047.390381
96;978.000000;-40.000000;-3079.133789
97;977.000000;-40.000000;-3110.877441
98;977.000000;-40.000000;-3142.621094
99;977.000000;-40.000000;-3174.364502
100;976.000000;-40.000000;-3206.108154
101;977.000000;-40.000000;-3237.851807
102;977.000000;-40.000000;-3269.595459
103;976.000000;-40.000000;-3301.339111
104;978.000000;-40.000000;-3333.082520
105;977.000000;-40.000000;-3364.826172
106;977.000000;-40.000000;-3396.569824
107;978.000000;-40.000000;-3428.313232
108;976.000000;-40.000000;-3460.056885
109;976.000000;-40.000000;-3491.800293
110;976.000000;-40.000000;-3523.543945
111;975.000000;-40.000000;-3555.287598
112;976.000000;-40.000000;-3587.031006
113;975.000000;-40.000000;-3618.774658
114;975.000000;-40.000000;-3650.518311
115;975.000000;-40.000000;-3682.261719
116;975.000000;-40.000000;-3714.005371
117;975.000000;-40.000000;-3745.748779
118;976.000000;-40.000000;-3777.492432
119;976.000000;-40.000000;-3809.236084
120;976.000000;-40.000000;-3840.979492
121;975.000000;-40.000000;-3872.723145
122;975.000000;-40.000000;-3904.466797
123;976.000000;-40.000000;-3936.210205
124;974.000000;-40.000000;-3967.953857
125;975.000000;-40.000000;-3999.697266
126;976.000000;-40.000000;-4031.440918
127;975.000000;-40.000000;-4063.184570
128;975.000000;-40.000000;-4094.927979
129;975.000000;-40.000000;-4126.671875
130;975.000000;-40.000000;-4158.415039
131;975.000000;-40.000000;-4190.158691
132;975.000000;-40.000000;-4221.902344
133;975.000000;-40.000000;-4253.645996
134;974.000000;-40.000000;-4285.389648
135;975.000000;-40.000000;-4317.132812
136;975.000000;-40.000000;-4348.876465
137;975.000000;-40.000000;-4380.620117
138;976.000000;-40.000000;-4412.363770
139;974.000000;-40.000000;-4444.107422
140;975.000000;-40.000000;-4475.850586
141;976.000000;-40.000000;-4507.594238
142;974.000000;-40.000000;-4539.337891
143;975.000000;-40.000000;-4571.081543
144;974.000000;-40.000000;-4602.825195
145;973.000000;-40.000000;-4634.568848
146;974.000000;-40.000000;-4666.312500
147;973.000000;-40.000000;-4698.056641
148;972.000000;-39.000000;-4729.800293
149;976.000000;-39.000000;-4761.544434
150;973.000000;-39.000000;-4793.288086
151;974.000000;-39.000000;-4825.031738
152;973.000000;-39.000000;-4856.775879
153;970.000000;-39.000000;-4888.519531
154;973.000000;-39.000000;-4920.263184
155;972.000000;-39.000000;-4952.007324
156;971.000000;-39.000000;-4983.751465
157;973.000000;-39.000000;-5015.494629
158;971.000000;-39.000000;-5047.238770
159;971.000000;-39.000000;-5078.982910
160;972.000000;-39.000000;-5110.726562
161;943.000000;-37.000000;-5142.470215
162;833.000000;-32.000000;-5174.214355
163;671.000000;-26.000000;-5205.958008
164;434.000000;-16.000000;-5237.701660
165;101.000000;-2.000000;-5269.445801
166;-284.000000;14.000000;-5301.189453
167;-750.000000;32.000000;-5332.933105
168;-1309.000000;55.000000;-5364.677246
169;-1919.000000;80.000000;-5396.420898
170;-2580.000000;107.000000;-5428.165039
171;-3300.000000;137.000000;-5459.908691
172;-4066.000000;168.000000;-5491.652344
173;-4844.000000;199.000000;-5523.396484
174;-5631.000000;231.000000;-5555.140137
175;-6444.000000;265.000000;-5586.884277
176;-7236.000000;297.000000;-5618.627930
177;-8043.000000;330.000000;-5650.372070
178;-8852.000000;363.000000;-5682.115723
179;-9646.000000;395.000000;-5713.859375
180;-10404.000000;426.000000;-5745.603516
181;-11135.000000;455.000000;-5777.347168
182;-11833.000000;484.000000;-5809.090820
183;-12500.000000;512.000000;-5840.834961
184;-13147.000000;539.000000;-5872.578613
185;-13765.000000;565.000000;-5904.322266
186;-14357.000000;589.000000;-5936.066406
187;-14920.000000;611.000000;-5967.810059
188;-15466.000000;634.000000;-5999.554199
189;-15993.000000;656.000000;-6031.297852
190;-16488.000000;676.000000;-6063.041992
191;-16974.000000;696.000000;-6094.785645
192;-17464.000000;717.000000;-6126.529297
193;-17950.000000;736.000000;-6158.273438
194;-18443.000000;756.000000;-6190.017090
195;-18952.000000;777.000000;-6221.761230
196;-19463.000000;798.000000;-6253.504883
197;-19977.000000;819.000000;-6285.248535
198;-20496.000000;841.000000;-6316.992676
199;-21015.000000;862.000000;-6348.736328
200;-21535.000000;883.000000;-6380.479980
201;-22057.000000;905.000000;-6412.224121
202;-22608.000000;928.000000;-6443.967773
203;-23162.000000;950.000000;-6475.711426
204;-23717.000000;973.000000;-6507.455566
205;-24298.000000;997.000000;-6539.199219
206;-24885.000000;1021.000000;-6570.943359
207;-25465.000000;1044.000000;-6602.687500
208;-26062.000000;1069.000000;-6634.430664
209;-26664.000000;1094.000000;-6666.174316
210;-27266.000000;1118.000000;-6697.918457
211;-27864.000000;1143.000000;-6729.662598
212;-28477.000000;1168.000000;-6761.406250
213;-29087.000000;1193.000000;-6793.150391
214;-29685.000000;1217.000000;-6824.894043
215;-30293.000000;1242.000000;-6856.637207
216;-30895.000000;1267.000000;-6888.381348
217;-31490.000000;1291.000000;-6920.125488
218;-32098.000000;1316.000000;-6951.869141
219;-32714.000000;1342.000000;-6983.613281
220;-33298.000000;1365.000000;-7015.356934
221;-33881.000000;1390.000000;-7047.101074
222;-34466.000000;1414.000000;-7078.844238
