takt;q1;q2;q2p
0;391.000000;-16.000000;-31.743656
1;743.000000;-29.000000;-63.487312
2;1019.000000;-41.000000;-95.230972
3;1248.000000;-50.000000;-126.974625
4;1406.000000;-57.000000;-158.718277
5;1499.000000;-61.000000;-190.461929
6;1555.000000;-63.000000;-222.205597
7;1560.000000;-64.000000;-253.949219
8;1505.000000;-62.000000;-285.692871
9;1439.000000;-59.000000;-317.436554
10;1365.000000;-56.000000;-349.180237
11;1266.000000;-52.000000;-380.923889
12;1156.000000;-48.000000;-412.667572
13;1051.000000;-44.000000;-444.411224
14;937.000000;-39.000000;-476.154877
15;818.000000;-35.000000;-507.898560
16;717.000000;-30.000000;-539.642273
17;626.000000;-27.000000;-571.385925
18;537.000000;-23.000000;-603.129517
19;465.000000;-20.000000;-634.873169
20;410.000000;-18.000000;-666.616821
21;377.000000;-16.000000;-698.360474
22;356.000000;-16.000000;-730.104065
23;355.000000;-15.000000;-761.847717
24;368.000000;-15.000000;-793.591309
25;381.000000;-16.000000;-825.334961
26;397.000000;-16.000000;-857.078613
27;423.000000;-17.000000;-888.822266
28;437.000000;-18.000000;-920.565918
29;441.000000;-18.000000;-952.309509
30;447.000000;-18.000000;-984.053162
31;442.000000;-18.000000;-1015.796814
32;427.000000;-18.000000;-1047.540527
33;419.000000;-18.000000;-1079.284058
34;408.000000;-18.000000;-1111.027710
35;393.000000;-17.000000;-1142.771362
36;388.000000;-17.000000;-1174.515015
37;384.000000;-17.000000;-1206.258667
38;380.000000;-16.000000;-1238.002319
39;384.000000;-16.000000;-1269.746094
40;386.000000;-16.000000;-1301.489746
41;390.000000;-16.000000;-1333.233521
42;393.000000;-16.000000;-1364.977173
43;392.000000;-16.000000;-1396.720947
44;393.000000;-16.000000;-1428.464600
45;393.000000;-16.000000;-1460.208374
46;390.000000;-16.000000;-1491.952026
47;387.000000;-16.000000;-1523.695801
48;386.000000;-16.000000;-1555.439453
49;384.000000;-16.000000;-1587.183105
50;382.000000;-16.000000;-1618.926880
51;383.000000;-16.000000;-1650.670532
52;380.000000;-16.000000;-1682.414185
53;377.000000;-16.000000;-1714.157959
54;376.000000;-16.000000;-1745.901611
55;373.000000;-16.000000;-1777.645264
56;369.000000;-16.000000;-1809.389038
57;368.000000;-16.000000;-1841.132812
58;366.000000;-16.000000;-1872.876343
59;365.000000;-16.000000;-1904.620117
60;367.000000;-16.000000;-1936.363892
61;366.000000;-16.000000;-1968.107422
62;365.000000;-16.000000;-1999.851196
63;365.000000;-16.000000;-2031.594971
64;363.000000;-16.000000;-2063.338623
65;361.000000;-16.000000;-2095.082275
66;359.000000;-15.000000;-2126.826172
67;359.000000;-15.000000;-2158.569824
68;355.000000;-15.000000;-2190.313477
69;353.000000;-15.000000;-2222.057129
70;351.000000;-15.000000;-2253.800781
71;345.000000;-15.000000;-2285.544678
72;343.000000;-15.000000;-2317.288086
73;341.000000;-15.000000;-2349.031738
74;337.000000;-14.000000;-2380.775635
75;338.000000;-14.000000;-2412.519043
76;335.000000;-14.000000;-2444.262695
77;331.000000;-14.000000;-2476.006104
78;330.000000;-14.000000;-2507.749756
79;324.000000;-14.000000;-2539.493408
80;317.000000;-14.000000;-2571.236816
81;310.000000;-13.000000;-2602.980469
82;306.000000;-13.000000;-2634.724121
83;297.000000;-13.000000;-2666.467529
84;291.000000;-12.000000;-2698.211182
85;291.000000;-12.000000;-2729.954590
86;286.000000;-12.000000;-2761.698242
87;282.000000;-12.000000;-2793.441895
88;281.000000;-12.000000;-2825.185303
89;277.000000;-12.000000;-2856.928955
90;272.000000;-12.000000;-2888.672607
91;268.000000;-11.000000;-2920.416016
92;271.000000;-11.000000;-2952.159668
93;263.000000;-11.000000;-2983.903320
94;256.000000;-11.000000;-3015.646729
95;255.000000;-11.000000;-3047.390381
96;247.000000;-11.000000;-3079.133789
97;238.000000;-10.000000;-3110.877441
98;240.000000;-10.000000;-3142.621094
99;237.000000;-10.000000;-3174.364502
100;229.000000;-10.000000;-3206.108154
101;228.000000;-10.000000;-3237.851807
102;227.000000;-10.000000;-3269.595459
103;219.000000;-9.000000;-3301.339111
104;218.000000;-9.000000;-3333.082520
105;217.000000;-9.000000;-3364.826172
106;207.000000;-9.000000;-3396.569824
107;202.000000;-9.000000;-3428.313232
108;199.000000;-9.000000;-3460.056885
109;191.000000;-8.000000;-3491.800293
110;186.000000;-8.000000;-3523.543945
111;183.000000;-8.000000;-3555.287598
112;176.000000;-8.000000;-3587.031006
113;171.000000;-7.000000;-3618.774658
114;171.000000;-7.000000;-3650.518311
115;167.000000;-7.000000;-3682.261719
116;162.000000;-7.000000;-3714.005371
117;158.000000;-7.000000;-3745.748779
118;150.000000;-7.000000;-3777.492432
119;143.000000;-6.000000;-3809.236084
120;141.000000;-6.000000;-3840.979492
121;133.000000;-6.000000;-3872.723145
122;124.000000;-6.000000;-3904.466797
123;117.000000;-5.000000;-3936.210205
124;112.000000;-5.000000;-3967.953857
125;107.000000;-5.000000;-3999.697266
126;101.000000;-5.000000;-4031.440918
127;96.000000;-4.000000;-4063.184570
128;93.000000;-4.000000;-4094.927979
129;87.000000;-4.000000;-4126.671875
130;85.000000;-4.000000;-4158.415039
131;83.000000;-4.000000;-4190.158691
132;77.000000;-4.000000;-4221.902344
133;75.000000;-3.000000;-4253.645996
134;77.000000;-3.000000;-4285.389648
135;72.000000;-3.000000;-4317.132812
136;67.000000;-3.000000;-4348.876465
137;65.000000;-3.000000;-4380.620117
138;56.000000;-3.000000;-4412.363770
139;46.000000;-2.000000;-4444.107422
140;41.000000;-2.000000;-4475.850586
141;30.000000;-2.000000;-4507.594238
142;15.000000;-1.000000;-4539.337891
143;8.000000;-1.000000;-4571.081543
144;-3.000000;0.000000;-4602.825195
145;-14.000000;0.000000;-4634.568848
146;-24.000000;1.000000;-4666.312500
147;-33.000000;1.000000;-4698.056641
148;-46.000000;1.000000;-4729.800293
149;-55.000000;2.000000;-4761.544434
150;-65.000000;2.000000;-4793.288086
151;-82.000000;3.000000;-4825.031738
152;-93.000000;3.000000;-4856.775879
153;-101.000000;4.000000;-4888.519531
154;-114.000000;4.000000;-4920.263184
155;-125.000000;5.000000;-4952.007324
156;-129.000000;5.000000;-4983.751465
157;-140.000000;5.000000;-5015.494629
158;-150.000000;6.000000;-5047.238770
159;-153.000000;6.000000;-5078.982910
160;-163.000000;6.000000;-5110.726562
161;-172.000000;7.000000;-5142.470215
162;-176.000000;7.000000;-5174.214355
163;-187.000000;7.000000;-5205.958008
164;-196.000000;8.000000;-5237.701660
165;-199.000000;8.000000;-5269.445801
166;-207.000000;8.000000;-5301.189453
167;-214.000000;8.000000;-5332.933105
168;-218.000000;9.000000;-5364.677246
169;-223.000000;9.000000;-5396.420898
170;-229.000000;9.000000;-5428.165039
171;-233.000000;9.000000;-5459.908691
172;-238.000000;9.000000;-5491.652344
173;-245.000000;10.000000;-5523.396484
174;-247.000000;10.000000;-5555.140137
175;-251.000000;10.000000;-5586.884277
176;-256.000000;10.000000;-5618.627930
177;-262.000000;10.000000;-5650.372070
178;-271.000000;11.000000;-5682.115723
179;-275.000000;11.000000;-5713.859375
180;-282.000000;11.000000;-5745.603516
181;-292.000000;12.000000;-5777.347168
182;-295.000000;12.000000;-5809.090820
183;-303.000000;12.000000;-5840.834961
184;-313.000000;13.000000;-5872.578613
185;-315.000000;13.000000;-5904.322266
186;-323.000000;13.000000;-5936.066406
187;-335.000000;13.000000;-5967.810059
188;-339.000000;14.000000;-5999.554199
189;-347.000000;14.000000;-6031.297852
190;-361.000000;15.000000;-6063.041992
191;-365.000000;15.000000;-6094.785645
192;-374.000000;15.000000;-6126.529297
193;-389.000000;16.000000;-6158.273438
194;-393.000000;16.000000;-6190.017090
195;-402.000000;16.000000;-6221.761230
196;-414.000000;17.000000;-6253.504883
197;-417.000000;17.000000;-6285.248535
198;-426.000000;17.000000;-6316.992676
199;-437.000000;18.000000;-6348.736328
200;-441.000000;18.000000;-6380.479980
201;-452.000000;18.000000;-6412.224121
202;-465.000000;19.000000;-6443.967773
203;-471.000000;19.000000;-6475.711426
204;-483.000000;19.000000;-6507.455566
205;-492.000000;20.000000;-6539.199219
206;-498.000000;20.000000;-6570.943359
207;-508.000000;20.000000;-6602.687500
208;-514.000000;21.000000;-6634.430664
209;-521.000000;21.000000;-6666.174316
210;-528.000000;21.000000;-6697.918457
211;-532.000000;22.000000;-6729.662598
212;-538.000000;22.000000;-6761.406250
213;-546.000000;22.000000;-6793.150391
214;-553.000000;22.000000;-6824.894043
215;-559.000000;23.000000;-6856.637207
216;-566.000000;23.000000;-6888.381348
217;-574.000000;23.000000;-6920.125488
218;-579.000000;23.000000;-6951.869141
219;-584.000000;24.000000;-6983.613281
220;-591.000000;24.000000;-7015.356934
221;-594.000000;24.000000;-7047.101074
222;-600.000000;24.000000;-7078.844238
223;-606.000000;25.000000;-7110.588379
224;-610.000000;25.000000;-7142.332031
225;-617.000000;25.000000;-7174.076172
226;-622.000000;25.000000;-7205.820312
227;-629.000000;25.000000;-7237.563965
228;-635.000000;26.000000;-7269.308105
229;-642.000000;26.000000;-7301.051270
230;-650.000000;26.000000;-7332.794922
231;-656.000000;27.000000;-7364.539062
232;-663.000000;27.000000;-7396.283203
233;-670.000000;27.000000;-7428.026855
234;-679.000000;27.000000;-7459.770996
235;-684.000000;28.000000;-7491.514648
236;-691.000000;28.000000;-7523.257812
237;-699.000000;28.000000;-7555.001953
238;-706.000000;29.000000;-7586.746094
239;-711.000000;29.000000;-7618.489746
240;-720.000000;29.000000;-7650.233887
241;-727.000000;30.000000;-7681.978027
242;-733.000000;30.000000;-7713.721680
243;-745.000000;30.000000;-7745.465820
244;-753.000000;31.000000;-7777.208984
245;-760.000000;31.000000;-7808.952637
246;-774.000000;31.000000;-7840.696777
247;-781.000000;32.000000;-7872.440918
248;-788.000000;32.000000;-7904.184570
249;-797.000000;32.000000;-7935.928711
250;-804.000000;33.000000;-7967.672363
251;-807.000000;33.000000;-7999.415527
252;-813.000000;33.000000;-8031.159668
253;-819.000000;33.000000;-8062.903809
254;-823.000000;33.000000;-8094.647461
255;-826.000000;34.000000;-8126.391602
256;-832.000000;34.000000;-8158.135742
257;-837.000000;34.000000;-8189.879395
258;-841.000000;34.000000;-8221.623047
259;-849.000000;35.000000;-8253.366211
260;-853.000000;35.000000;-8285.110352
261;-859.000000;35.000000;-8316.854492
262;-866.000000;35.000000;-8348.598633
263;-874.000000;36.000000;-8380.342773
264;-877.000000;36.000000;-8412.085938
265;-882.000000;36.000000;-8443.829102
266;-886.000000;36.000000;-8475.573242
267;-890.000000;36.000000;-8507.317383
268;-897.000000;37.000000;-8539.061523
269;-900.000000;37.000000;-8570.805664
270;-905.000000;37.000000;-8602.548828
271;-912.000000;37.000000;-8634.292969
272;-919.000000;38.000000;-8666.036133
273;-923.000000;38.000000;-8697.780273
274;-931.000000;38.000000;-8729.524414
275;-939.000000;38.000000;-8761.268555
276;-947.000000;39.000000;-8793.011719
277;-956.000000;39.000000;-8824.755859
278;-965.000000;39.000000;-8856.500000
279;-971.000000;40.000000;-8888.243164
280;-978.000000;40.000000;-8919.987305
281;-987.000000;40.000000;-8951.731445
282;-995.000000;41.000000;-8983.475586
283;-998.000000;41.000000;-9015.218750
284;-1006.000000;41.000000;-9046.962891
285;-1015.000000;41.000000;-9078.707031
286;-1019.000000;42.000000;-9110.450195
287;-1024.000000;42.000000;-9142.194336
288;-1035.000000;42.000000;-9173.938477
289;-1039.000000;43.000000;-9205.681641
290;-1043.000000;43.000000;-9237.425781
291;-1056.000000;43.000000;-9269.169922
292;-1065.000000;44.000000;-9300.914062
293;-1067.000000;44.000000;-9332.657227
294;-1080.000000;44.000000;-9364.401367
295;-1094.000000;45.000000;-9396.144531
296;-1095.000000;45.000000;-9427.888672
297;-1106.000000;45.000000;-9459.632812
298;-1120.000000;46.000000;-9491.376953
299;-1123.000000;46.000000;-9523.121094
300;-1134.000000;46.000000;-9554.864258
301;-1149.000000;47.000000;-9586.607422
302;-1159.000000;48.000000;-9618.351562
303;-1169.000000;48.000000;-9650.095703
304;-1186.000000;48.000000;-9681.839844
305;-1198.000000;49.000000;-9713.583984
306;-1206.000000;50.000000;-9745.327148
307;-1216.000000;50.000000;-9777.070312
308;-1225.000000;50.000000;-9808.814453
309;-1235.000000;51.000000;-9840.558594
310;-1244.000000;51.000000;-9872.302734
311;-1259.000000;52.000000;-9904.046875
312;-1269.000000;52.000000;-9935.791016
313;-1278.000000;52.000000;-9967.534180
314;-1292.000000;53.000000;-9999.277344
315;-1303.000000;53.000000;-10031.021484
316;-1311.000000;54.000000;-10062.765625
317;-1319.000000;54.000000;-10094.509766
318;-1333.000000;55.000000;-10126.253906
319;-1339.000000;55.000000;-10157.997070
320;-1348.000000;55.000000;-10189.741211
321;-1366.000000;56.000000;-10221.485352
322;-1374.000000;56.000000;-10253.228516
323;-1385.000000;56.000000;-10284.972656
324;-1397.000000;57.000000;-10316.716797
325;-1406.000000;58.000000;-10348.459961
326;-1413.000000;58.000000;-10380.204102
327;-1423.000000;58.000000;-10411.948242
328;-1436.000000;59.000000;-10443.692383
329;-1444.000000;59.000000;-10475.435547
330;-1459.000000;60.000000;-10507.179688
331;-1469.000000;60.000000;-10538.922852
332;-1482.000000;61.000000;-10570.666992
333;-1496.000000;61.000000;-10602.411133
334;-1504.000000;62.000000;-10634.155273
335;-1514.000000;62.000000;-10665.899414
336;-1526.000000;63.000000;-10697.642578
337;-1533.000000;63.000000;-10729.385742
338;-1546.000000;64.000000;-10761.129883
339;-1559.000000;64.000000;-10792.874023
340;-1571.000000;64.000000;-10824.618164
341;-1583.000000;65.000000;-10856.362305
342;-1596.000000;66.000000;-10888.105469
343;-1606.000000;66.000000;-10919.848633
344;-1616.000000;66.000000;-10951.592773
345;-1629.000000;67.000000;-10983.336914
346;-1641.000000;68.000000;-11015.081055
347;-1650.000000;68.000000;-11046.825195
348;-1661.000000;68.000000;-11078.569336
349;-1673.000000;69.000000;-11110.312500
350;-1680.000000;69.000000;-11142.055664
351;-1692.000000;69.000000;-11173.799805
352;-1702.000000;70.000000;-11205.543945
353;-1709.000000;70.000000;-11237.288086
354;-1720.000000;70.000000;-11269.032227
355;-1729.000000;71.000000;-11300.775391
356;-1739.000000;72.000000;-11332.519531
