takt;q1;q2;q2p
0;387.000000;-16.000000;-31.743656
1;741.000000;-29.000000;-63.487312
2;1022.000000;-41.000000;-95.230972
3;1262.000000;-51.000000;-126.974625
4;1440.000000;-58.000000;-158.718277
5;1550.000000;-62.000000;-190.461929
6;1638.000000;-66.000000;-222.205597
7;1676.000000;-68.000000;-253.949219
8;1662.000000;-68.000000;-285.692871
9;1626.000000;-67.000000;-317.436554
10;1577.000000;-65.000000;-349.180237
11;1508.000000;-62.000000;-380.923889
12;1412.000000;-58.000000;-412.667572
13;1322.000000;-55.000000;-444.411224
14;1227.000000;-51.000000;-476.154877
15;1118.000000;-47.000000;-507.898560
16;1017.000000;-43.000000;-539.642273
17;928.000000;-39.000000;-571.385925
18;836.000000;-35.000000;-603.129517
19;746.000000;-32.000000;-634.873169
20;681.000000;-29.000000;-666.616821
21;631.000000;-27.000000;-698.360474
22;579.000000;-25.000000;-730.104065
23;553.000000;-24.000000;-761.847717
24;544.000000;-24.000000;-793.591309
25;537.000000;-23.000000;-825.334961
26;541.000000;-23.000000;-857.078613
27;558.000000;-23.000000;-888.822266
28;576.000000;-24.000000;-920.565918
29;587.000000;-24.000000;-952.309509
30;601.000000;-25.000000;-984.053162
31;609.000000;-25.000000;-1015.796814
32;609.000000;-25.000000;-1047.540527
33;607.000000;-25.000000;-1079.284058
34;606.000000;-25.000000;-1111.027710
35;598.000000;-25.000000;-1142.771362
36;587.000000;-25.000000;-1174.515015
37;579.000000;-25.000000;-1206.258667
38;577.000000;-25.000000;-1238.002319
39;570.000000;-24.000000;-1269.746094
40;571.000000;-24.000000;-1301.489746
41;577.000000;-24.000000;-1333.233521
42;575.000000;-24.000000;-1364.977173
43;577.000000;-24.000000;-1396.720947
44;581.000000;-24.000000;-1428.464600
45;582.000000;-24.000000;-1460.208374
46;579.000000;-24.000000;-1491.952026
47;581.000000;-24.000000;-1523.695801
48;580.000000;-24.000000;-1555.439453
49;575.000000;-24.000000;-1587.183105
50;576.000000;-24.000000;-1618.926880
51;576.000000;-24.000000;-1650.670532
52;572.000000;-24.000000;-1682.414185
53;571.000000;-24.000000;-1714.157959
54;571.000000;-24.000000;-1745.901611
55;569.000000;-24.000000;-1777.645264
56;568.000000;-24.000000;-1809.389038
57;568.000000;-24.000000;-1841.132812
58;567.000000;-24.000000;-1872.876343
59;566.000000;-24.000000;-1904.620117
60;566.000000;-24.000000;-1936.363892
61;566.000000;-24.000000;-1968.107422
62;566.000000;-24.000000;-1999.851196
63;564.000000;-24.000000;-2031.594971
64;562.000000;-24.000000;-2063.338623
65;559.000000;-24.000000;-2095.082275
66;556.000000;-24.000000;-2126.826172
67;551.000000;-24.000000;-2158.569824
68;549.000000;-24.000000;-2190.313477
69;546.000000;-23.000000;-2222.057129
70;547.000000;-23.000000;-2253.800781
71;548.000000;-23.000000;-2285.544678
72;548.000000;-23.000000;-2317.288086
73;550.000000;-23.000000;-2349.031738
74;550.000000;-23.000000;-2380.775635
75;549.000000;-23.000000;-2412.519043
76;547.000000;-23.000000;-2444.262695
77;546.000000;-23.000000;-2476.006104
78;544.000000;-23.000000;-2507.749756
79;542.000000;-23.000000;-2539.493408
80;543.000000;-23.000000;-2571.236816
81;540.000000;-23.000000;-2602.980469
82;539.000000;-23.000000;-2634.724121
83;539.000000;-23.000000;-2666.467529
84;538.000000;-23.000000;-2698.211182
85;537.000000;-23.000000;-2729.954590
86;537.000000;-23.000000;-2761.698242
87;537.000000;-23.000000;-2793.441895
88;535.000000;-23.000000;-2825.185303
89;535.000000;-23.000000;-2856.928955
90;535.000000;-23.000000;-2888.672607
91;533.000000;-23.000000;-2920.416016
92;532.000000;-23.000000;-2952.159668
93;531.000000;-23.000000;-2983.903320
94;528.000000;-23.000000;-3015.646729
95;527.000000;-23.000000;-3047.390381
96;527.000000;-23.000000;-3079.133789
97;524.000000;-22.000000;-3110.877441
98;528.000000;-22.000000;-3142.621094
99;528.000000;-22.000000;-3174.364502
100;529.000000;-22.000000;-3206.108154
101;531.000000;-22.000000;-3237.851807
102;530.000000;-22.000000;-3269.595459
103;529.000000;-22.000000;-3301.339111
104;530.000000;-22.000000;-3333.082520
105;530.000000;-22.000000;-3364.826172
106;528.000000;-22.000000;-3396.569824
107;529.000000;-22.000000;-3428.313232
108;530.000000;-22.000000;-3460.056885
109;527.000000;-22.000000;-3491.800293
110;528.000000;-22.000000;-3523.543945
111;528.000000;-22.000000;-3555.287598
112;525.000000;-22.000000;-3587.031006
113;523.000000;-22.000000;-3618.774658
114;524.000000;-22.000000;-3650.518311
115;522.000000;-22.000000;-3682.261719
116;522.000000;-22.000000;-3714.005371
117;523.000000;-22.000000;-3745.748779
118;522.000000;-22.000000;-3777.492432
119;524.000000;-22.000000;-3809.236084
120;524.000000;-22.000000;-3840.979492
121;524.000000;-22.000000;-3872.723145
122;524.000000;-22.000000;-3904.466797
123;522.000000;-22.000000;-3936.210205
124;522.000000;-22.000000;-3967.953857
125;523.000000;-22.000000;-3999.697266
126;522.000000;-22.000000;-4031.440918
127;521.000000;-22.000000;-4063.184570
128;523.000000;-22.000000;-4094.927979
129;523.000000;-22.000000;-4126.671875
130;521.000000;-22.000000;-4158.415039
131;522.000000;-22.000000;-4190.158691
132;521.000000;-22.000000;-4221.902344
133;519.000000;-22.000000;-4253.645996
134;521.000000;-22.000000;-4285.389648
135;520.000000;-22.000000;-4317.132812
136;519.000000;-22.000000;-4348.876465
137;520.000000;-22.000000;-4380.620117
138;518.000000;-22.000000;-4412.363770
139;516.000000;-22.000000;-4444.107422
140;517.000000;-22.000000;-4475.850586
141;516.000000;-22.000000;-4507.594238
142;515.000000;-22.000000;-4539.337891
143;517.000000;-22.000000;-4571.081543
144;516.000000;-22.000000;-4602.825195
145;515.000000;-22.000000;-4634.568848
146;517.000000;-22.000000;-4666.312500
147;516.000000;-22.000000;-4698.056641
148;516.000000;-22.000000;-4729.800293
149;517.000000;-22.000000;-4761.544434
150;515.000000;-22.000000;-4793.288086
151;515.000000;-22.000000;-4825.031738
152;516.000000;-22.000000;-4856.775879
153;515.000000;-22.000000;-4888.519531
154;517.000000;-22.000000;-4920.263184
155;517.000000;-22.000000;-4952.007324
156;514.000000;-22.000000;-4983.751465
157;514.000000;-22.000000;-5015.494629
158;515.000000;-22.000000;-5047.238770
159;511.000000;-22.000000;-5078.982910
160;511.000000;-22.000000;-5110.726562
161;514.000000;-22.000000;-5142.470215
162;511.000000;-22.000000;-5174.214355
163;512.000000;-22.000000;-5205.958008
164;516.000000;-22.000000;-5237.701660
165;513.000000;-22.000000;-5269.445801
166;513.000000;-22.000000;-5301.189453
167;516.000000;-22.000000;-5332.933105
168;513.000000;-22.000000;-5364.677246
169;513.000000;-22.000000;-5396.420898
170;515.000000;-22.000000;-5428.165039
171;512.000000;-22.000000;-5459.908691
172;511.000000;-22.000000;-5491.652344
173;511.000000;-22.000000;-5523.396484
174;510.000000;-22.000000;-5555.140137
175;511.000000;-22.000000;-5586.884277
176;512.000000;-22.000000;-5618.627930
177;511.000000;-22.000000;-5650.372070
178;511.000000;-22.000000;-5682.115723
179;511.000000;-22.000000;-5713.859375
180;510.000000;-22.000000;-5745.603516
181;510.000000;-22.000000;-5777.347168
182;508.000000;-22.000000;-5809.090820
183;507.000000;-22.000000;-5840.834961
184;509.000000;-22.000000;-5872.578613
185;507.000000;-22.000000;-5904.322266
186;506.000000;-22.000000;-5936.066406
187;508.000000;-22.000000;-5967.810059
188;507.000000;-22.000000;-5999.554199
189;506.000000;-22.000000;-6031.297852
190;508.000000;-22.000000;-6063.041992
191;507.000000;-22.000000;-6094.785645
192;504.000000;-22.000000;-6126.529297
193;506.000000;-22.000000;-6158.273438
194;504.000000;-22.000000;-6190.017090
195;500.000000;-22.000000;-6221.761230
196;506.000000;-21.000000;-6253.504883
197;507.000000;-21.000000;-6285.248535
198;504.000000;-21.000000;-6316.992676
199;506.000000;-21.000000;-6348.736328
200;504.000000;-21.000000;-6380.479980
201;499.000000;-21.000000;-6412.224121
202;498.000000;-21.000000;-6443.967773
203;497.000000;-21.000000;-6475.711426
204;490.000000;-21.000000;-6507.455566
205;487.000000;-21.000000;-6539.199219
206;487.000000;-21.000000;-6570.943359
207;483.000000;-21.000000;-6602.687500
208;479.000000;-21.000000;-6634.430664
209;478.000000;-21.000000;-6666.174316
210;475.000000;-20.000000;-6697.918457
211;475.000000;-20.000000;-6729.662598
212;475.000000;-20.000000;-6761.406250
213;474.000000;-20.000000;-6793.150391
214;473.000000;-20.000000;-6824.894043
215;470.000000;-20.000000;-6856.637207
216;468.000000;-20.000000;-6888.381348
217;466.000000;-20.000000;-6920.125488
218;463.000000;-20.000000;-6951.869141
219;457.000000;-20.000000;-6983.613281
220;454.000000;-19.000000;-7015.356934
221;455.000000;-19.000000;-7047.101074
222;449.000000;-19.000000;-7078.844238
223;445.000000;-19.000000;-7110.588379
224;445.000000;-19.000000;-7142.332031
225;437.000000;-19.000000;-7174.076172
226;433.000000;-19.000000;-7205.820312
227;432.000000;-19.000000;-7237.563965
228;427.000000;-18.000000;-7269.308105
229;425.000000;-18.000000;-7301.051270
230;424.000000;-18.000000;-7332.794922
231;425.000000;-18.000000;-7364.539062
232;424.000000;-18.000000;-7396.283203
233;422.000000;-18.000000;-7428.026855
234;422.000000;-18.000000;-7459.770996
235;420.000000;-18.000000;-7491.514648
236;419.000000;-18.000000;-7523.257812
237;417.000000;-18.000000;-7555.001953
238;417.000000;-18.000000;-7586.746094
239;417.000000;-18.000000;-7618.489746
240;415.000000;-18.000000;-7650.233887
241;418.000000;-18.000000;-7681.978027
242;418.000000;-18.000000;-7713.721680
243;415.000000;-18.000000;-7745.465820
244;417.000000;-18.000000;-7777.208984
245;415.000000;-18.000000;-7808.952637
246;413.000000;-18.000000;-7840.696777
247;415.000000;-18.000000;-7872.440918
248;414.000000;-18.000000;-7904.184570
249;412.000000;-18.000000;-7935.928711
250;413.000000;-18.000000;-7967.672363
251;412.000000;-18.000000;-7999.415527
252;409.000000;-18.000000;-8031.159668
253;410.000000;-18.000000;-8062.903809
254;409.000000;-18.000000;-8094.647461
255;406.000000;-18.000000;-8126.391602
256;408.000000;-18.000000;-8158.135742
257;407.000000;-18.000000;-8189.879395
258;403.000000;-17.000000;-8221.623047
259;408.000000;-17.000000;-8253.366211
260;407.000000;-17.000000;-8285.110352
261;403.000000;-17.000000;-8316.854492
262;407.000000;-17.000000;-8348.598633
263;405.000000;-17.000000;-8380.342773
264;401.000000;-17.000000;-8412.085938
265;403.000000;-17.000000;-8443.829102
266;400.000000;-17.000000;-8475.573242
267;395.000000;-17.000000;-8507.317383
268;394.000000;-17.000000;-8539.061523
269;393.000000;-17.000000;-8570.805664
270;391.000000;-17.000000;-8602.548828
271;392.000000;-17.000000;-8634.292969
272;391.000000;-17.000000;-8666.036133
273;387.000000;-17.000000;-8697.780273
274;388.000000;-17.000000;-8729.524414
275;385.000000;-17.000000;-8761.268555
276;383.000000;-17.000000;-8793.011719
277;384.000000;-17.000000;-8824.755859
278;381.000000;-17.000000;-8856.500000
279;379.000000;-17.000000;-8888.243164
280;381.000000;-17.000000;-8919.987305
281;377.000000;-16.000000;-8951.731445
282;378.000000;-16.000000;-8983.475586
283;378.000000;-16.000000;-9015.218750
284;373.000000;-16.000000;-9046.962891
285;372.000000;-16.000000;-9078.707031
286;371.000000;-16.000000;-9110.450195
287;367.000000;-16.000000;-9142.194336
288;365.000000;-16.000000;-9173.938477
289;365.000000;-16.000000;-9205.681641
290;362.000000;-16.000000;-9237.425781
291;361.000000;-16.000000;-9269.169922
292;362.000000;-16.000000;-9300.914062
293;359.000000;-16.000000;-9332.657227
294;356.000000;-16.000000;-9364.401367
295;355.000000;-15.000000;-9396.144531
296;356.000000;-15.000000;-9427.888672
297;353.000000;-15.000000;-9459.632812
298;352.000000;-15.000000;-9491.376953
299;350.000000;-15.000000;-9523.121094
300;346.000000;-15.000000;-9554.864258
301;346.000000;-15.000000;-9586.607422
302;344.000000;-15.000000;-9618.351562
303;343.000000;-15.000000;-9650.095703
304;341.000000;-15.000000;-9681.839844
305;339.000000;-15.000000;-9713.583984
306;339.000000;-15.000000;-9745.327148
307;338.000000;-15.000000;-9777.070312
308;337.000000;-15.000000;-9808.814453
309;336.000000;-15.000000;-9840.558594
310;335.000000;-15.000000;-9872.302734
311;333.000000;-15.000000;-9904.046875
312;333.000000;-14.000000;-9935.791016
313;334.000000;-14.000000;-9967.534180
314;330.000000;-14.000000;-9999.277344
315;329.000000;-14.000000;-10031.021484
316;328.000000;-14.000000;-10062.765625
317;325.000000;-14.000000;-10094.509766
318;326.000000;-14.000000;-10126.253906
319;326.000000;-14.000000;-10157.997070
320;323.000000;-14.000000;-10189.741211
321;323.000000;-14.000000;-10221.485352
322;324.000000;-14.000000;-10253.228516
323;322.000000;-14.000000;-10284.972656
324;320.000000;-14.000000;-10316.716797
325;321.000000;-14.000000;-10348.459961
326;319.000000;-14.000000;-10380.204102
327;319.000000;-14.000000;-10411.948242
328;320.000000;-14.000000;-10443.692383
329;318.000000;-14.000000;-10475.435547
330;318.000000;-14.000000;-10507.179688
331;319.000000;-14.000000;-10538.922852
332;318.000000;-14.000000;-10570.666992
333;318.000000;-14.000000;-10602.411133
334;318.000000;-14.000000;-10634.155273
335;317.000000;-14.000000;-10665.899414
336;316.000000;-14.000000;-10697.642578
337;315.000000;-14.000000;-10729.385742
338;311.000000;-14.000000;-10761.129883
339;309.000000;-14.000000;-10792.874023
340;309.000000;-14.000000;-10824.618164
341;308.000000;-13.000000;-10856.362305
342;309.000000;-13.000000;-10888.105469
343;308.000000;-13.000000;-10919.848633
344;307.000000;-13.000000;-10951.592773
345;304.000000;-13.000000;-10983.336914
346;303.000000;-13.000000;-11015.081055
347;302.000000;-13.000000;-11046.825195
348;300.000000;-13.000000;-11078.569336
349;298.000000;-13.000000;-11110.312500
350;298.000000;-13.000000;-11142.055664
351;296.000000;-13.000000;-11173.799805
352;298.000000;-13.000000;-11205.543945
353;296.000000;-13.000000;-11237.288086
354;294.000000;-13.000000;-11269.032227
355;296.000000;-13.000000;-11300.775391
356;294.000000;-13.000000;-11332.519531
357;293.000000;-13.000000;-11364.262695
358;293.000000;-13.000000;-11396.006836
359;290.000000;-13.000000;-11427.750977
360;288.000000;-13.000000;-11459.495117
361;287.000000;-13.000000;-11491.238281
362;284.000000;-13.000000;-11522.982422
363;282.000000;-13.000000;-11554.726562
364;284.000000;-12.000000;-11586.469727
365;281.000000;-12.000000;-11618.213867
366;279.000000;-12.000000;-11649.958008
367;280.000000;-12.000000;-11681.701172
368;276.000000;-12.000000;-11713.445312
369;273.000000;-12.000000;-11745.189453
370;272.000000;-12.000000;-11776.933594
371;269.000000;-12.000000;-11808.676758
372;264.000000;-12.000000;-11840.420898
373;264.000000;-12.000000;-11872.164062
374;262.000000;-12.000000;-11903.908203
375;260.000000;-12.000000;-11935.652344
376;261.000000;-11.000000;-11967.396484
377;261.000000;-11.000000;-11999.140625
378;261.000000;-11.000000;-12030.883789
379;260.000000;-11.000000;-12062.627930
380;233.000000;-9.000000;-12094.371094
381;112.000000;-4.000000;-12126.115234
382;-67.000000;4.000000;-12157.859375
383;-326.000000;14.000000;-12189.603516
384;-678.000000;28.000000;-12221.347656
385;-1081.000000;45.000000;-12253.090820
386;-1551.000000;65.000000;-12284.833984
387;-2105.000000;87.000000;-12316.578125
388;-2705.000000;112.000000;-12348.322266
389;-3326.000000;137.000000;-12380.066406
390;-3997.000000;165.000000;-12411.810547
391;-4715.000000;194.000000;-12443.553711
392;-5444.000000;223.000000;-12475.296875
393;-6184.000000;254.000000;-12507.041016
394;-6947.000000;285.000000;-12538.785156
395;-7704.000000;316.000000;-12570.529297
396;-8443.000000;346.000000;-12602.273438
397;-9187.000000;377.000000;-12634.016602
398;-9947.000000;407.000000;-12665.760742
