takt;q1;q2;q2p
0;252.000000;-10.000000;223.843842
1;499.000000;-18.000000;446.630737
2;704.000000;-5.000000;667.308777
3;716.000000;-5.000000;884.835938
4;531.000000;5.000000;1098.185059
5;143.000000;21.000000;1306.348877
6;-504.000000;46.000000;1508.344360
7;-1369.000000;83.000000;1703.217896
8;-2433.000000;123.000000;1890.049316
9;-3785.000000;178.000000;2067.956299
10;-5340.000000;243.000000;2236.099121
11;-7046.000000;311.000000;2393.683594
12;-8975.000000;390.000000;2539.965576
13;-11047.000000;475.000000;2674.254395
14;-13217.000000;560.000000;2795.916260
15;-15519.000000;655.000000;2904.376465
16;-17875.000000;748.000000;2999.122803
17;-20284.000000;849.000000;3079.708008
18;-22691.000000;946.000000;3145.751465
19;-25165.000000;1044.000000;3196.941650
20;-27573.000000;1144.000000;3233.036621
21;-30046.000000;1240.000000;3253.865967
22;-32456.000000;1332.000000;3259.331543
23;-34771.000000;1426.000000;3249.407227
24;-36965.000000;1515.000000;3224.140137
25;-39039.000000;1599.000000;3183.649658
26;-40970.000000;1678.000000;3128.126465
27;-42667.000000;1746.000000;3057.833252
28;-44298.000000;1813.000000;2973.101562
29;-45703.000000;1871.000000;2874.331787
30;-46927.000000;1921.000000;2761.990234
31;-48014.000000;1964.000000;2636.607178
32;-48912.000000;2001.000000;2498.774658
33;-49618.000000;2028.000000;2349.143555
34;-50148.000000;2052.000000;2188.420410
35;-50538.000000;2066.000000;2017.364258
36;-50721.000000;2074.000000;1836.782471
37;-50771.000000;2077.000000;1647.527588
38;-50642.000000;2072.000000;1450.493286
39;-50362.000000;2059.000000;1246.610229
40;-49924.000000;2042.000000;1036.840942
41;-49297.000000;2016.000000;822.175903
42;-48515.000000;1984.000000;603.628784
43;-47558.000000;1947.000000;382.231476
44;-46455.000000;1901.000000;159.029327
45;-45205.000000;1850.000000;-64.923706
46;-43775.000000;1792.000000;-288.570190
47;-42213.000000;1728.000000;-510.854126
48;-40521.000000;1660.000000;-730.725891
49;-38654.000000;1582.000000;-947.147400
