takt;q1;q2;q2p
0;274.000000;-12.000000;56.002285
1;544.000000;-21.000000;111.988037
2;784.000000;-11.000000;167.940735
3;862.000000;-15.000000;223.843842
4;803.000000;-11.000000;279.680847
5;597.000000;-2.000000;335.435303
6;208.000000;12.000000;391.090729
7;-298.000000;33.000000;446.630707
8;-935.000000;58.000000;502.038818
9;-1734.000000;89.000000;557.298767
10;-2650.000000;125.000000;612.394165
11;-3656.000000;167.000000;667.308777
12;-4741.000000;211.000000;722.026428
13;-5890.000000;257.000000;776.530884
14;-7107.000000;307.000000;830.806091
15;-8351.000000;357.000000;884.835999
16;-9628.000000;410.000000;938.604736
17;-10901.000000;461.000000;992.096375
18;-12189.000000;512.000000;1045.295044
19;-13463.000000;565.000000;1098.185181
20;-14756.000000;618.000000;1150.751099
21;-16022.000000;669.000000;1202.977295
22;-17300.000000;719.000000;1254.848267
23;-18554.000000;767.000000;1306.348877
24;-19795.000000;812.000000;1357.463745
25;-20979.000000;861.000000;1408.177979
26;-22179.000000;910.000000;1458.476440
27;-23335.000000;958.000000;1508.344238
28;-24430.000000;1002.000000;1557.766846
29;-25513.000000;1046.000000;1606.729614
30;-26558.000000;1090.000000;1655.218018
31;-27584.000000;1134.000000;1703.217773
32;-28586.000000;1175.000000;1750.714600
33;-29596.000000;1216.000000;1797.694702
34;-30559.000000;1258.000000;1844.144043
35;-31506.000000;1302.000000;1890.048950
36;-32501.000000;1348.000000;1935.395874
37;-33489.000000;1388.000000;1980.171631
38;-34502.000000;1430.000000;2024.362671
39;-35560.000000;1473.000000;2067.956299
40;-36623.000000;1515.000000;2110.939209
41;-37724.000000;1560.000000;2153.298828
42;-38856.000000;1608.000000;2195.022949
43;-39993.000000;1654.000000;2236.099121
44;-41157.000000;1700.000000;2276.515137
45;-42280.000000;1745.000000;2316.258789
46;-43447.000000;1793.000000;2355.318848
47;-44620.000000;1841.000000;2393.683594
48;-45780.000000;1888.000000;2431.341797
49;-46932.000000;1932.000000;2468.281982
50;-48083.000000;1977.000000;2504.493652
51;-49223.000000;2022.000000;2539.965820
52;-50350.000000;2066.000000;2574.688232
53;-51504.000000;2109.000000;2608.650391
54;-52618.000000;2156.000000;2641.842773
55;-53707.000000;2198.000000;2674.254883
56;-54768.000000;2240.000000;2705.877686
57;-55774.000000;2283.000000;2736.701660
58;-56761.000000;2323.000000;2766.717529
59;-57692.000000;2361.000000;2795.916748
60;-58580.000000;2398.000000;2824.290527
61;-59429.000000;2432.000000;2851.830566
62;-60247.000000;2466.000000;2878.528564
63;-61030.000000;2498.000000;2904.376953
64;-61807.000000;2530.000000;2929.367676
65;-62566.000000;2561.000000;2953.493896
66;-63296.000000;2591.000000;2976.748047
67;-64018.000000;2621.000000;2999.123291
68;-64720.000000;2649.000000;3020.613281
69;-65416.000000;2678.000000;3041.211426
70;-66077.000000;2706.000000;3060.911865
71;-66746.000000;2734.000000;3079.708496
72;-67408.000000;2762.000000;3097.596191
73;-68049.000000;2790.000000;3114.569092
74;-68688.000000;2818.000000;3130.622559
75;-69339.000000;2846.000000;3145.751953
76;-69960.000000;2873.000000;3159.952637
77;-70574.000000;2900.000000;3173.220459
78;-71198.000000;2923.000000;3185.551270
79;-71807.000000;2945.000000;3196.941895
80;-72405.000000;2966.000000;3207.388672
81;-73004.000000;2990.000000;3216.888428
82;-73593.000000;3015.000000;3225.438721
83;-74164.000000;3037.000000;3233.036621
84;-74712.000000;3059.000000;3239.680176
85;-75250.000000;3081.000000;3245.367432
86;-75748.000000;3102.000000;3250.096436
87;-76201.000000;3120.000000;3253.865967
88;-76621.000000;3137.000000;3256.675049
89;-76996.000000;3153.000000;3258.522705
90;-77339.000000;3167.000000;3259.408203
91;-77648.000000;3179.000000;3259.331543
92;-77928.000000;3191.000000;3258.292725
93;-78182.000000;3201.000000;3256.291992
94;-78413.000000;3211.000000;3253.329834
