takt;q1;q2;q2p
0;213.000000;-9.000000;223.843842
1;423.000000;-8.000000;446.630737
2;342.000000;12.000000;667.308777
3;-66.000000;33.000000;884.835938
4;-798.000000;64.000000;1098.185059
5;-1941.000000;109.000000;1306.348877
6;-3461.000000;172.000000;1508.344360
7;-5285.000000;248.000000;1703.217896
8;-7474.000000;338.000000;1890.049316
9;-10060.000000;440.000000;2067.956299
10;-13033.000000;566.000000;2236.099121
11;-16309.000000;697.000000;2393.683594
12;-19931.000000;846.000000;2539.965576
13;-24011.000000;1014.000000;2674.254395
14;-28329.000000;1189.000000;2795.916260
15;-32993.000000;1380.000000;2904.376465
16;-37847.000000;1574.000000;2999.122803
17;-42844.000000;1775.000000;3079.708008
18;-47919.000000;1978.000000;3145.751465
19;-52944.000000;2176.000000;3196.941650
20;-57797.000000;2366.000000;3233.036621
21;-62400.000000;2552.000000;3253.865967
22;-66697.000000;2725.000000;3259.331543
23;-70590.000000;2883.000000;3249.407227
24;-74106.000000;3028.000000;3224.140137
25;-77220.000000;3155.000000;3183.649658
26;-79936.000000;3267.000000;3128.126465
27;-82224.000000;3362.000000;3057.833252
28;-84109.000000;3440.000000;2973.101562
29;-85615.000000;3499.000000;2874.331787
30;-86675.000000;3546.000000;2761.990234
31;-87325.000000;3569.000000;2636.607178
32;-87589.000000;3582.000000;2498.774658
33;-87445.000000;3576.000000;2349.143555
34;-86912.000000;3555.000000;2188.420410
35;-85996.000000;3516.000000;2017.364258
36;-84690.000000;3464.000000;1836.782471
37;-83002.000000;3395.000000;1647.527588
38;-80942.000000;3308.000000;1450.493286
39;-78459.000000;3207.000000;1246.610229
40;-75654.000000;3093.000000;1036.840942
41;-72432.000000;2961.000000;822.175903
42;-68847.000000;2814.000000;603.628784
43;-64907.000000;2653.000000;382.231476
44;-60577.000000;2475.000000;159.029327
45;-55869.000000;2281.000000;-64.923706
46;-50804.000000;2074.000000;-288.570190
47;-45381.000000;1852.000000;-510.854126
48;-39579.000000;1614.000000;-730.725891
49;-33427.000000;1362.000000;-947.147400
50;-26977.000000;1099.000000;-1159.096680
51;-20259.000000;826.000000;-1365.572876
52;-13364.000000;546.000000;-1565.601318
53;-6334.000000;260.000000;-1758.237305
54;656.000000;-24.000000;-1942.571289
55;7710.000000;-306.000000;-2117.732910
56;14612.000000;-578.000000;-2282.895020
57;21298.000000;-849.000000;-2437.277832
58;27677.000000;-1105.000000;-2580.152588
59;33708.000000;-1351.000000;-2710.844238
60;39342.000000;-1582.000000;-2828.736084
61;44640.000000;-1795.000000;-2933.271240
62;49627.000000;-2003.000000;-3023.956299
63;54233.000000;-2190.000000;-3100.362793
64;58405.000000;-2363.000000;-3162.130127
65;62193.000000;-2519.000000;-3208.966553
66;65646.000000;-2657.000000;-3240.651123
67;68663.000000;-2782.000000;-3257.034180
68;71272.000000;-2886.000000;-3258.038086
69;73485.000000;-2977.000000;-3243.658447
70;75355.000000;-3054.000000;-3213.962891
71;76769.000000;-3112.000000;-3169.091797
72;77810.000000;-3155.000000;-3109.257080
73;78569.000000;-3186.000000;-3034.741455
74;78866.000000;-3199.000000;-2945.896729
75;78784.000000;-3196.000000;-2843.142090
76;78390.000000;-3181.000000;-2726.963135
77;77631.000000;-3151.000000;-2597.907959
78;76522.000000;-3106.000000;-2456.586426
79;75072.000000;-3046.000000;-2303.665527
80;73300.000000;-2973.000000;-2139.867188
81;71172.000000;-2888.000000;-1965.965210
82;68670.000000;-2783.000000;-1782.780273
83;65858.000000;-2669.000000;-1591.177734
84;62706.000000;-2538.000000;-1392.062012
85;59228.000000;-2397.000000;-1186.373291
86;55424.000000;-2239.000000;-975.082886
87;51319.000000;-2073.000000;-759.188477
88;46953.000000;-1893.000000;-539.709290
89;42329.000000;-1704.000000;-317.681793
90;37442.000000;-1505.000000;-94.154305
91;32404.000000;-1302.000000;129.817780
92;27169.000000;-1087.000000;353.176880
93;21818.000000;-870.000000;574.868408
94;16378.000000;-649.000000;793.845520
95;10890.000000;-429.000000;1009.074341
96;5394.000000;-203.000000;1219.538574
97;-87.000000;19.000000;1424.244507
98;-5545.000000;237.000000;1622.225586
99;-10975.000000;457.000000;1812.546875
100;-16299.000000;672.000000;1994.309937
101;-21486.000000;883.000000;2166.656250
102;-26471.000000;1086.000000;2328.772217
103;-31264.000000;1282.000000;2479.892578
104;-35871.000000;1470.000000;2619.303467
105;-40242.000000;1650.000000;2746.346680
106;-44409.000000;1820.000000;2860.422363
107;-48348.000000;1983.000000;2960.991943
108;-52063.000000;2133.000000;3047.580566
109;-55535.000000;2276.000000;3119.779541
110;-58761.000000;2408.000000;3177.247559
111;-61723.000000;2529.000000;3219.713623
112;-64412.000000;2638.000000;3246.976807
113;-66810.000000;2736.000000;3258.908936
114;-68906.000000;2821.000000;3255.453369
115;-70724.000000;2894.000000;3236.626221
116;-72256.000000;2957.000000;3202.516846
117;-73524.000000;3007.000000;3153.286133
118;-74536.000000;3049.000000;3089.166260
119;-75264.000000;3078.000000;3010.460449
120;-75722.000000;3096.000000;2917.539795
121;-75925.000000;3106.000000;2810.843506
122;-75822.000000;3101.000000;2690.875000
123;-75450.000000;3085.000000;2558.201172
124;-74836.000000;3060.000000;2413.447998
125;-73923.000000;3023.000000;2257.299316
126;-72745.000000;2975.000000;2090.492432
127;-71316.000000;2915.000000;1913.814575
128;-69595.000000;2844.000000;1728.100342
129;-67557.000000;2762.000000;1534.226440
130;-65232.000000;2666.000000;1333.108276
131;-62550.000000;2556.000000;1125.695679
