takt;q1;q2;q2p
0;269.000000;-12.000000;0.000000
1;465.000000;-16.000000;0.000000
2;540.000000;-20.000000;0.000000
3;546.000000;-21.000000;0.000000
4;440.000000;-18.000000;0.000000
5;240.000000;-9.000000;0.000000
6;41.000000;-2.000000;0.000000
7;-192.000000;6.000000;0.000000
8;-465.000000;18.000000;0.000000
9;-678.000000;26.000000;0.000000
10;-831.000000;32.000000;0.000000
11;-962.000000;37.000000;0.000000
12;-1047.000000;41.000000;0.000000
13;-1072.000000;42.000000;0.000000
14;-1077.000000;42.000000;0.000000
15;-1062.000000;42.000000;0.000000
16;-995.000000;40.000000;0.000000
17;-926.000000;38.000000;0.000000
18;-867.000000;35.000000;0.000000
19;-791.000000;32.000000;0.000000
20;-708.000000;28.000000;0.000000
21;-640.000000;26.000000;0.000000
22;-563.000000;22.000000;0.000000
23;-475.000000;19.000000;0.000000
24;-404.000000;16.000000;0.000000
25;-347.000000;14.000000;0.000000
26;-289.000000;12.000000;0.000000
27;-248.000000;10.000000;0.000000
28;-227.000000;9.000000;0.000000
29;-218.000000;9.000000;0.000000
30;-217.000000;8.000000;0.000000
31;-242.000000;8.000000;0.000000
32;-256.000000;9.000000;0.000000
33;-263.000000;9.000000;0.000000
34;-274.000000;10.000000;0.000000
35;-271.000000;10.000000;0.000000
36;-261.000000;10.000000;0.000000
37;-246.000000;10.000000;0.000000
38;-226.000000;9.000000;0.000000
39;-202.000000;8.000000;0.000000
40;-178.000000;7.000000;0.000000
41;-161.000000;6.000000;0.000000
42;-140.000000;5.000000;0.000000
43;-121.000000;4.000000;0.000000
44;-109.000000;4.000000;0.000000
45;-95.000000;3.000000;0.000000
46;-85.000000;3.000000;0.000000
47;-78.000000;3.000000;0.000000
48;-78.000000;2.000000;0.000000
49;-77.000000;2.000000;0.000000
50;-72.000000;2.000000;0.000000
51;-74.000000;2.000000;0.000000
52;-74.000000;2.000000;0.000000
53;-71.000000;2.000000;0.000000
54;-70.000000;2.000000;0.000000
55;-66.000000;2.000000;0.000000
56;-55.000000;2.000000;0.000000
57;-44.000000;1.000000;0.000000
58;-31.000000;1.000000;0.000000
59;-14.000000;0.000000;0.000000
60;-1.000000;-1.000000;0.000000
61;6.000000;-1.000000;0.000000
62;16.000000;-1.000000;0.000000
63;23.000000;-2.000000;0.000000
64;21.000000;-2.000000;0.000000
65;24.000000;-2.000000;0.000000
66;24.000000;-2.000000;0.000000
67;20.000000;-2.000000;0.000000
68;21.000000;-2.000000;0.000000
69;22.000000;-2.000000;0.000000
70;20.000000;-2.000000;0.000000
71;23.000000;-2.000000;0.000000
72;28.000000;-2.000000;0.000000
73;30.000000;-2.000000;0.000000
74;33.000000;-2.000000;0.000000
75;38.000000;-2.000000;0.000000
76;41.000000;-2.000000;0.000000
77;42.000000;-2.000000;0.000000
78;44.000000;-2.000000;0.000000
79;44.000000;-2.000000;0.000000
80;42.000000;-2.000000;0.000000
81;42.000000;-2.000000;0.000000
82;42.000000;-2.000000;0.000000
83;42.000000;-2.000000;0.000000
84;43.000000;-2.000000;0.000000
85;41.000000;-3.000000;0.000000
86;35.000000;-3.000000;0.000000
87;31.000000;-3.000000;0.000000
88;27.000000;-3.000000;0.000000
89;27.000000;-2.000000;0.000000
90;29.000000;-2.000000;0.000000
91;27.000000;-2.000000;0.000000
92;25.000000;-2.000000;0.000000
93;26.000000;-2.000000;0.000000
94;25.000000;-2.000000;0.000000
95;20.000000;-2.000000;0.000000
96;17.000000;-2.000000;0.000000
97;11.000000;-2.000000;0.000000
98;6.000000;-2.000000;0.000000
99;9.000000;-1.000000;0.000000
100;10.000000;-1.000000;0.000000
101;8.000000;-1.000000;0.000000
102;13.000000;-1.000000;0.000000
103;14.000000;-1.000000;0.000000
104;12.000000;-1.000000;0.000000
105;14.000000;-1.000000;0.000000
106;15.000000;-1.000000;0.000000
107;8.000000;-1.000000;0.000000
108;7.000000;-1.000000;0.000000
109;8.000000;-1.000000;0.000000
110;5.000000;-1.000000;0.000000
111;5.000000;-1.000000;0.000000
112;6.000000;-1.000000;0.000000
113;0.000000;-1.000000;0.000000
114;-2.000000;-1.000000;0.000000
115;0.000000;-1.000000;0.000000
116;-3.000000;-1.000000;0.000000
117;-6.000000;-1.000000;0.000000
118;-3.000000;-1.000000;0.000000
119;-5.000000;-1.000000;0.000000
120;-5.000000;-1.000000;0.000000
121;-2.000000;-1.000000;0.000000
122;-5.000000;-1.000000;0.000000
