takt;q1;q2;q2p
0;230.000000;-10.000000;0.000000
1;390.000000;-14.000000;0.000000
2;436.000000;-16.000000;0.000000
3;423.000000;-16.000000;0.000000
4;311.000000;-13.000000;0.000000
5;120.000000;-5.000000;0.000000
6;-57.000000;1.000000;0.000000
7;-264.000000;10.000000;0.000000
8;-506.000000;20.000000;0.000000
9;-688.000000;27.000000;0.000000
10;-812.000000;32.000000;0.000000
11;-921.000000;36.000000;0.000000
12;-985.000000;39.000000;0.000000
13;-999.000000;39.000000;0.000000
14;-996.000000;40.000000;0.000000
15;-975.000000;40.000000;0.000000
16;-907.000000;37.000000;0.000000
17;-832.000000;34.000000;0.000000
18;-761.000000;31.000000;0.000000
19;-686.000000;28.000000;0.000000
20;-603.000000;25.000000;0.000000
21;-537.000000;22.000000;0.000000
22;-467.000000;19.000000;0.000000
23;-391.000000;16.000000;0.000000
24;-337.000000;14.000000;0.000000
25;-291.000000;12.000000;0.000000
26;-246.000000;10.000000;0.000000
27;-206.000000;8.000000;0.000000
28;-188.000000;8.000000;0.000000
29;-176.000000;7.000000;0.000000
30;-164.000000;6.000000;0.000000
31;-171.000000;6.000000;0.000000
32;-174.000000;6.000000;0.000000
33;-172.000000;6.000000;0.000000
34;-176.000000;6.000000;0.000000
35;-172.000000;6.000000;0.000000
36;-164.000000;6.000000;0.000000
37;-154.000000;6.000000;0.000000
38;-139.000000;5.000000;0.000000
39;-117.000000;4.000000;0.000000
40;-97.000000;4.000000;0.000000
41;-79.000000;3.000000;0.000000
42;-57.000000;2.000000;0.000000
43;-38.000000;1.000000;0.000000
44;-17.000000;0.000000;0.000000
45;1.000000;0.000000;0.000000
46;14.000000;-1.000000;0.000000
47;25.000000;-2.000000;0.000000
48;28.000000;-2.000000;0.000000
49;31.000000;-2.000000;0.000000
50;31.000000;-2.000000;0.000000
51;29.000000;-2.000000;0.000000
52;30.000000;-2.000000;0.000000
53;28.000000;-2.000000;0.000000
54;28.000000;-2.000000;0.000000
55;30.000000;-2.000000;0.000000
56;31.000000;-2.000000;0.000000
57;32.000000;-2.000000;0.000000
58;33.000000;-2.000000;0.000000
59;35.000000;-2.000000;0.000000
60;36.000000;-2.000000;0.000000
61;38.000000;-2.000000;0.000000
62;38.000000;-2.000000;0.000000
63;36.000000;-2.000000;0.000000
64;36.000000;-2.000000;0.000000
65;34.000000;-2.000000;0.000000
66;32.000000;-2.000000;0.000000
67;29.000000;-2.000000;0.000000
68;26.000000;-2.000000;0.000000
69;24.000000;-2.000000;0.000000
70;24.000000;-2.000000;0.000000
71;23.000000;-2.000000;0.000000
72;24.000000;-2.000000;0.000000
73;24.000000;-2.000000;0.000000
74;23.000000;-2.000000;0.000000
75;23.000000;-2.000000;0.000000
76;23.000000;-2.000000;0.000000
77;21.000000;-2.000000;0.000000
78;20.000000;-2.000000;0.000000
79;18.000000;-2.000000;0.000000
80;15.000000;-2.000000;0.000000
81;12.000000;-2.000000;0.000000
82;8.000000;-2.000000;0.000000
83;8.000000;-1.000000;0.000000
84;9.000000;-1.000000;0.000000
85;8.000000;-1.000000;0.000000
86;10.000000;-1.000000;0.000000
87;9.000000;-1.000000;0.000000
88;7.000000;-1.000000;0.000000
89;7.000000;-1.000000;0.000000
90;6.000000;-1.000000;0.000000
91;2.000000;-1.000000;0.000000
92;2.000000;-1.000000;0.000000
93;1.000000;-1.000000;0.000000
94;0.000000;-1.000000;0.000000
95;-1.000000;-1.000000;0.000000
96;-5.000000;-1.000000;0.000000
97;-8.000000;-1.000000;0.000000
98;-10.000000;-1.000000;0.000000
99;-11.000000;-1.000000;0.000000
100;-12.000000;-1.000000;0.000000
101;-13.000000;-1.000000;0.000000
102;-13.000000;-1.000000;0.000000
103;-13.000000;-1.000000;0.000000
104;-13.000000;-1.000000;0.000000
105;-15.000000;-1.000000;0.000000
106;-17.000000;-1.000000;0.000000
107;-13.000000;0.000000;0.000000
108;-13.000000;0.000000;0.000000
109;-13.000000;0.000000;0.000000
110;-11.000000;0.000000;0.000000
111;-15.000000;0.000000;0.000000
112;-14.000000;0.000000;0.000000
113;-13.000000;0.000000;0.000000
114;-14.000000;0.000000;0.000000
115;-13.000000;0.000000;0.000000
116;-13.000000;0.000000;0.000000
117;-10.000000;0.000000;0.000000
118;-8.000000;0.000000;0.000000
119;-8.000000;0.000000;0.000000
120;-8.000000;0.000000;0.000000
121;-7.000000;0.000000;0.000000
122;-7.000000;0.000000;0.000000
123;-7.000000;0.000000;0.000000
124;-6.000000;0.000000;0.000000
125;-6.000000;0.000000;0.000000
126;-6.000000;0.000000;0.000000
127;-4.000000;0.000000;0.000000
128;-3.000000;0.000000;0.000000
129;-2.000000;0.000000;0.000000
130;0.000000;0.000000;0.000000
131;0.000000;0.000000;0.000000
132;2.000000;0.000000;0.000000
133;4.000000;-1.000000;0.000000
134;-1.000000;-1.000000;0.000000
135;-1.000000;-1.000000;0.000000
136;-2.000000;-1.000000;0.000000
137;-2.000000;-1.000000;0.000000
138;0.000000;-1.000000;0.000000
139;-1.000000;-1.000000;0.000000
140;-1.000000;-1.000000;0.000000
141;-1.000000;-1.000000;0.000000
142;-1.000000;-1.000000;0.000000
143;-1.000000;-1.000000;0.000000
144;-3.000000;-1.000000;0.000000
145;-2.000000;-1.000000;0.000000
146;-1.000000;-1.000000;0.000000
147;-1.000000;-1.000000;0.000000
148;-1.000000;-1.000000;0.000000
149;-2.000000;-1.000000;0.000000
150;-2.000000;-1.000000;0.000000
151;-1.000000;-1.000000;0.000000
152;-1.000000;-1.000000;0.000000
153;-2.000000;-1.000000;0.000000
154;-2.000000;-1.000000;0.000000
155;-2.000000;-1.000000;0.000000
156;-3.000000;-1.000000;0.000000
157;-2.000000;-1.000000;0.000000
158;-2.000000;-1.000000;0.000000
159;-3.000000;-1.000000;0.000000
160;-2.000000;-1.000000;0.000000
161;-3.000000;-1.000000;0.000000
162;-3.000000;-1.000000;0.000000
163;-3.000000;-1.000000;0.000000
164;-3.000000;-1.000000;0.000000
165;-3.000000;-1.000000;0.000000
166;-2.000000;-1.000000;0.000000
167;-3.000000;-1.000000;0.000000
168;-3.000000;-1.000000;0.000000
169;-2.000000;-1.000000;0.000000
170;-4.000000;-1.000000;0.000000
171;-3.000000;-1.000000;0.000000
172;-4.000000;-1.000000;0.000000
173;-4.000000;-1.000000;0.000000
174;-3.000000;-1.000000;0.000000
175;-4.000000;-1.000000;0.000000
176;-3.000000;-1.000000;0.000000
177;-4.000000;-1.000000;0.000000
178;-3.000000;-1.000000;0.000000
179;-3.000000;-1.000000;0.000000
180;-4.000000;-1.000000;0.000000
181;-3.000000;-1.000000;0.000000
182;-4.000000;-1.000000;0.000000
183;-4.000000;-1.000000;0.000000
184;-4.000000;-1.000000;0.000000
185;-5.000000;-1.000000;0.000000
186;-5.000000;-1.000000;0.000000
187;-4.000000;-1.000000;0.000000
188;-5.000000;-1.000000;0.000000
189;-5.000000;-1.000000;0.000000
190;-5.000000;-1.000000;0.000000
191;-5.000000;-1.000000;0.000000
192;-4.000000;-1.000000;0.000000
193;-4.000000;-1.000000;0.000000
194;-5.000000;-1.000000;0.000000
195;-4.000000;-1.000000;0.000000
196;-5.000000;-1.000000;0.000000
197;-5.000000;-1.000000;0.000000
198;-4.000000;-1.000000;0.000000
199;-5.000000;-1.000000;0.000000
200;-4.000000;-1.000000;0.000000
201;-4.000000;-1.000000;0.000000
202;-5.000000;-1.000000;0.000000
203;-4.000000;-1.000000;0.000000
204;-5.000000;-1.000000;0.000000
205;-5.000000;-1.000000;0.000000
206;-4.000000;-1.000000;0.000000
207;-4.000000;-1.000000;0.000000
