takt;q1;q2;q2p
0;244.000000;-10.000000;0.000000
1;418.000000;-14.000000;0.000000
2;478.000000;-17.000000;0.000000
3;470.000000;-18.000000;0.000000
4;364.000000;-14.000000;0.000000
5;176.000000;-6.000000;0.000000
6;-10.000000;0.000000;0.000000
7;-229.000000;9.000000;0.000000
8;-482.000000;19.000000;0.000000
9;-684.000000;28.000000;0.000000
10;-819.000000;33.000000;0.000000
11;-920.000000;37.000000;0.000000
12;-976.000000;39.000000;0.000000
13;-980.000000;39.000000;0.000000
14;-965.000000;39.000000;0.000000
15;-928.000000;38.000000;0.000000
16;-851.000000;35.000000;0.000000
17;-768.000000;32.000000;0.000000
18;-685.000000;29.000000;0.000000
19;-601.000000;25.000000;0.000000
20;-516.000000;22.000000;0.000000
21;-438.000000;18.000000;0.000000
22;-360.000000;15.000000;0.000000
23;-274.000000;11.000000;0.000000
24;-195.000000;8.000000;0.000000
25;-126.000000;6.000000;0.000000
26;-57.000000;3.000000;0.000000
27;4.000000;0.000000;0.000000
28;48.000000;-1.000000;0.000000
29;81.000000;-3.000000;0.000000
30;102.000000;-4.000000;0.000000
31;103.000000;-4.000000;0.000000
32;102.000000;-4.000000;0.000000
33;100.000000;-4.000000;0.000000
34;96.000000;-4.000000;0.000000
35;91.000000;-4.000000;0.000000
36;90.000000;-4.000000;0.000000
37;92.000000;-4.000000;0.000000
38;94.000000;-4.000000;0.000000
39;99.000000;-4.000000;0.000000
40;100.000000;-4.000000;0.000000
41;97.000000;-4.000000;0.000000
42;96.000000;-4.000000;0.000000
43;96.000000;-4.000000;0.000000
44;91.000000;-4.000000;0.000000
45;87.000000;-4.000000;0.000000
46;86.000000;-4.000000;0.000000
47;79.000000;-4.000000;0.000000
48;72.000000;-4.000000;0.000000
49;69.000000;-4.000000;0.000000
50;64.000000;-3.000000;0.000000
51;55.000000;-3.000000;0.000000
52;51.000000;-3.000000;0.000000
53;49.000000;-2.000000;0.000000
54;42.000000;-2.000000;0.000000
55;37.000000;-2.000000;0.000000
56;36.000000;-2.000000;0.000000
57;31.000000;-2.000000;0.000000
58;27.000000;-2.000000;0.000000
59;27.000000;-2.000000;0.000000
60;25.000000;-2.000000;0.000000
61;21.000000;-1.000000;0.000000
62;20.000000;-1.000000;0.000000
63;14.000000;-1.000000;0.000000
64;7.000000;-1.000000;0.000000
65;-2.000000;0.000000;0.000000
66;-13.000000;0.000000;0.000000
67;-27.000000;1.000000;0.000000
68;-35.000000;1.000000;0.000000
69;-46.000000;1.000000;0.000000
70;-52.000000;2.000000;0.000000
71;-55.000000;2.000000;0.000000
72;-59.000000;2.000000;0.000000
73;-57.000000;2.000000;0.000000
74;-60.000000;2.000000;0.000000
75;-60.000000;2.000000;0.000000
76;-61.000000;2.000000;0.000000
77;-63.000000;2.000000;0.000000
78;-62.000000;2.000000;0.000000
79;-63.000000;2.000000;0.000000
80;-61.000000;2.000000;0.000000
81;-60.000000;2.000000;0.000000
82;-60.000000;2.000000;0.000000
83;-59.000000;2.000000;0.000000
84;-58.000000;2.000000;0.000000
85;-57.000000;2.000000;0.000000
86;-54.000000;2.000000;0.000000
87;-52.000000;2.000000;0.000000
88;-52.000000;2.000000;0.000000
89;-50.000000;2.000000;0.000000
90;-50.000000;2.000000;0.000000
91;-49.000000;2.000000;0.000000
92;-44.000000;2.000000;0.000000
93;-40.000000;2.000000;0.000000
94;-34.000000;2.000000;0.000000
95;-29.000000;1.000000;0.000000
96;-25.000000;1.000000;0.000000
97;-20.000000;1.000000;0.000000
