takt;q1;q2;q2p
0;271.000000;-11.000000;0.000000
1;469.000000;-16.000000;0.000000
2;549.000000;-19.000000;0.000000
3;555.000000;-20.000000;0.000000
4;444.000000;-17.000000;0.000000
5;232.000000;-8.000000;0.000000
6;17.000000;0.000000;0.000000
7;-232.000000;9.000000;0.000000
8;-528.000000;21.000000;0.000000
9;-766.000000;31.000000;0.000000
10;-933.000000;37.000000;0.000000
11;-1074.000000;42.000000;0.000000
12;-1154.000000;46.000000;0.000000
13;-1166.000000;46.000000;0.000000
14;-1149.000000;46.000000;0.000000
15;-1097.000000;44.000000;0.000000
16;-985.000000;40.000000;0.000000
17;-850.000000;35.000000;0.000000
18;-709.000000;29.000000;0.000000
19;-555.000000;23.000000;0.000000
20;-390.000000;16.000000;0.000000
21;-230.000000;10.000000;0.000000
22;-82.000000;4.000000;0.000000
23;71.000000;-2.000000;0.000000
24;193.000000;-7.000000;0.000000
25;288.000000;-11.000000;0.000000
26;362.000000;-14.000000;0.000000
27;406.000000;-16.000000;0.000000
28;409.000000;-16.000000;0.000000
29;386.000000;-16.000000;0.000000
30;341.000000;-14.000000;0.000000
31;271.000000;-11.000000;0.000000
32;194.000000;-8.000000;0.000000
33;117.000000;-5.000000;0.000000
34;54.000000;-3.000000;0.000000
35;-11.000000;0.000000;0.000000
36;-60.000000;2.000000;0.000000
37;-92.000000;3.000000;0.000000
38;-106.000000;4.000000;0.000000
39;-104.000000;4.000000;0.000000
40;-87.000000;4.000000;0.000000
41;-56.000000;3.000000;0.000000
42;-30.000000;2.000000;0.000000
43;0.000000;1.000000;0.000000
44;29.000000;0.000000;0.000000
45;52.000000;-1.000000;0.000000
46;63.000000;-2.000000;0.000000
47;75.000000;-3.000000;0.000000
48;66.000000;-3.000000;0.000000
49;44.000000;-2.000000;0.000000
50;30.000000;-1.000000;0.000000
51;13.000000;-1.000000;0.000000
52;-9.000000;0.000000;0.000000
53;-20.000000;1.000000;0.000000
54;-22.000000;1.000000;0.000000
55;-33.000000;1.000000;0.000000
56;-33.000000;2.000000;0.000000
57;-17.000000;2.000000;0.000000
58;-16.000000;1.000000;0.000000
59;-12.000000;1.000000;0.000000
60;8.000000;0.000000;0.000000
61;11.000000;0.000000;0.000000
62;12.000000;0.000000;0.000000
63;24.000000;0.000000;0.000000
64;24.000000;-1.000000;0.000000
65;12.000000;-1.000000;0.000000
66;7.000000;-1.000000;0.000000
67;3.000000;0.000000;0.000000
68;-8.000000;0.000000;0.000000
69;-18.000000;0.000000;0.000000
70;-14.000000;1.000000;0.000000
71;-14.000000;1.000000;0.000000
72;-20.000000;1.000000;0.000000
73;-8.000000;1.000000;0.000000
74;4.000000;0.000000;0.000000
75;-4.000000;0.000000;0.000000
76;-3.000000;0.000000;0.000000
77;8.000000;0.000000;0.000000
78;1.000000;0.000000;0.000000
79;-4.000000;0.000000;0.000000
80;3.000000;0.000000;0.000000
81;2.000000;0.000000;0.000000
82;-9.000000;0.000000;0.000000
83;-4.000000;0.000000;0.000000
84;2.000000;0.000000;0.000000
85;-5.000000;0.000000;0.000000
86;-6.000000;0.000000;0.000000
87;6.000000;0.000000;0.000000
88;6.000000;0.000000;0.000000
89;-1.000000;0.000000;0.000000
90;7.000000;0.000000;0.000000
91;10.000000;0.000000;0.000000
92;2.000000;0.000000;0.000000
93;2.000000;0.000000;0.000000
94;9.000000;0.000000;0.000000
95;1.000000;0.000000;0.000000
96;-5.000000;0.000000;0.000000
97;4.000000;0.000000;0.000000
98;2.000000;0.000000;0.000000
99;-7.000000;0.000000;0.000000
100;-3.000000;0.000000;0.000000
101;2.000000;0.000000;0.000000
102;-5.000000;0.000000;0.000000
103;-5.000000;0.000000;0.000000
104;3.000000;0.000000;0.000000
105;-1.000000;0.000000;0.000000
106;-9.000000;0.000000;0.000000
107;-5.000000;0.000000;0.000000
108;-5.000000;0.000000;0.000000
109;-16.000000;0.000000;0.000000
110;-12.000000;1.000000;0.000000
111;-1.000000;1.000000;0.000000
112;-3.000000;1.000000;0.000000
113;-1.000000;1.000000;0.000000
114;12.000000;0.000000;0.000000
115;7.000000;0.000000;0.000000
116;-1.000000;0.000000;0.000000
117;4.000000;0.000000;0.000000
118;2.000000;0.000000;0.000000
119;-8.000000;0.000000;0.000000
120;-7.000000;0.000000;0.000000
121;-4.000000;0.000000;0.000000
122;-7.000000;0.000000;0.000000
123;-6.000000;0.000000;0.000000
124;2.000000;0.000000;0.000000
125;3.000000;0.000000;0.000000
126;3.000000;0.000000;0.000000
127;9.000000;0.000000;0.000000
128;15.000000;0.000000;0.000000
129;14.000000;0.000000;0.000000
130;15.000000;0.000000;0.000000
131;20.000000;0.000000;0.000000
132;18.000000;0.000000;0.000000
133;15.000000;0.000000;0.000000
134;18.000000;0.000000;0.000000
135;17.000000;0.000000;0.000000
136;11.000000;0.000000;0.000000
137;12.000000;0.000000;0.000000
138;13.000000;0.000000;0.000000
139;7.000000;0.000000;0.000000
140;6.000000;0.000000;0.000000
141;9.000000;0.000000;0.000000
142;7.000000;0.000000;0.000000
143;4.000000;0.000000;0.000000
144;8.000000;0.000000;0.000000
145;8.000000;0.000000;0.000000
146;2.000000;0.000000;0.000000
147;3.000000;0.000000;0.000000
148;5.000000;0.000000;0.000000
149;-1.000000;0.000000;0.000000
150;-3.000000;0.000000;0.000000
151;0.000000;0.000000;0.000000
152;-4.000000;0.000000;0.000000
153;-10.000000;0.000000;0.000000
154;-9.000000;0.000000;0.000000
