takt;q1;q2;q2p
0;217.000000;-9.000000;0.000000
1;450.000000;-17.000000;0.000000
2;668.000000;-17.000000;0.000000
3;786.000000;-14.000000;0.000000
4;823.000000;-16.000000;0.000000
5;793.000000;-15.000000;0.000000
6;659.000000;-11.000000;0.000000
7;463.000000;-1.000000;0.000000
8;256.000000;5.000000;0.000000
9;9.000000;13.000000;0.000000
10;-262.000000;25.000000;0.000000
11;-483.000000;34.000000;0.000000
12;-681.000000;42.000000;0.000000
13;-887.000000;48.000000;0.000000
14;-1078.000000;51.000000;0.000000
15;-1251.000000;51.000000;0.000000
16;-1386.000000;56.000000;0.000000
17;-1488.000000;59.000000;0.000000
18;-1516.000000;60.000000;0.000000
19;-1493.000000;60.000000;0.000000
20;-1455.000000;59.000000;0.000000
21;-1372.000000;55.000000;0.000000
22;-1263.000000;51.000000;0.000000
23;-1154.000000;47.000000;0.000000
24;-1051.000000;42.000000;0.000000
25;-939.000000;38.000000;0.000000
26;-843.000000;34.000000;0.000000
27;-755.000000;31.000000;0.000000
28;-673.000000;28.000000;0.000000
29;-598.000000;25.000000;0.000000
30;-539.000000;23.000000;0.000000
31;-491.000000;21.000000;0.000000
32;-453.000000;21.000000;0.000000
33;-433.000000;21.000000;0.000000
34;-429.000000;24.000000;0.000000
35;-431.000000;27.000000;0.000000
36;-436.000000;29.000000;0.000000
37;-440.000000;30.000000;0.000000
38;-441.000000;30.000000;0.000000
39;-439.000000;27.000000;0.000000
40;-439.000000;26.000000;0.000000
41;-437.000000;26.000000;0.000000
42;-436.000000;29.000000;0.000000
43;-437.000000;32.000000;0.000000
44;-443.000000;33.000000;0.000000
45;-445.000000;32.000000;0.000000
46;-442.000000;32.000000;0.000000
47;-436.000000;32.000000;0.000000
48;-435.000000;32.000000;0.000000
49;-437.000000;32.000000;0.000000
50;-438.000000;32.000000;0.000000
51;-439.000000;32.000000;0.000000
52;-441.000000;32.000000;0.000000
53;-443.000000;32.000000;0.000000
54;-443.000000;33.000000;0.000000
55;-442.000000;33.000000;0.000000
56;-440.000000;33.000000;0.000000
57;-442.000000;33.000000;0.000000
58;-444.000000;33.000000;0.000000
59;-446.000000;33.000000;0.000000
60;-445.000000;33.000000;0.000000
