takt;q1;q2;q2p
0;240.000000;-10.000000;0.000000
1;462.000000;-16.000000;0.000000
2;573.000000;-4.000000;0.000000
3;576.000000;-7.000000;0.000000
4;510.000000;-5.000000;0.000000
5;345.000000;1.000000;0.000000
6;121.000000;10.000000;0.000000
7;-77.000000;15.000000;0.000000
8;-298.000000;21.000000;0.000000
9;-580.000000;27.000000;0.000000
10;-813.000000;31.000000;0.000000
11;-942.000000;36.000000;0.000000
12;-1022.000000;39.000000;0.000000
13;-1030.000000;40.000000;0.000000
14;-937.000000;37.000000;0.000000
15;-842.000000;33.000000;0.000000
16;-752.000000;30.000000;0.000000
17;-593.000000;24.000000;0.000000
18;-442.000000;17.000000;0.000000
19;-342.000000;14.000000;0.000000
20;-244.000000;10.000000;0.000000
21;-157.000000;5.000000;0.000000
22;-115.000000;4.000000;0.000000
23;-92.000000;4.000000;0.000000
24;-46.000000;3.000000;0.000000
25;-22.000000;0.000000;0.000000
26;-19.000000;0.000000;0.000000
27;5.000000;-1.000000;0.000000
28;24.000000;-2.000000;0.000000
29;12.000000;-2.000000;0.000000
30;11.000000;-1.000000;0.000000
31;10.000000;-1.000000;0.000000
32;-6.000000;-1.000000;0.000000
33;-13.000000;-1.000000;0.000000
34;-10.000000;-1.000000;0.000000
35;-12.000000;-1.000000;0.000000
36;-7.000000;-1.000000;0.000000
37;-1.000000;-1.000000;0.000000
38;3.000000;-1.000000;0.000000
39;17.000000;-1.000000;0.000000
40;29.000000;-2.000000;0.000000
41;38.000000;-2.000000;0.000000
42;52.000000;-3.000000;0.000000
43;62.000000;-3.000000;0.000000
44;67.000000;-3.000000;0.000000
45;78.000000;-3.000000;0.000000
46;83.000000;-4.000000;0.000000
47;81.000000;-4.000000;0.000000
48;84.000000;-4.000000;0.000000
49;79.000000;-4.000000;0.000000
50;74.000000;-4.000000;0.000000
51;73.000000;-4.000000;0.000000
52;67.000000;-4.000000;0.000000
53;65.000000;-4.000000;0.000000
54;66.000000;-4.000000;0.000000
55;62.000000;-4.000000;0.000000
56;62.000000;-4.000000;0.000000
57;62.000000;-4.000000;0.000000
58;59.000000;-3.000000;0.000000
59;63.000000;-3.000000;0.000000
60;64.000000;-3.000000;0.000000
61;64.000000;-3.000000;0.000000
62;64.000000;-3.000000;0.000000
63;57.000000;-3.000000;0.000000
64;49.000000;-3.000000;0.000000
65;39.000000;-3.000000;0.000000
66;24.000000;-2.000000;0.000000
67;4.000000;-1.000000;0.000000
68;-20.000000;0.000000;0.000000
69;-46.000000;1.000000;0.000000
70;-69.000000;2.000000;0.000000
71;-86.000000;2.000000;0.000000
72;-94.000000;3.000000;0.000000
73;-96.000000;3.000000;0.000000
74;-90.000000;3.000000;0.000000
75;-88.000000;3.000000;0.000000
76;-89.000000;3.000000;0.000000
77;-89.000000;3.000000;0.000000
78;-94.000000;3.000000;0.000000
79;-93.000000;3.000000;0.000000
80;-89.000000;3.000000;0.000000
81;-89.000000;3.000000;0.000000
82;-82.000000;3.000000;0.000000
83;-72.000000;2.000000;0.000000
84;-65.000000;2.000000;0.000000
85;-54.000000;2.000000;0.000000
86;-44.000000;1.000000;0.000000
87;-37.000000;1.000000;0.000000
88;-23.000000;0.000000;0.000000
89;-9.000000;0.000000;0.000000
90;1.000000;0.000000;0.000000
91;10.000000;-1.000000;0.000000
92;17.000000;-1.000000;0.000000
93;22.000000;-1.000000;0.000000
94;26.000000;-1.000000;0.000000
95;27.000000;-2.000000;0.000000
96;27.000000;-2.000000;0.000000
97;28.000000;-2.000000;0.000000
98;28.000000;-2.000000;0.000000
99;29.000000;-2.000000;0.000000
100;31.000000;-2.000000;0.000000
101;32.000000;-2.000000;0.000000
102;32.000000;-2.000000;0.000000
103;34.000000;-2.000000;0.000000
104;33.000000;-2.000000;0.000000
105;32.000000;-2.000000;0.000000
106;34.000000;-2.000000;0.000000
107;33.000000;-2.000000;0.000000
108;34.000000;-2.000000;0.000000
109;35.000000;-2.000000;0.000000
110;31.000000;-2.000000;0.000000
111;33.000000;-2.000000;0.000000
112;33.000000;-2.000000;0.000000
113;31.000000;-2.000000;0.000000
114;33.000000;-2.000000;0.000000
115;31.000000;-2.000000;0.000000
116;29.000000;-2.000000;0.000000
117;31.000000;-2.000000;0.000000
118;30.000000;-2.000000;0.000000
119;29.000000;-2.000000;0.000000
120;31.000000;-2.000000;0.000000
121;30.000000;-2.000000;0.000000
122;30.000000;-2.000000;0.000000
123;30.000000;-2.000000;0.000000
124;29.000000;-2.000000;0.000000
125;28.000000;-2.000000;0.000000
126;29.000000;-2.000000;0.000000
127;28.000000;-2.000000;0.000000
128;27.000000;-2.000000;0.000000
129;25.000000;-2.000000;0.000000
130;22.000000;-2.000000;0.000000
131;19.000000;-2.000000;0.000000
132;14.000000;-2.000000;0.000000
133;8.000000;-1.000000;0.000000
134;2.000000;-1.000000;0.000000
135;-5.000000;-1.000000;0.000000
136;-12.000000;-1.000000;0.000000
137;-20.000000;0.000000;0.000000
138;-28.000000;0.000000;0.000000
139;-35.000000;0.000000;0.000000
140;-41.000000;1.000000;0.000000
141;-44.000000;1.000000;0.000000
142;-47.000000;1.000000;0.000000
143;-48.000000;1.000000;0.000000
144;-47.000000;1.000000;0.000000
145;-47.000000;1.000000;0.000000
146;-47.000000;1.000000;0.000000
147;-46.000000;1.000000;0.000000
148;-47.000000;1.000000;0.000000
149;-47.000000;1.000000;0.000000
150;-46.000000;1.000000;0.000000
151;-46.000000;1.000000;0.000000
152;-45.000000;1.000000;0.000000
153;-44.000000;1.000000;0.000000
154;-46.000000;1.000000;0.000000
155;-44.000000;1.000000;0.000000
156;-44.000000;1.000000;0.000000
157;-45.000000;1.000000;0.000000
158;-40.000000;1.000000;0.000000
159;-39.000000;1.000000;0.000000
160;-37.000000;1.000000;0.000000
161;-30.000000;0.000000;0.000000
162;-28.000000;0.000000;0.000000
163;-26.000000;0.000000;0.000000
164;-18.000000;0.000000;0.000000
165;-12.000000;0.000000;0.000000
166;-7.000000;0.000000;0.000000
167;3.000000;-1.000000;0.000000
168;9.000000;-1.000000;0.000000
169;10.000000;-1.000000;0.000000
170;17.000000;-1.000000;0.000000
171;22.000000;-2.000000;0.000000
172;20.000000;-2.000000;0.000000
173;25.000000;-2.000000;0.000000
174;28.000000;-2.000000;0.000000
175;25.000000;-2.000000;0.000000
176;31.000000;-2.000000;0.000000
177;31.000000;-2.000000;0.000000
178;31.000000;-2.000000;0.000000
179;36.000000;-2.000000;0.000000
180;35.000000;-2.000000;0.000000
181;35.000000;-2.000000;0.000000
182;37.000000;-2.000000;0.000000
183;35.000000;-2.000000;0.000000
184;36.000000;-2.000000;0.000000
185;36.000000;-2.000000;0.000000
186;33.000000;-2.000000;0.000000
187;35.000000;-2.000000;0.000000
188;35.000000;-2.000000;0.000000
189;33.000000;-2.000000;0.000000
190;35.000000;-2.000000;0.000000
191;32.000000;-2.000000;0.000000
192;32.000000;-2.000000;0.000000
193;34.000000;-2.000000;0.000000
194;32.000000;-2.000000;0.000000
195;33.000000;-2.000000;0.000000
196;33.000000;-2.000000;0.000000
197;31.000000;-2.000000;0.000000
198;32.000000;-2.000000;0.000000
199;32.000000;-2.000000;0.000000
200;31.000000;-2.000000;0.000000
201;31.000000;-2.000000;0.000000
202;31.000000;-2.000000;0.000000
203;29.000000;-2.000000;0.000000
204;28.000000;-2.000000;0.000000
205;26.000000;-2.000000;0.000000
206;22.000000;-2.000000;0.000000
207;18.000000;-2.000000;0.000000
208;12.000000;-1.000000;0.000000
209;5.000000;-1.000000;0.000000
210;-3.000000;-1.000000;0.000000
211;-12.000000;-1.000000;0.000000
212;-23.000000;0.000000;0.000000
213;-32.000000;0.000000;0.000000
214;-41.000000;1.000000;0.000000
215;-46.000000;1.000000;0.000000
216;-48.000000;1.000000;0.000000
217;-50.000000;1.000000;0.000000
218;-50.000000;1.000000;0.000000
219;-50.000000;1.000000;0.000000
220;-50.000000;1.000000;0.000000
221;-50.000000;1.000000;0.000000
222;-50.000000;1.000000;0.000000
223;-50.000000;1.000000;0.000000
