takt;q1;q2;q2p
0;254.000000;-11.000000;0.000000
1;519.000000;-20.000000;0.000000
2;777.000000;-19.000000;0.000000
3;895.000000;-19.000000;0.000000
4;994.000000;-22.000000;0.000000
5;1021.000000;-23.000000;0.000000
6;874.000000;-20.000000;0.000000
7;746.000000;-14.000000;0.000000
8;551.000000;-7.000000;0.000000
9;277.000000;4.000000;0.000000
10;10.000000;14.000000;0.000000
11;-267.000000;24.000000;0.000000
12;-561.000000;37.000000;0.000000
13;-869.000000;49.000000;0.000000
14;-1146.000000;60.000000;0.000000
15;-1444.000000;70.000000;0.000000
16;-1740.000000;75.000000;0.000000
17;-1989.000000;79.000000;0.000000
18;-2206.000000;88.000000;0.000000
19;-2387.000000;95.000000;0.000000
20;-2518.000000;101.000000;0.000000
21;-2590.000000;103.000000;0.000000
22;-2659.000000;107.000000;0.000000
23;-2661.000000;107.000000;0.000000
24;-2626.000000;107.000000;0.000000
25;-2585.000000;105.000000;0.000000
26;-2506.000000;102.000000;0.000000
27;-2416.000000;99.000000;0.000000
28;-2322.000000;95.000000;0.000000
29;-2221.000000;92.000000;0.000000
30;-2111.000000;88.000000;0.000000
31;-2017.000000;86.000000;0.000000
32;-1926.000000;86.000000;0.000000
33;-1820.000000;88.000000;0.000000
34;-1765.000000;86.000000;0.000000
35;-1680.000000;83.000000;0.000000
36;-1624.000000;81.000000;0.000000
37;-1609.000000;80.000000;0.000000
38;-1592.000000;80.000000;0.000000
39;-1602.000000;80.000000;0.000000
40;-1642.000000;81.000000;0.000000
41;-1692.000000;83.000000;0.000000
42;-1745.000000;85.000000;0.000000
43;-1824.000000;88.000000;0.000000
44;-1901.000000;92.000000;0.000000
45;-1972.000000;93.000000;0.000000
46;-2061.000000;95.000000;0.000000
47;-2126.000000;96.000000;0.000000
48;-2194.000000;97.000000;0.000000
49;-2265.000000;97.000000;0.000000
50;-2314.000000;97.000000;0.000000
51;-2371.000000;96.000000;0.000000
52;-2409.000000;99.000000;0.000000
53;-2440.000000;100.000000;0.000000
54;-2464.000000;100.000000;0.000000
55;-2482.000000;101.000000;0.000000
56;-2483.000000;101.000000;0.000000
57;-2477.000000;101.000000;0.000000
58;-2461.000000;101.000000;0.000000
59;-2439.000000;100.000000;0.000000
60;-2413.000000;99.000000;0.000000
