takt;q1;q2;q2p
0;268.000000;-11.000000;0.000000
1;531.000000;-21.000000;0.000000
2;797.000000;-18.000000;0.000000
3;948.000000;-22.000000;0.000000
4;1007.000000;-23.000000;0.000000
5;1015.000000;-24.000000;0.000000
6;910.000000;-22.000000;0.000000
7;742.000000;-14.000000;0.000000
8;553.000000;-8.000000;0.000000
9;293.000000;1.000000;0.000000
10;-1.000000;13.000000;0.000000
11;-284.000000;24.000000;0.000000
12;-558.000000;35.000000;0.000000
13;-853.000000;45.000000;0.000000
14;-1135.000000;55.000000;0.000000
15;-1391.000000;63.000000;0.000000
16;-1658.000000;70.000000;0.000000
17;-1895.000000;75.000000;0.000000
18;-2094.000000;84.000000;0.000000
19;-2275.000000;92.000000;0.000000
20;-2412.000000;97.000000;0.000000
21;-2499.000000;100.000000;0.000000
22;-2555.000000;103.000000;0.000000
23;-2575.000000;103.000000;0.000000
24;-2555.000000;103.000000;0.000000
25;-2526.000000;103.000000;0.000000
26;-2484.000000;101.000000;0.000000
27;-2424.000000;98.000000;0.000000
28;-2362.000000;96.000000;0.000000
29;-2297.000000;94.000000;0.000000
30;-2234.000000;91.000000;0.000000
31;-2167.000000;89.000000;0.000000
32;-2111.000000;87.000000;0.000000
33;-2054.000000;87.000000;0.000000
34;-2002.000000;87.000000;0.000000
35;-1959.000000;89.000000;0.000000
36;-1923.000000;91.000000;0.000000
37;-1899.000000;91.000000;0.000000
38;-1882.000000;90.000000;0.000000
39;-1874.000000;89.000000;0.000000
40;-1867.000000;89.000000;0.000000
41;-1867.000000;89.000000;0.000000
42;-1878.000000;90.000000;0.000000
43;-1885.000000;90.000000;0.000000
44;-1891.000000;91.000000;0.000000
45;-1897.000000;91.000000;0.000000
46;-1899.000000;91.000000;0.000000
47;-1901.000000;91.000000;0.000000
48;-1901.000000;91.000000;0.000000
49;-1902.000000;91.000000;0.000000
50;-1902.000000;91.000000;0.000000
51;-1905.000000;91.000000;0.000000
52;-1907.000000;91.000000;0.000000
53;-1909.000000;92.000000;0.000000
54;-1909.000000;92.000000;0.000000
55;-1909.000000;92.000000;0.000000
56;-1910.000000;92.000000;0.000000
57;-1909.000000;92.000000;0.000000
58;-1913.000000;92.000000;0.000000
59;-1914.000000;92.000000;0.000000
60;-1915.000000;92.000000;0.000000
61;-1916.000000;92.000000;0.000000
62;-1917.000000;92.000000;0.000000
63;-1916.000000;92.000000;0.000000
64;-1918.000000;92.000000;0.000000
65;-1920.000000;92.000000;0.000000
66;-1919.000000;92.000000;0.000000
67;-1923.000000;92.000000;0.000000
68;-1925.000000;92.000000;0.000000
69;-1926.000000;92.000000;0.000000
70;-1932.000000;93.000000;0.000000
71;-1934.000000;93.000000;0.000000
72;-1937.000000;93.000000;0.000000
73;-1944.000000;93.000000;0.000000
74;-1951.000000;93.000000;0.000000
75;-1956.000000;94.000000;0.000000
76;-1967.000000;94.000000;0.000000
77;-1976.000000;94.000000;0.000000
78;-1982.000000;95.000000;0.000000
79;-1990.000000;95.000000;0.000000
80;-1997.000000;95.000000;0.000000
81;-2003.000000;96.000000;0.000000
82;-2008.000000;96.000000;0.000000
83;-2010.000000;96.000000;0.000000
84;-2013.000000;96.000000;0.000000
85;-2015.000000;96.000000;0.000000
86;-2014.000000;96.000000;0.000000
87;-2015.000000;96.000000;0.000000
