takt;q1;q2;q2p
0;249.000000;-10.000000;0.000000
1;501.000000;-19.000000;0.000000
2;749.000000;-19.000000;0.000000
3;867.000000;-18.000000;0.000000
4;929.000000;-21.000000;0.000000
5;944.000000;-20.000000;0.000000
6;813.000000;-17.000000;0.000000
7;652.000000;-10.000000;0.000000
8;446.000000;-3.000000;0.000000
9;154.000000;8.000000;0.000000
10;-127.000000;18.000000;0.000000
11;-407.000000;30.000000;0.000000
12;-708.000000;41.000000;0.000000
13;-992.000000;54.000000;0.000000
14;-1279.000000;64.000000;0.000000
15;-1568.000000;68.000000;0.000000
16;-1781.000000;71.000000;0.000000
17;-1976.000000;79.000000;0.000000
18;-2127.000000;84.000000;0.000000
19;-2220.000000;89.000000;0.000000
20;-2265.000000;91.000000;0.000000
21;-2277.000000;92.000000;0.000000
22;-2237.000000;91.000000;0.000000
23;-2135.000000;87.000000;0.000000
24;-2035.000000;84.000000;0.000000
25;-1916.000000;79.000000;0.000000
26;-1778.000000;74.000000;0.000000
27;-1649.000000;68.000000;0.000000
28;-1509.000000;63.000000;0.000000
29;-1366.000000;58.000000;0.000000
30;-1242.000000;56.000000;0.000000
31;-1120.000000;56.000000;0.000000
32;-1023.000000;57.000000;0.000000
33;-924.000000;52.000000;0.000000
34;-830.000000;50.000000;0.000000
35;-785.000000;47.000000;0.000000
36;-771.000000;47.000000;0.000000
37;-768.000000;46.000000;0.000000
38;-828.000000;48.000000;0.000000
39;-903.000000;51.000000;0.000000
40;-971.000000;54.000000;0.000000
41;-1080.000000;57.000000;0.000000
42;-1206.000000;63.000000;0.000000
43;-1304.000000;66.000000;0.000000
44;-1410.000000;68.000000;0.000000
45;-1530.000000;70.000000;0.000000
46;-1627.000000;70.000000;0.000000
47;-1722.000000;70.000000;0.000000
48;-1806.000000;74.000000;0.000000
49;-1874.000000;77.000000;0.000000
50;-1913.000000;78.000000;0.000000
51;-1939.000000;79.000000;0.000000
52;-1962.000000;80.000000;0.000000
53;-1926.000000;79.000000;0.000000
54;-1883.000000;77.000000;0.000000
55;-1849.000000;76.000000;0.000000
56;-1773.000000;73.000000;0.000000
57;-1697.000000;70.000000;0.000000
58;-1643.000000;68.000000;0.000000
59;-1573.000000;66.000000;0.000000
60;-1492.000000;63.000000;0.000000
61;-1450.000000;62.000000;0.000000
62;-1385.000000;62.000000;0.000000
63;-1310.000000;64.000000;0.000000
64;-1271.000000;66.000000;0.000000
65;-1233.000000;65.000000;0.000000
66;-1178.000000;62.000000;0.000000
67;-1153.000000;61.000000;0.000000
68;-1139.000000;61.000000;0.000000
69;-1119.000000;60.000000;0.000000
70;-1118.000000;60.000000;0.000000
71;-1143.000000;60.000000;0.000000
72;-1152.000000;61.000000;0.000000
73;-1172.000000;61.000000;0.000000
74;-1225.000000;63.000000;0.000000
75;-1263.000000;65.000000;0.000000
76;-1301.000000;66.000000;0.000000
77;-1357.000000;66.000000;0.000000
78;-1408.000000;67.000000;0.000000
79;-1442.000000;67.000000;0.000000
80;-1498.000000;67.000000;0.000000
81;-1550.000000;67.000000;0.000000
82;-1580.000000;67.000000;0.000000
83;-1624.000000;66.000000;0.000000
84;-1656.000000;69.000000;0.000000
85;-1667.000000;70.000000;0.000000
86;-1691.000000;70.000000;0.000000
87;-1693.000000;70.000000;0.000000
88;-1690.000000;70.000000;0.000000
89;-1687.000000;70.000000;0.000000
90;-1675.000000;69.000000;0.000000
91;-1662.000000;69.000000;0.000000
92;-1643.000000;68.000000;0.000000
93;-1624.000000;67.000000;0.000000
94;-1596.000000;66.000000;0.000000
95;-1573.000000;65.000000;0.000000
96;-1553.000000;65.000000;0.000000
97;-1531.000000;65.000000;0.000000
98;-1509.000000;66.000000;0.000000
99;-1485.000000;67.000000;0.000000
100;-1463.000000;67.000000;0.000000
101;-1439.000000;67.000000;0.000000
102;-1420.000000;66.000000;0.000000
103;-1397.000000;65.000000;0.000000
104;-1373.000000;64.000000;0.000000
105;-1355.000000;64.000000;0.000000
106;-1338.000000;65.000000;0.000000
107;-1323.000000;66.000000;0.000000
108;-1311.000000;66.000000;0.000000
109;-1297.000000;66.000000;0.000000
110;-1291.000000;65.000000;0.000000
111;-1284.000000;65.000000;0.000000
112;-1283.000000;64.000000;0.000000
113;-1286.000000;64.000000;0.000000
114;-1289.000000;66.000000;0.000000
115;-1301.000000;66.000000;0.000000
116;-1313.000000;66.000000;0.000000
117;-1325.000000;66.000000;0.000000
118;-1337.000000;66.000000;0.000000
119;-1349.000000;66.000000;0.000000
120;-1363.000000;65.000000;0.000000
121;-1373.000000;65.000000;0.000000
122;-1386.000000;66.000000;0.000000
123;-1397.000000;66.000000;0.000000
124;-1409.000000;67.000000;0.000000
125;-1422.000000;67.000000;0.000000
126;-1429.000000;66.000000;0.000000
127;-1438.000000;65.000000;0.000000
128;-1446.000000;65.000000;0.000000
129;-1455.000000;65.000000;0.000000
130;-1462.000000;65.000000;0.000000
131;-1470.000000;66.000000;0.000000
132;-1479.000000;67.000000;0.000000
133;-1484.000000;67.000000;0.000000
134;-1493.000000;66.000000;0.000000
135;-1499.000000;65.000000;0.000000
136;-1502.000000;64.000000;0.000000
137;-1507.000000;64.000000;0.000000
138;-1509.000000;64.000000;0.000000
139;-1510.000000;65.000000;0.000000
