takt;q1;q2;q2p
0;228.000000;-9.000000;0.000000
1;381.000000;-13.000000;0.000000
2;400.000000;-14.000000;0.000000
3;361.000000;-14.000000;0.000000
4;225.000000;-9.000000;0.000000
5;14.000000;0.000000;0.000000
6;-152.000000;5.000000;0.000000
7;-332.000000;12.000000;0.000000
8;-542.000000;21.000000;0.000000
9;-684.000000;27.000000;0.000000
10;-755.000000;29.000000;0.000000
11;-814.000000;32.000000;0.000000
12;-856.000000;34.000000;0.000000
13;-854.000000;34.000000;0.000000
14;-857.000000;34.000000;0.000000
15;-851.000000;34.000000;0.000000
16;-799.000000;33.000000;0.000000
17;-735.000000;30.000000;0.000000
18;-678.000000;28.000000;0.000000
19;-611.000000;25.000000;0.000000
20;-529.000000;22.000000;0.000000
21;-461.000000;19.000000;0.000000
22;-385.000000;16.000000;0.000000
23;-295.000000;12.000000;0.000000
24;-214.000000;9.000000;0.000000
25;-141.000000;6.000000;0.000000
26;-62.000000;3.000000;0.000000
27;15.000000;0.000000;0.000000
28;74.000000;-2.000000;0.000000
29;121.000000;-4.000000;0.000000
30;163.000000;-6.000000;0.000000
31;179.000000;-7.000000;0.000000
32;186.000000;-7.000000;0.000000
33;197.000000;-8.000000;0.000000
34;195.000000;-8.000000;0.000000
35;190.000000;-8.000000;0.000000
36;198.000000;-8.000000;0.000000
37;197.000000;-8.000000;0.000000
38;199.000000;-8.000000;0.000000
39;206.000000;-8.000000;0.000000
40;204.000000;-8.000000;0.000000
41;202.000000;-8.000000;0.000000
42;203.000000;-8.000000;0.000000
43;200.000000;-8.000000;0.000000
44;199.000000;-8.000000;0.000000
45;200.000000;-8.000000;0.000000
46;194.000000;-8.000000;0.000000
47;185.000000;-8.000000;0.000000
48;174.000000;-8.000000;0.000000
49;154.000000;-7.000000;0.000000
50;135.000000;-6.000000;0.000000
51;121.000000;-5.000000;0.000000
52;105.000000;-5.000000;0.000000
53;91.000000;-4.000000;0.000000
54;77.000000;-4.000000;0.000000
55;63.000000;-3.000000;0.000000
56;52.000000;-3.000000;0.000000
57;44.000000;-2.000000;0.000000
58;31.000000;-2.000000;0.000000
59;19.000000;-1.000000;0.000000
60;12.000000;-1.000000;0.000000
61;3.000000;-1.000000;0.000000
62;-6.000000;0.000000;0.000000
63;-10.000000;0.000000;0.000000
64;-18.000000;0.000000;0.000000
65;-28.000000;1.000000;0.000000
66;-29.000000;1.000000;0.000000
67;-33.000000;1.000000;0.000000
68;-39.000000;1.000000;0.000000
69;-40.000000;1.000000;0.000000
70;-45.000000;1.000000;0.000000
71;-48.000000;1.000000;0.000000
72;-51.000000;1.000000;0.000000
73;-48.000000;2.000000;0.000000
74;-51.000000;2.000000;0.000000
75;-51.000000;2.000000;0.000000
76;-49.000000;2.000000;0.000000
77;-49.000000;2.000000;0.000000
78;-50.000000;2.000000;0.000000
79;-49.000000;2.000000;0.000000
80;-51.000000;2.000000;0.000000
81;-51.000000;2.000000;0.000000
82;-50.000000;2.000000;0.000000
83;-49.000000;2.000000;0.000000
84;-50.000000;2.000000;0.000000
85;-48.000000;2.000000;0.000000
86;-47.000000;2.000000;0.000000
87;-47.000000;2.000000;0.000000
88;-45.000000;2.000000;0.000000
89;-43.000000;2.000000;0.000000
90;-43.000000;2.000000;0.000000
91;-39.000000;2.000000;0.000000
92;-35.000000;2.000000;0.000000
93;-31.000000;2.000000;0.000000
94;-26.000000;1.000000;0.000000
95;-20.000000;1.000000;0.000000
96;-13.000000;1.000000;0.000000
97;-4.000000;0.000000;0.000000
98;1.000000;0.000000;0.000000
99;6.000000;0.000000;0.000000
100;11.000000;0.000000;0.000000
101;12.000000;0.000000;0.000000
102;14.000000;0.000000;0.000000
103;16.000000;-1.000000;0.000000
104;15.000000;-1.000000;0.000000
105;16.000000;-1.000000;0.000000
106;18.000000;-1.000000;0.000000
107;19.000000;-1.000000;0.000000
108;21.000000;-1.000000;0.000000
109;23.000000;-1.000000;0.000000
110;24.000000;-1.000000;0.000000
111;28.000000;-1.000000;0.000000
112;30.000000;-1.000000;0.000000
113;30.000000;-1.000000;0.000000
114;29.000000;-1.000000;0.000000
115;30.000000;-1.000000;0.000000
116;29.000000;-1.000000;0.000000
117;30.000000;-1.000000;0.000000
118;31.000000;-1.000000;0.000000
119;29.000000;-1.000000;0.000000
120;30.000000;-1.000000;0.000000
121;30.000000;-1.000000;0.000000
122;30.000000;-1.000000;0.000000
123;30.000000;-1.000000;0.000000
124;29.000000;-1.000000;0.000000
125;29.000000;-1.000000;0.000000
126;29.000000;-1.000000;0.000000
127;29.000000;-1.000000;0.000000
128;29.000000;-1.000000;0.000000
129;29.000000;-1.000000;0.000000
130;28.000000;-1.000000;0.000000
131;29.000000;-1.000000;0.000000
132;29.000000;-1.000000;0.000000
133;27.000000;-1.000000;0.000000
134;28.000000;-1.000000;0.000000
135;27.000000;-1.000000;0.000000
136;26.000000;-1.000000;0.000000
137;28.000000;-1.000000;0.000000
138;25.000000;-1.000000;0.000000
139;22.000000;-1.000000;0.000000
140;22.000000;-1.000000;0.000000
141;18.000000;-1.000000;0.000000
142;15.000000;-1.000000;0.000000
143;15.000000;-1.000000;0.000000
144;11.000000;-1.000000;0.000000
145;6.000000;-1.000000;0.000000
146;5.000000;-1.000000;0.000000
147;2.000000;-1.000000;0.000000
148;-4.000000;0.000000;0.000000
149;-5.000000;0.000000;0.000000
150;-8.000000;0.000000;0.000000
151;-13.000000;0.000000;0.000000
152;-15.000000;0.000000;0.000000
153;-20.000000;0.000000;0.000000
154;-26.000000;0.000000;0.000000
155;-26.000000;1.000000;0.000000
156;-29.000000;1.000000;0.000000
157;-35.000000;1.000000;0.000000
158;-33.000000;1.000000;0.000000
159;-36.000000;1.000000;0.000000
160;-37.000000;1.000000;0.000000
161;-35.000000;1.000000;0.000000
162;-38.000000;1.000000;0.000000
163;-39.000000;1.000000;0.000000
164;-34.000000;1.000000;0.000000
165;-38.000000;1.000000;0.000000
166;-37.000000;1.000000;0.000000
167;-34.000000;1.000000;0.000000
168;-38.000000;1.000000;0.000000
169;-35.000000;1.000000;0.000000
170;-33.000000;1.000000;0.000000
171;-37.000000;1.000000;0.000000
172;-34.000000;1.000000;0.000000
173;-33.000000;1.000000;0.000000
174;-36.000000;1.000000;0.000000
175;-31.000000;1.000000;0.000000
176;-30.000000;1.000000;0.000000
177;-32.000000;1.000000;0.000000
178;-27.000000;1.000000;0.000000
179;-25.000000;1.000000;0.000000
180;-27.000000;1.000000;0.000000
181;-23.000000;1.000000;0.000000
182;-20.000000;1.000000;0.000000
183;-22.000000;1.000000;0.000000
184;-16.000000;1.000000;0.000000
185;-12.000000;1.000000;0.000000
186;-11.000000;1.000000;0.000000
187;-4.000000;0.000000;0.000000
188;0.000000;0.000000;0.000000
189;1.000000;0.000000;0.000000
190;4.000000;0.000000;0.000000
191;7.000000;0.000000;0.000000
192;9.000000;0.000000;0.000000
193;11.000000;0.000000;0.000000
194;13.000000;0.000000;0.000000
195;14.000000;0.000000;0.000000
196;15.000000;0.000000;0.000000
197;15.000000;-1.000000;0.000000
198;16.000000;-1.000000;0.000000
199;19.000000;-1.000000;0.000000
200;20.000000;-1.000000;0.000000
201;22.000000;-1.000000;0.000000
202;26.000000;-1.000000;0.000000
203;25.000000;-1.000000;0.000000
204;26.000000;-1.000000;0.000000
205;30.000000;-1.000000;0.000000
206;28.000000;-1.000000;0.000000
207;28.000000;-1.000000;0.000000
208;32.000000;-1.000000;0.000000
209;31.000000;-1.000000;0.000000
210;32.000000;-1.000000;0.000000
211;33.000000;-1.000000;0.000000
212;30.000000;-1.000000;0.000000
213;31.000000;-1.000000;0.000000
214;32.000000;-1.000000;0.000000
215;29.000000;-1.000000;0.000000
216;31.000000;-1.000000;0.000000
217;31.000000;-1.000000;0.000000
218;29.000000;-1.000000;0.000000
219;31.000000;-1.000000;0.000000
220;30.000000;-1.000000;0.000000
221;28.000000;-1.000000;0.000000
222;30.000000;-1.000000;0.000000
223;29.000000;-1.000000;0.000000
224;28.000000;-1.000000;0.000000
225;30.000000;-1.000000;0.000000
226;28.000000;-1.000000;0.000000
227;28.000000;-1.000000;0.000000
228;29.000000;-1.000000;0.000000
229;27.000000;-1.000000;0.000000
230;25.000000;-1.000000;0.000000
231;26.000000;-1.000000;0.000000
232;23.000000;-1.000000;0.000000
233;21.000000;-1.000000;0.000000
234;20.000000;-1.000000;0.000000
235;15.000000;-1.000000;0.000000
236;9.000000;-1.000000;0.000000
237;7.000000;-1.000000;0.000000
238;2.000000;-1.000000;0.000000
239;-6.000000;0.000000;0.000000
240;-6.000000;0.000000;0.000000
241;-9.000000;0.000000;0.000000
242;-13.000000;0.000000;0.000000
243;-14.000000;0.000000;0.000000
244;-17.000000;0.000000;0.000000
245;-21.000000;0.000000;0.000000
246;-25.000000;0.000000;0.000000
247;-25.000000;1.000000;0.000000
248;-29.000000;1.000000;0.000000
249;-32.000000;1.000000;0.000000
250;-32.000000;1.000000;0.000000
251;-33.000000;1.000000;0.000000
252;-35.000000;1.000000;0.000000
253;-33.000000;1.000000;0.000000
254;-34.000000;1.000000;0.000000
255;-37.000000;1.000000;0.000000
256;-34.000000;1.000000;0.000000
257;-35.000000;1.000000;0.000000
258;-37.000000;1.000000;0.000000
259;-34.000000;1.000000;0.000000
260;-34.000000;1.000000;0.000000
261;-35.000000;1.000000;0.000000
262;-33.000000;1.000000;0.000000
263;-34.000000;1.000000;0.000000
264;-36.000000;1.000000;0.000000
265;-33.000000;1.000000;0.000000
266;-33.000000;1.000000;0.000000
267;-34.000000;1.000000;0.000000
268;-32.000000;1.000000;0.000000
269;-34.000000;1.000000;0.000000
270;-33.000000;1.000000;0.000000
271;-31.000000;1.000000;0.000000
272;-33.000000;1.000000;0.000000
273;-31.000000;1.000000;0.000000
274;-29.000000;1.000000;0.000000
275;-29.000000;1.000000;0.000000
276;-26.000000;1.000000;0.000000
277;-21.000000;1.000000;0.000000
278;-19.000000;1.000000;0.000000
279;-17.000000;1.000000;0.000000
280;-10.000000;1.000000;0.000000
281;-6.000000;0.000000;0.000000
282;-6.000000;0.000000;0.000000
283;-1.000000;0.000000;0.000000
284;2.000000;0.000000;0.000000
285;1.000000;0.000000;0.000000
286;7.000000;0.000000;0.000000
287;11.000000;0.000000;0.000000
288;10.000000;0.000000;0.000000
289;13.000000;0.000000;0.000000
290;17.000000;-1.000000;0.398428
291;14.000000;-1.000000;574.672180
292;17.000000;-1.000000;1148.945923
293;14.000000;-1.000000;1723.219727
294;2.000000;-1.000000;2297.493408
295;-18.000000;0.000000;2871.767334
296;-68.000000;3.000000;3446.041016
297;-149.000000;6.000000;4020.314941
298;-270.000000;11.000000;4594.588379
299;-442.000000;19.000000;5168.862305
300;-670.000000;28.000000;5743.136230
301;-942.000000;39.000000;6317.409668
302;-1261.000000;52.000000;6891.683594
303;-1626.000000;67.000000;7465.957520
304;-2033.000000;84.000000;8040.231445
305;-2477.000000;102.000000;8614.504883
306;-2951.000000;121.000000;9188.778320
307;-3434.000000;141.000000;9763.051758
308;-3932.000000;161.000000;10337.326172
309;-4441.000000;182.000000;10911.599609
310;-4968.000000;204.000000;11485.874023
311;-5500.000000;225.000000;12060.148438
312;-6048.000000;248.000000;12634.420898
313;-6599.000000;271.000000;13208.695312
314;-7164.000000;293.000000;13782.968750
315;-7742.000000;317.000000;14357.242188
316;-8319.000000;341.000000;14931.516602
317;-8894.000000;364.000000;15505.790039
318;-9461.000000;388.000000;15915.494141
319;-10024.000000;411.000000;15915.494141
320;-10593.000000;434.000000;15915.494141
321;-11158.000000;457.000000;15915.494141
322;-11712.000000;480.000000;15915.494141
323;-12251.000000;502.000000;15915.494141
324;-12779.000000;524.000000;15915.494141
325;-13288.000000;544.000000;15915.494141
326;-13755.000000;563.000000;15915.494141
327;-14174.000000;580.000000;15915.494141
328;-14544.000000;595.000000;15915.494141
329;-14874.000000;609.000000;15915.494141
330;-15166.000000;620.000000;15915.494141
331;-15410.000000;630.000000;15915.494141
332;-15613.000000;639.000000;15915.494141
333;-15784.000000;646.000000;15915.494141
334;-15916.000000;651.000000;15915.494141
335;-16029.000000;656.000000;15915.494141
336;-16117.000000;659.000000;15915.494141
337;-16175.000000;662.000000;15915.494141
338;-16213.000000;663.000000;15915.494141
339;-16245.000000;665.000000;15915.494141
340;-16266.000000;666.000000;15915.494141
341;-16276.000000;666.000000;15915.494141
342;-16288.000000;667.000000;15915.494141
343;-16288.000000;667.000000;15915.494141
344;-16288.000000;667.000000;15915.494141
345;-16296.000000;667.000000;15915.494141
346;-16298.000000;667.000000;15915.494141
347;-16297.000000;667.000000;15915.494141
348;-16298.000000;667.000000;15915.494141
349;-16295.000000;667.000000;15915.494141
350;-16296.000000;667.000000;15915.494141
351;-16296.000000;667.000000;15915.494141
352;-16290.000000;667.000000;15915.494141
353;-16289.000000;667.000000;15915.494141
354;-16284.000000;667.000000;15915.494141
355;-16273.000000;667.000000;15915.494141
356;-16268.000000;666.000000;15915.494141
357;-16254.000000;666.000000;15915.494141
358;-16230.000000;665.000000;15915.494141
359;-16213.000000;664.000000;15915.494141
360;-16189.000000;663.000000;15915.494141
361;-16156.000000;662.000000;15915.494141
362;-16132.000000;661.000000;15915.494141
363;-16104.000000;660.000000;15915.494141
364;-16069.000000;658.000000;15915.494141
365;-16034.000000;657.000000;15915.494141
366;-16006.000000;656.000000;15915.494141
367;-15975.000000;655.000000;15915.494141
368;-15948.000000;654.000000;15915.494141
369;-15929.000000;653.000000;15915.494141
370;-15906.000000;652.000000;15915.494141
371;-15883.000000;651.000000;15915.494141
