takt;q1;q2;q2p
0;250.000000;-10.000000;0.000000
1;423.000000;-14.000000;0.000000
2;453.000000;-16.000000;0.000000
3;413.000000;-15.000000;0.000000
4;271.000000;-11.000000;0.000000
5;45.000000;-1.000000;0.000000
6;-141.000000;5.000000;0.000000
7;-332.000000;12.000000;0.000000
8;-554.000000;22.000000;0.000000
9;-686.000000;27.000000;0.000000
10;-725.000000;28.000000;0.000000
11;-752.000000;30.000000;0.000000
12;-742.000000;30.000000;0.000000
13;-671.000000;27.000000;0.000000
14;-623.000000;25.000000;0.000000
15;-581.000000;24.000000;0.000000
16;-499.000000;21.000000;0.000000
17;-427.000000;18.000000;0.000000
18;-376.000000;16.000000;0.000000
19;-313.000000;13.000000;0.000000
20;-240.000000;10.000000;0.000000
21;-196.000000;8.000000;0.000000
22;-149.000000;6.000000;0.000000
23;-92.000000;4.000000;0.000000
24;-68.000000;3.000000;0.000000
25;-53.000000;3.000000;0.000000
26;-30.000000;2.000000;0.000000
27;-15.000000;1.000000;0.000000
28;-14.000000;0.000000;0.000000
29;-9.000000;0.000000;0.000000
30;-6.000000;0.000000;0.000000
31;-20.000000;0.000000;0.000000
32;-28.000000;0.000000;0.000000
33;-15.000000;1.000000;0.000000
34;-16.000000;0.000000;0.000000
35;-24.000000;0.000000;0.000000
36;-14.000000;0.000000;0.000000
37;-7.000000;0.000000;0.000000
38;-7.000000;0.000000;0.000000
39;9.000000;0.000000;0.000000
40;24.000000;-1.000000;0.000000
41;24.000000;-1.000000;0.000000
42;29.000000;-1.000000;0.000000
43;45.000000;-2.000000;0.000000
44;46.000000;-2.000000;0.000000
45;49.000000;-2.000000;0.000000
46;59.000000;-2.000000;0.000000
47;58.000000;-2.000000;0.000000
48;52.000000;-2.000000;0.000000
49;53.000000;-2.000000;0.000000
50;50.000000;-2.000000;0.000000
51;41.000000;-2.000000;0.000000
52;39.000000;-2.000000;0.000000
53;41.000000;-2.000000;0.000000
54;37.000000;-2.000000;0.000000
55;36.000000;-2.000000;0.000000
56;40.000000;-2.000000;0.000000
57;40.000000;-2.000000;0.000000
58;37.000000;-2.000000;0.000000
59;41.000000;-2.000000;0.000000
60;40.000000;-2.000000;0.000000
61;32.000000;-2.000000;0.000000
62;30.000000;-2.000000;0.000000
63;25.000000;-1.000000;0.000000
64;21.000000;-1.000000;0.000000
65;17.000000;-1.000000;0.000000
66;16.000000;-1.000000;0.000000
67;12.000000;-1.000000;0.000000
