takt;q1;q2;q2p
0;230.000000;-10.000000;0.000000
1;377.000000;-13.000000;0.000000
2;390.000000;-14.000000;0.000000
3;333.000000;-13.000000;0.000000
4;192.000000;-8.000000;0.000000
5;-27.000000;1.000000;0.000000
6;-209.000000;7.000000;0.000000
7;-394.000000;15.000000;0.000000
8;-601.000000;23.000000;0.000000
9;-723.000000;28.000000;0.000000
10;-750.000000;29.000000;0.000000
11;-763.000000;30.000000;0.000000
12;-741.000000;30.000000;0.000000
13;-671.000000;26.000000;0.000000
14;-611.000000;24.000000;0.000000
15;-566.000000;23.000000;0.000000
16;-484.000000;19.000000;0.000000
17;-413.000000;17.000000;0.000000
18;-372.000000;15.000000;0.000000
19;-318.000000;13.000000;0.000000
20;-252.000000;10.000000;0.000000
21;-211.000000;8.000000;0.000000
22;-171.000000;6.000000;0.000000
23;-112.000000;4.000000;0.000000
24;-80.000000;3.000000;0.000000
25;-63.000000;2.000000;0.000000
26;-34.000000;1.000000;0.000000
27;-14.000000;0.000000;0.000000
28;-19.000000;0.000000;0.000000
29;-17.000000;0.000000;0.000000
30;-7.000000;0.000000;0.000000
31;-15.000000;0.000000;0.000000
32;-21.000000;0.000000;0.000000
33;-7.000000;0.000000;0.000000
34;0.000000;-1.000000;0.000000
35;-8.000000;-1.000000;0.000000
36;3.000000;-1.000000;0.000000
37;18.000000;-1.000000;0.000000
38;17.000000;-1.000000;0.000000
39;30.000000;-2.000000;0.000000
40;58.000000;-3.000000;0.000000
41;59.000000;-3.000000;0.000000
42;59.000000;-3.000000;0.000000
43;78.000000;-4.000000;0.000000
44;80.000000;-4.000000;0.000000
45;70.000000;-4.000000;0.000000
46;76.000000;-4.000000;0.000000
47;75.000000;-4.000000;0.000000
48;54.000000;-4.000000;0.000000
49;49.000000;-3.000000;0.000000
50;54.000000;-3.000000;0.000000
51;33.000000;-3.000000;0.000000
52;28.000000;-2.000000;0.000000
53;44.000000;-2.000000;0.000000
54;39.000000;-3.000000;0.000000
55;33.000000;-2.000000;0.000000
56;46.000000;-2.000000;0.000000
57;45.000000;-3.000000;0.000000
58;30.000000;-3.000000;0.000000
59;38.000000;-2.000000;0.000000
60;38.000000;-3.000000;0.000000
61;21.000000;-2.000000;0.000000
62;20.000000;-2.000000;0.000000
63;23.000000;-2.000000;0.000000
64;12.000000;-1.000000;0.000000
65;9.000000;-1.000000;0.000000
66;18.000000;-1.000000;0.000000
67;16.000000;-1.000000;0.000000
68;8.000000;-1.000000;0.000000
69;11.000000;-1.000000;0.000000
70;13.000000;-1.000000;0.000000
71;-1.000000;-1.000000;0.000000
72;-5.000000;-1.000000;0.000000
73;0.000000;-1.000000;0.000000
74;-11.000000;-1.000000;0.000000
75;-14.000000;0.000000;0.000000
76;-4.000000;0.000000;0.000000
77;-5.000000;0.000000;0.000000
78;-10.000000;0.000000;0.000000
79;-4.000000;0.000000;0.000000
80;-2.000000;0.000000;0.000000
81;-8.000000;0.000000;0.000000
82;-8.000000;0.000000;0.000000
83;-5.000000;0.000000;0.000000
84;-9.000000;0.000000;0.000000
85;-13.000000;0.000000;0.000000
86;-9.000000;0.000000;0.000000
87;-10.000000;0.000000;0.000000
88;-19.000000;0.000000;0.000000
89;-20.000000;0.000000;0.000000
90;-17.000000;0.000000;0.000000
91;-23.000000;0.000000;0.000000
92;-25.000000;0.000000;0.000000
93;-18.000000;0.000000;0.000000
94;-19.000000;0.000000;0.000000
95;-21.000000;0.000000;0.000000
96;-10.000000;0.000000;0.000000
97;-6.000000;0.000000;0.000000
98;-12.000000;0.000000;0.000000
99;-9.000000;0.000000;0.000000
100;-8.000000;0.000000;0.000000
101;-17.000000;0.000000;0.000000
102;-21.000000;0.000000;0.000000
103;-19.000000;0.000000;0.000000
104;-23.000000;0.000000;0.000000
105;-26.000000;0.000000;0.000000
106;-23.000000;0.000000;0.000000
107;-19.000000;0.000000;0.000000
108;-18.000000;0.000000;0.000000
109;-15.000000;0.000000;0.000000
110;-6.000000;0.000000;0.000000
111;-4.000000;0.000000;0.000000
112;-6.000000;0.000000;0.000000
113;-3.000000;0.000000;0.000000
114;-2.000000;0.000000;0.000000
115;-8.000000;0.000000;0.000000
116;-8.000000;0.000000;0.000000
117;-6.000000;0.000000;0.000000
118;-9.000000;0.000000;0.000000
119;-9.000000;0.000000;0.000000
120;-3.000000;0.000000;0.000000
121;-1.000000;0.000000;0.000000
122;-1.000000;0.000000;0.000000
123;1.000000;0.000000;0.000000
124;4.000000;0.000000;0.000000
125;1.000000;0.000000;0.000000
126;0.000000;0.000000;0.000000
127;2.000000;0.000000;0.000000
128;1.000000;0.000000;0.000000
129;-2.000000;0.000000;0.000000
130;-3.000000;0.000000;0.000000
131;-2.000000;0.000000;0.000000
132;-4.000000;0.000000;0.000000
133;-3.000000;0.000000;0.000000
134;0.000000;0.000000;0.000000
135;1.000000;0.000000;0.000000
136;3.000000;0.000000;0.000000
137;6.000000;0.000000;0.000000
138;2.000000;-1.000000;0.000000
139;-3.000000;-1.000000;0.000000
140;-4.000000;-1.000000;0.000000
141;-7.000000;-1.000000;0.000000
142;-9.000000;-1.000000;0.000000
143;-8.000000;-1.000000;0.000000
144;-6.000000;-1.000000;0.000000
145;-6.000000;-1.000000;0.000000
146;-1.000000;-1.000000;0.000000
147;5.000000;-1.000000;0.000000
148;6.000000;-1.000000;0.000000
149;6.000000;-1.000000;0.000000
150;8.000000;-1.000000;0.000000
151;9.000000;-1.000000;0.000000
152;8.000000;-1.000000;0.000000
