takt;q1;q2;q2p
0;265.000000;-11.000000;0.000000
1;445.000000;-15.000000;0.000000
2;485.000000;-17.000000;0.000000
3;446.000000;-16.000000;0.000000
4;325.000000;-13.000000;0.000000
5;113.000000;-4.000000;0.000000
6;-62.000000;2.000000;0.000000
7;-242.000000;8.000000;0.000000
8;-462.000000;18.000000;0.000000
9;-599.000000;24.000000;0.000000
10;-646.000000;25.000000;0.000000
11;-688.000000;27.000000;0.000000
12;-709.000000;29.000000;0.000000
13;-670.000000;27.000000;0.000000
14;-663.000000;27.000000;0.000000
15;-655.000000;27.000000;0.000000
16;-596.000000;25.000000;0.000000
17;-550.000000;22.000000;0.000000
18;-515.000000;21.000000;0.000000
19;-462.000000;19.000000;0.000000
20;-396.000000;16.000000;0.000000
21;-347.000000;14.000000;0.000000
22;-275.000000;11.000000;0.000000
23;-198.000000;8.000000;0.000000
24;-151.000000;7.000000;0.000000
25;-106.000000;5.000000;0.000000
26;-63.000000;3.000000;0.000000
27;-31.000000;2.000000;0.000000
28;-20.000000;1.000000;0.000000
29;-4.000000;0.000000;0.000000
30;-4.000000;0.000000;0.000000
31;-7.000000;0.000000;0.000000
32;6.000000;0.000000;0.000000
33;13.000000;0.000000;0.000000
34;14.000000;0.000000;0.000000
35;15.000000;0.000000;0.000000
36;12.000000;-1.000000;0.000000
37;16.000000;-1.000000;0.000000
38;20.000000;-1.000000;0.000000
39;21.000000;-1.000000;0.000000
40;25.000000;-1.000000;0.000000
41;27.000000;-1.000000;0.000000
42;31.000000;-1.000000;0.000000
43;37.000000;-1.000000;0.000000
44;36.000000;-2.000000;0.000000
45;41.000000;-2.000000;0.000000
46;43.000000;-2.000000;0.000000
47;43.000000;-2.000000;0.000000
48;44.000000;-2.000000;0.000000
49;38.000000;-2.000000;0.000000
50;41.000000;-2.000000;0.000000
51;40.000000;-2.000000;0.000000
52;40.000000;-2.000000;0.000000
53;42.000000;-2.000000;0.000000
54;39.000000;-2.000000;0.000000
55;40.000000;-2.000000;0.000000
56;41.000000;-2.000000;0.000000
57;39.000000;-2.000000;0.000000
58;42.000000;-2.000000;0.000000
59;42.000000;-2.000000;0.000000
60;43.000000;-2.000000;0.000000
61;44.000000;-2.000000;0.000000
62;40.000000;-2.000000;0.000000
63;39.000000;-2.000000;0.000000
64;39.000000;-2.000000;0.000000
65;39.000000;-2.000000;0.000000
66;41.000000;-2.000000;0.000000
67;37.000000;-2.000000;0.000000
68;38.000000;-2.000000;0.000000
69;36.000000;-2.000000;0.000000
70;36.000000;-2.000000;0.000000
71;39.000000;-2.000000;0.000000
72;33.000000;-2.000000;0.000000
73;36.000000;-2.000000;0.000000
74;33.000000;-2.000000;0.000000
75;27.000000;-1.000000;0.000000
76;31.000000;-1.000000;0.000000
77;23.000000;-1.000000;0.000000
78;22.000000;-1.000000;0.000000
79;20.000000;-1.000000;0.000000
80;14.000000;-1.000000;0.000000
81;11.000000;-1.000000;0.000000
82;9.000000;-1.000000;0.000000
83;5.000000;-1.000000;0.000000
84;6.000000;0.000000;0.000000
85;3.000000;0.000000;0.000000
86;-1.000000;0.000000;0.000000
87;-3.000000;0.000000;0.000000
88;-9.000000;0.000000;0.000000
89;-12.000000;0.000000;0.000000
90;-16.000000;0.000000;0.000000
91;-18.000000;0.000000;0.000000
92;-15.000000;1.000000;0.000000
93;-20.000000;1.000000;0.000000
94;-21.000000;1.000000;0.000000
95;-21.000000;1.000000;0.000000
96;-28.000000;1.000000;0.000000
97;-28.000000;1.000000;0.000000
98;-33.000000;1.000000;0.000000
99;-37.000000;1.000000;0.000000
100;-38.000000;1.000000;0.000000
101;-39.000000;1.000000;0.000000
102;-39.000000;1.000000;0.000000
103;-41.000000;1.000000;0.000000
104;-40.000000;1.000000;0.000000
105;-40.000000;1.000000;0.000000
106;-39.000000;1.000000;0.000000
107;-40.000000;1.000000;0.000000
108;-41.000000;1.000000;0.000000
109;-39.000000;1.000000;0.000000
110;-41.000000;1.000000;0.000000
111;-40.000000;1.000000;0.000000
112;-38.000000;1.000000;0.000000
113;-42.000000;1.000000;0.000000
114;-38.000000;1.000000;0.000000
115;-39.000000;1.000000;0.000000
116;-41.000000;1.000000;0.000000
117;-35.000000;1.000000;0.000000
118;-40.000000;1.000000;0.000000
119;-37.000000;1.000000;0.000000
120;-35.000000;1.000000;0.000000
121;-40.000000;1.000000;0.000000
122;-35.000000;1.000000;0.000000
123;-36.000000;1.000000;0.000000
124;-35.000000;1.000000;0.000000
125;-35.000000;1.000000;0.000000
126;-36.000000;1.000000;0.000000
127;-33.000000;1.000000;0.000000
128;-34.000000;1.000000;0.000000
129;-31.000000;1.000000;0.000000
130;-30.000000;1.000000;0.000000
131;-29.000000;1.000000;0.000000
132;-27.000000;1.000000;0.000000
133;-26.000000;1.000000;0.000000
134;-24.000000;1.000000;0.000000
135;-21.000000;1.000000;0.000000
136;-18.000000;1.000000;0.000000
137;-13.000000;1.000000;0.000000
138;-6.000000;0.000000;0.000000
139;-3.000000;0.000000;0.000000
140;5.000000;0.000000;0.000000
141;12.000000;0.000000;0.000000
142;12.000000;-1.000000;0.000000
143;21.000000;-1.000000;0.000000
144;28.000000;-1.000000;0.000000
145;27.000000;-1.000000;0.000000
146;35.000000;-1.000000;0.000000
147;41.000000;-2.000000;0.000000
148;42.000000;-2.000000;0.000000
149;49.000000;-2.000000;0.000000
150;53.000000;-2.000000;0.000000
151;54.000000;-2.000000;0.000000
152;54.000000;-2.000000;0.000000
153;54.000000;-2.000000;0.000000
154;54.000000;-2.000000;0.000000
155;53.000000;-2.000000;0.000000
156;55.000000;-2.000000;0.000000
157;53.000000;-2.000000;0.000000
158;53.000000;-2.000000;0.000000
159;55.000000;-2.000000;0.000000
160;51.000000;-2.000000;0.000000
161;52.000000;-2.000000;0.000000
162;52.000000;-2.000000;0.000000
163;51.000000;-2.000000;0.000000
164;54.000000;-2.000000;0.000000
165;51.000000;-2.000000;0.000000
166;51.000000;-2.000000;0.000000
167;51.000000;-2.000000;0.000000
168;48.000000;-2.000000;0.000000
169;50.000000;-2.000000;0.000000
170;48.000000;-2.000000;0.000000
171;46.000000;-2.000000;0.000000
172;48.000000;-2.000000;0.000000
173;44.000000;-2.000000;0.000000
174;44.000000;-2.000000;0.000000
175;42.000000;-2.000000;0.000000
176;39.000000;-2.000000;0.000000
177;38.000000;-2.000000;0.000000
178;36.000000;-2.000000;0.000000
179;33.000000;-2.000000;0.000000
180;29.000000;-2.000000;0.000000
181;29.000000;-1.000000;0.000000
182;22.000000;-1.000000;0.000000
183;16.000000;-1.000000;0.000000
184;10.000000;-1.000000;0.000000
185;0.000000;0.000000;0.000000
186;-5.000000;0.000000;0.000000
