takt;q1;q2;q2p
0;274.000000;-11.000000;0.000000
1;451.000000;-15.000000;0.000000
2;482.000000;-17.000000;0.000000
3;436.000000;-17.000000;0.000000
4;288.000000;-11.000000;0.000000
5;53.000000;-2.000000;0.000000
6;-138.000000;5.000000;0.000000
7;-326.000000;12.000000;0.000000
8;-534.000000;21.000000;0.000000
9;-651.000000;26.000000;0.000000
10;-678.000000;27.000000;0.000000
11;-693.000000;28.000000;0.000000
12;-677.000000;28.000000;0.000000
13;-620.000000;26.000000;0.000000
14;-594.000000;25.000000;0.000000
15;-573.000000;24.000000;0.000000
16;-516.000000;22.000000;0.000000
17;-459.000000;19.000000;0.000000
18;-426.000000;18.000000;0.000000
19;-375.000000;16.000000;0.000000
20;-309.000000;13.000000;0.000000
21;-263.000000;11.000000;0.000000
22;-212.000000;9.000000;0.000000
23;-141.000000;6.000000;0.000000
24;-99.000000;5.000000;0.000000
25;-72.000000;4.000000;0.000000
26;-39.000000;2.000000;0.000000
27;-20.000000;1.000000;0.000000
28;-26.000000;1.000000;0.000000
29;-22.000000;1.000000;0.000000
30;-24.000000;1.000000;0.000000
31;-40.000000;1.000000;0.000000
32;-38.000000;1.000000;0.000000
33;-29.000000;1.000000;0.000000
34;-32.000000;1.000000;0.000000
35;-28.000000;1.000000;0.000000
36;-19.000000;1.000000;0.000000
37;-22.000000;1.000000;0.000000
38;-14.000000;1.000000;0.000000
39;-2.000000;0.000000;0.000000
40;2.000000;0.000000;0.000000
41;11.000000;0.000000;0.000000
42;18.000000;-1.000000;0.000000
43;27.000000;-1.000000;0.000000
44;37.000000;-1.000000;0.000000
45;45.000000;-2.000000;0.000000
46;45.000000;-2.000000;0.000000
47;45.000000;-2.000000;0.000000
48;42.000000;-2.000000;0.000000
49;38.000000;-2.000000;0.000000
50;40.000000;-2.000000;0.000000
51;38.000000;-2.000000;0.000000
52;36.000000;-2.000000;0.000000
53;40.000000;-2.000000;0.000000
54;39.000000;-2.000000;0.000000
55;39.000000;-2.000000;0.000000
56;39.000000;-2.000000;0.000000
57;37.000000;-2.000000;0.000000
58;39.000000;-2.000000;0.000000
59;42.000000;-2.000000;0.000000
60;41.000000;-2.000000;0.000000
61;40.000000;-2.000000;0.000000
62;39.000000;-2.000000;0.000000
63;38.000000;-2.000000;0.000000
64;37.000000;-2.000000;0.000000
65;38.000000;-2.000000;0.000000
66;37.000000;-2.000000;0.000000
67;34.000000;-2.000000;0.000000
68;33.000000;-2.000000;0.000000
69;31.000000;-2.000000;0.000000
70;26.000000;-2.000000;0.000000
71;24.000000;-2.000000;0.000000
72;21.000000;-2.000000;0.000000
73;18.000000;-1.000000;0.000000
74;22.000000;-1.000000;0.000000
75;21.000000;-1.000000;0.000000
76;19.000000;-1.000000;0.000000
77;22.000000;-1.000000;0.000000
78;16.000000;-1.000000;0.000000
79;14.000000;-1.000000;0.000000
80;14.000000;-1.000000;0.000000
81;9.000000;-1.000000;0.000000
82;6.000000;-1.000000;0.000000
83;5.000000;-1.000000;0.000000
84;1.000000;-1.000000;0.000000
85;-4.000000;-1.000000;0.000000
86;-3.000000;0.000000;0.000000
87;-6.000000;0.000000;0.000000
88;-8.000000;0.000000;0.000000
89;-7.000000;0.000000;0.000000
90;-9.000000;0.000000;0.000000
91;-12.000000;0.000000;0.000000
92;-13.000000;0.000000;0.000000
93;-14.000000;0.000000;0.000000
94;-16.000000;0.000000;0.000000
95;-16.000000;0.000000;0.000000
96;-16.000000;0.000000;0.000000
97;-17.000000;0.000000;0.000000
98;-17.000000;0.000000;0.000000
99;-18.000000;0.000000;0.000000
100;-19.000000;0.000000;0.000000
101;-21.000000;0.000000;0.000000
102;-22.000000;0.000000;0.000000
103;-26.000000;0.000000;0.000000
104;-28.000000;1.000000;0.000000
105;-26.000000;1.000000;0.000000
106;-28.000000;1.000000;0.000000
107;-25.000000;1.000000;0.000000
108;-25.000000;1.000000;0.000000
109;-30.000000;1.000000;0.000000
110;-29.000000;1.000000;0.000000
111;-29.000000;1.000000;0.000000
112;-30.000000;1.000000;0.000000
113;-27.000000;1.000000;0.000000
114;-26.000000;1.000000;0.000000
115;-27.000000;1.000000;0.000000
116;-25.000000;1.000000;0.000000
117;-23.000000;1.000000;0.000000
118;-24.000000;1.000000;0.000000
119;-23.000000;1.000000;0.000000
120;-23.000000;1.000000;0.000000
121;-23.000000;1.000000;0.000000
