takt;q1;q2;q2p
0;225.000000;-9.000000;0.000000
1;368.000000;-12.000000;0.000000
2;385.000000;-13.000000;0.000000
3;334.000000;-13.000000;0.000000
4;205.000000;-8.000000;0.000000
5;4.000000;1.000000;0.000000
6;-159.000000;6.000000;0.000000
7;-323.000000;12.000000;0.000000
8;-512.000000;20.000000;0.000000
9;-626.000000;25.000000;0.000000
10;-674.000000;27.000000;0.000000
11;-707.000000;29.000000;0.000000
12;-715.000000;29.000000;0.000000
13;-683.000000;28.000000;0.000000
14;-660.000000;27.000000;0.000000
15;-640.000000;27.000000;0.000000
16;-579.000000;24.000000;0.000000
17;-517.000000;22.000000;0.000000
18;-475.000000;20.000000;0.000000
19;-416.000000;17.000000;0.000000
20;-349.000000;14.000000;0.000000
21;-303.000000;13.000000;0.000000
22;-254.000000;11.000000;0.000000
23;-190.000000;8.000000;0.000000
24;-154.000000;7.000000;0.000000
25;-124.000000;5.000000;0.000000
26;-86.000000;4.000000;0.000000
27;-58.000000;3.000000;0.000000
28;-44.000000;2.000000;0.000000
29;-19.000000;1.000000;0.000000
30;-1.000000;0.000000;0.000000
31;-1.000000;0.000000;0.000000
32;11.000000;0.000000;0.000000
33;27.000000;-1.000000;0.000000
34;33.000000;-1.000000;0.000000
35;39.000000;-2.000000;0.000000
36;56.000000;-2.000000;0.000000
37;66.000000;-3.000000;0.000000
38;64.000000;-3.000000;0.000000
39;83.000000;-3.000000;0.000000
40;93.000000;-4.000000;0.000000
41;93.000000;-4.000000;0.000000
42;105.000000;-4.000000;0.000000
43;115.000000;-5.000000;0.000000
44;111.000000;-5.000000;0.000000
45;117.000000;-5.000000;0.000000
46;121.000000;-5.000000;0.000000
47;109.000000;-5.000000;0.000000
48;101.000000;-5.000000;0.000000
49;96.000000;-5.000000;0.000000
50;89.000000;-4.000000;0.000000
51;85.000000;-4.000000;0.000000
52;84.000000;-4.000000;0.000000
53;82.000000;-4.000000;0.000000
54;76.000000;-3.000000;0.000000
55;79.000000;-3.000000;0.000000
56;76.000000;-3.000000;0.000000
57;71.000000;-3.000000;0.000000
58;67.000000;-3.000000;0.000000
59;61.000000;-3.000000;0.000000
60;52.000000;-3.000000;0.000000
61;47.000000;-2.000000;0.000000
62;37.000000;-2.000000;0.000000
63;22.000000;-1.000000;0.000000
64;16.000000;-1.000000;0.000000
65;8.000000;-1.000000;0.000000
66;0.000000;0.000000;0.000000
67;1.000000;0.000000;0.000000
68;-2.000000;0.000000;0.000000
69;-5.000000;0.000000;0.000000
70;-7.000000;0.000000;0.000000
71;-9.000000;0.000000;0.000000
72;-10.000000;0.000000;0.000000
73;-12.000000;0.000000;0.000000
74;-14.000000;0.000000;0.000000
75;-16.000000;0.000000;0.000000
76;-17.000000;0.000000;0.000000
77;-18.000000;0.000000;0.000000
78;-19.000000;1.000000;0.000000
79;-17.000000;1.000000;0.000000
80;-20.000000;1.000000;0.000000
81;-22.000000;1.000000;0.000000
82;-22.000000;1.000000;0.000000
83;-26.000000;1.000000;0.000000
84;-29.000000;1.000000;0.000000
85;-32.000000;1.000000;0.000000
86;-36.000000;1.000000;0.000000
87;-40.000000;1.000000;0.000000
88;-40.000000;1.000000;0.000000
89;-41.000000;1.000000;0.000000
90;-43.000000;2.000000;0.000000
91;-36.000000;2.000000;0.000000
92;-36.000000;2.000000;0.000000
93;-35.000000;2.000000;0.000000
94;-32.000000;2.000000;0.000000
95;-33.000000;2.000000;0.000000
96;-33.000000;2.000000;0.000000
97;-31.000000;2.000000;0.000000
98;-31.000000;2.000000;0.000000
99;-31.000000;2.000000;0.000000
100;-27.000000;2.000000;0.000000
101;-24.000000;1.000000;0.000000
102;-29.000000;1.000000;0.000000
103;-26.000000;1.000000;0.000000
104;-26.000000;1.000000;0.000000
105;-29.000000;1.000000;0.000000
106;-22.000000;1.000000;0.000000
107;-20.000000;1.000000;0.000000
108;-20.000000;1.000000;0.000000
109;-14.000000;1.000000;0.000000
110;-9.000000;1.000000;0.000000
111;-9.000000;1.000000;0.000000
112;-6.000000;1.000000;0.000000
113;-3.000000;1.000000;0.000000
114;-5.000000;1.000000;0.000000
115;-1.000000;0.000000;0.000000
116;-3.000000;0.000000;0.000000
117;-4.000000;0.000000;0.000000
118;-1.000000;0.000000;0.000000
119;-3.000000;0.000000;0.000000
120;0.000000;0.000000;0.000000
121;1.000000;0.000000;0.000000
122;2.000000;0.000000;0.000000
123;3.000000;0.000000;0.000000
124;3.000000;0.000000;0.000000
125;3.000000;0.000000;0.000000
126;2.000000;0.000000;0.000000
127;3.000000;0.000000;0.000000
128;3.000000;0.000000;0.000000
129;3.000000;0.000000;0.000000
130;5.000000;0.000000;0.000000
131;7.000000;0.000000;0.000000
132;9.000000;0.000000;0.000000
133;11.000000;0.000000;0.000000
134;13.000000;0.000000;0.000000
135;15.000000;0.000000;0.000000
136;18.000000;0.000000;0.000000
137;20.000000;0.000000;0.000000
138;16.000000;-1.000000;0.000000
139;19.000000;-1.000000;0.000000
140;19.000000;-1.000000;0.000000
141;17.000000;-1.000000;0.000000
142;20.000000;-1.000000;0.000000
143;20.000000;-1.000000;0.000000
144;19.000000;-1.000000;0.000000
145;21.000000;-1.000000;0.000000
146;21.000000;-1.000000;0.000000
147;19.000000;-1.000000;0.000000
148;20.000000;-1.000000;0.000000
149;18.000000;-1.000000;0.000000
150;18.000000;-1.000000;0.000000
151;19.000000;-1.000000;0.000000
152;17.000000;-1.000000;0.000000
153;17.000000;-1.000000;0.000000
154;17.000000;-1.000000;0.000000
155;16.000000;-1.000000;0.000000
156;16.000000;-1.000000;0.000000
157;15.000000;-1.000000;0.000000
158;13.000000;-1.000000;0.000000
159;12.000000;-1.000000;0.000000
160;10.000000;-1.000000;0.000000
161;8.000000;-1.000000;0.000000
162;6.000000;-1.000000;0.000000
163;4.000000;-1.000000;0.000000
164;2.000000;-1.000000;0.000000
165;4.000000;0.000000;0.000000
166;1.000000;0.000000;0.000000
167;-1.000000;0.000000;0.000000
168;-1.000000;0.000000;0.000000
169;-3.000000;0.000000;0.000000
170;-4.000000;0.000000;0.000000
171;-4.000000;0.000000;0.000000
172;-6.000000;0.000000;0.000000
173;-8.000000;0.000000;0.000000
174;-8.000000;0.000000;0.000000
175;-8.000000;0.000000;0.000000
176;-10.000000;0.000000;0.000000
177;-11.000000;0.000000;0.000000
178;-11.000000;0.000000;0.000000
179;-12.000000;0.000000;0.000000
180;-12.000000;0.000000;0.000000
181;-12.000000;0.000000;0.000000
182;-13.000000;0.000000;0.000000
183;-14.000000;0.000000;0.000000
184;-15.000000;0.000000;0.000000
185;-16.000000;0.000000;0.000000
186;-16.000000;0.000000;0.000000
187;-16.000000;0.000000;0.000000
188;-16.000000;0.000000;0.000000
189;-15.000000;0.000000;0.000000
190;-16.000000;0.000000;0.000000
191;-16.000000;0.000000;0.000000
192;-15.000000;0.000000;0.000000
193;-15.000000;0.000000;0.000000
194;-14.000000;0.000000;0.000000
195;-15.000000;0.000000;0.000000
196;-15.000000;0.000000;0.000000
197;-14.000000;0.000000;0.000000
198;-14.000000;0.000000;0.000000
199;-13.000000;0.000000;0.000000
200;-12.000000;0.000000;0.000000
201;-11.000000;0.000000;0.000000
202;-11.000000;0.000000;0.000000
203;-10.000000;0.000000;0.000000
204;-10.000000;0.000000;0.000000
205;-10.000000;0.000000;0.000000
206;-8.000000;0.000000;0.000000
207;-8.000000;0.000000;0.000000
208;-7.000000;0.000000;0.000000
209;-6.000000;0.000000;0.000000
210;-5.000000;0.000000;0.000000
211;-3.000000;0.000000;0.000000
212;-2.000000;0.000000;0.000000
213;-1.000000;0.000000;0.000000
214;3.000000;0.000000;0.000000
215;4.000000;0.000000;0.000000
216;6.000000;0.000000;0.000000
217;9.000000;0.000000;0.000000
218;11.000000;0.000000;0.000000
219;12.000000;0.000000;0.000000
220;15.000000;0.000000;0.000000
221;17.000000;0.000000;0.000000
222;18.000000;0.000000;0.000000
223;19.000000;-1.000000;0.000000
224;17.000000;-1.000000;0.000000
225;17.000000;-1.000000;0.000000
226;17.000000;-1.000000;0.000000
227;17.000000;-1.000000;0.000000
228;19.000000;-1.000000;0.000000
229;19.000000;-1.000000;0.000000
230;18.000000;-1.000000;0.000000
231;20.000000;-1.000000;0.000000
232;18.000000;-1.000000;0.000000
233;17.000000;-1.000000;0.000000
234;18.000000;-1.000000;0.000000
235;17.000000;-1.000000;0.000000
236;18.000000;-1.000000;0.000000
237;17.000000;-1.000000;0.000000
238;16.000000;-1.000000;0.000000
239;15.000000;-1.000000;0.000000
240;16.000000;-1.000000;0.000000
