takt;q1;q2;q2p
0;162.000000;-7.000000;0.000000
1;246.000000;-7.000000;0.000000
2;223.000000;-8.000000;0.000000
3;146.000000;-5.000000;0.000000
4;0.000000;0.000000;0.000000
5;-195.000000;8.000000;0.000000
6;-345.000000;13.000000;0.000000
7;-493.000000;19.000000;0.000000
8;-659.000000;27.000000;0.000000
9;-767.000000;31.000000;0.000000
10;-824.000000;33.000000;0.000000
11;-874.000000;35.000000;0.000000
12;-907.000000;37.000000;0.000000
13;-897.000000;37.000000;0.000000
14;-885.000000;36.000000;0.000000
15;-873.000000;36.000000;0.000000
16;-822.000000;34.000000;0.000000
17;-771.000000;32.000000;0.000000
18;-724.000000;30.000000;0.000000
19;-672.000000;27.000000;0.000000
20;-610.000000;25.000000;0.000000
21;-559.000000;23.000000;0.000000
22;-503.000000;21.000000;0.000000
23;-443.000000;18.000000;0.000000
24;-386.000000;16.000000;0.000000
25;-339.000000;14.000000;0.000000
26;-288.000000;12.000000;0.000000
27;-238.000000;10.000000;0.000000
28;-196.000000;8.000000;0.000000
29;-163.000000;7.000000;0.000000
30;-129.000000;5.000000;0.000000
31;-103.000000;4.000000;0.000000
32;-84.000000;3.000000;0.000000
33;-60.000000;2.000000;0.000000
34;-42.000000;2.000000;0.000000
35;-33.000000;1.000000;0.000000
36;-14.000000;1.000000;0.000000
37;0.000000;0.000000;0.000000
38;11.000000;0.000000;0.000000
39;31.000000;-1.000000;0.000000
40;47.000000;-2.000000;0.000000
41;59.000000;-2.000000;0.000000
42;80.000000;-3.000000;0.000000
43;93.000000;-4.000000;0.000000
44;106.000000;-4.000000;0.000000
45;125.000000;-5.000000;0.000000
46;139.000000;-6.000000;0.000000
47;153.000000;-6.000000;0.000000
48;174.000000;-7.000000;0.000000
49;189.000000;-8.000000;0.000000
50;207.000000;-9.000000;0.000000
51;228.000000;-9.000000;0.000000
52;247.000000;-10.000000;0.000000
53;266.000000;-11.000000;0.000000
54;282.000000;-11.000000;0.000000
55;291.000000;-12.000000;0.000000
56;295.000000;-12.000000;0.000000
57;302.000000;-12.000000;0.000000
58;304.000000;-12.000000;0.000000
59;303.000000;-12.000000;0.000000
60;303.000000;-12.000000;0.000000
61;300.000000;-12.000000;0.000000
62;296.000000;-12.000000;0.000000
63;294.000000;-12.000000;0.000000
64;289.000000;-12.000000;0.000000
65;280.000000;-12.000000;0.000000
66;273.000000;-12.000000;0.000000
67;264.000000;-11.000000;0.000000
68;256.000000;-11.000000;0.000000
69;245.000000;-11.000000;0.000000
70;235.000000;-10.000000;0.000000
71;224.000000;-10.000000;0.000000
72;211.000000;-9.000000;0.000000
73;197.000000;-8.000000;0.000000
74;186.000000;-8.000000;0.000000
75;162.000000;-7.000000;0.000000
76;145.000000;-7.000000;0.000000
77;133.000000;-6.000000;0.000000
78;116.000000;-5.000000;0.000000
79;101.000000;-4.000000;0.000000
80;90.000000;-4.000000;0.000000
81;72.000000;-3.000000;0.000000
82;54.000000;-3.000000;0.000000
83;40.000000;-2.000000;0.000000
84;30.000000;-2.000000;0.000000
85;15.000000;-1.000000;0.000000
86;1.000000;-1.000000;0.000000
87;-6.000000;0.000000;0.000000
88;-20.000000;0.000000;0.000000
89;-34.000000;1.000000;0.000000
90;-41.000000;1.000000;0.000000
91;-47.000000;1.000000;0.000000
92;-52.000000;2.000000;0.000000
93;-54.000000;2.000000;0.000000
94;-54.000000;2.000000;0.000000
95;-58.000000;2.000000;0.000000
96;-58.000000;2.000000;0.000000
97;-58.000000;2.000000;0.000000
98;-59.000000;2.000000;0.000000
99;-57.000000;2.000000;0.000000
100;-58.000000;2.000000;0.000000
101;-59.000000;2.000000;0.000000
102;-57.000000;2.000000;0.000000
