takt;q1;q2;q2p
0;275.000000;-11.000000;0.000000
1;456.000000;-15.000000;0.000000
2;481.000000;-17.000000;0.000000
3;428.000000;-16.000000;0.000000
4;276.000000;-11.000000;0.000000
5;32.000000;-1.000000;0.000000
6;-158.000000;5.000000;0.000000
7;-352.000000;13.000000;0.000000
8;-573.000000;22.000000;0.000000
9;-697.000000;27.000000;0.000000
10;-726.000000;28.000000;0.000000
11;-740.000000;30.000000;0.000000
12;-720.000000;30.000000;0.000000
13;-649.000000;27.000000;0.000000
14;-601.000000;25.000000;0.000000
15;-564.000000;24.000000;0.000000
16;-491.000000;21.000000;0.000000
17;-420.000000;18.000000;0.000000
18;-374.000000;16.000000;0.000000
19;-316.000000;13.000000;0.000000
20;-250.000000;11.000000;0.000000
21;-213.000000;9.000000;0.000000
22;-171.000000;7.000000;0.000000
23;-116.000000;5.000000;0.000000
24;-85.000000;4.000000;0.000000
25;-67.000000;3.000000;0.000000
26;-45.000000;2.000000;0.000000
27;-33.000000;2.000000;0.000000
28;-37.000000;1.000000;0.000000
29;-36.000000;1.000000;0.000000
30;-33.000000;1.000000;0.000000
31;-43.000000;1.000000;0.000000
32;-49.000000;1.000000;0.000000
33;-38.000000;1.000000;0.000000
34;-36.000000;1.000000;0.000000
35;-34.000000;1.000000;0.000000
36;-21.000000;1.000000;0.000000
37;-11.000000;1.000000;0.000000
38;-6.000000;0.000000;0.000000
39;11.000000;0.000000;0.000000
40;29.000000;-1.000000;0.000000
41;42.000000;-2.000000;0.000000
42;52.000000;-2.000000;0.000000
43;65.000000;-2.000000;0.000000
44;68.000000;-3.000000;0.000000
45;66.000000;-3.000000;0.000000
46;71.000000;-3.000000;0.000000
47;69.000000;-3.000000;0.000000
48;60.000000;-3.000000;0.000000
49;54.000000;-3.000000;0.000000
50;51.000000;-3.000000;0.000000
51;43.000000;-3.000000;0.000000
52;40.000000;-2.000000;0.000000
53;49.000000;-2.000000;0.000000
54;47.000000;-2.000000;0.000000
55;46.000000;-2.000000;0.000000
56;53.000000;-2.000000;0.000000
57;53.000000;-2.000000;0.000000
