takt;q1;q2;q2p
0;253.000000;-11.000000;0.000000
1;425.000000;-15.000000;0.000000
2;456.000000;-16.000000;0.000000
3;419.000000;-16.000000;0.000000
4;278.000000;-11.000000;0.000000
5;47.000000;-2.000000;0.000000
6;-131.000000;4.000000;0.000000
7;-321.000000;12.000000;0.000000
8;-546.000000;21.000000;0.000000
9;-683.000000;26.000000;0.000000
10;-736.000000;28.000000;0.000000
11;-771.000000;30.000000;0.000000
12;-764.000000;30.000000;0.000000
13;-696.000000;27.000000;0.000000
14;-655.000000;26.000000;0.000000
15;-620.000000;25.000000;0.000000
16;-549.000000;22.000000;0.000000
17;-474.000000;19.000000;0.000000
18;-428.000000;17.000000;0.000000
19;-371.000000;15.000000;0.000000
20;-299.000000;11.000000;0.000000
21;-258.000000;10.000000;0.000000
22;-210.000000;8.000000;0.000000
23;-148.000000;6.000000;0.000000
24;-103.000000;4.000000;0.000000
25;-80.000000;3.000000;0.000000
26;-44.000000;1.000000;0.000000
27;-8.000000;0.000000;0.000000
28;-2.000000;0.000000;0.000000
29;14.000000;-1.000000;0.000000
30;26.000000;-1.000000;0.000000
31;12.000000;-2.000000;0.000000
32;4.000000;-1.000000;0.000000
33;13.000000;-1.000000;0.000000
34;15.000000;-1.000000;0.000000
35;12.000000;-1.000000;0.000000
36;22.000000;-2.000000;0.000000
37;24.000000;-2.000000;0.000000
38;19.000000;-2.000000;0.000000
39;27.000000;-2.000000;0.000000
40;37.000000;-2.000000;0.000000
41;37.000000;-2.000000;0.000000
42;36.000000;-2.000000;0.000000
43;45.000000;-2.000000;0.000000
44;45.000000;-3.000000;0.000000
45;42.000000;-3.000000;0.000000
46;48.000000;-3.000000;0.000000
47;47.000000;-3.000000;0.000000
48;33.000000;-3.000000;0.000000
49;25.000000;-3.000000;0.000000
50;26.000000;-2.000000;0.000000
51;20.000000;-2.000000;0.000000
52;19.000000;-2.000000;0.000000
53;31.000000;-2.000000;0.000000
54;35.000000;-2.000000;0.000000
55;32.000000;-2.000000;0.000000
56;38.000000;-2.000000;0.000000
57;46.000000;-2.000000;0.000000
58;37.000000;-2.000000;0.000000
59;33.000000;-2.000000;0.000000
60;36.000000;-2.000000;0.000000
61;30.000000;-2.000000;0.000000
62;21.000000;-2.000000;0.000000
63;21.000000;-2.000000;0.000000
64;20.000000;-2.000000;0.000000
65;10.000000;-2.000000;0.000000
66;9.000000;-1.000000;0.000000
67;20.000000;-1.000000;0.000000
68;17.000000;-1.000000;0.000000
69;14.000000;-1.000000;0.000000
70;22.000000;-1.000000;0.000000
71;22.000000;-1.000000;0.000000
72;12.000000;-1.000000;0.000000
73;15.000000;-1.000000;0.000000
74;18.000000;-1.000000;0.000000
75;7.000000;-1.000000;0.000000
76;6.000000;-1.000000;0.000000
77;13.000000;-1.000000;0.000000
78;7.000000;-1.000000;0.000000
79;2.000000;-1.000000;0.000000
80;6.000000;-1.000000;0.000000
81;4.000000;-1.000000;0.000000
82;-2.000000;-1.000000;0.000000
83;-1.000000;-1.000000;0.000000
84;0.000000;-1.000000;0.000000
85;-5.000000;-1.000000;0.000000
86;-7.000000;-1.000000;0.000000
87;-4.000000;-1.000000;0.000000
88;-5.000000;-1.000000;0.000000
89;-9.000000;-1.000000;0.000000
90;-9.000000;-1.000000;0.000000
91;-8.000000;-1.000000;0.000000
92;-12.000000;-1.000000;0.000000
93;-12.000000;0.000000;0.000000
94;-3.000000;0.000000;0.000000
95;-3.000000;0.000000;0.000000
96;-4.000000;0.000000;0.000000
97;1.000000;0.000000;0.000000
98;-2.000000;0.000000;0.000000
99;-10.000000;0.000000;0.000000
100;-9.000000;0.000000;0.000000
101;-10.000000;0.000000;0.000000
102;-19.000000;0.000000;0.000000
103;-20.000000;0.000000;0.000000
104;-15.000000;0.000000;0.000000
105;-20.000000;0.000000;0.000000
106;-22.000000;0.000000;0.000000
107;-16.000000;0.000000;0.000000
108;-18.000000;0.000000;0.000000
109;-22.000000;0.000000;0.000000
110;-17.000000;0.000000;0.000000
111;-14.000000;0.000000;0.000000
112;-18.000000;0.000000;0.000000
113;-17.000000;0.000000;0.000000
114;-13.000000;0.000000;0.000000
115;-16.000000;0.000000;0.000000
116;-18.000000;0.000000;0.000000
117;-12.000000;0.000000;0.000000
118;-14.000000;0.000000;0.000000
119;-18.000000;0.000000;0.000000
120;-13.000000;0.000000;0.000000
121;-10.000000;0.000000;0.000000
122;-14.000000;0.000000;0.000000
123;-12.000000;0.000000;0.000000
124;-9.000000;0.000000;0.000000
125;-11.000000;0.000000;0.000000
126;-13.000000;0.000000;0.000000
127;-8.000000;0.000000;0.000000
128;-6.000000;0.000000;0.000000
129;-8.000000;0.000000;0.000000
130;-4.000000;0.000000;0.000000
131;0.000000;0.000000;0.000000
132;0.000000;0.000000;0.000000
133;2.000000;0.000000;0.000000
134;6.000000;-1.000000;0.000000
135;-3.000000;-1.000000;0.000000
136;-9.000000;-1.000000;0.000000
137;-10.000000;-1.000000;0.000000
138;-13.000000;-1.000000;0.000000
139;-13.000000;-1.000000;0.000000
140;-6.000000;-1.000000;0.000000
141;-2.000000;-1.000000;0.000000
142;0.000000;-1.000000;0.000000
143;5.000000;-1.000000;0.000000
144;7.000000;-1.000000;0.000000
145;2.000000;-1.000000;0.000000
146;-2.000000;-1.000000;0.000000
147;-2.000000;-1.000000;0.000000
148;-3.000000;-1.000000;0.000000
149;-3.000000;-1.000000;0.000000
150;2.000000;-1.000000;0.000000
151;7.000000;-1.000000;0.000000
152;7.000000;-1.000000;0.000000
153;10.000000;-1.000000;0.000000
154;13.000000;-1.000000;0.000000
155;11.000000;-1.000000;0.000000
156;8.000000;-1.000000;0.000000
157;9.000000;-1.000000;0.000000
158;9.000000;-1.000000;0.000000
159;4.000000;-1.000000;0.000000
160;5.000000;-1.000000;0.000000
161;7.000000;-1.000000;0.000000
162;3.000000;-1.000000;0.000000
163;4.000000;-1.000000;0.000000
164;9.000000;-1.000000;0.000000
165;6.000000;-1.000000;0.000000
166;5.000000;-1.000000;0.000000
167;11.000000;-1.000000;0.000000
168;10.000000;-1.000000;0.000000
169;7.000000;-1.000000;0.000000
170;10.000000;-1.000000;0.000000
171;9.000000;-1.000000;0.000000
172;5.000000;-1.000000;0.000000
173;5.000000;-1.000000;0.000000
174;6.000000;-1.000000;0.000000
175;3.000000;-1.000000;0.000000
176;1.000000;-1.000000;0.000000
177;3.000000;-1.000000;0.000000
178;4.000000;-1.000000;0.000000
179;2.000000;-1.000000;0.000000
180;4.000000;-1.000000;0.000000
181;8.000000;-1.000000;0.000000
182;5.000000;-1.000000;0.000000
183;2.000000;-1.000000;0.000000
184;5.000000;-1.000000;0.000000
185;1.000000;-1.000000;0.000000
186;-4.000000;-1.000000;0.000000
187;-1.000000;-1.000000;0.000000
188;-1.000000;-1.000000;0.000000
189;-6.000000;-1.000000;0.000000
190;-2.000000;-1.000000;0.000000
191;-1.000000;-1.000000;0.000000
192;-5.000000;-1.000000;0.000000
193;-4.000000;-1.000000;0.000000
194;-1.000000;-1.000000;0.000000
195;-5.000000;-1.000000;0.000000
196;-6.000000;-1.000000;0.000000
197;-4.000000;-1.000000;0.000000
198;-5.000000;-1.000000;0.000000
199;-6.000000;-1.000000;0.000000
200;-5.000000;-1.000000;0.000000
201;-3.000000;-1.000000;0.000000
202;-4.000000;-1.000000;0.000000
203;-5.000000;-1.000000;0.000000
204;-3.000000;-1.000000;0.000000
205;-3.000000;-1.000000;0.000000
206;-6.000000;-1.000000;0.000000
207;-5.000000;-1.000000;0.000000
208;-4.000000;-1.000000;0.000000
209;-8.000000;-1.000000;0.000000
210;-8.000000;-1.000000;0.000000
211;-5.000000;-1.000000;0.000000
212;-6.000000;-1.000000;0.000000
213;-7.000000;-1.000000;0.000000
214;-4.000000;-1.000000;0.000000
215;-5.000000;-1.000000;0.000000
216;-6.000000;-1.000000;0.000000
217;-4.000000;-1.000000;0.000000
218;-5.000000;-1.000000;0.000000
219;-8.000000;-1.000000;0.000000
