takt;q1;q2;q2p
0;272.000000;0.000000;11.200986
1;538.000000;0.000000;22.401840
2;790.000000;0.000000;33.602428
3;884.000000;0.000000;44.802620
4;880.000000;0.000000;56.002281
5;777.000000;0.000000;67.201279
6;536.000000;0.000000;78.399490
7;219.000000;0.000000;89.596771
8;-180.000000;0.000000;100.792992
9;-685.000000;0.000000;111.988029
10;-1275.000000;0.000000;123.181747
11;-1921.000000;0.000000;134.374008
12;-2632.000000;0.000000;145.564682
13;-3404.000000;0.000000;156.753632
14;-4231.000000;0.000000;167.940750
15;-5132.000000;0.000000;179.125870
16;-6093.000000;0.000000;190.308868
17;-7094.000000;0.000000;201.489624
18;-8160.000000;0.000000;212.667999
19;-9244.000000;0.000000;223.843857
20;-10371.000000;0.000000;235.017059
21;-11543.000000;0.000000;246.187500
22;-12762.000000;0.000000;257.355042
23;-14003.000000;0.000000;268.519531
24;-15285.000000;0.000000;279.680847
25;-16611.000000;0.000000;290.838867
26;-17966.000000;0.000000;301.993439
27;-19351.000000;0.000000;313.144470
28;-20783.000000;0.000000;324.291779
29;-22248.000000;0.000000;335.435272
30;-23757.000000;0.000000;346.574799
31;-25324.000000;0.000000;357.710236
32;-26919.000000;0.000000;368.841431
33;-28591.000000;0.000000;379.968292
34;-30282.000000;0.000000;391.090668
35;-32029.000000;0.000000;402.208405
36;-33853.000000;0.000000;413.321411
37;-35709.000000;0.000000;424.429565
38;-37597.000000;0.000000;435.532684
39;-39569.000000;0.000000;446.630676
40;-41608.000000;0.000000;457.723389
41;-43603.000000;0.000000;468.810699
42;-45737.000000;0.000000;479.892456
43;-47932.000000;0.000000;490.968567
44;-50052.000000;0.000000;502.038879
45;-52328.000000;0.000000;513.103271
46;-54597.000000;0.000000;524.161560
47;-56881.000000;0.000000;535.213684
48;-59264.000000;0.000000;546.259521
49;-61657.000000;0.000000;557.298889
50;-64070.000000;0.000000;568.331665
51;-66552.000000;0.000000;579.357727
52;-69057.000000;0.000000;590.376953
53;-71609.000000;0.000000;601.389221
54;-74205.000000;0.000000;612.394348
55;-76873.000000;0.000000;623.392273
56;-79553.000000;0.000000;634.382812
57;-82279.000000;0.000000;645.365906
58;-85079.000000;0.000000;656.341309
59;-87905.000000;0.000000;667.309021
60;-90763.000000;0.000000;678.268860
61;-93683.000000;0.000000;689.220642
62;-96670.000000;0.000000;700.164307
63;-99655.000000;0.000000;711.099670
64;-102687.000000;0.000000;722.026672
65;-105814.000000;0.000000;732.945190
66;-108940.000000;0.000000;743.854980
67;-112085.000000;0.000000;754.756042
68;-115356.000000;0.000000;765.648132
69;-118594.000000;0.000000;776.531189
70;-121882.000000;0.000000;787.405151
71;-125281.000000;0.000000;798.269714
72;-128644.000000;0.000000;809.124939
73;-132068.000000;0.000000;819.970520
74;-135569.000000;0.000000;830.806396
75;-139102.000000;0.000000;841.632507
76;-142671.000000;0.000000;852.448608
77;-146312.000000;0.000000;863.254700
78;-149988.000000;0.000000;874.050598
79;-153718.000000;0.000000;884.836182
80;-157534.000000;0.000000;895.611267
81;-161307.000000;0.000000;906.375854
82;-165204.000000;0.000000;917.129639
83;-169120.000000;0.000000;927.872681
84;-173034.000000;0.000000;938.604736
85;-177046.000000;0.000000;949.325684
86;-181084.000000;0.000000;960.035461
87;-185167.000000;0.000000;970.733887
88;-189268.000000;0.000000;981.420837
89;-193446.000000;0.000000;992.096191
