takt;q1;q2;q2p
0;246.000000;0.000000;167.940720
1;495.000000;0.000000;335.435333
2;452.000000;0.000000;502.038879
3;41.000000;0.000000;667.308777
4;-635.000000;0.000000;830.805969
5;-1748.000000;0.000000;992.096191
6;-3270.000000;0.000000;1150.750977
7;-5055.000000;0.000000;1306.348877
8;-7233.000000;0.000000;1458.476440
9;-9823.000000;0.000000;1606.729858
10;-12797.000000;0.000000;1750.714966
11;-16047.000000;0.000000;1890.049438
12;-19698.000000;0.000000;2024.363159
13;-23814.000000;0.000000;2153.299316
14;-28196.000000;0.000000;2276.515137
15;-32971.000000;0.000000;2393.683594
16;-38159.000000;0.000000;2504.493408
17;-43731.000000;0.000000;2608.650391
18;-49638.000000;0.000000;2705.877197
19;-55892.000000;0.000000;2795.916260
20;-62626.000000;0.000000;2878.527832
21;-69685.000000;0.000000;2953.493164
22;-77058.000000;0.000000;3020.612305
23;-84901.000000;0.000000;3079.707764
24;-93015.000000;0.000000;3130.621826
25;-101505.000000;0.000000;3173.219971
26;-110355.000000;0.000000;3207.388428
27;-119622.000000;0.000000;3233.036621
28;-129177.000000;0.000000;3250.096436
29;-139098.000000;0.000000;3258.522705
30;-149412.000000;0.000000;3258.292725
31;-160111.000000;0.000000;3249.407471
32;-171102.000000;0.000000;3231.890137
33;-182459.000000;0.000000;3205.787598
34;-194126.000000;0.000000;3171.169189
35;-206050.000000;0.000000;3128.126709
36;-218197.000000;0.000000;3076.774658
37;-230470.000000;0.000000;3017.249023
38;-242905.000000;0.000000;2949.708252
39;-255303.000000;0.000000;2874.331787
40;-267726.000000;0.000000;2791.319580
41;-279950.000000;0.000000;2700.892578
42;-291895.000000;0.000000;2603.290771
43;-303577.000000;0.000000;2498.773438
44;-314821.000000;0.000000;2387.618408
45;-325793.000000;0.000000;2270.120605
46;-336459.000000;0.000000;2146.592285
47;-346761.000000;0.000000;2017.361816
48;-356708.000000;0.000000;1882.772217
49;-366218.000000;0.000000;1743.181152
50;-375282.000000;0.000000;1598.959351
51;-383920.000000;0.000000;1450.490112
52;-392157.000000;0.000000;1298.167603
