takt;q1;q2;q2p
0;269.000000;-11.000000;1367.243286
1;400.000000;4.000000;2734.082764
2;126.000000;45.000000;4100.115723
3;-389.000000;109.000000;5464.937500
4;-1434.000000;203.000000;6828.145996
5;-2771.000000;311.000000;8189.338379
6;-4411.000000;449.000000;9548.113281
7;-6487.000000;577.000000;10904.070312
8;-8814.000000;726.000000;12256.807617
9;-11648.000000;878.000000;13605.926758
10;-14817.000000;1025.000000;14951.029297
11;-18339.000000;1180.000000;16291.718750
12;-22194.000000;1337.000000;17627.597656
13;-26235.000000;1502.000000;18958.273438
14;-30498.000000;1676.000000;20283.351562
15;-34921.000000;1863.000000;21602.441406
16;-39478.000000;2043.000000;22915.154297
17;-44215.000000;2243.000000;24221.103516
18;-49154.000000;2445.000000;25519.898438
19;-54240.000000;2654.000000;26811.162109
20;-59482.000000;2870.000000;28094.507812
21;-64940.000000;3090.000000;29369.562500
22;-70556.000000;3320.000000;30635.943359
23;-76322.000000;3554.000000;31893.283203
24;-82234.000000;3795.000000;33141.207031
25;-88313.000000;4044.000000;34379.343750
26;-94578.000000;4301.000000;35607.335938
27;-101012.000000;4561.000000;36824.812500
28;-107539.000000;4831.000000;38031.417969
29;-114240.000000;5103.000000;39226.796875
30;-121140.000000;5386.000000;40410.593750
31;-128134.000000;5674.000000;41582.464844
32;-135279.000000;5967.000000;42742.054688
33;-142685.000000;6271.000000;43889.031250
34;-150123.000000;6576.000000;45023.046875
35;-157793.000000;6893.000000;46143.773438
36;-165553.000000;7210.000000;47250.878906
37;-173528.000000;7536.000000;48344.035156
38;-181675.000000;7867.000000;49422.917969
39;-189934.000000;8207.000000;50487.210938
40;-198421.000000;8552.000000;51536.601562
41;-207043.000000;8905.000000;52570.773438
42;-215781.000000;9262.000000;53589.429688
43;-224732.000000;9628.000000;54592.261719
44;-233816.000000;10001.000000;55578.980469
45;-243050.000000;10380.000000;56549.289062
46;-252428.000000;10768.000000;57502.902344
47;-261970.000000;11158.000000;58439.542969
48;-271647.000000;11555.000000;59358.929688
49;-281476.000000;11956.000000;60260.792969
50;-291464.000000;12365.000000;61144.863281
51;-301576.000000;12778.000000;62010.886719
52;-311808.000000;13200.000000;62858.597656
53;-322156.000000;13626.000000;63687.757812
54;-332703.000000;14060.000000;64498.113281
55;-343399.000000;14503.000000;65289.425781
56;-354281.000000;14955.000000;66061.468750
57;-365290.000000;15409.000000;66814.000000
58;-376509.000000;15868.000000;67546.812500
59;-387880.000000;16336.000000;68259.687500
60;-399276.000000;16807.000000;68952.406250
61;-410826.000000;17283.000000;69624.765625
62;-422507.000000;17764.000000;70276.578125
63;-434328.000000;18253.000000;70907.640625
64;-446316.000000;18751.000000;71517.765625
65;-458513.000000;19256.000000;72106.781250
66;-470800.000000;19767.000000;72674.507812
67;-483203.000000;20282.000000;73220.781250
68;-495550.000000;20805.000000;73745.437500
69;-508020.000000;21331.000000;74248.328125
70;-520595.000000;21862.000000;74729.289062
71;-533328.000000;22398.000000;75188.195312
72;-546213.000000;22943.000000;75624.906250
73;-559202.000000;23497.000000;76039.281250
74;-572381.000000;24055.000000;76431.218750
75;-585545.000000;24620.000000;76800.585938
76;-598705.000000;25191.000000;77147.281250
77;-611994.000000;25766.000000;77471.203125
78;-625424.000000;26343.000000;77772.250000
79;-639061.000000;26930.000000;78050.335938
80;-652801.000000;27523.000000;78305.382812
81;-666689.000000;28120.000000;78537.320312
82;-680476.000000;28724.000000;78746.062500
83;-694492.000000;29329.000000;78931.562500
84;-708427.000000;29942.000000;79093.757812
