takt;q1;q2;q2p
0;244.000000;-10.000000;5464.937500
1;339.000000;8.000000;10904.070312
2;-90.000000;51.000000;16291.718750
3;-834.000000;108.000000;21602.439453
4;-2240.000000;197.000000;26811.158203
5;-4079.000000;296.000000;31893.283203
6;-6314.000000;423.000000;36824.816406
7;-9128.000000;544.000000;41582.468750
8;-12267.000000;683.000000;46143.781250
9;-15752.000000;824.000000;50487.214844
10;-19479.000000;980.000000;54592.261719
11;-23414.000000;1142.000000;58439.539062
12;-27496.000000;1309.000000;62010.878906
13;-31764.000000;1483.000000;65289.414062
14;-36231.000000;1667.000000;68259.671875
15;-40879.000000;1858.000000;70907.625000
16;-45671.000000;2051.000000;73220.773438
17;-50639.000000;2257.000000;75188.179688
18;-55806.000000;2468.000000;76800.578125
19;-61135.000000;2688.000000;78050.335938
20;-66591.000000;2908.000000;78931.562500
21;-72228.000000;3139.000000;79440.093750
22;-77990.000000;3376.000000;79573.523438
23;-83895.000000;3618.000000;79331.234375
24;-89963.000000;3868.000000;78714.359375
25;-96244.000000;4124.000000;77725.820312
26;-102678.000000;4387.000000;76370.273438
27;-109213.000000;4656.000000;74654.132812
28;-115915.000000;4932.000000;72585.492188
29;-122804.000000;5213.000000;70174.117188
30;-129754.000000;5501.000000;67431.398438
31;-136917.000000;5792.000000;64370.289062
32;-144263.000000;6092.000000;61005.238281
33;-151750.000000;6399.000000;57352.136719
34;-159419.000000;6712.000000;53428.234375
35;-167236.000000;7033.000000;49252.058594
36;-175239.000000;7361.000000;44843.324219
37;-183392.000000;7694.000000;40222.839844
38;-191658.000000;8033.000000;35412.433594
39;-200135.000000;8379.000000;30434.820312
40;-208758.000000;8733.000000;25313.500000
41;-217508.000000;9093.000000;20072.654297
42;-226419.000000;9458.000000;14737.031250
43;-235524.000000;9832.000000;9331.823242
44;-244453.000000;10158.000000;3882.552002
45;-252975.000000;10477.000000;-1585.051514
46;-261227.000000;10761.000000;-7045.170898
47;-268784.000000;11023.000000;-12472.024414
48;-275974.000000;11255.000000;-17839.988281
49;-282813.000000;11445.000000;-23123.714844
50;-289100.000000;11621.000000;-28298.257812
51;-295203.000000;11760.000000;-33339.183594
52;-300661.000000;11877.000000;-38222.687500
53;-305797.000000;11978.000000;-42925.714844
54;-310478.000000;12070.000000;-47426.054688
55;-314597.000000;12158.000000;-51702.460938
56;-318409.000000;12239.000000;-55734.742188
57;-321538.000000;12324.000000;-59503.855469
58;-324288.000000;12403.000000;-62992.007812
59;-326523.000000;12484.000000;-66182.726562
60;-328407.000000;12559.000000;-69060.937500
61;-330116.000000;12631.000000;-71613.070312
62;-331558.000000;12690.000000;-73827.054688
63;-332830.000000;12740.000000;-75692.453125
64;-333915.000000;12788.000000;-77200.445312
65;-334766.000000;12821.000000;-78343.914062
66;-335354.000000;12845.000000;-79117.460938
67;-335807.000000;12863.000000;-79517.437500
68;-336027.000000;12874.000000;-79541.945312
69;-336016.000000;12873.000000;-79190.882812
70;-335801.000000;12865.000000;-78465.890625
