takt;q1;q2;q2p
0;246.000000;-10.000000;8189.338867
1;350.000000;9.000000;16291.717773
2;17.000000;53.000000;24221.099609
3;-548.000000;113.000000;31893.283203
4;-1702.000000;211.000000;39226.800781
5;-3160.000000;324.000000;46143.781250
6;-4948.000000;459.000000;52570.773438
7;-7201.000000;592.000000;58439.535156
8;-9700.000000;740.000000;63687.742188
9;-12726.000000;884.000000;68259.664062
10;-16078.000000;1030.000000;72106.765625
11;-19723.000000;1181.000000;75188.179688
12;-23593.000000;1338.000000;77471.195312
13;-27669.000000;1508.000000;78931.562500
14;-31918.000000;1683.000000;79553.773438
15;-36302.000000;1862.000000;79331.234375
16;-40915.000000;2050.000000;78266.289062
17;-45707.000000;2249.000000;76370.265625
18;-50608.000000;2446.000000;73663.281250
19;-55704.000000;2655.000000;70174.093750
20;-60994.000000;2872.000000;65939.750000
21;-66432.000000;3094.000000;61005.214844
22;-71978.000000;3322.000000;55422.878906
23;-77718.000000;3558.000000;49252.023438
24;-83686.000000;3803.000000;42558.179688
25;-89764.000000;4050.000000;35412.417969
26;-95976.000000;4303.000000;27890.626953
27;-102364.000000;4567.000000;20072.671875
28;-108903.000000;4836.000000;12041.571289
29;-115595.000000;5108.000000;3882.605225
30;-122150.000000;5342.000000;-4317.589355
31;-128345.000000;5563.000000;-12471.936523
32;-134287.000000;5754.000000;-20493.847656
33;-139608.000000;5910.000000;-28298.140625
34;-144642.000000;6041.000000;-35801.945312
35;-149389.000000;6141.000000;-42925.578125
36;-153723.000000;6241.000000;-49593.398438
37;-157852.000000;6325.000000;-55734.617188
38;-161434.000000;6409.000000;-61284.000000
39;-164713.000000;6492.000000;-66182.625000
40;-167534.000000;6572.000000;-70378.476562
41;-169832.000000;6656.000000;-73826.992188
42;-171828.000000;6732.000000;-76491.554688
43;-173466.000000;6802.000000;-78343.882812
44;-174800.000000;6852.000000;-79364.289062
45;-175926.000000;6900.000000;-79541.953125
46;-176888.000000;6938.000000;-78874.976562
47;-177584.000000;6968.000000;-77370.445312
48;-178051.000000;6986.000000;-75044.343750
49;-178346.000000;6999.000000;-71921.359375
50;-178434.000000;7004.000000;-68034.664062
51;-178258.000000;6996.000000;-63425.523438
52;-177895.000000;6981.000000;-58142.886719
53;-177391.000000;6961.000000;-52242.843750
54;-176690.000000;6933.000000;-45788.046875
55;-175809.000000;6896.000000;-38847.039062
56;-174812.000000;6856.000000;-31493.525391
57;-173641.000000;6807.000000;-23805.587891
58;-172233.000000;6750.000000;-15864.866211
59;-170644.000000;6684.000000;-7755.679199
60;-168966.000000;6617.000000;435.863190
61;-167067.000000;6536.000000;8622.777344
62;-165174.000000;6492.000000;16718.128906
63;-163785.000000;6465.000000;24635.953125
64;-162496.000000;6468.000000;32292.175781
65;-161817.000000;6498.000000;39605.496094
66;-161515.000000;6555.000000;46498.257812
67;-161433.000000;6651.000000;52897.261719
68;-161915.000000;6749.000000;58734.566406
69;-162520.000000;6877.000000;63948.183594
70;-163676.000000;7006.000000;68482.750000
71;-165174.000000;7149.000000;72290.117188
72;-167034.000000;7301.000000;75329.851562
73;-169500.000000;7444.000000;77569.671875
74;-172214.000000;7594.000000;78985.804688
75;-175608.000000;7751.000000;79563.218750
76;-179281.000000;7905.000000;79295.773438
77;-183108.000000;8054.000000;78186.320312
78;-187215.000000;8230.000000;76246.632812
79;-191488.000000;8403.000000;73497.304688
80;-195869.000000;8583.000000;69967.531250
81;-200428.000000;8768.000000;65694.804688
82;-205227.000000;8964.000000;60724.484375
83;-210158.000000;9165.000000;55109.351562
84;-215163.000000;9372.000000;48909.031250
85;-220405.000000;9585.000000;42189.367188
86;-225830.000000;9811.000000;35021.703125
87;-231355.000000;10036.000000;27482.160156
88;-237038.000000;10266.000000;19650.791016
89;-242981.000000;10513.000000;11610.757812
90;-248813.000000;10714.000000;3447.433838
91;-254268.000000;10907.000000;-4752.497070
92;-259529.000000;11057.000000;-12901.962891
93;-264144.000000;11188.000000;-20914.427734
94;-268500.000000;11301.000000;-28704.808594
95;-272587.000000;11387.000000;-36190.382812
96;-276165.000000;11480.000000;-43291.664062
97;-279636.000000;11565.000000;-49933.246094
98;-282475.000000;11647.000000;-56044.605469
99;-285029.000000;11727.000000;-61560.847656
100;-287164.000000;11806.000000;-66423.398438
101;-288895.000000;11879.000000;-70580.617188
102;-290417.000000;11940.000000;-73988.367188
103;-291662.000000;11993.000000;-76610.460938
104;-292650.000000;12029.000000;-78419.054688
105;-293433.000000;12064.000000;-79394.937500
106;-294053.000000;12089.000000;-79527.757812
107;-294407.000000;12102.000000;-78816.101562
108;-294603.000000;12110.000000;-77267.523438
109;-294634.000000;12112.000000;-74898.476562
110;-294473.000000;12107.000000;-71734.101562
111;-294080.000000;12089.000000;-67808.000000
112;-293554.000000;12068.000000;-63161.878906
113;-292873.000000;12041.000000;-57845.062500
114;-291979.000000;12005.000000;-51914.007812
115;-290906.000000;11961.000000;-45431.695312
116;-289727.000000;11912.000000;-38466.960938
117;-288361.000000;11858.000000;-31093.757812
118;-286791.000000;11791.000000;-23390.380859
119;-285094.000000;11722.000000;-15438.631836
120;-283232.000000;11647.000000;-7322.943848
121;-281192.000000;11563.000000;870.503845
122;-278973.000000;11468.000000;9054.708008
123;-276630.000000;11375.000000;17142.763672
124;-274383.000000;11319.000000;25048.785156
125;-272420.000000;11267.000000;32688.822266
126;-270855.000000;11259.000000;39981.750000
127;-269831.000000;11274.000000;46850.125000
128;-269125.000000;11316.000000;53221.011719
129;-268763.000000;11396.000000;59026.765625
130;-268791.000000;11483.000000;64205.734375
131;-269094.000000;11601.000000;68702.929688
132;-269884.000000;11728.000000;72470.585938
133;-270998.000000;11868.000000;75468.703125
134;-272577.000000;12017.000000;77665.445312
135;-274616.000000;12163.000000;79037.484375
136;-277048.000000;12311.000000;79570.250000
137;-280079.000000;12466.000000;79258.093750
138;-283472.000000;12618.000000;78104.320312
139;-287206.000000;12768.000000;76121.179688
140;-291137.000000;12933.000000;73329.742188
141;-295292.000000;13099.000000;69759.632812
142;-299588.000000;13276.000000;65448.777344
143;-304000.000000;13460.000000;60442.941406
144;-308620.000000;13644.000000;54795.281250
145;-313439.000000;13845.000000;48565.714844
146;-318383.000000;14047.000000;41820.437500
147;-323465.000000;14252.000000;34631.078125
148;-328772.000000;14471.000000;27073.972656
149;-334238.000000;14695.000000;19229.373047
150;-339807.000000;14922.000000;11180.582031
151;-345329.000000;15114.000000;3013.065674
152;-350483.000000;15294.000000;-5186.445801
153;-355331.000000;15436.000000;-13330.883789
154;-359615.000000;15555.000000;-21333.763672
155;-363624.000000;15668.000000;-29110.101562
156;-367295.000000;15750.000000;-36577.328125
157;-370567.000000;15841.000000;-43656.140625
158;-373634.000000;15927.000000;-50271.378906
159;-376165.000000;16008.000000;-56352.792969
160;-378381.000000;16085.000000;-61835.808594
161;-380231.000000;16163.000000;-66662.195312
162;-381783.000000;16229.000000;-70780.710938
163;-383117.000000;16279.000000;-74147.617188
164;-384183.000000;16326.000000;-76727.164062
165;-385030.000000;16356.000000;-78491.953125
166;-385634.000000;16383.000000;-79423.250000
167;-386057.000000;16399.000000;-79511.164062
168;-386294.000000;16410.000000;-78754.765625
169;-386349.000000;16412.000000;-77162.078125
170;-386226.000000;16408.000000;-74750.023438
171;-385909.000000;16395.000000;-71544.210938
172;-385427.000000;16374.000000;-67578.679688
173;-384742.000000;16348.000000;-62895.539062
174;-383889.000000;16312.000000;-57544.523438
175;-382870.000000;16272.000000;-51582.453125
176;-381711.000000;16223.000000;-45072.636719
177;-380387.000000;16170.000000;-38084.203125
178;-378877.000000;16106.000000;-30691.355469
179;-377201.000000;16040.000000;-22972.603516
180;-375387.000000;15965.000000;-15009.910156
181;-373381.000000;15881.000000;-6887.827637
182;-371227.000000;15792.000000;1307.395020
183;-368930.000000;15700.000000;9488.734375
184;-366442.000000;15596.000000;17569.314453
185;-364017.000000;15533.000000;25463.330078
186;-362048.000000;15479.000000;33086.953125
187;-360240.000000;15464.000000;40359.230469
188;-359064.000000;15473.000000;47202.941406
189;-358212.000000;15509.000000;53545.414062
190;-357609.000000;15584.000000;59319.292969
191;-357557.000000;15671.000000;64463.273438
192;-357640.000000;15783.000000;68922.726562
193;-358297.000000;15910.000000;72650.296875
194;-359283.000000;16047.000000;75606.414062
195;-360648.000000;16191.000000;77759.671875
196;-362627.000000;16342.000000;79087.218750
197;-364870.000000;16491.000000;79574.945312
198;-367762.000000;16637.000000;79217.679688
199;-371023.000000;16795.000000;78019.218750
200;-374674.000000;16945.000000;75992.281250
201;-378549.000000;17104.000000;73158.398438
202;-382589.000000;17275.000000;69547.648438
203;-386841.000000;17444.000000;65198.394531
204;-391208.000000;17623.000000;60156.804688
205;-395794.000000;17815.000000;54476.417969
206;-400526.000000;18007.000000;48217.558594
207;-405435.000000;18207.000000;41446.683594
208;-410476.000000;18413.000000;34235.691406
209;-415704.000000;18625.000000;26661.156250
210;-421112.000000;18850.000000;18803.511719
211;-426408.000000;19027.000000;10746.196289
212;-431400.000000;19200.000000;2574.767822
213;-436114.000000;19333.000000;-5624.001465
214;-440263.000000;19443.000000;-13763.050781
215;-444109.000000;19550.000000;-21755.951172
216;-447664.000000;19631.000000;-29517.830078
217;-450792.000000;19720.000000;-36966.261719
218;-453727.000000;19804.000000;-44022.160156
219;-456115.000000;19887.000000;-50610.589844
220;-458180.000000;19963.000000;-56661.593750
221;-459951.000000;20040.000000;-62110.917969
222;-461433.000000;20101.000000;-66900.695312
223;-462662.000000;20147.000000;-70980.070312
224;-463673.000000;20191.000000;-74305.718750
225;-464457.000000;20221.000000;-76842.320312
226;-464949.000000;20241.000000;-78562.953125
227;-465275.000000;20255.000000;-79449.335938
228;-465415.000000;20261.000000;-79492.054688
229;-465339.000000;20258.000000;-78690.664062
230;-465052.000000;20247.000000;-77053.671875
231;-464603.000000;20229.000000;-74598.460938
232;-463968.000000;20203.000000;-71351.093750
233;-463113.000000;20167.000000;-67346.070312
234;-462132.000000;20127.000000;-62625.902344
235;-461025.000000;20082.000000;-57240.726562
236;-459722.000000;20029.000000;-51247.714844
237;-458240.000000;19969.000000;-44710.515625
238;-456630.000000;19901.000000;-37698.542969
239;-454822.000000;19828.000000;-30286.253906
240;-452854.000000;19748.000000;-22552.359375
241;-450736.000000;19659.000000;-14578.987305
242;-448475.000000;19566.000000;-6450.802246
243;-446023.000000;19466.000000;1745.882690
244;-443369.000000;19356.000000;9924.028320
245;-440603.000000;19242.000000;17996.792969
246;-437649.000000;19123.000000;25878.451172
247;-434790.000000;19041.000000;33485.312500
248;-432355.000000;18967.000000;40736.597656
249;-430159.000000;18933.000000;47555.304688
250;-428574.000000;18923.000000;53869.035156
251;-427262.000000;18937.000000;59610.734375
252;-426285.000000;18993.000000;64719.441406
253;-425769.000000;19055.000000;69140.898438
254;-425457.000000;19160.000000;72828.164062
255;-425705.000000;19273.000000;75742.078125
256;-426262.000000;19405.000000;77851.695312
257;-427263.000000;19550.000000;79134.625000
258;-428770.000000;19692.000000;79577.234375
259;-430604.000000;19843.000000;79174.820312
260;-433077.000000;19997.000000;77931.671875
261;-435869.000000;20144.000000;75860.968750
262;-439142.000000;20295.000000;72984.718750
263;-442826.000000;20453.000000;69333.453125
264;-446654.000000;20602.000000;64945.949219
265;-450691.000000;20768.000000;59868.792969
266;-454938.000000;20948.000000;54155.898438
267;-459327.000000;21122.000000;47867.933594
268;-463856.000000;21309.000000;41071.667969
269;-468639.000000;21507.000000;33839.265625
270;-473544.000000;21707.000000;26247.531250
271;-478552.000000;21912.000000;18377.078125
272;-483513.000000;22079.000000;10311.483398
273;-488116.000000;22233.000000;2136.391602
274;-492402.000000;22366.000000;-6061.386230
275;-496148.000000;22470.000000;-14194.798828
276;-499634.000000;22568.000000;-22177.480469
277;-502795.000000;22648.000000;-29924.662109
278;-505573.000000;22734.000000;-37354.078125
279;-508093.000000;22817.000000;-44386.835938
280;-510139.000000;22899.000000;-50948.261719
281;-511948.000000;22972.000000;-56968.671875
282;-513544.000000;23041.000000;-62384.144531
283;-514820.000000;23092.000000;-67137.164062
284;-515875.000000;23134.000000;-71177.273438
285;-516718.000000;23171.000000;-74461.554688
286;-517295.000000;23191.000000;-76955.148438
287;-517622.000000;23206.000000;-78631.562500
288;-517812.000000;23213.000000;-79473.007812
289;-517813.000000;23215.000000;-79470.531250
290;-517571.000000;23204.000000;-78624.179688
291;-517161.000000;23188.000000;-76942.929688
292;-516594.000000;23164.000000;-74444.632812
293;-515812.000000;23133.000000;-71155.820312
294;-514807.000000;23092.000000;-67111.414062
295;-513706.000000;23048.000000;-62354.367188
296;-512445.000000;22995.000000;-56935.187500
297;-510969.000000;22933.000000;-50911.421875
298;-509301.000000;22866.000000;-44347.035156
299;-507512.000000;22792.000000;-37311.738281
300;-505530.000000;22711.000000;-29880.230469
301;-503297.000000;22620.000000;-22131.431641
302;-500991.000000;22524.000000;-14147.622070
303;-498503.000000;22424.000000;-6013.581055
304;-495791.000000;22313.000000;2184.317383
305;-492930.000000;22194.000000;10359.020508
306;-489971.000000;22074.000000;18423.722656
307;-486799.000000;21943.000000;26292.787109
308;-483650.000000;21847.000000;33882.652344
309;-481044.000000;21768.000000;41112.722656
310;-478531.000000;21722.000000;47906.226562
311;-476656.000000;21702.000000;54191.019531
312;-475131.000000;21711.000000;59900.367188
313;-473828.000000;21759.000000;64973.640625
314;-473104.000000;21817.000000;69356.976562
315;-472501.000000;21916.000000;73003.812500
316;-472493.000000;22029.000000;75875.437500
317;-472801.000000;22160.000000;77941.351562
318;-473482.000000;22303.000000;79179.625000
319;-474768.000000;22447.000000;79577.101562
320;-476281.000000;22593.000000;79129.554688
321;-478486.000000;22738.000000;77841.750000
322;-481041.000000;22889.000000;75727.359375
323;-484049.000000;23035.000000;72808.828125
324;-487558.000000;23179.000000;69117.148438
325;-491177.000000;23333.000000;64691.531250
326;-495094.000000;23489.000000;59578.964844
327;-499223.000000;23658.000000;53833.734375
328;-503438.000000;23833.000000;47516.855469
329;-507802.000000;24009.000000;40695.402344
330;-512421.000000;24199.000000;33441.812500
331;-517207.000000;24403.000000;25833.109375
332;-522039.000000;24597.000000;17950.087891
333;-526839.000000;24747.000000;9876.457031
334;-531286.000000;24896.000000;1697.950439
335;-535345.000000;25012.000000;-6498.586914
336;-538905.000000;25114.000000;-14626.116211
337;-542182.000000;25208.000000;-22598.333984
338;-545119.000000;25285.000000;-30330.583984
339;-547698.000000;25372.000000;-37740.757812
340;-549987.000000;25456.000000;-44750.167969
341;-551931.000000;25535.000000;-51284.382812
342;-553674.000000;25604.000000;-57274.019531
343;-555148.000000;25668.000000;-62655.472656
344;-556377.000000;25717.000000;-67371.593750
345;-557438.000000;25761.000000;-71372.312500
346;-558229.000000;25794.000000;-74615.140625
347;-558771.000000;25813.000000;-77065.640625
348;-559155.000000;25830.000000;-78697.789062
349;-559360.000000;25838.000000;-79494.265625
350;-559326.000000;25838.000000;-79446.601562
351;-559106.000000;25827.000000;-78555.304688
352;-558762.000000;25816.000000;-76829.843750
353;-558204.000000;25792.000000;-74288.539062
354;-557451.000000;25761.000000;-70958.382812
355;-556562.000000;25725.000000;-66874.726562
356;-555535.000000;25684.000000;-62080.937500
357;-554281.000000;25631.000000;-56627.921875
358;-552872.000000;25573.000000;-50573.582031
359;-551337.000000;25512.000000;-43982.210938
360;-549614.000000;25441.000000;-36923.800781
361;-547672.000000;25361.000000;-29473.300781
362;-545605.000000;25276.000000;-21709.830078
363;-543396.000000;25186.000000;-13715.827148
364;-540948.000000;25087.000000;-5576.176758
365;-538402.000000;24980.000000;2622.685791
366;-535687.000000;24872.000000;10793.698242
367;-532801.000000;24753.000000;18850.093750
368;-529694.000000;24624.000000;26706.324219
369;-526713.000000;24539.000000;34278.964844
370;-524087.000000;24464.000000;41487.601562
371;-521648.000000;24427.000000;48255.687500
372;-519907.000000;24416.000000;54511.355469
373;-518370.000000;24432.000000;60188.179688
374;-517225.000000;24486.000000;65225.871094
375;-516506.000000;24551.000000;69570.937500
376;-515963.000000;24657.000000;73177.250000
377;-516021.000000;24770.000000;76006.500000
378;-516308.000000;24906.000000;78028.648438
379;-517090.000000;25051.000000;79222.218750
380;-518331.000000;25194.000000;79574.546875
381;-519908.000000;25344.000000;79081.890625
382;-522159.000000;25494.000000;77749.468750
383;-524677.000000;25641.000000;75591.445312
384;-527783.000000;25786.000000;72630.726562
385;-531272.000000;25935.000000;68898.750000
386;-534831.000000;26081.000000;64435.148438
387;-538724.000000;26238.000000;59287.324219
388;-542814.000000;26409.000000;53509.937500
389;-546982.000000;26577.000000;47164.335938
390;-551325.000000;26752.000000;40317.906250
391;-555930.000000;26942.000000;33043.343750
392;-560654.000000;27134.000000;25417.902344
393;-565181.000000;27285.000000;17522.550781
394;-569581.000000;27426.000000;9441.131836
395;-573674.000000;27533.000000;1259.457642
396;-577145.000000;27628.000000;-6935.589844
397;-580434.000000;27722.000000;-15056.990234
398;-583355.000000;27799.000000;-23018.501953
399;-585917.000000;27884.000000;-30735.583984
400;-588238.000000;27967.000000;-38126.289062
401;-590110.000000;28043.000000;-45112.140625
402;-591779.000000;28108.000000;-51618.953125
403;-593198.000000;28171.000000;-57577.628906
404;-594326.000000;28216.000000;-62924.898438
405;-595250.000000;28253.000000;-67603.984375
406;-595961.000000;28283.000000;-71565.187500
407;-596412.000000;28300.000000;-74766.453125
408;-596673.000000;28311.000000;-77173.789062
409;-596776.000000;28315.000000;-78761.625000
410;-596684.000000;28313.000000;-79513.109375
411;-596369.000000;28298.000000;-79420.250000
412;-595917.000000;28282.000000;-78484.046875
413;-595304.000000;28255.000000;-76714.429688
414;-594508.000000;28224.000000;-74130.195312
415;-593531.000000;28183.000000;-70758.789062
416;-592401.000000;28137.000000;-66636.000000
417;-591136.000000;28086.000000;-61805.621094
418;-589658.000000;28025.000000;-56318.933594
419;-588059.000000;27959.000000;-50234.207031
420;-586306.000000;27886.000000;-43616.050781
421;-584329.000000;27805.000000;-36534.742188
422;-582207.000000;27719.000000;-29065.476562
423;-579932.000000;27625.000000;-21287.570312
424;-577501.000000;27526.000000;-13283.615234
425;-574895.000000;27419.000000;-5138.603516
426;-572101.000000;27303.000000;3060.974365
427;-569167.000000;27184.000000;11228.047852
428;-566071.000000;27057.000000;19275.892578
429;-562766.000000;26922.000000;27119.050781
430;-559576.000000;26821.000000;34674.234375
431;-556744.000000;26742.000000;41861.218750
432;-554124.000000;26692.000000;48603.687500
433;-552158.000000;26670.000000;54830.039062
434;-550447.000000;26675.000000;60474.160156
435;-549066.000000;26717.000000;65476.117188
436;-548149.000000;26772.000000;69782.796875
437;-547418.000000;26869.000000;73348.460938
438;-547265.000000;26976.000000;76135.250000
439;-547390.000000;27108.000000;78113.570312
440;-547932.000000;27246.000000;79262.414062
441;-549009.000000;27393.000000;79569.585938
442;-550370.000000;27543.000000;79031.820312
443;-552388.000000;27689.000000;77654.828125
444;-554712.000000;27843.000000;75453.234375
445;-557562.000000;27993.000000;72450.414062
446;-560853.000000;28141.000000;68678.250000
447;-564381.000000;28292.000000;64176.812500
448;-568184.000000;28447.000000;58993.886719
