takt;q1;q2;q2p
0;271.000000;-11.000000;0.000000
1;451.000000;-15.000000;0.000000
2;488.000000;-17.000000;0.000000
3;443.000000;-16.000000;0.000000
4;299.000000;-11.000000;0.000000
5;61.000000;-2.000000;0.000000
6;-117.000000;4.000000;0.000000
7;-310.000000;12.000000;0.000000
8;-538.000000;21.000000;0.000000
9;-671.000000;27.000000;0.000000
10;-715.000000;28.000000;0.000000
11;-751.000000;30.000000;0.000000
12;-746.000000;31.000000;0.000000
13;-683.000000;28.000000;0.000000
14;-648.000000;27.000000;0.000000
15;-613.000000;26.000000;0.000000
16;-542.000000;23.000000;0.000000
17;-470.000000;20.000000;0.000000
18;-421.000000;18.000000;0.000000
19;-362.000000;15.000000;0.000000
20;-287.000000;12.000000;0.000000
21;-248.000000;11.000000;0.000000
22;-195.000000;9.000000;0.000000
23;-126.000000;6.000000;0.000000
24;-83.000000;4.000000;0.000000
25;-54.000000;3.000000;0.000000
26;-12.000000;1.000000;0.000000
27;14.000000;0.000000;0.000000
28;17.000000;0.000000;0.000000
29;29.000000;0.000000;0.000000
30;31.000000;-1.000000;0.000000
31;19.000000;-1.000000;0.000000
32;12.000000;-1.000000;0.000000
33;15.000000;-1.000000;0.000000
34;13.000000;-1.000000;0.000000
35;12.000000;-1.000000;0.000000
36;20.000000;-1.000000;0.000000
37;19.000000;-1.000000;0.000000
38;21.000000;-1.000000;0.000000
39;29.000000;-1.000000;0.000000
40;33.000000;-1.000000;0.000000
41;33.000000;-1.000000;0.000000
42;33.000000;-1.000000;0.000000
43;32.000000;-1.000000;0.000000
44;31.000000;-1.000000;0.000000
45;31.000000;-1.000000;0.000000
46;32.000000;-1.000000;0.000000
47;31.000000;-1.000000;0.000000
48;27.000000;-1.000000;0.000000
49;23.000000;-1.000000;0.000000
50;20.000000;-1.000000;0.000000
51;17.000000;-1.000000;0.000000
52;15.000000;-1.000000;0.000000
53;17.000000;-1.000000;0.000000
54;16.000000;-1.000000;0.000000
55;17.000000;-1.000000;0.000000
56;19.000000;-1.000000;0.000000
57;18.000000;-1.000000;0.000000
58;19.000000;-1.000000;0.000000
59;20.000000;-1.000000;0.000000
60;19.000000;-1.000000;0.000000
61;19.000000;-1.000000;0.000000
62;18.000000;-1.000000;0.000000
63;13.000000;-1.000000;0.000000
64;11.000000;-1.000000;0.000000
65;8.000000;0.000000;0.000000
66;9.000000;0.000000;0.000000
67;8.000000;0.000000;0.000000
68;7.000000;0.000000;0.000000
69;5.000000;0.000000;0.000000
70;1.000000;0.000000;0.000000
71;1.000000;0.000000;0.000000
72;0.000000;0.000000;0.000000
73;0.000000;0.000000;0.000000
74;-1.000000;0.000000;0.000000
75;-2.000000;0.000000;0.000000
76;-2.000000;0.000000;0.000000
77;-1.000000;0.000000;0.000000
78;-4.000000;0.000000;0.000000
79;-5.000000;0.000000;0.000000
80;-6.000000;0.000000;0.000000
81;-9.000000;0.000000;0.000000
82;-9.000000;0.000000;0.000000
83;-10.000000;0.000000;0.000000
84;-15.000000;0.000000;0.000000
85;-16.000000;0.000000;0.000000
86;-18.000000;1.000000;0.000000
87;-15.000000;1.000000;0.000000
88;-16.000000;1.000000;0.000000
89;-15.000000;1.000000;0.000000
90;-13.000000;1.000000;0.000000
91;-16.000000;1.000000;0.000000
92;-14.000000;1.000000;0.000000
93;-11.000000;1.000000;0.000000
94;-12.000000;1.000000;0.000000
95;-12.000000;1.000000;0.000000
96;-9.000000;1.000000;0.000000
97;-9.000000;1.000000;0.000000
98;-8.000000;1.000000;0.000000
99;-7.000000;1.000000;0.000000
100;-8.000000;1.000000;0.000000
101;-8.000000;1.000000;0.000000
102;-7.000000;1.000000;0.000000
103;-6.000000;1.000000;0.000000
104;-7.000000;1.000000;0.000000
105;-7.000000;1.000000;0.000000
106;-4.000000;1.000000;0.000000
107;-3.000000;1.000000;0.000000
108;-1.000000;1.000000;0.000000
109;0.000000;1.000000;0.000000
110;-1.000000;0.000000;0.000000
111;-5.000000;0.000000;0.000000
112;-4.000000;0.000000;0.000000
113;-5.000000;0.000000;0.000000
114;-7.000000;0.000000;0.000000
115;-2.000000;0.000000;0.000000
116;0.000000;0.000000;0.000000
117;0.000000;0.000000;0.000000
118;2.000000;0.000000;0.000000
119;4.000000;0.000000;0.000000
120;0.000000;0.000000;0.000000
121;1.000000;0.000000;0.000000
122;3.000000;0.000000;0.000000
123;0.000000;0.000000;0.000000
124;0.000000;0.000000;0.000000
125;3.000000;0.000000;0.000000
126;1.000000;0.000000;0.000000
127;2.000000;0.000000;0.000000
128;5.000000;0.000000;0.000000
129;2.000000;0.000000;0.000000
130;4.000000;0.000000;0.000000
131;6.000000;0.000000;0.000000
132;3.000000;0.000000;0.000000
133;5.000000;0.000000;0.000000
134;6.000000;0.000000;0.000000
135;3.000000;0.000000;0.000000
136;5.000000;0.000000;0.000000
137;7.000000;0.000000;0.000000
138;5.000000;0.000000;0.000000
139;6.000000;0.000000;0.000000
140;7.000000;0.000000;0.000000
141;4.000000;0.000000;0.000000
142;5.000000;0.000000;0.000000
143;7.000000;0.000000;0.000000
144;3.000000;0.000000;0.000000
145;4.000000;0.000000;0.000000
146;7.000000;0.000000;0.000000
