takt;q1;q2;q2p
0;256.000000;-10.000000;0.000000
1;421.000000;-14.000000;0.000000
2;444.000000;-15.000000;0.000000
3;394.000000;-15.000000;0.000000
4;251.000000;-10.000000;0.000000
5;16.000000;0.000000;0.000000
6;-175.000000;6.000000;0.000000
7;-366.000000;14.000000;0.000000
8;-583.000000;22.000000;0.000000
9;-712.000000;28.000000;0.000000
10;-737.000000;29.000000;0.000000
11;-740.000000;29.000000;0.000000
12;-722.000000;29.000000;0.000000
13;-641.000000;26.000000;0.000000
14;-586.000000;24.000000;0.000000
15;-548.000000;22.000000;0.000000
16;-474.000000;20.000000;0.000000
17;-406.000000;17.000000;0.000000
18;-369.000000;15.000000;0.000000
19;-323.000000;13.000000;0.000000
20;-260.000000;11.000000;0.000000
21;-227.000000;9.000000;0.000000
22;-193.000000;8.000000;0.000000
23;-138.000000;6.000000;0.000000
24;-104.000000;4.000000;0.000000
25;-88.000000;4.000000;0.000000
26;-59.000000;3.000000;0.000000
27;-33.000000;2.000000;0.000000
28;-34.000000;1.000000;0.000000
29;-27.000000;1.000000;0.000000
30;-14.000000;1.000000;0.000000
31;-20.000000;1.000000;0.000000
32;-29.000000;1.000000;0.000000
33;-17.000000;1.000000;0.000000
34;-15.000000;0.000000;0.000000
35;-21.000000;0.000000;0.000000
36;-9.000000;0.000000;0.000000
37;-1.000000;0.000000;0.000000
38;3.000000;0.000000;0.000000
39;19.000000;-1.000000;0.000000
40;38.000000;-1.000000;0.000000
41;40.000000;-2.000000;0.000000
42;46.000000;-2.000000;0.000000
43;61.000000;-2.000000;0.000000
44;64.000000;-3.000000;0.000000
45;62.000000;-3.000000;0.000000
46;67.000000;-3.000000;0.000000
47;64.000000;-3.000000;0.000000
48;52.000000;-3.000000;0.000000
49;49.000000;-3.000000;0.000000
50;44.000000;-3.000000;0.000000
51;37.000000;-2.000000;0.000000
52;35.000000;-2.000000;0.000000
53;38.000000;-2.000000;0.000000
54;36.000000;-2.000000;0.000000
55;33.000000;-2.000000;0.000000
56;35.000000;-2.000000;0.000000
57;37.000000;-2.000000;0.000000
58;38.000000;-2.000000;0.000000
59;39.000000;-2.000000;0.000000
60;39.000000;-2.000000;0.000000
61;36.000000;-2.000000;0.000000
62;34.000000;-2.000000;0.000000
63;30.000000;-2.000000;0.000000
64;25.000000;-2.000000;0.000000
65;20.000000;-1.000000;0.000000
66;20.000000;-1.000000;0.000000
67;14.000000;-1.000000;0.000000
68;9.000000;-1.000000;0.000000
69;4.000000;-1.000000;0.000000
70;-5.000000;-1.000000;0.000000
71;-8.000000;0.000000;0.000000
72;-10.000000;0.000000;0.000000
73;-15.000000;0.000000;0.000000
74;-17.000000;0.000000;0.000000
75;-18.000000;0.000000;0.000000
76;-19.000000;0.000000;0.000000
77;-20.000000;0.000000;0.000000
78;-18.000000;0.000000;0.000000
79;-19.000000;0.000000;0.000000
80;-20.000000;0.000000;0.000000
