takt;q1;q2;q2p
0;269.000000;0.000000;56.002285
1;535.000000;0.000000;111.988037
2;782.000000;0.000000;167.940735
3;954.000000;0.000000;223.843842
4;964.000000;0.000000;279.680847
5;793.000000;0.000000;335.435303
6;407.000000;0.000000;391.090729
7;-260.000000;0.000000;446.630707
8;-1176.000000;0.000000;502.038818
9;-2372.000000;0.000000;557.298767
10;-3892.000000;0.000000;612.394165
11;-5733.000000;0.000000;667.308777
12;-7807.000000;0.000000;722.026428
13;-10236.000000;0.000000;776.530884
14;-12921.000000;0.000000;830.806091
15;-15936.000000;0.000000;884.835999
16;-19187.000000;0.000000;938.604736
17;-22695.000000;0.000000;992.096375
18;-26539.000000;0.000000;1045.295044
19;-30554.000000;0.000000;1098.185181
20;-34855.000000;0.000000;1150.751099
21;-39374.000000;0.000000;1202.977295
22;-44146.000000;0.000000;1254.848267
23;-49142.000000;0.000000;1306.348877
24;-54336.000000;0.000000;1357.463745
25;-59753.000000;0.000000;1408.177979
26;-65351.000000;0.000000;1458.476440
27;-71177.000000;0.000000;1508.344238
28;-77103.000000;0.000000;1557.766846
29;-83276.000000;0.000000;1606.729614
30;-89619.000000;0.000000;1655.218018
31;-96106.000000;0.000000;1703.217773
32;-102752.000000;0.000000;1750.714600
33;-109597.000000;0.000000;1797.694702
34;-116612.000000;0.000000;1844.144043
35;-123824.000000;0.000000;1890.048950
36;-131176.000000;0.000000;1935.395874
37;-138709.000000;0.000000;1980.171631
38;-146406.000000;0.000000;2024.362671
39;-154281.000000;0.000000;2067.956299
40;-162370.000000;0.000000;2110.939209
41;-170645.000000;0.000000;2153.298828
42;-179082.000000;0.000000;2195.022949
43;-187722.000000;0.000000;2236.099121
44;-196466.000000;0.000000;2276.515137
45;-205399.000000;0.000000;2316.258789
46;-214496.000000;0.000000;2355.318848
47;-223714.000000;0.000000;2393.683594
48;-233094.000000;0.000000;2431.341797
49;-242590.000000;0.000000;2468.281982
50;-252196.000000;0.000000;2504.493652
51;-261938.000000;0.000000;2539.965820
52;-271860.000000;0.000000;2574.688232
53;-281879.000000;0.000000;2608.650391
54;-292027.000000;0.000000;2641.842773
55;-302326.000000;0.000000;2674.254883
56;-312732.000000;0.000000;2705.877686
57;-323265.000000;0.000000;2736.701660
58;-333918.000000;0.000000;2766.717529
59;-344724.000000;0.000000;2795.916748
60;-355577.000000;0.000000;2824.290527
61;-366574.000000;0.000000;2851.830566
62;-377676.000000;0.000000;2878.528564
63;-388877.000000;0.000000;2904.376953
64;-400150.000000;0.000000;2929.367676
65;-411518.000000;0.000000;2953.493896
66;-422977.000000;0.000000;2976.748047
67;-434568.000000;0.000000;2999.123291
68;-446215.000000;0.000000;3020.613281
69;-457982.000000;0.000000;3041.211426
70;-469826.000000;0.000000;3060.911865
71;-481716.000000;0.000000;3079.708496
72;-493658.000000;0.000000;3097.596191
73;-505612.000000;0.000000;3114.569092
74;-517646.000000;0.000000;3130.622559
75;-529800.000000;0.000000;3145.751953
76;-542004.000000;0.000000;3159.952637
77;-554237.000000;0.000000;3173.220459
78;-566541.000000;0.000000;3185.551270
79;-578916.000000;0.000000;3196.941895
80;-591240.000000;0.000000;3207.388672
81;-603579.000000;0.000000;3216.888428
82;-615972.000000;0.000000;3225.438721
83;-628365.000000;0.000000;3233.036621
84;-640893.000000;0.000000;3239.680176
85;-653426.000000;0.000000;3245.367432
86;-666068.000000;0.000000;3250.096436
87;-678684.000000;0.000000;3253.865967
88;-691271.000000;0.000000;3256.675049
89;-703854.000000;0.000000;3258.522705
90;-716420.000000;0.000000;3259.408203
91;-729041.000000;0.000000;3259.331543
92;-741638.000000;0.000000;3258.292725
93;-754346.000000;0.000000;3256.291992
94;-767064.000000;0.000000;3253.329834
95;-779669.000000;0.000000;3249.407471
96;-792318.000000;0.000000;3244.525635
97;-804966.000000;0.000000;3238.686035
98;-817479.000000;0.000000;3231.890381
99;-830062.000000;0.000000;3224.140381
100;-842573.000000;0.000000;3215.438721
101;-855100.000000;0.000000;3205.787842
102;-867648.000000;0.000000;3195.190430
103;-880091.000000;0.000000;3183.649902
104;-892449.000000;0.000000;3171.169434
105;-904739.000000;0.000000;3157.752930
106;-916924.000000;0.000000;3143.404053
107;-929095.000000;0.000000;3128.127197
108;-941176.000000;0.000000;3111.926758
109;-953247.000000;0.000000;3094.807861
110;-965251.000000;0.000000;3076.775146
111;-977120.000000;0.000000;3057.834229
112;-988876.000000;0.000000;3037.990479
113;-1000544.000000;0.000000;3017.250000
114;-1012069.000000;0.000000;2995.618652
115;-1023550.000000;0.000000;2973.103027
116;-1034936.000000;0.000000;2949.709717
117;-1046182.000000;0.000000;2925.445557
118;-1057387.000000;0.000000;2900.317627
119;-1068429.000000;0.000000;2874.333740
120;-1079345.000000;0.000000;2847.500977
121;-1090124.000000;0.000000;2819.827881
122;-1100802.000000;0.000000;2791.322266
123;-1111488.000000;0.000000;2761.992432
124;-1122028.000000;0.000000;2731.847412
125;-1132472.000000;0.000000;2700.895752
126;-1142815.000000;0.000000;2669.146973
127;-1153001.000000;0.000000;2636.609863
128;-1163131.000000;0.000000;2603.294678
129;-1173074.000000;0.000000;2569.210938
130;-1182857.000000;0.000000;2534.368652
131;-1192500.000000;0.000000;2498.778076
132;-1202106.000000;0.000000;2462.449951
133;-1211644.000000;0.000000;2425.394775
134;-1221059.000000;0.000000;2387.623535
135;-1230326.000000;0.000000;2349.147705
136;-1239514.000000;0.000000;2309.978027
137;-1248541.000000;0.000000;2270.126709
138;-1257393.000000;0.000000;2229.604980
139;-1266108.000000;0.000000;2188.425293
140;-1274600.000000;0.000000;2146.599365
141;-1282933.000000;0.000000;2104.139648
142;-1291135.000000;0.000000;2061.058838
143;-1299217.000000;0.000000;2017.369629
144;-1307064.000000;0.000000;1973.084717
145;-1314784.000000;0.000000;1928.217041
146;-1322332.000000;0.000000;1882.780151
147;-1329709.000000;0.000000;1836.787354
148;-1336859.000000;0.000000;1790.252319
149;-1343840.000000;0.000000;1743.188721
150;-1350621.000000;0.000000;1695.610474
151;-1357250.000000;0.000000;1647.531738
152;-1363662.000000;0.000000;1598.966553
153;-1369890.000000;0.000000;1549.929321
154;-1375968.000000;0.000000;1500.434570
155;-1381809.000000;0.000000;1450.496826
156;-1387411.000000;0.000000;1400.130859
157;-1392813.000000;0.000000;1349.351562
158;-1398021.000000;0.000000;1298.173828
159;-1403037.000000;0.000000;1246.612915
160;-1407845.000000;0.000000;1194.683960
161;-1412450.000000;0.000000;1142.402344
162;-1416856.000000;0.000000;1089.783447
163;-1421044.000000;0.000000;1036.842773
164;-1425055.000000;0.000000;983.596069
165;-1428795.000000;0.000000;930.058960
166;-1432385.000000;0.000000;876.247253
167;-1435767.000000;0.000000;822.176880
168;-1438878.000000;0.000000;767.863770
169;-1441846.000000;0.000000;713.323975
170;-1444543.000000;0.000000;658.573608
171;-1447027.000000;0.000000;603.628784
172;-1449272.000000;0.000000;548.505798
173;-1451270.000000;0.000000;493.220856
174;-1453068.000000;0.000000;437.790283
175;-1454587.000000;0.000000;382.230499
176;-1455900.000000;0.000000;326.557861
177;-1456992.000000;0.000000;270.788818
178;-1457860.000000;0.000000;214.939835
179;-1458471.000000;0.000000;159.027390
180;-1458876.000000;0.000000;103.067993
181;-1459032.000000;0.000000;47.078178
182;-1458955.000000;0.000000;-8.925540
183;-1458678.000000;0.000000;-64.926620
184;-1458181.000000;0.000000;-120.908539
185;-1457462.000000;0.000000;-176.854752
186;-1456516.000000;0.000000;-232.748764
187;-1455376.000000;0.000000;-288.574066
188;-1453979.000000;0.000000;-344.314178
189;-1452338.000000;0.000000;-399.952606
190;-1450496.000000;0.000000;-455.472992
191;-1448395.000000;0.000000;-510.858917
192;-1446040.000000;0.000000;-566.093994
193;-1443494.000000;0.000000;-621.161987
194;-1440700.000000;0.000000;-676.046570
195;-1437674.000000;0.000000;-730.731567
196;-1434459.000000;0.000000;-785.200867
197;-1430994.000000;0.000000;-839.438354
198;-1427327.000000;0.000000;-893.427979
199;-1423390.000000;0.000000;-947.153870
200;-1419272.000000;0.000000;-1000.600159
201;-1414924.000000;0.000000;-1053.750977
202;-1410310.000000;0.000000;-1106.590820
