takt;q1;q2;q2p
0;258.000000;0.000000;167.940720
1;507.000000;0.000000;335.435333
2;609.000000;0.000000;502.038879
3;417.000000;0.000000;667.308777
4;-84.000000;0.000000;830.805969
5;-981.000000;0.000000;992.096191
6;-2278.000000;0.000000;1150.750977
7;-3918.000000;0.000000;1306.348877
8;-5856.000000;0.000000;1458.476440
9;-8229.000000;0.000000;1606.729858
10;-10980.000000;0.000000;1750.714966
11;-14055.000000;0.000000;1890.049438
12;-17487.000000;0.000000;2024.363159
13;-21296.000000;0.000000;2153.299316
14;-25471.000000;0.000000;2276.515137
15;-29977.000000;0.000000;2393.683594
16;-34908.000000;0.000000;2504.493408
17;-40163.000000;0.000000;2608.650391
18;-45764.000000;0.000000;2705.877197
19;-51773.000000;0.000000;2795.916260
20;-58129.000000;0.000000;2878.527832
21;-64893.000000;0.000000;2953.493164
22;-71978.000000;0.000000;3020.612305
23;-79436.000000;0.000000;3079.707764
24;-87330.000000;0.000000;3130.621826
25;-95525.000000;0.000000;3173.219971
26;-104120.000000;0.000000;3207.388428
27;-113121.000000;0.000000;3233.036621
28;-122453.000000;0.000000;3250.096436
29;-132147.000000;0.000000;3258.522705
30;-142190.000000;0.000000;3258.292725
31;-152606.000000;0.000000;3249.407471
32;-163346.000000;0.000000;3231.890137
33;-174475.000000;0.000000;3205.787598
34;-185913.000000;0.000000;3171.169189
35;-197594.000000;0.000000;3128.126709
36;-209497.000000;0.000000;3076.774658
37;-221525.000000;0.000000;3017.249023
38;-233596.000000;0.000000;2949.708252
39;-245690.000000;0.000000;2874.331787
40;-257808.000000;0.000000;2791.319580
41;-269796.000000;0.000000;2700.892578
42;-281609.000000;0.000000;2603.290771
43;-293184.000000;0.000000;2498.773438
44;-304318.000000;0.000000;2387.618408
45;-315098.000000;0.000000;2270.120605
46;-325411.000000;0.000000;2146.592285
47;-335340.000000;0.000000;2017.361816
48;-344859.000000;0.000000;1882.772217
49;-353980.000000;0.000000;1743.181152
50;-362694.000000;0.000000;1598.959351
51;-370973.000000;0.000000;1450.490112
52;-378858.000000;0.000000;1298.167603
53;-386297.000000;0.000000;1142.396606
54;-393300.000000;0.000000;983.590942
55;-399918.000000;0.000000;822.172424
56;-406094.000000;0.000000;658.569824
57;-411845.000000;0.000000;493.217712
58;-417198.000000;0.000000;326.555450
59;-422148.000000;0.000000;159.025696
60;-426634.000000;0.000000;-8.926512
61;-430721.000000;0.000000;-176.854996
62;-434359.000000;0.000000;-344.313690
63;-437584.000000;0.000000;-510.857697
64;-440355.000000;0.000000;-676.044678
65;-442718.000000;0.000000;-839.435730
66;-444669.000000;0.000000;-1000.596924
67;-446217.000000;0.000000;-1159.100098
68;-447349.000000;0.000000;-1314.524048
69;-448072.000000;0.000000;-1466.456177
70;-448404.000000;0.000000;-1614.492676
71;-448346.000000;0.000000;-1758.240356
72;-447888.000000;0.000000;-1897.317383
73;-447035.000000;0.000000;-2031.353638
74;-445816.000000;0.000000;-2159.993896
75;-444238.000000;0.000000;-2282.895996
76;-442278.000000;0.000000;-2399.734131
77;-439936.000000;0.000000;-2510.197266
78;-437267.000000;0.000000;-2613.992432
79;-434198.000000;0.000000;-2710.843506
80;-430735.000000;0.000000;-2800.493652
81;-426947.000000;0.000000;-2882.704346
82;-422806.000000;0.000000;-2957.257324
83;-418277.000000;0.000000;-3023.954590
84;-413380.000000;0.000000;-3082.618896
85;-408150.000000;0.000000;-3133.094727
86;-402550.000000;0.000000;-3175.247314
87;-396580.000000;0.000000;-3208.965332
88;-390213.000000;0.000000;-3234.158936
89;-383497.000000;0.000000;-3250.761230
90;-376433.000000;0.000000;-3258.728027
91;-368939.000000;0.000000;-3258.038330
92;-361138.000000;0.000000;-3248.694092
93;-352940.000000;0.000000;-3230.719727
94;-344376.000000;0.000000;-3204.163086
95;-335442.000000;0.000000;-3169.094971
96;-326150.000000;0.000000;-3125.608398
97;-316482.000000;0.000000;-3073.818604
98;-306481.000000;0.000000;-3013.863770
99;-296160.000000;0.000000;-2945.902588
100;-285442.000000;0.000000;-2870.115967
101;-274482.000000;0.000000;-2786.705078
102;-263321.000000;0.000000;-2695.891602
103;-252016.000000;0.000000;-2597.916504
104;-240568.000000;0.000000;-2493.040283
105;-229137.000000;0.000000;-2381.541504
106;-217958.000000;0.000000;-2263.716309
107;-207028.000000;0.000000;-2139.877930
108;-196512.000000;0.000000;-2010.354858
109;-186373.000000;0.000000;-1875.491577
110;-176615.000000;0.000000;-1735.646118
111;-167171.000000;0.000000;-1591.189941
112;-158110.000000;0.000000;-1442.507080
113;-149434.000000;0.000000;-1289.992188
114;-141111.000000;0.000000;-1134.050537
115;-133250.000000;0.000000;-975.096375
116;-125799.000000;0.000000;-813.551941
117;-118805.000000;0.000000;-649.846313
118;-112268.000000;0.000000;-484.414490
119;-106156.000000;0.000000;-317.695831
120;-100506.000000;0.000000;-150.133224
121;-95281.000000;0.000000;17.828186
122;-90457.000000;0.000000;185.742233
