takt;q1;q2;q2p
0;265.000000;0.000000;279.680847
1;519.000000;0.000000;557.298767
2;426.000000;0.000000;830.806030
3;78.000000;0.000000;1098.185059
4;-630.000000;0.000000;1357.463867
5;-1849.000000;0.000000;1606.729736
6;-3283.000000;0.000000;1844.144287
7;-5171.000000;0.000000;2067.956299
8;-7415.000000;0.000000;2276.514893
9;-9992.000000;0.000000;2468.281738
10;-13019.000000;0.000000;2641.842041
11;-16348.000000;0.000000;2795.916016
12;-20056.000000;0.000000;2929.367188
13;-24161.000000;0.000000;3041.210693
14;-28640.000000;0.000000;3130.622070
15;-33477.000000;0.000000;3196.941650
16;-38654.000000;0.000000;3239.680420
17;-44186.000000;0.000000;3258.522705
18;-50068.000000;0.000000;3253.329834
19;-56318.000000;0.000000;3224.140137
20;-62983.000000;0.000000;3171.168945
21;-69987.000000;0.000000;3094.806641
22;-77333.000000;0.000000;2995.616943
23;-85111.000000;0.000000;2874.331543
24;-93201.000000;0.000000;2731.844482
25;-101689.000000;0.000000;2569.207275
26;-110517.000000;0.000000;2387.619141
27;-119558.000000;0.000000;2188.419922
28;-128622.000000;0.000000;1973.078613
29;-137658.000000;0.000000;1743.183716
30;-146368.000000;0.000000;1500.430908
31;-154781.000000;0.000000;1246.610840
32;-162801.000000;0.000000;983.595581
33;-170394.000000;0.000000;713.325256
34;-177768.000000;0.000000;437.793427
35;-184685.000000;0.000000;159.032364
36;-191282.000000;0.000000;-120.901741
37;-197460.000000;0.000000;-399.944672
38;-203176.000000;0.000000;-676.037537
39;-208557.000000;0.000000;-947.143860
40;-213404.000000;0.000000;-1211.264038
41;-217912.000000;0.000000;-1466.449585
42;-221945.000000;0.000000;-1710.818604
43;-225584.000000;0.000000;-1942.568359
44;-228816.000000;0.000000;-2159.989502
45;-231601.000000;0.000000;-2361.478271
46;-234061.000000;0.000000;-2545.548340
47;-236038.000000;0.000000;-2710.842285
48;-237635.000000;0.000000;-2856.140625
49;-238805.000000;0.000000;-2980.371826
50;-239496.000000;0.000000;-3082.619385
51;-239843.000000;0.000000;-3162.129150
52;-239709.000000;0.000000;-3218.314697
53;-239230.000000;0.000000;-3250.761719
54;-238316.000000;0.000000;-3259.230469
55;-236977.000000;0.000000;-3243.658691
56;-235273.000000;0.000000;-3204.161377
57;-233125.000000;0.000000;-3141.029785
58;-230621.000000;0.000000;-3054.729736
59;-227741.000000;0.000000;-2945.897461
60;-224487.000000;0.000000;-2815.335693
61;-220861.000000;0.000000;-2664.008057
62;-216885.000000;0.000000;-2493.030029
63;-212516.000000;0.000000;-2303.663330
64;-207750.000000;0.000000;-2097.304443
65;-202621.000000;0.000000;-1875.475464
66;-197128.000000;0.000000;-1639.812866
67;-191321.000000;0.000000;-1392.054688
68;-185341.000000;0.000000;-1134.028687
69;-179385.000000;0.000000;-867.637878
70;-173598.000000;0.000000;-594.847290
71;-168225.000000;0.000000;-317.669006
72;-163098.000000;0.000000;-38.147564
73;-158481.000000;0.000000;241.654037
74;-154191.000000;0.000000;519.673157
75;-150132.000000;0.000000;793.859192
76;-146641.000000;0.000000;1062.189697
77;-143334.000000;0.000000;1322.685303
78;-140551.000000;0.000000;1573.424805
79;-138133.000000;0.000000;1812.558594
80;-136093.000000;0.000000;2038.322876
81;-134606.000000;0.000000;2249.052246
82;-133419.000000;0.000000;2443.192627
83;-132805.000000;0.000000;2619.311768
84;-132527.000000;0.000000;2776.110840
85;-132641.000000;0.000000;2912.433105
86;-133235.000000;0.000000;3027.272949
87;-134113.000000;0.000000;3119.783447
88;-135500.000000;0.000000;3189.282471
89;-137245.000000;0.000000;3235.257080
90;-139359.000000;0.000000;3257.368164
91;-141875.000000;0.000000;3255.452637
92;-144722.000000;0.000000;3229.524658
93;-147968.000000;0.000000;3179.775635
94;-151577.000000;0.000000;3106.572510
95;-155535.000000;0.000000;3010.454834
96;-159892.000000;0.000000;2892.132080
97;-164606.000000;0.000000;2752.476807
98;-169699.000000;0.000000;2592.519043
99;-175160.000000;0.000000;2413.438721
100;-180941.000000;0.000000;2216.556641
101;-187125.000000;0.000000;2003.325073
102;-193657.000000;0.000000;1775.317017
103;-200362.000000;0.000000;1534.213989
104;-207159.000000;0.000000;1281.794556
105;-213834.000000;0.000000;1019.920532
106;-220125.000000;0.000000;750.523499
107;-226213.000000;0.000000;475.590576
108;-231778.000000;0.000000;197.149658
109;-236988.000000;0.000000;-82.745445
110;-241951.000000;0.000000;-362.030212
111;-246422.000000;0.000000;-638.644592
112;-250641.000000;0.000000;-910.548340
113;-254360.000000;0.000000;-1175.735840
114;-257700.000000;0.000000;-1432.250977
115;-260665.000000;0.000000;-1678.201782
116;-263089.000000;0.000000;-1911.774048
117;-265221.000000;0.000000;-2131.245117
118;-266791.000000;0.000000;-2334.995850
119;-268008.000000;0.000000;-2521.523438
120;-268797.000000;0.000000;-2689.452148
121;-269130.000000;0.000000;-2837.543457
122;-269155.000000;0.000000;-2964.704590
123;-268663.000000;0.000000;-3069.998047
124;-267837.000000;0.000000;-3152.646973
125;-266550.000000;0.000000;-3212.041992
126;-264850.000000;0.000000;-3247.744629
127;-262841.000000;0.000000;-3259.491699
128;-260402.000000;0.000000;-3247.196533
129;-257629.000000;0.000000;-3210.949951
130;-254486.000000;0.000000;-3151.019043
131;-250942.000000;0.000000;-3067.846191
132;-247066.000000;0.000000;-2962.044678
133;-242837.000000;0.000000;-2834.395020
134;-238261.000000;0.000000;-2685.838623
135;-233293.000000;0.000000;-2517.471191
136;-227993.000000;0.000000;-2330.534912
137;-222320.000000;0.000000;-2126.408447
138;-216295.000000;0.000000;-1906.597290
139;-209878.000000;0.000000;-1672.723145
140;-203250.000000;0.000000;-1426.510864
141;-196473.000000;0.000000;-1169.776489
142;-189860.000000;0.000000;-904.413818
143;-183622.000000;0.000000;-632.380188
144;-177641.000000;0.000000;-355.682007
145;-172200.000000;0.000000;-76.357880
146;-167028.000000;0.000000;203.529465
147;-162192.000000;0.000000;481.915558
148;-157786.000000;0.000000;756.746948
149;-153638.000000;0.000000;1025.996338
150;-150012.000000;0.000000;1287.677979
151;-146713.000000;0.000000;1539.861328
152;-143879.000000;0.000000;1780.686401
153;-141499.000000;0.000000;2008.376709
154;-139489.000000;0.000000;2221.252930
155;-138012.000000;0.000000;2417.744873
156;-136880.000000;0.000000;2596.402832
157;-136214.000000;0.000000;2755.909424
158;-135938.000000;0.000000;2895.087891
159;-136043.000000;0.000000;3012.911621
160;-136640.000000;0.000000;3108.511475
161;-137587.000000;0.000000;3181.182617
162;-138987.000000;0.000000;3230.388428
163;-140731.000000;0.000000;3255.766602
164;-142844.000000;0.000000;3257.129395
165;-145337.000000;0.000000;3234.467041
166;-148209.000000;0.000000;3187.946533
167;-151445.000000;0.000000;3117.911377
168;-155069.000000;0.000000;3024.877930
169;-159054.000000;0.000000;2909.532227
170;-163393.000000;0.000000;2772.725342
171;-168111.000000;0.000000;2615.466309
172;-173178.000000;0.000000;2438.915039
173;-178647.000000;0.000000;2244.374023
174;-184475.000000;0.000000;2033.277954
175;-190649.000000;0.000000;1807.184082
176;-197104.000000;0.000000;1567.760010
177;-203617.000000;0.000000;1316.771973
178;-210158.000000;0.000000;1056.071167
179;-216350.000000;0.000000;787.580505
180;-222213.000000;0.000000;513.280518
181;-227718.000000;0.000000;235.194504
182;-232793.000000;0.000000;-44.626362
183;-237583.000000;0.000000;-324.118042
184;-241953.000000;0.000000;-601.218994
185;-245981.000000;0.000000;-873.885193
186;-249615.000000;0.000000;-1140.105469
187;-252782.000000;0.000000;-1397.916138
188;-255591.000000;0.000000;-1645.415527
189;-257919.000000;0.000000;-1880.777954
190;-259852.000000;0.000000;-2102.267578
191;-261356.000000;0.000000;-2308.250244
192;-262383.000000;0.000000;-2497.207031
193;-263049.000000;0.000000;-2667.743652
194;-263246.000000;0.000000;-2818.602783
195;-263092.000000;0.000000;-2948.671387
196;-262523.000000;0.000000;-3056.989746
197;-261530.000000;0.000000;-3142.759521
198;-260183.000000;0.000000;-3205.347412
199;-258464.000000;0.000000;-3244.292236
200;-256356.000000;0.000000;-3259.306396
201;-253891.000000;0.000000;-3250.279541
202;-251074.000000;0.000000;-3217.277832
203;-247879.000000;0.000000;-3160.544922
204;-244336.000000;0.000000;-3080.499268
205;-240406.000000;0.000000;-2977.731201
206;-236130.000000;0.000000;-2852.999023
207;-231505.000000;0.000000;-2707.222412
208;-226515.000000;0.000000;-2541.476807
209;-221171.000000;0.000000;-2356.984863
210;-215442.000000;0.000000;-2155.107178
211;-209350.000000;0.000000;-1937.333252
212;-202892.000000;0.000000;-1705.269043
213;-196186.000000;0.000000;-1460.626587
214;-189356.000000;0.000000;-1205.210205
215;-182652.000000;0.000000;-940.903931
216;-176262.000000;0.000000;-669.657410
217;-170237.000000;0.000000;-393.471313
218;-164660.000000;0.000000;-114.382957
219;-159411.000000;0.000000;165.549118
220;-154517.000000;0.000000;444.260071
221;-149986.000000;0.000000;719.694092
222;-145793.000000;0.000000;989.819519
223;-142045.000000;0.000000;1252.643799
224;-138669.000000;0.000000;1506.228394
225;-135723.000000;0.000000;1748.702759
226;-133243.000000;0.000000;1978.278320
227;-131170.000000;0.000000;2193.261719
228;-129588.000000;0.000000;2392.067383
229;-128388.000000;0.000000;2573.228516
230;-127625.000000;0.000000;2735.409180
231;-127278.000000;0.000000;2877.412842
232;-127320.000000;0.000000;2998.192139
233;-127837.000000;0.000000;3096.856201
234;-128740.000000;0.000000;3172.677490
235;-130102.000000;0.000000;3225.096191
236;-131859.000000;0.000000;3253.726074
237;-133982.000000;0.000000;3258.355957
238;-136488.000000;0.000000;3238.951660
239;-139372.000000;0.000000;3195.656006
240;-142616.000000;0.000000;3128.788818
241;-146230.000000;0.000000;3038.843018
242;-150225.000000;0.000000;2926.482178
243;-154569.000000;0.000000;2792.534912
244;-159297.000000;0.000000;2637.989502
245;-164393.000000;0.000000;2463.985840
246;-169824.000000;0.000000;2271.807129
247;-175641.000000;0.000000;2062.871338
248;-181810.000000;0.000000;1838.719482
249;-188221.000000;0.000000;1601.004761
250;-194742.000000;0.000000;1351.480713
251;-201326.000000;0.000000;1091.987915
252;-207501.000000;0.000000;824.440369
253;-213405.000000;0.000000;550.811646
254;-218971.000000;0.000000;273.120026
255;-224051.000000;0.000000;-6.586171
256;-228893.000000;0.000000;-286.243805
257;-233307.000000;0.000000;-563.790039
258;-237350.000000;0.000000;-837.177673
259;-241013.000000;0.000000;-1104.390137
260;-244203.000000;0.000000;-1363.456299
261;-247044.000000;0.000000;-1612.465454
262;-249389.000000;0.000000;-1849.580811
263;-251322.000000;0.000000;-2073.053223
264;-252831.000000;0.000000;-2281.234375
265;-253848.000000;0.000000;-2472.588867
266;-254525.000000;0.000000;-2645.704834
267;-254701.000000;0.000000;-2799.305908
268;-254527.000000;0.000000;-2932.258545
269;-253912.000000;0.000000;-3043.582275
270;-252858.000000;0.000000;-3132.456055
271;-251444.000000;0.000000;-3198.224121
272;-249620.000000;0.000000;-3240.401611
273;-247428.000000;0.000000;-3258.677246
274;-244866.000000;0.000000;-3252.916504
275;-241956.000000;0.000000;-3223.161377
276;-238642.000000;0.000000;-3169.631592
277;-234995.000000;0.000000;-3092.722168
278;-230989.000000;0.000000;-2993.000000
279;-226637.000000;0.000000;-2871.201172
280;-221915.000000;0.000000;-2728.223633
281;-216807.000000;0.000000;-2565.122314
282;-211326.000000;0.000000;-2383.100098
283;-205444.000000;0.000000;-2183.499756
284;-199232.000000;0.000000;-1967.793457
285;-192629.000000;0.000000;-1737.572388
286;-185801.000000;0.000000;-1494.534546
287;-178818.000000;0.000000;-1240.472900
288;-172014.000000;0.000000;-977.261169
289;-165497.000000;0.000000;-706.841003
290;-159321.000000;0.000000;-431.207062
291;-153647.000000;0.000000;-152.392456
292;-148257.000000;0.000000;127.546227
293;-143241.000000;0.000000;406.544098
294;-138589.000000;0.000000;682.543213
295;-134249.000000;0.000000;953.507812
296;-130380.000000;0.000000;1217.439087
297;-126845.000000;0.000000;1472.390381
298;-123771.000000;0.000000;1716.480957
299;-121142.000000;0.000000;1947.910522
300;-118942.000000;0.000000;2164.971924
301;-117241.000000;0.000000;2366.063965
302;-115923.000000;0.000000;2549.703613
303;-115066.000000;0.000000;2714.536133
