takt;q1;q2;q2p
0;268.000000;-11.000000;1367.243286
1;407.000000;4.000000;2734.082764
2;93.000000;46.000000;4100.115723
3;-481.000000;106.000000;5464.937500
4;-1648.000000;194.000000;6828.145996
5;-3200.000000;301.000000;8189.338379
6;-5051.000000;430.000000;9548.113281
7;-7453.000000;560.000000;10904.070312
8;-10090.000000;702.000000;12256.807617
9;-13268.000000;846.000000;13605.926758
10;-16766.000000;994.000000;14951.029297
11;-20428.000000;1145.000000;16291.718750
12;-24369.000000;1304.000000;17627.597656
13;-28532.000000;1480.000000;18958.273438
14;-32819.000000;1652.000000;20283.351562
15;-37274.000000;1838.000000;21602.441406
16;-41992.000000;2029.000000;22915.154297
17;-46842.000000;2227.000000;24221.103516
18;-51802.000000;2430.000000;25519.898438
19;-56989.000000;2641.000000;26811.162109
20;-62373.000000;2862.000000;28094.507812
21;-67835.000000;3086.000000;29369.562500
22;-73475.000000;3315.000000;30635.943359
23;-79336.000000;3555.000000;31893.283203
24;-85325.000000;3804.000000;33141.207031
25;-91440.000000;4052.000000;34379.343750
26;-97772.000000;4312.000000;35607.335938
27;-104277.000000;4577.000000;36824.812500
28;-110854.000000;4849.000000;38031.417969
29;-117632.000000;5125.000000;39226.796875
30;-124552.000000;5408.000000;40410.593750
31;-131633.000000;5703.000000;41582.464844
32;-138859.000000;5998.000000;42742.054688
33;-146205.000000;6298.000000;43889.031250
34;-153819.000000;6610.000000;45023.046875
35;-161532.000000;6926.000000;46143.773438
36;-169416.000000;7247.000000;47250.878906
37;-177476.000000;7578.000000;48344.035156
38;-185718.000000;7915.000000;49422.917969
39;-194114.000000;8260.000000;50487.210938
40;-202634.000000;8609.000000;51536.601562
41;-211363.000000;8966.000000;52570.773438
42;-220230.000000;9331.000000;53589.429688
43;-229263.000000;9702.000000;54592.261719
44;-238412.000000;10078.000000;55578.980469
45;-247744.000000;10461.000000;56549.289062
46;-257173.000000;10845.000000;57502.902344
47;-266754.000000;11236.000000;58439.542969
48;-276543.000000;11638.000000;59358.929688
49;-286449.000000;12043.000000;60260.792969
