takt;q1;q2;q2p
0;247.000000;-10.000000;8189.338867
1;356.000000;9.000000;16291.717773
2;-22.000000;51.000000;24221.099609
3;-714.000000;110.000000;31893.283203
4;-2031.000000;199.000000;39226.800781
5;-3770.000000;304.000000;46143.781250
6;-5862.000000;431.000000;52570.773438
7;-8553.000000;557.000000;58439.535156
8;-11536.000000;700.000000;63687.742188
9;-14970.000000;840.000000;68259.664062
10;-18644.000000;991.000000;72106.765625
11;-22500.000000;1152.000000;75188.179688
12;-26520.000000;1314.000000;77471.195312
13;-30710.000000;1490.000000;78931.562500
14;-35098.000000;1669.000000;79553.773438
15;-39689.000000;1858.000000;79331.234375
16;-44477.000000;2054.000000;78266.289062
17;-49401.000000;2256.000000;76370.265625
18;-54490.000000;2461.000000;73663.281250
19;-59777.000000;2680.000000;70174.093750
20;-65215.000000;2901.000000;65939.750000
21;-70827.000000;3130.000000;61005.214844
22;-76605.000000;3366.000000;55422.878906
23;-82554.000000;3608.000000;49252.023438
24;-88628.000000;3858.000000;42558.179688
25;-94857.000000;4110.000000;35412.417969
26;-101252.000000;4376.000000;27890.626953
27;-107877.000000;4646.000000;20072.671875
28;-114538.000000;4918.000000;12041.571289
29;-121325.000000;5200.000000;3882.605225
30;-128137.000000;5438.000000;-4317.589355
31;-134399.000000;5666.000000;-12471.936523
32;-140468.000000;5865.000000;-20493.847656
33;-145881.000000;6031.000000;-28298.140625
34;-150946.000000;6175.000000;-35801.945312
35;-155699.000000;6285.000000;-42925.578125
36;-159930.000000;6388.000000;-49593.398438
37;-163991.000000;6477.000000;-55734.617188
38;-167468.000000;6564.000000;-61284.000000
39;-170613.000000;6648.000000;-66182.625000
40;-173339.000000;6727.000000;-70378.476562
41;-175480.000000;6811.000000;-73826.992188
42;-177408.000000;6888.000000;-76491.554688
43;-179021.000000;6956.000000;-78343.882812
44;-180258.000000;7002.000000;-79364.289062
45;-181336.000000;7048.000000;-79541.953125
46;-182264.000000;7086.000000;-78874.976562
47;-182885.000000;7112.000000;-77370.445312
48;-183281.000000;7126.000000;-75044.343750
49;-183567.000000;7139.000000;-71921.359375
50;-183623.000000;7144.000000;-68034.664062
51;-183391.000000;7133.000000;-63425.523438
52;-183041.000000;7118.000000;-58142.886719
53;-182571.000000;7100.000000;-52242.843750
54;-181863.000000;7072.000000;-45788.046875
55;-180986.000000;7035.000000;-38847.039062
56;-180034.000000;6995.000000;-31493.525391
57;-178890.000000;6949.000000;-23805.587891
58;-177490.000000;6893.000000;-15864.866211
59;-175976.000000;6829.000000;-7755.679199
60;-174346.000000;6762.000000;435.863190
61;-172440.000000;6684.000000;8622.777344
62;-170601.000000;6641.000000;16718.128906
63;-169243.000000;6616.000000;24635.953125
64;-167963.000000;6621.000000;32292.175781
65;-167341.000000;6651.000000;39605.496094
