takt;q1;q2;q2p
0;389.000000;-17.000000;-3.174366
1;726.000000;-28.000000;-6.348731
2;974.000000;-38.000000;-9.523097
3;1163.000000;-46.000000;-12.697462
4;1258.000000;-50.000000;-15.871827
5;1255.000000;-51.000000;-19.046194
6;1210.000000;-50.000000;-22.220558
7;1125.000000;-46.000000;-25.394922
8;976.000000;-40.000000;-28.569288
9;824.000000;-34.000000;-31.743654
10;701.000000;-30.000000;-34.918022
11;573.000000;-24.000000;-38.092388
12;451.000000;-19.000000;-41.266758
13;379.000000;-17.000000;-44.441124
14;330.000000;-15.000000;-47.615490
15;292.000000;-14.000000;-50.789856
16;307.000000;-14.000000;-53.964226
17;369.000000;-16.000000;-57.138592
18;437.000000;-19.000000;-60.312954
19;523.000000;-22.000000;-63.487320
20;643.000000;-26.000000;-66.661682
21;771.000000;-32.000000;-69.836044
22;902.000000;-37.000000;-73.010406
23;1060.000000;-44.000000;-76.184776
24;1226.000000;-50.000000;-79.359131
25;1381.000000;-57.000000;-82.533493
26;1540.000000;-63.000000;-85.707863
27;1701.000000;-70.000000;-88.882225
28;1844.000000;-75.000000;-92.056595
29;1969.000000;-80.000000;-95.230949
30;2084.000000;-85.000000;-98.405312
31;2181.000000;-89.000000;-101.579681
32;2255.000000;-92.000000;-104.754044
33;2325.000000;-95.000000;-107.928406
34;2388.000000;-97.000000;-111.102768
35;2436.000000;-99.000000;-114.277138
36;2478.000000;-101.000000;-117.451500
37;2520.000000;-103.000000;-120.625870
38;2565.000000;-105.000000;-123.800232
39;2609.000000;-107.000000;-126.974609
40;2664.000000;-109.000000;-130.148972
41;2725.000000;-112.000000;-133.323349
42;2785.000000;-114.000000;-136.497711
43;2857.000000;-117.000000;-139.672089
44;2938.000000;-120.000000;-142.846451
45;3019.000000;-124.000000;-146.020828
46;3103.000000;-127.000000;-149.195206
47;3195.000000;-131.000000;-152.369568
48;3280.000000;-134.000000;-155.543945
49;3365.000000;-138.000000;-158.718307
50;3452.000000;-142.000000;-161.892685
51;3532.000000;-145.000000;-165.067047
52;3607.000000;-148.000000;-168.241425
53;3687.000000;-151.000000;-171.415802
54;3768.000000;-155.000000;-174.590149
55;3846.000000;-158.000000;-177.764526
56;3927.000000;-161.000000;-180.938904
57;4007.000000;-165.000000;-184.113281
58;4088.000000;-168.000000;-187.287643
59;4171.000000;-171.000000;-190.462021
60;4249.000000;-175.000000;-193.636383
61;4324.000000;-178.000000;-196.810745
62;4392.000000;-181.000000;-199.985123
63;4458.000000;-184.000000;-203.159500
64;4523.000000;-186.000000;-206.333878
65;4585.000000;-189.000000;-209.508224
66;4646.000000;-191.000000;-212.682602
67;4709.000000;-194.000000;-215.856979
68;4775.000000;-196.000000;-219.031357
69;4841.000000;-199.000000;-222.205719
70;4915.000000;-202.000000;-225.380081
71;4991.000000;-206.000000;-228.554459
72;5068.000000;-209.000000;-231.728821
73;5154.000000;-212.000000;-234.903183
74;5238.000000;-216.000000;-238.077545
75;5326.000000;-219.000000;-241.251907
76;5421.000000;-223.000000;-244.426270
77;5510.000000;-227.000000;-247.600616
78;5600.000000;-230.000000;-250.774979
79;5691.000000;-234.000000;-253.949326
80;5780.000000;-238.000000;-257.123688
81;5863.000000;-241.000000;-260.298035
82;5947.000000;-244.000000;-263.472412
83;6026.000000;-248.000000;-266.646759
84;6103.000000;-251.000000;-269.821106
85;6190.000000;-255.000000;-272.995483
86;6270.000000;-258.000000;-276.169830
87;6349.000000;-261.000000;-279.344177
88;6426.000000;-264.000000;-282.518524
89;6494.000000;-267.000000;-285.692902
90;6565.000000;-270.000000;-288.867249
91;6633.000000;-273.000000;-292.041595
92;6695.000000;-275.000000;-295.215973
93;6763.000000;-278.000000;-298.390320
94;6835.000000;-281.000000;-301.564667
95;6904.000000;-284.000000;-304.739044
96;6983.000000;-287.000000;-307.913391
97;7069.000000;-290.000000;-311.087738
98;7154.000000;-294.000000;-314.262115
99;7244.000000;-297.000000;-317.436462
100;7342.000000;-301.000000;-320.610809
101;7434.000000;-305.000000;-323.785156
102;7523.000000;-309.000000;-326.959534
103;7614.000000;-312.000000;-330.133911
104;7697.000000;-316.000000;-333.308258
105;7781.000000;-319.000000;-336.482605
106;7862.000000;-322.000000;-339.656982
107;7932.000000;-326.000000;-342.831329
108;7996.000000;-328.000000;-346.005676
109;8061.000000;-331.000000;-349.180054
110;8116.000000;-333.000000;-352.354401
111;8169.000000;-335.000000;-355.528748
112;8218.000000;-337.000000;-358.703094
113;8268.000000;-340.000000;-361.877472
114;8319.000000;-342.000000;-365.051819
115;8377.000000;-344.000000;-368.226166
116;8440.000000;-347.000000;-371.400543
117;8508.000000;-350.000000;-374.574890
118;8583.000000;-353.000000;-377.749237
119;8666.000000;-356.000000;-380.923615
120;8758.000000;-360.000000;-384.097961
121;8853.000000;-364.000000;-387.272308
122;8952.000000;-368.000000;-390.446655
123;9060.000000;-372.000000;-393.621033
124;9167.000000;-377.000000;-396.795380
125;9271.000000;-381.000000;-399.969727
126;9381.000000;-386.000000;-403.144104
127;9487.000000;-390.000000;-406.318451
128;9587.000000;-394.000000;-409.492798
129;9686.000000;-398.000000;-412.667175
130;9783.000000;-402.000000;-415.841522
131;9870.000000;-405.000000;-419.015869
132;9950.000000;-408.000000;-422.190247
133;10025.000000;-412.000000;-425.364594
134;10089.000000;-414.000000;-428.538940
135;10146.000000;-417.000000;-431.713287
136;10194.000000;-419.000000;-434.887665
137;10234.000000;-420.000000;-438.062012
138;10267.000000;-422.000000;-441.236359
139;10298.000000;-423.000000;-444.410736
140;10329.000000;-424.000000;-447.585083
